idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,7.0928,9.1874
1,A,A,A,1,1,0,7.2493,11.0781
2,B,B,B,1,1,0,11.0,6.9854
3,C,C,C,1,1,0,19.3281,15.7969
4,C,C,C,1,1,0,17.8906,14.1875
5,C,C,C,1,1,0,17.4062,15.9375
6,A,B,A,0,1,1,14.4062,3.3418
7,B,B,B,1,1,0,4.8122,0.0312
8,C,C,C,1,1,0,3.2186,4.8122
9,B,C,C,0,0,0,2.5309,1.1877
10,B,B,B,1,1,0,14.0,5.5307
11,C,C,C,1,1,0,8.5623,7.8121
12,C,C,C,1,1,0,6.8427,8.5936
13,B,B,B,1,1,0,12.4062,8.1851
14,B,B,B,1,1,0,9.1561,6.1574
15,C,C,C,1,1,0,14.6875,13.0625
16,B,B,B,1,1,0,13.6094,4.2822
17,C,C,C,1,1,0,1.9689,9.8437
18,A,A,A,1,1,0,9.8124,13.6875
19,A,A,A,1,1,0,5.3114,11.0
20,C,C,C,1,1,0,14.4687,13.25
21,B,B,B,1,1,0,7.687,3.7821
22,C,C,C,1,1,0,18.125,14.4062
23,C,A,A,0,0,0,17.9531,16.5
24,C,C,C,1,1,0,20.1562,14.8125
25,B,B,B,1,1,0,11.5312,8.1276
26,C,C,C,1,1,0,15.5312,4.9381
27,C,C,C,1,1,0,17.4531,18.4062
28,C,B,B,0,0,0,6.1894,10.4687
29,B,C,C,0,0,0,2.4059,1.0938
30,B,B,B,1,1,0,11.375,3.7504
31,B,B,B,1,1,0,3.9059,1.7502
32,B,B,B,1,1,0,15.0469,10.4375
33,B,B,B,1,1,0,10.0625,3.4053
34,A,A,A,1,1,0,4.2831,8.4373
35,C,C,C,1,1,0,5.9074,8.8748
36,A,A,A,1,1,0,16.7812,16.9062
37,B,C,C,0,0,0,4.5323,7.0616
38,C,C,C,1,1,0,18.25,13.0156
39,C,C,C,1,1,0,15.8906,14.375
40,A,A,A,1,1,0,1.9061,8.6561
41,B,B,A,1,0,1,8.7497,1.4062
42,B,B,B,1,1,0,11.2812,0.8281
43,A,A,A,1,1,0,7.1867,11.4687
44,A,A,A,1,1,0,14.3437,16.6562
45,A,B,A,0,1,1,0.5002,9.7343
46,C,B,B,0,0,0,1.156,0.937
47,B,C,C,0,0,0,1.5934,2.5309
48,C,C,C,1,1,0,6.158,3.7803
49,C,C,C,1,1,0,17.5469,17.7812
50,C,C,C,1,1,0,19.375,17.4531
51,A,A,A,1,1,0,9.8749,14.9531
52,C,C,C,1,1,0,4.1246,1.2817
53,A,A,A,1,1,0,1.9064,10.375
54,A,B,B,0,0,0,12.2812,1.8129
55,C,C,C,1,1,0,14.75,11.9687
56,A,B,A,0,1,1,3.6241,11.7344
57,C,C,C,1,1,0,18.5625,15.9687
58,C,C,C,1,1,0,20.5312,15.4844
59,A,B,A,0,1,1,5.3113,0.562
60,A,A,A,1,1,0,11.8437,14.1719
61,C,C,C,1,1,0,12.0625,10.7812
62,A,B,A,0,1,1,6.0328,8.2496
63,B,B,B,1,1,0,14.4844,10.1249
64,A,A,A,1,1,0,14.5937,6.6236
65,C,C,C,1,1,0,17.7969,12.2187
66,A,B,B,0,0,0,8.4685,5.5957
67,C,C,C,1,1,0,15.1094,11.2031
68,B,B,B,1,1,0,8.7811,9.0302
69,A,A,A,1,1,0,10.8437,16.7969
70,B,B,B,1,1,0,11.4062,6.9053
71,B,B,B,1,1,0,2.7505,1.1562
72,C,C,C,1,1,0,17.1562,14.5312
73,A,A,A,1,1,0,12.6875,16.375
74,B,B,A,1,0,1,1.2192,10.1562
75,C,C,C,1,1,0,20.0625,15.2656
76,A,A,A,1,1,0,16.0312,14.4062
77,A,B,A,0,1,1,1.6254,2.2509
78,B,B,B,1,1,0,11.0312,7.687
79,A,A,A,1,1,0,14.75,19.2656
80,C,C,C,1,1,0,17.625,12.9687
81,B,B,C,1,0,1,8.6248,2.7818
82,B,C,C,0,0,0,5.7507,7.8746
83,A,A,A,1,1,0,15.0937,14.0156
84,A,A,A,1,1,0,16.4375,18.1094
85,A,B,A,0,1,1,7.1555,8.4685
86,C,C,C,1,1,0,19.7656,12.0312
87,C,C,C,1,1,0,20.4375,14.1875
88,C,C,C,1,1,0,16.1406,6.6863
89,A,A,A,1,1,0,8.4373,9.7187
90,C,C,C,1,1,0,0.5627,1.3751
91,C,C,C,1,1,0,15.6562,8.8749
92,A,B,B,0,0,0,7.8121,4.4364
93,A,B,A,0,1,1,3.9695,6.4981
94,A,A,A,1,1,0,12.8125,17.9531
95,A,A,A,1,1,0,12.1875,13.2031
96,A,A,A,1,1,0,2.5003,6.4981
97,B,B,B,1,1,0,14.9219,9.3291
98,C,C,C,1,1,0,20.3438,19.2031
99,A,A,A,1,1,0,15.9375,19.6875
100,C,C,C,1,1,0,17.9375,13.7031
101,A,A,A,1,1,0,4.8437,4.5954
102,A,A,A,1,1,0,10.9687,14.75
103,C,C,C,1,1,0,21.7188,17.2344
104,C,C,C,1,1,0,19.3125,19.5625
105,B,C,B,0,1,1,3.1555,2.4058
106,B,B,B,1,1,0,12.6562,8.4684
107,B,B,A,1,0,1,1.8744,12.875
108,C,C,C,1,1,0,19.2031,18.4219
109,B,B,B,1,1,0,3.125,1.188
110,A,A,A,1,1,0,17.0469,17.2969
111,B,B,B,1,1,0,11.5625,7.5306
112,A,B,A,0,1,1,3.6882,11.7031
113,B,B,B,1,1,0,6.5924,0.8433
114,B,B,B,1,1,0,12.9375,4.8132
115,A,A,A,1,1,0,4.3109,14.5781
116,C,C,C,1,1,0,16.3594,15.5937
117,A,B,A,0,1,1,0.7498,5.1269
118,A,C,A,0,1,1,5.6867,6.3419
119,A,C,C,0,0,0,0.8752,1.3121
120,B,B,C,1,0,1,10.0312,0.2188
121,C,B,C,0,1,1,0.2188,4.2515
122,B,B,A,1,0,1,10.9062,1.3125
123,C,B,C,0,1,1,2.2191,4.8427
124,B,C,C,0,0,0,19.5156,16.4531
125,A,A,A,1,1,0,5.9701,16.6875
126,B,B,B,1,1,0,10.7812,3.812
127,C,C,C,1,1,0,17.6406,12.875
128,A,B,B,0,0,0,7.9997,4.4388
129,B,B,A,1,0,1,10.8437,0.938
130,C,C,C,1,1,0,20.0938,14.5469
131,B,B,A,1,0,1,13.6562,1.0627
132,A,A,A,1,1,0,13.125,10.2966
133,C,C,C,1,1,0,19.9375,15.2812
134,C,C,C,1,1,0,17.0625,15.0937
135,C,B,A,0,0,1,9.4999,7.0301
136,A,A,A,1,1,0,10.2187,13.0
137,C,C,C,1,1,0,19.4531,13.5156
138,A,A,A,1,1,0,10.0312,11.3437
139,B,B,B,1,1,0,4.4375,1.656
140,A,A,A,1,1,0,14.4375,11.7812
141,A,B,B,0,0,0,7.4994,0.3438
142,B,C,C,0,0,0,4.2515,0.4062
143,B,B,B,1,1,0,9.4062,5.4999
144,C,C,C,1,1,0,18.875,17.2969
145,C,C,C,1,1,0,13.0625,11.5625
146,A,A,A,1,1,0,18.7188,18.4531
147,C,B,C,0,1,1,0.375,2.4059
148,B,B,C,1,0,1,9.4374,0.5
149,A,B,A,0,1,1,10.0937,1.344
150,C,C,C,1,1,0,14.9062,7.9996
151,B,B,B,1,1,0,11.5,1.469
152,C,C,C,1,1,0,15.1719,9.4687
153,B,B,B,1,1,0,8.4998,2.1243
154,C,C,C,1,1,0,21.6719,17.7656
155,B,B,B,1,1,0,7.1555,7.5307
156,C,C,C,1,1,0,9.3749,9.6562
157,A,A,A,1,1,0,7.7183,11.2656
158,B,C,A,0,0,1,0.5312,0.375
159,A,B,A,0,1,1,0.125,1.1245
160,C,C,C,1,1,0,21.6719,19.1406
161,C,C,C,1,1,0,20.375,20.6094
162,C,C,C,1,1,0,7.1555,5.8761
163,C,C,C,1,1,0,21.0469,18.1406
164,A,B,A,0,1,1,11.5937,4.2195
165,A,A,A,1,1,0,9.6249,9.5935
