idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.0754,10.6553
1,A,B,B,0,0,0,7.6559,7.783
2,B,B,B,1,1,0,5.1893,5.3746
3,E,E,E,1,1,0,5.6232,7.6737
4,B,B,B,1,1,0,4.7505,6.2497
5,B,B,B,1,1,0,2.0623,2.1873
6,A,C,C,0,0,0,1.4685,1.3127
7,B,B,B,1,1,0,12.8906,13.5975
8,D,D,D,1,1,0,12.9853,13.9337
9,B,C,B,0,1,1,0.3438,0.0938
10,C,C,C,1,1,0,1.7809,2.2181
11,B,B,B,1,1,0,14.3261,14.4854
12,E,E,E,1,1,0,2.8909,3.1557
13,B,B,B,1,1,0,1.7195,2.25
14,B,B,B,1,1,0,11.4554,12.2168
15,D,B,D,0,1,1,0.9839,0.8438
16,E,E,E,1,1,0,5.5321,6.4539
17,A,B,B,0,0,0,5.2031,5.734
18,C,C,C,1,1,0,5.5151,7.0796
19,E,B,E,0,1,1,0.3125,0.4692
20,B,B,B,1,1,0,8.4526,9.5816
21,B,A,A,0,0,0,0.7188,0.9688
22,D,D,D,1,1,0,5.3116,7.1728
23,C,C,C,1,1,0,1.2815,1.2812
24,A,F,F,0,0,0,11.7943,12.5911
25,D,A,A,0,0,0,12.6552,12.6399
26,F,C,C,0,0,0,4.9057,5.0003
27,B,B,B,1,1,0,3.4527,3.9984
28,F,B,B,0,0,0,8.4535,8.8926
29,D,D,D,1,1,0,2.5318,2.4068
30,E,E,E,1,1,0,4.0165,4.6575
31,C,C,C,1,1,0,1.4062,1.3127
32,B,B,B,1,1,0,4.3293,5.0481
33,F,F,F,1,1,0,2.3131,4.4067
34,D,D,D,1,1,0,8.1992,9.4026
35,D,D,D,1,1,0,1.5935,2.2806
36,B,B,B,1,1,0,2.6085,2.8746
37,B,B,B,1,1,0,7.7353,8.1436
38,B,B,B,1,1,0,10.4063,11.1242
39,A,A,A,1,1,0,4.8925,4.5608
40,B,B,B,1,1,0,11.6998,12.7487
41,E,B,B,0,0,0,11.6881,11.9188
42,E,E,E,1,1,0,10.9881,12.1225
43,A,A,A,1,1,0,0.2188,1.1245
44,D,D,D,1,1,0,14.7504,15.4339
45,F,A,A,0,0,0,4.9674,5.6731
46,C,C,C,1,1,0,7.9833,8.7849
47,E,B,B,0,0,0,1.9994,2.2185
48,F,F,F,1,1,0,10.2363,10.9692
49,B,D,D,0,0,0,3.1881,4.1548
50,E,E,E,1,1,0,6.7201,7.6101
51,D,D,D,1,1,0,18.2682,18.5777
52,D,D,D,1,1,0,3.8747,4.7193
53,B,B,B,1,1,0,5.9674,6.6231
54,A,A,A,1,1,0,15.6736,15.8411
55,C,C,C,1,1,0,5.6884,6.7179
56,A,A,A,1,1,0,18.088,18.5441
57,A,B,B,0,0,0,0.3745,0.75
58,F,F,F,1,1,0,2.4847,3.2662
59,D,D,D,1,1,0,16.2451,16.9043
60,E,E,E,1,1,0,0.125,0.8748
61,B,B,B,1,1,0,4.3925,4.4695
62,D,B,B,0,0,0,0.4375,0.1875
63,E,C,C,0,0,0,15.8459,15.4361
64,D,D,D,1,1,0,9.234,11.1092
65,B,C,C,0,0,0,6.5016,8.0126
66,A,A,A,1,1,0,10.6092,11.6688
67,C,C,C,1,1,0,11.9077,12.7182
68,E,C,C,0,0,0,1.0315,0.75
69,F,F,F,1,1,0,3.6556,4.3129
70,A,A,A,1,1,0,14.9401,15.8257
71,F,B,F,0,1,1,0.4062,0.0938
72,F,F,F,1,1,0,13.1246,14.1079
73,D,F,F,0,0,0,0.125,1.1565
74,C,C,C,1,1,0,14.5033,15.5654
75,E,E,E,1,1,0,6.2043,6.5175
76,A,B,B,0,0,0,5.6557,6.1263
77,E,B,B,0,0,0,6.4204,6.1881
78,F,F,F,1,1,0,0.3433,0.5938
79,A,B,B,0,0,0,3.0623,3.6871
80,E,B,B,0,0,0,0.9995,1.094
81,E,E,E,1,1,0,16.5232,17.9604
82,B,B,B,1,1,0,17.7533,18.3869
83,B,B,B,1,1,0,0.8755,0.781
84,A,A,A,1,1,0,1.1877,1.1877
85,C,D,D,0,0,0,0.688,0.6873
86,E,E,E,1,1,0,8.8423,8.8716
87,A,A,A,1,1,0,17.2182,18.0778
88,B,D,D,0,0,0,1.3752,1.6252
89,A,A,A,1,1,0,3.1245,3.4066
90,C,C,C,1,1,0,0.6875,1.063
91,D,B,B,0,0,0,1.1875,1.9056
92,E,E,E,1,1,0,3.0941,3.9686
93,C,B,B,0,0,0,2.4688,3.8745
94,F,A,A,0,0,0,1.5623,1.5938
95,E,F,F,0,0,0,4.484,5.7799
96,E,C,C,0,0,0,3.3117,2.1871
97,E,D,D,0,0,0,3.5615,1.7036
98,B,A,A,0,0,0,2.0627,2.4685
99,F,E,E,0,0,0,0.6558,0.8125
100,C,C,C,1,1,0,8.39,8.734
101,D,D,D,1,1,0,2.7509,2.8748
102,C,C,C,1,1,0,7.7337,8.3746
103,A,B,B,0,0,0,1.063,1.0308
104,F,B,B,0,0,0,2.2185,3.4063
105,C,C,C,1,1,0,3.3436,3.7507
