idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.1412,2.7499
1,A,A,A,1,1,0,3.7342,3.5472
2,B,A,A,0,0,0,1.2815,1.0312
3,C,A,A,0,0,0,0.0,0.6245
4,C,A,A,0,0,0,0.0625,0.2656
5,C,A,A,0,0,0,0.5005,0.7188
6,A,A,A,1,1,0,0.3438,0.0469
7,B,A,A,0,0,0,1.3589,2.4209
8,C,A,A,0,0,0,0.8281,1.7345
9,B,B,B,1,1,0,0.7183,0.3125
10,B,A,A,0,0,0,2.7338,2.5622
11,C,A,A,0,0,0,1.1719,1.7654
12,C,A,A,0,0,0,0.6724,1.0312
13,B,A,A,0,0,0,1.1094,1.7192
14,B,A,A,0,0,0,2.0006,2.1554
15,C,A,A,0,0,0,0.9841,1.7975
16,B,A,A,0,0,0,2.5321,3.6397
17,C,A,A,0,0,0,0.3599,0.8745
18,A,A,A,1,1,0,2.9681,2.7819
19,A,A,A,1,1,0,2.5788,2.2033
20,C,A,A,0,0,0,0.437,0.125
21,B,A,A,0,0,0,1.5942,2.1715
22,C,C,A,1,0,1,0.0938,0.7349
23,C,A,A,0,0,0,0.4375,1.1409
24,C,C,A,1,0,1,0.4844,0.25
25,B,A,A,0,0,0,1.4688,2.1412
26,C,A,A,0,0,0,0.3901,0.5781
27,C,A,A,0,0,0,1.4373,0.9529
28,C,A,A,0,0,0,0.5312,1.094
29,B,A,A,0,0,0,0.9214,1.6246
30,B,A,A,0,0,0,0.1406,0.6094
31,B,A,A,0,0,0,0.5938,0.938
32,B,A,A,0,0,0,3.3898,3.2039
33,B,A,A,0,0,0,0.9531,0.8286
34,A,A,A,1,1,0,3.2338,3.3753
35,C,A,A,0,0,0,1.1245,0.8594
36,A,A,A,1,1,0,4.3898,3.2968
37,B,A,A,0,0,0,1.281,1.4531
38,C,C,A,1,0,1,0.8281,0.0781
39,C,A,A,0,0,0,1.6404,1.1401
40,A,A,A,1,1,0,4.0928,4.7511
41,B,A,A,0,0,0,0.563,1.2654
42,B,A,A,0,0,0,1.9844,2.3594
43,A,A,A,1,1,0,2.1251,0.9688
44,A,A,A,1,1,0,2.5314,2.2961
45,A,A,A,1,1,0,4.7335,3.9366
46,C,A,A,0,0,0,1.0474,1.3901
47,B,A,A,0,0,0,2.36,2.0002
48,C,A,A,0,0,0,1.0,1.2651
49,C,C,A,1,0,1,0.5938,0.0469
50,C,A,C,0,1,1,0.2969,0.0308
51,A,A,A,1,1,0,4.4861,3.7196
52,C,C,A,1,0,1,0.25,0.0625
53,A,A,A,1,1,0,1.7346,1.0151
54,A,A,A,1,1,0,1.0623,1.0623
55,C,B,B,0,0,0,0.0625,0.9214
56,A,A,A,1,1,0,5.2639,4.7641
57,C,C,A,1,0,1,0.2339,0.1094
58,C,C,A,1,0,1,0.438,0.7036
59,A,A,A,1,1,0,2.8586,3.8127
60,A,A,A,1,1,0,5.1881,5.0628
61,C,A,A,0,0,0,0.8594,1.4221
62,A,A,A,1,1,0,0.0469,0.8911
63,B,A,A,0,0,0,1.0942,1.6411
64,A,A,A,1,1,0,1.9056,1.5312
65,C,C,A,1,0,1,0.562,0.0781
66,A,A,A,1,1,0,1.3284,1.3438
67,C,A,A,0,0,0,0.75,0.2661
68,B,A,A,0,0,0,3.6259,3.3133
69,A,A,A,1,1,0,1.6411,2.6567
70,B,A,A,0,0,0,1.2651,1.5469
71,B,A,A,0,0,0,0.4219,0.4536
72,C,A,C,0,1,1,0.25,0.0312
73,A,A,A,1,1,0,3.8914,4.0764
74,B,A,A,0,0,0,2.7812,2.5773
75,C,A,A,0,0,0,1.4534,1.2502
76,A,A,A,1,1,0,3.344,3.1867
77,A,A,A,1,1,0,1.5001,1.4844
78,B,A,A,0,0,0,2.3118,2.4847
79,A,A,A,1,1,0,4.0618,3.8433
80,C,A,A,0,0,0,0.0938,1.0156
81,B,A,A,0,0,0,2.3755,3.4691
82,B,A,A,0,0,0,1.3596,1.4377
83,A,A,A,1,1,0,3.9381,3.797
84,A,A,A,1,1,0,5.8267,5.3747
85,A,A,A,1,1,0,1.0471,1.6091
86,C,C,C,1,1,0,0.1719,0.187
87,C,A,A,0,0,0,0.563,0.6406
88,C,A,A,0,0,0,0.5781,1.2185
89,A,A,A,1,1,0,2.1245,2.2811
90,C,B,A,0,0,1,0.1719,1.1096
91,C,A,A,0,0,0,0.4062,0.3901
92,A,A,A,1,1,0,2.3281,2.1865
93,A,A,A,1,1,0,2.3603,2.0781
94,A,A,A,1,1,0,1.5935,2.7026
95,A,A,A,1,1,0,3.5305,3.8601
96,A,A,A,1,1,0,0.9692,1.3599
97,B,A,A,0,0,0,2.14,2.7178
98,C,C,C,1,1,0,0.3276,0.3286
99,A,A,A,1,1,0,4.3766,4.7494
100,C,A,A,0,0,0,0.4375,1.5156
101,A,A,A,1,1,0,0.8594,0.8906
102,A,A,A,1,1,0,4.4076,4.515
103,C,C,C,1,1,0,0.7502,0.7036
104,C,A,A,0,0,0,0.5786,0.7339
105,B,B,A,1,0,1,0.3281,0.5464
106,B,A,A,0,0,0,1.9214,1.4529
107,B,A,A,0,0,0,4.5137,4.4545
108,C,A,A,0,0,0,0.2344,0.3281
109,B,A,A,0,0,0,1.843,1.8438
110,A,A,A,1,1,0,3.0785,2.0773
111,B,A,A,0,0,0,3.3904,2.7186
112,A,A,A,1,1,0,3.5005,3.0778
113,B,A,A,0,0,0,2.4689,3.5163
114,B,A,A,0,0,0,3.0628,2.4056
115,A,A,A,1,1,0,4.3604,4.4367
116,C,A,A,0,0,0,0.7026,0.8281
117,A,A,A,1,1,0,1.7821,2.5311
118,A,A,A,1,1,0,1.1099,0.8123
119,A,A,A,1,1,0,0.5938,1.3909
120,B,A,A,0,0,0,2.6401,3.2963
121,C,A,A,0,0,0,1.7034,1.5466
122,B,A,A,0,0,0,0.313,0.1562
123,C,A,A,0,0,0,0.9375,0.2964
124,B,A,A,0,0,0,0.4849,1.5002
125,A,A,A,1,1,0,3.6412,3.5781
126,B,A,A,0,0,0,3.4221,2.938
127,C,C,C,1,1,0,1.0161,0.1724
128,A,A,A,1,1,0,2.4064,1.7961
129,B,A,A,0,0,0,2.7495,2.1868
130,C,A,A,0,0,0,1.094,1.0
131,B,A,A,0,0,0,3.1719,3.0785
132,A,A,A,1,1,0,2.5321,2.5151
133,C,A,B,0,0,1,0.2026,0.3438
134,C,C,A,1,0,1,0.5151,0.0
135,C,A,A,0,0,0,0.8286,1.0625
136,A,A,A,1,1,0,3.0148,2.2806
137,C,C,A,1,0,1,0.5,0.7346
138,A,A,A,1,1,0,2.8124,2.8904
139,B,A,A,0,0,0,2.1711,2.187
140,A,A,A,1,1,0,2.6567,2.4375
141,A,A,A,1,1,0,1.6873,2.0464
142,B,A,A,0,0,0,0.969,1.8595
143,B,A,A,0,0,0,2.5159,2.2351
144,C,C,C,1,1,0,0.3276,0.3745
145,C,A,A,0,0,0,0.2812,0.5625
146,A,A,A,1,1,0,7.1394,5.6394
147,C,A,A,0,0,0,0.3745,1.2971
148,B,A,A,0,0,0,1.187,1.7185
149,A,A,A,1,1,0,1.9841,1.5466
150,C,A,C,0,1,1,0.188,0.25
151,B,A,A,0,0,0,1.6876,1.4216
152,C,C,A,1,0,1,0.0156,1.3127
153,B,A,A,0,0,0,3.6103,3.782
154,C,A,A,0,0,0,0.1094,0.4844
155,B,A,A,0,0,0,0.375,0.5151
156,C,A,A,0,0,0,0.3745,0.9062
157,A,A,A,1,1,0,2.6259,2.4214
158,B,A,A,0,0,0,0.5933,0.4688
159,A,A,A,1,1,0,2.1555,2.2179
160,C,C,C,1,1,0,0.563,0.0469
161,C,A,A,0,0,0,0.6089,0.7349
162,C,C,B,1,0,1,0.3594,0.0781
163,C,A,A,0,0,0,1.4532,0.6558
164,A,A,A,1,1,0,2.4054,2.2965
165,A,A,A,1,1,0,1.2029,1.4844
166,C,A,A,0,0,0,0.25,0.5942
167,C,A,A,0,0,0,1.3748,1.7029
168,B,A,A,0,0,0,2.7808,2.4062
169,A,A,A,1,1,0,2.2976,2.2961
170,C,A,A,0,0,0,0.3906,0.2656
171,A,A,A,1,1,0,2.2494,2.25
172,C,C,B,1,0,1,0.2031,0.2651
173,A,A,A,1,1,0,2.9055,2.6567
174,A,A,A,1,1,0,4.1553,4.7029
175,C,C,B,1,0,1,0.2188,0.125
176,B,A,A,0,0,0,0.875,1.953
177,A,A,A,1,1,0,3.6878,4.4358
178,B,A,A,0,0,0,2.9382,2.532
179,B,A,A,0,0,0,2.7491,2.9227
180,C,A,C,0,1,1,0.0156,0.2344
181,A,A,A,1,1,0,3.1102,3.1255
182,B,A,A,0,0,0,1.594,1.1245
183,A,A,A,1,1,0,4.1408,3.9688
184,C,A,A,0,0,0,0.0942,0.7036
185,B,A,A,0,0,0,2.8291,2.2499
186,B,A,A,0,0,0,3.4214,3.6259
187,B,A,A,0,0,0,0.5625,1.2815
188,B,A,A,0,0,0,1.0938,1.2344
189,B,A,A,0,0,0,1.1719,1.6565
190,B,A,A,0,0,0,0.3906,0.4531
191,A,A,A,1,1,0,2.0947,2.5306
192,B,A,A,0,0,0,0.5161,1.3284
193,A,A,A,1,1,0,3.5779,3.2975
