idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,22.6202,20.982
1,C,C,C,1,1,0,18.6014,19.4055
2,D,C,C,0,0,0,13.3451,14.8763
3,B,D,D,0,0,0,8.5033,13.9716
4,B,B,B,1,1,0,15.8433,17.7341
5,B,B,B,1,1,0,19.5519,17.3269
6,C,C,C,1,1,0,11.4058,14.4684
7,A,A,A,1,1,0,20.2264,18.5759
8,C,C,C,1,1,0,21.9558,22.5766
9,C,C,C,1,1,0,21.6359,21.1158
10,C,C,C,1,1,0,22.2279,20.6401
11,B,B,B,1,1,0,3.1562,12.6573
12,C,C,C,1,1,0,19.0143,17.0718
13,C,C,C,1,1,0,18.5502,17.656
14,A,B,B,0,0,0,9.6276,8.2681
15,A,A,A,1,1,0,18.126,14.8746
16,C,C,C,1,1,0,16.4584,17.0603
17,B,B,B,1,1,0,22.4187,21.2506
18,B,B,B,1,1,0,21.6584,19.4618
19,C,C,C,1,1,0,19.9713,20.6072
20,A,A,A,1,1,0,15.3884,19.3125
21,B,B,B,1,1,0,22.0597,19.7918
22,A,A,A,1,1,0,15.8265,18.375
23,D,D,D,1,1,0,22.9055,23.0152
24,D,D,D,1,1,0,14.9385,17.3573
25,A,A,A,1,1,0,19.4101,21.4844
26,C,C,C,1,1,0,16.4052,14.7656
27,B,B,B,1,1,0,14.1387,13.3558
28,B,B,D,1,0,1,2.2196,1.7183
29,C,C,C,1,1,0,22.9485,21.0902
30,C,C,C,1,1,0,17.6143,14.6249
31,A,A,A,1,1,0,19.5033,19.6399
32,D,D,D,1,1,0,14.9494,17.4843
33,B,B,B,1,1,0,18.5307,15.1094
34,C,C,C,1,1,0,21.7709,21.1395
35,B,B,B,1,1,0,5.3419,9.1561
36,D,D,D,1,1,0,21.5738,20.9985
37,B,B,B,1,1,0,0.0933,4.6572
38,D,D,D,1,1,0,17.9326,19.3271
39,C,C,C,1,1,0,11.6441,9.3433
40,D,C,C,0,0,0,2.8443,4.7176
41,C,C,C,1,1,0,19.1763,18.3479
42,C,C,C,1,1,0,20.0585,18.4372
43,C,C,C,1,1,0,21.4527,21.0148
44,B,B,B,1,1,0,17.0757,18.5866
45,A,A,A,1,1,0,9.9529,12.0136
46,C,C,C,1,1,0,21.1495,19.4783
47,A,A,A,1,1,0,17.107,19.481
48,D,D,D,1,1,0,20.4518,19.2495
49,D,D,D,1,1,0,4.9357,2.7195
50,B,A,A,0,0,0,8.5781,7.6241
51,D,D,D,1,1,0,18.4047,18.0623
52,A,A,A,1,1,0,18.183,21.375
53,A,B,A,0,1,1,0.562,12.5797
54,A,A,A,1,1,0,5.8767,7.1862
55,B,B,B,1,1,0,19.9937,19.5933
56,C,D,D,0,0,0,17.1777,20.375
57,B,B,B,1,1,0,19.9211,18.9935
58,B,B,B,1,1,0,22.3163,20.1942
59,D,D,D,1,1,0,18.4511,20.234
60,B,B,B,1,1,0,19.3781,17.578
