idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.1412,1.8756
1,A,A,A,1,1,0,3.7342,3.1412
2,B,A,A,0,0,0,1.2815,0.0938
3,C,A,C,0,1,1,0.0,0.0781
4,C,A,C,0,1,1,0.0625,0.1406
5,C,A,A,0,0,0,0.5005,0.375
6,A,A,A,1,1,0,0.3438,0.7031
7,B,A,A,0,0,0,1.3589,1.0466
8,C,A,A,0,0,0,0.8281,0.125
9,B,B,B,1,1,0,0.7183,0.1562
10,B,A,A,0,0,0,2.7338,1.9996
11,C,A,A,0,0,0,1.1719,0.7344
12,C,A,A,0,0,0,0.6724,0.25
13,B,A,A,0,0,0,1.1094,1.2971
14,B,A,A,0,0,0,2.0006,1.4531
15,C,A,A,0,0,0,0.9841,0.625
16,B,A,A,0,0,0,2.5321,2.0157
17,C,A,A,0,0,0,0.3599,0.0156
18,A,A,A,1,1,0,2.9681,2.5477
19,A,A,A,1,1,0,2.5788,1.8907
20,C,A,C,0,1,1,0.437,0.4375
21,B,A,A,0,0,0,1.5942,1.5938
22,C,C,C,1,1,0,0.0938,0.2031
23,C,A,C,0,1,1,0.4375,0.2036
24,C,C,C,1,1,0,0.4844,0.625
25,B,A,A,0,0,0,1.4688,0.625
26,C,A,A,0,0,0,0.3901,0.0938
27,C,A,A,0,0,0,1.4373,0.8589
28,C,A,C,0,1,1,0.5312,0.2812
29,B,A,A,0,0,0,0.9214,1.0156
30,B,A,A,0,0,0,0.1406,0.1875
31,B,A,A,0,0,0,0.5938,0.5625
32,B,A,A,0,0,0,3.3898,2.0786
33,B,A,A,0,0,0,0.9531,0.1714
34,A,A,A,1,1,0,3.2338,2.0155
35,C,A,A,0,0,0,1.1245,0.7971
36,A,A,A,1,1,0,4.3898,2.6553
37,B,A,A,0,0,0,1.281,1.1094
38,C,C,C,1,1,0,0.8281,0.7656
39,C,A,A,0,0,0,1.6404,1.0625
40,A,A,A,1,1,0,4.0928,3.7338
41,B,A,A,0,0,0,0.563,0.4839
42,B,A,A,0,0,0,1.9844,1.7808
43,A,A,A,1,1,0,2.1251,1.531
44,A,A,A,1,1,0,2.5314,2.4215
45,A,A,A,1,1,0,4.7335,3.4056
46,C,A,A,0,0,0,1.0474,0.9841
47,B,A,A,0,0,0,2.36,1.3599
48,C,A,A,0,0,0,1.0,0.625
49,C,C,C,1,1,0,0.5938,0.875
50,C,A,C,0,1,1,0.2969,0.3911
51,A,A,A,1,1,0,4.4861,3.3134
52,C,C,C,1,1,0,0.25,0.375
53,A,A,A,1,1,0,1.7346,1.406
54,A,A,A,1,1,0,1.0623,1.1558
55,C,B,C,0,1,1,0.0625,0.2969
56,A,A,A,1,1,0,5.2639,4.8906
57,C,C,C,1,1,0,0.2339,0.375
58,C,C,C,1,1,0,0.438,0.7974
59,A,A,A,1,1,0,2.8586,1.8905
60,A,A,A,1,1,0,5.1881,4.1089
61,C,A,A,0,0,0,0.8594,0.2031
62,A,A,A,1,1,0,0.0469,0.2969
63,B,A,A,0,0,0,1.0942,0.7188
64,A,A,A,1,1,0,1.9056,1.6406
65,C,C,C,1,1,0,0.562,0.7964
66,A,A,A,1,1,0,1.3284,0.625
67,C,A,A,0,0,0,0.75,0.3125
68,B,A,A,0,0,0,3.6259,2.8124
69,A,A,A,1,1,0,1.6411,1.3904
70,B,A,A,0,0,0,1.2651,0.8589
71,B,A,A,0,0,0,0.4219,0.0469
72,C,A,C,0,1,1,0.25,0.7188
73,A,A,A,1,1,0,3.8914,3.0629
74,B,A,A,0,0,0,2.7812,2.0153
75,C,A,A,0,0,0,1.4534,1.5312
76,A,A,A,1,1,0,3.344,2.4059
77,A,A,A,1,1,0,1.5001,1.2656
78,B,A,A,0,0,0,2.3118,1.7654
79,A,A,A,1,1,0,4.0618,3.5469
80,C,A,C,0,1,1,0.0938,0.1094
81,B,A,A,0,0,0,2.3755,1.8591
82,B,A,A,0,0,0,1.3596,0.7502
83,A,A,A,1,1,0,3.9381,2.485
84,A,A,A,1,1,0,5.8267,4.0641
85,A,A,A,1,1,0,1.0471,0.9375
86,C,C,C,1,1,0,0.1719,0.6558
87,C,A,A,0,0,0,0.563,0.4531
88,C,A,A,0,0,0,0.5781,0.5156
89,A,A,A,1,1,0,2.1245,1.3906
90,C,B,A,0,0,1,0.1719,0.1401
91,C,A,A,0,0,0,0.4062,0.0781
92,A,A,A,1,1,0,2.3281,2.0002
93,A,A,A,1,1,0,2.3603,2.3898
94,A,A,A,1,1,0,1.5935,1.7661
95,A,A,A,1,1,0,3.5305,3.0632
96,A,A,A,1,1,0,0.9692,0.8752
97,B,A,A,0,0,0,2.14,2.3752
98,C,C,C,1,1,0,0.3276,0.4058
99,A,A,A,1,1,0,4.3766,3.6881
100,C,A,A,0,0,0,0.4375,0.2188
101,A,A,A,1,1,0,0.8594,0.9062
102,A,A,A,1,1,0,4.4076,3.7977
103,C,C,C,1,1,0,0.7502,1.2656
104,C,A,C,0,1,1,0.5786,0.125
105,B,B,C,1,0,1,0.3281,0.2656
106,B,A,A,0,0,0,1.9214,1.5308
107,B,A,A,0,0,0,4.5137,3.4228
108,C,A,C,0,1,1,0.2344,0.1094
109,B,A,A,0,0,0,1.843,1.1089
110,A,A,A,1,1,0,3.0785,2.4688
111,B,A,A,0,0,0,3.3904,1.9847
112,A,A,A,1,1,0,3.5005,2.7194
113,B,A,A,0,0,0,2.4689,1.7651
114,B,A,A,0,0,0,3.0628,2.2031
115,A,A,A,1,1,0,4.3604,3.843
116,C,A,A,0,0,0,0.7026,0.1719
117,A,A,A,1,1,0,1.7821,1.3435
118,A,A,A,1,1,0,1.1099,0.7808
119,A,A,A,1,1,0,0.5938,0.3125
120,B,A,A,0,0,0,2.6401,1.8124
121,C,A,A,0,0,0,1.7034,0.969
122,B,A,A,0,0,0,0.313,0.9526
123,C,A,A,0,0,0,0.9375,0.3438
124,B,A,A,0,0,0,0.4849,0.2031
125,A,A,A,1,1,0,3.6412,3.5473
126,B,A,A,0,0,0,3.4221,2.2966
127,C,C,C,1,1,0,1.0161,0.5625
128,A,A,A,1,1,0,2.4064,2.0156
129,B,A,A,0,0,0,2.7495,1.985
130,C,A,A,0,0,0,1.094,0.7349
131,B,A,A,0,0,0,3.1719,2.1254
132,A,A,A,1,1,0,2.5321,1.6562
133,C,A,C,0,1,1,0.2026,0.0625
134,C,C,C,1,1,0,0.5151,0.6875
135,C,A,A,0,0,0,0.8286,0.4688
136,A,A,A,1,1,0,3.0148,2.6713
137,C,C,C,1,1,0,0.5,0.2974
138,A,A,A,1,1,0,2.8124,2.3127
139,B,A,A,0,0,0,2.1711,1.4843
140,A,A,A,1,1,0,2.6567,2.7352
141,A,A,A,1,1,0,1.6873,1.4536
142,B,A,A,0,0,0,0.969,0.6089
143,B,A,A,0,0,0,2.5159,1.8127
144,C,C,C,1,1,0,0.3276,0.3281
145,C,A,C,0,1,1,0.2812,0.0781
146,A,A,A,1,1,0,7.1394,4.9513
147,C,A,A,0,0,0,0.3745,0.7817
148,B,A,A,0,0,0,1.187,0.8438
149,A,A,A,1,1,0,1.9841,1.4058
