idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,C,1,0,1,0.2891,0.1875
1,A,A,A,1,1,0,0.0,0.9023
2,B,A,A,0,0,0,0.1484,1.4961
3,E,E,E,1,1,0,0.1641,1.6719
4,B,C,B,0,1,1,0.1484,1.8281
5,B,A,A,0,0,0,0.2656,2.2188
6,A,A,A,1,1,0,0.3516,0.3086
7,B,B,B,1,1,0,0.7188,0.7188
8,D,A,A,0,0,0,0.2891,0.4453
9,B,A,A,0,0,0,0.0391,0.9727
10,C,D,A,0,0,1,0.1172,0.1484
11,B,B,B,1,1,0,1.2969,2.2539
12,E,A,A,0,0,0,0.3438,1.2891
13,B,A,A,0,0,0,0.2734,0.7539
14,B,E,E,0,0,0,0.0547,0.1016
15,D,D,D,1,1,0,0.1875,0.1719
16,E,E,A,1,0,1,0.3359,0.0312
17,A,B,A,0,1,1,0.0703,1.1289
18,C,A,A,0,0,0,0.3984,0.6445
19,E,B,B,0,0,0,0.375,0.4492
20,B,A,A,0,0,0,0.5469,2.3086
21,B,B,A,1,0,1,0.0078,1.5273
22,D,A,A,0,0,0,0.4375,0.418
23,C,B,C,0,1,1,0.1484,0.3359
24,A,F,A,0,1,1,0.3359,1.4688
25,D,A,A,0,0,0,0.7031,2.0156
26,F,E,A,0,0,1,0.0391,1.3477
27,B,B,A,1,0,1,0.0938,0.1211
28,F,B,B,0,0,0,0.9297,0.6016
29,D,E,D,0,1,1,0.3594,0.1289
30,E,B,E,0,1,1,0.0234,0.6914
31,C,A,A,0,0,0,0.5938,0.6406
32,B,B,C,1,0,1,0.3438,0.25
33,F,F,A,1,0,1,0.5547,1.5508
34,D,A,D,0,1,1,0.0625,0.207
35,D,A,A,0,0,0,0.1875,0.5977
36,B,A,A,0,0,0,0.1172,0.9883
37,B,B,E,1,0,1,0.1094,0.6719
38,B,A,B,0,1,1,0.1016,0.1562
39,A,F,A,0,1,1,0.0156,2.0391
40,B,B,B,1,1,0,0.3281,0.3906
41,E,A,A,0,0,0,0.0312,0.6289
42,E,A,A,0,0,0,0.5781,0.1406
43,A,A,A,1,1,0,0.3438,1.8047
44,D,D,D,1,1,0,0.3359,1.0039
45,F,A,A,0,0,0,0.2266,0.375
46,C,A,A,0,0,0,0.0859,0.1094
47,E,B,B,0,0,0,0.1406,0.6641
48,F,F,A,1,0,1,1.1895,0.6016
49,B,A,A,0,0,0,0.5938,1.3086
50,E,E,E,1,1,0,0.3438,1.8008
