model,task,category,avg_signed_acc_drop,avg_abs_acc_drop,avg_flip_rate,avg_sensitivity_score,avg_semantic_distance
llama3.1-8b-instruct,mnli,lexical,-7.223,9.223,0.2644,3.007,0.2051
llama3.1-8b-instruct,mnli,structural,-13.33,13.33,0.4,5.333,0.0
llama3.1-8b-instruct,mnli,contextual,-0.5,0.5,0.185,0.145,0.048643
llama3.1-8b-instruct,mnli,formatting,-1.335,6.335,0.1,0.633,0.0
llama3.1-8b-instruct,mnli,rewrite,-16.33,16.33,0.3867,6.316,0.148178
llama3.1-8b-instruct,bbh_date,lexical,1.333,2.4,0.1053,0.396,0.212004
llama3.1-8b-instruct,bbh_date,structural,3.2,3.2,0.26,0.832,0.0
llama3.1-8b-instruct,bbh_date,contextual,0.4,0.4,0.09,0.036,0.395367
llama3.1-8b-instruct,bbh_date,formatting,2.6,2.6,0.192,0.502,0.0
llama3.1-8b-instruct,bbh_date,rewrite,4.4,4.4,0.22,0.968,0.497741
llama3.1-8b-instruct,arc,lexical,3.003,3.003,0.0567,0.291,0.290626
llama3.1-8b-instruct,arc,structural,2.67,2.67,0.09,0.24,0.0
llama3.1-8b-instruct,arc,contextual,0.0,0.33,0.0417,0.014,0.39217
llama3.1-8b-instruct,arc,formatting,1.0,1.0,0.0567,0.057,0.0
llama3.1-8b-instruct,arc,rewrite,0.0,0.0,0.0433,0.0,0.338404
gemma2-9b-it,mnli,lexical,-0.333,1.22,0.1833,0.3,0.2051
gemma2-9b-it,mnli,structural,-13.33,13.33,0.2967,3.956,0.0
gemma2-9b-it,mnli,contextual,2.335,3.665,0.1,0.476,0.048643
gemma2-9b-it,mnli,formatting,2.0,2.0,0.0883,0.232,0.0
gemma2-9b-it,mnli,rewrite,-3.33,3.33,0.27,0.9,0.148178
gemma2-9b-it,bbh_date,lexical,0.0,0.267,0.02,0.003,0.212004
gemma2-9b-it,bbh_date,structural,1.6,1.6,0.112,0.179,0.0
gemma2-9b-it,bbh_date,contextual,-1.0,1.0,0.038,0.052,0.395367
gemma2-9b-it,bbh_date,formatting,0.0,0.4,0.056,0.022,0.0
gemma2-9b-it,bbh_date,rewrite,-0.8,0.8,0.104,0.083,0.497741
gemma2-9b-it,arc,lexical,0.11,0.33,0.01,0.003,0.290626
gemma2-9b-it,arc,structural,-0.67,0.67,0.0133,0.009,0.0
gemma2-9b-it,arc,contextual,0.17,0.5,0.015,0.007,0.39217
gemma2-9b-it,arc,formatting,0.5,0.5,0.0183,0.012,0.0
gemma2-9b-it,arc,rewrite,-1.0,1.0,0.0167,0.017,0.338404
qwen2.5-7b-instruct,mnli,lexical,-2.663,2.663,0.1067,0.306,0.2051
qwen2.5-7b-instruct,mnli,structural,-2.33,2.33,0.1533,0.358,0.0
qwen2.5-7b-instruct,mnli,contextual,-0.835,0.835,0.0433,0.044,0.048643
qwen2.5-7b-instruct,mnli,formatting,-3.335,3.335,0.0883,0.295,0.0
qwen2.5-7b-instruct,mnli,rewrite,-5.33,5.33,0.1,0.533,0.148178
qwen2.5-7b-instruct,bbh_date,lexical,-0.8,1.067,0.036,0.041,0.212004
qwen2.5-7b-instruct,bbh_date,structural,-1.2,1.2,0.144,0.173,0.0
qwen2.5-7b-instruct,bbh_date,contextual,2.2,2.2,0.044,0.097,0.395367
qwen2.5-7b-instruct,bbh_date,formatting,1.2,1.6,0.082,0.191,0.0
qwen2.5-7b-instruct,bbh_date,rewrite,1.2,1.2,0.088,0.106,0.497741
qwen2.5-7b-instruct,arc,lexical,0.557,0.557,0.0122,0.008,0.290626
qwen2.5-7b-instruct,arc,structural,-0.67,0.67,0.0267,0.018,0.0
qwen2.5-7b-instruct,arc,contextual,-0.33,0.33,0.01,0.003,0.39217
qwen2.5-7b-instruct,arc,formatting,-0.165,0.835,0.0284,0.021,0.0
qwen2.5-7b-instruct,arc,rewrite,-0.33,0.33,0.0033,0.001,0.338404
