idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,4.2949,4.1104
1,A,A,A,1,1,0,1.0303,0.6094
2,B,A,A,0,0,0,0.6719,0.5781
3,E,E,E,1,1,0,0.5312,0.5469
4,B,B,B,1,1,0,0.937,1.1416
5,B,A,A,0,0,0,1.9688,2.0635
6,A,A,A,1,1,0,0.4375,0.4219
7,B,C,C,0,0,0,2.9685,2.3901
8,D,D,D,1,1,0,4.186,4.2808
9,B,A,A,0,0,0,0.2656,0.375
10,C,A,A,0,0,0,0.4844,0.5625
11,B,D,B,0,1,1,0.1094,0.0156
12,E,A,A,0,0,0,0.1562,0.0781
13,B,C,C,0,0,0,1.6553,1.75
14,B,B,B,1,1,0,0.4219,0.2656
15,D,D,D,1,1,0,3.0488,3.001
16,E,E,E,1,1,0,1.5464,1.4375
17,A,E,E,0,0,0,1.2969,1.4678
18,C,A,C,0,1,1,0.1562,0.0625
19,E,E,E,1,1,0,1.6406,1.7192
20,B,B,B,1,1,0,2.2949,2.2676
21,B,A,A,0,0,0,3.6709,3.5317
22,D,D,D,1,1,0,0.0625,0.2197
23,C,C,C,1,1,0,3.2817,2.8589
24,A,F,F,0,0,0,3.0938,2.9512
25,D,A,A,0,0,0,1.5933,1.3755
26,F,F,F,1,1,0,2.3604,2.6875
27,B,E,E,0,0,0,0.3896,0.4062
28,F,C,C,0,0,0,1.1562,1.1104
29,D,D,D,1,1,0,0.2344,0.1562
30,E,F,F,0,0,0,6.7656,7.1572
31,C,A,A,0,0,0,1.0938,1.126
32,B,C,C,0,0,0,0.9062,0.8281
33,F,A,A,0,0,0,0.8584,0.6729
34,D,D,D,1,1,0,4.1099,4.2034
35,D,A,A,0,0,0,1.4375,1.2969
36,B,D,D,0,0,0,0.2344,0.1709
37,B,A,A,0,0,0,1.1562,0.9688
38,B,A,A,0,0,0,0.0781,0.0
39,A,A,A,1,1,0,3.3906,3.3418
40,B,A,A,0,0,0,1.2959,1.0615
41,E,B,B,0,0,0,0.1406,0.1562
42,E,E,E,1,1,0,1.0479,1.0938
43,A,E,E,0,0,0,0.7979,0.8906
44,D,D,D,1,1,0,2.5161,2.3428
45,F,B,B,0,0,0,0.25,0.4541
46,C,A,A,0,0,0,0.9219,0.4375
47,E,D,E,0,1,1,0.0156,0.0469
48,F,F,F,1,1,0,0.0312,0.3281
49,B,D,D,0,0,0,0.9229,0.9678
50,E,E,E,1,1,0,1.2349,1.5464
51,D,D,D,1,1,0,3.2649,2.6716
52,D,D,D,1,1,0,1.0146,1.0928
53,B,A,A,0,0,0,0.8594,0.6562
54,A,A,A,1,1,0,10.8398,10.1875
55,C,D,B,0,0,1,0.2812,0.0781
56,A,A,A,1,1,0,5.8115,5.6719
57,A,A,A,1,1,0,0.249,0.1562
58,F,A,A,0,0,0,0.3594,0.4365
59,D,D,D,1,1,0,2.0791,2.001
60,E,E,E,1,1,0,8.5923,8.7061
61,B,B,B,1,1,0,0.7031,0.9375
62,D,D,D,1,1,0,0.1875,0.1875
63,E,C,C,0,0,0,12.5927,12.4986
64,D,D,D,1,1,0,0.3438,0.5625
65,B,C,C,0,0,0,1.0938,1.1719
66,A,F,F,0,0,0,2.2031,2.3125
67,C,A,A,0,0,0,1.6895,1.4531
68,E,E,E,1,1,0,0.75,0.75
69,F,F,F,1,1,0,1.2188,1.374
70,A,A,A,1,1,0,7.3882,6.6084
71,F,F,F,1,1,0,1.7344,2.0479
72,F,A,A,0,0,0,2.0,1.625
73,D,D,D,1,1,0,0.7021,0.8594
74,C,C,C,1,1,0,1.5632,1.5312
75,E,E,E,1,1,0,2.9238,3.0469
76,A,C,C,0,0,0,0.0625,0.1562
77,E,E,E,1,1,0,0.0625,0.2188
78,F,F,F,1,1,0,1.751,2.0928
79,A,B,B,0,0,0,0.3594,0.5469
80,E,E,E,1,1,0,2.0479,2.0
81,E,E,E,1,1,0,5.9858,6.3589
82,B,B,B,1,1,0,6.7021,6.4368
83,B,E,E,0,0,0,1.3438,1.1416
84,A,A,A,1,1,0,3.937,4.186
85,C,A,A,0,0,0,1.9219,2.1406
86,E,E,E,1,1,0,2.2334,2.7026
87,A,A,A,1,1,0,11.5173,10.826
88,B,C,C,0,0,0,0.5156,0.7188
89,A,A,A,1,1,0,1.624,1.9683
90,C,D,D,0,0,0,0.1094,0.2656
91,D,D,D,1,1,0,0.812,0.9688
92,E,F,F,0,0,0,6.7031,6.5762
93,C,B,B,0,0,0,0.6875,0.7031
94,F,A,A,0,0,0,3.9861,3.6392
95,E,F,F,0,0,0,0.2812,0.2969
96,E,C,C,0,0,0,0.7495,0.8906
97,E,F,F,0,0,0,0.4688,0.4375
98,B,A,A,0,0,0,0.4062,0.3281
99,F,A,A,0,0,0,1.8438,1.8438
100,C,A,C,0,1,1,0.0312,0.0625
101,D,D,D,1,1,0,0.1875,0.0156
102,C,C,C,1,1,0,3.4216,3.2974
103,A,A,A,1,1,0,0.5312,0.2656
104,F,B,B,0,0,0,2.1875,2.1709
105,C,F,F,0,0,0,0.0938,0.2656
106,D,D,D,1,1,0,0.9062,0.875
107,B,B,B,1,1,0,5.8433,5.3105
108,F,C,C,0,0,0,0.2031,0.375
109,C,B,B,0,0,0,2.8596,2.8914
110,B,C,C,0,0,0,0.375,0.5781
111,D,E,E,0,0,0,0.5938,0.3906
112,D,D,D,1,1,0,2.5305,2.3904
113,F,B,B,0,0,0,0.5781,0.8438
114,E,F,F,0,0,0,1.625,1.8281
115,B,B,D,1,0,1,0.0781,0.4531
