idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.0664,1.9414
1,A,A,A,1,1,0,1.4453,1.4375
2,B,A,A,0,0,0,2.2422,2.1523
3,C,A,A,0,0,0,1.6328,1.4258
4,C,A,A,0,0,0,1.7773,1.7656
5,C,A,A,0,0,0,1.0703,1.418
6,A,A,A,1,1,0,1.3398,1.4258
7,B,A,A,0,0,0,1.6289,1.6211
8,C,A,A,0,0,0,1.4766,1.5156
9,B,A,A,0,0,0,1.9648,1.9141
10,B,A,A,0,0,0,1.6406,1.7227
11,C,A,A,0,0,0,1.7617,1.7031
12,C,A,A,0,0,0,1.7148,1.7031
13,B,A,A,0,0,0,1.6992,1.7227
14,B,A,A,0,0,0,1.5273,1.4727
15,C,A,A,0,0,0,1.5586,1.6133
16,B,A,A,0,0,0,1.8867,2.0977
17,C,A,A,0,0,0,1.8867,1.7656
18,A,A,A,1,1,0,1.5859,1.457
19,A,A,A,1,1,0,1.6406,1.7734
20,C,A,A,0,0,0,2.0781,2.1172
21,B,A,A,0,0,0,1.1172,1.1094
22,C,A,A,0,0,0,1.5234,1.543
23,C,A,A,0,0,0,2.2148,2.0977
24,C,A,A,0,0,0,1.2422,1.4531
25,B,A,A,0,0,0,1.5742,1.5195
26,C,A,A,0,0,0,1.8867,1.8164
27,C,A,A,0,0,0,2.1211,2.207
28,C,A,A,0,0,0,1.2617,1.4102
29,B,A,A,0,0,0,1.8125,1.9102
30,B,A,A,0,0,0,1.4336,1.4727
31,B,A,A,0,0,0,1.7578,1.9141
32,B,A,A,0,0,0,1.9844,1.9922
33,B,A,A,0,0,0,1.7305,1.75
34,A,A,A,1,1,0,1.6719,1.7109
35,C,A,A,0,0,0,1.1914,1.2188
36,A,A,A,1,1,0,1.4023,1.3398
37,B,A,A,0,0,0,1.1172,1.3906
38,C,A,A,0,0,0,1.793,1.832
39,C,A,A,0,0,0,1.8828,1.8789
40,A,A,A,1,1,0,1.6953,1.7656
41,B,A,A,0,0,0,1.5586,1.4375
42,B,A,A,0,0,0,2.2305,2.1641
43,A,A,A,1,1,0,1.793,1.6758
44,A,A,A,1,1,0,1.2109,1.4375
45,A,A,A,1,1,0,1.9922,1.9062
46,C,A,A,0,0,0,1.2891,1.4219
47,B,A,A,0,0,0,2.1367,2.1602
48,C,A,A,0,0,0,2.1562,2.2539
49,C,A,A,0,0,0,1.3672,1.5508
50,C,A,A,0,0,0,2.4609,2.3828
51,A,A,A,1,1,0,2.0352,2.0352
52,C,A,A,0,0,0,1.9258,1.8477
53,A,A,A,1,1,0,1.9961,2.0977
54,A,A,A,1,1,0,1.5625,1.7852
55,C,A,A,0,0,0,2.1133,1.8945
56,A,A,A,1,1,0,1.8008,2.3164
57,C,A,A,0,0,0,1.8555,1.9414
58,C,A,A,0,0,0,1.7305,1.7109
59,A,A,A,1,1,0,1.5547,1.5156
60,A,A,A,1,1,0,2.0273,2.1055
61,C,A,A,0,0,0,1.2891,1.3594
62,A,A,A,1,1,0,1.3672,1.3906
63,B,A,A,0,0,0,1.2461,1.3281
64,A,A,A,1,1,0,1.7305,1.7969
65,C,A,A,0,0,0,1.8672,1.8281
66,A,A,A,1,1,0,1.543,1.6094
67,C,A,A,0,0,0,2.168,2.125
68,B,A,A,0,0,0,0.9375,1.1445
69,A,A,A,1,1,0,1.7031,1.7578
70,B,A,A,0,0,0,1.9258,1.8945
71,B,A,A,0,0,0,1.9062,1.7227
72,C,A,A,0,0,0,2.0742,2.2109
73,A,A,A,1,1,0,1.2891,1.2773
74,B,A,A,0,0,0,1.1719,1.332
75,C,A,A,0,0,0,1.8164,1.7969
76,A,A,A,1,1,0,1.957,1.9453
77,A,A,A,1,1,0,1.7617,1.7969
78,B,A,A,0,0,0,1.1953,1.2188
79,A,A,A,1,1,0,1.6523,1.7539
80,C,A,A,0,0,0,1.9609,1.875
81,B,A,A,0,0,0,1.7266,1.8281
82,B,A,A,0,0,0,2.1445,2.1133
83,A,A,A,1,1,0,1.8516,1.9805
84,A,A,A,1,1,0,2.0391,2.0078
85,A,A,A,1,1,0,1.4023,1.4648
86,C,A,A,0,0,0,2.5898,2.3047
87,C,A,A,0,0,0,2.0234,2.0547
88,C,A,A,0,0,0,1.7773,1.7539
89,A,A,A,1,1,0,1.5391,2.0195
90,C,A,A,0,0,0,2.0938,1.9531
91,C,A,A,0,0,0,1.793,1.6562
92,A,A,A,1,1,0,1.9023,1.7578
93,A,A,A,1,1,0,2.0898,2.1133
94,A,A,A,1,1,0,1.8047,1.5938
95,A,A,A,1,1,0,1.125,0.793
96,A,A,A,1,1,0,1.7461,1.9844
97,B,A,A,0,0,0,1.9492,1.8477
98,C,A,A,0,0,0,1.5625,1.6562
99,A,A,A,1,1,0,2.0234,1.7852
100,C,A,A,0,0,0,1.4297,1.6133
101,A,A,A,1,1,0,1.9023,2.0078
102,A,A,A,1,1,0,1.957,2.0859
103,C,A,A,0,0,0,1.543,1.7852
104,C,A,A,0,0,0,0.9609,0.9219
105,B,A,A,0,0,0,1.6992,1.6602
106,B,A,A,0,0,0,1.2305,1.3477
107,B,A,A,0,0,0,1.4141,1.6562
108,C,A,A,0,0,0,1.8555,1.8633
109,B,A,A,0,0,0,1.7773,1.6562
110,A,A,A,1,1,0,1.0117,1.0
111,B,A,A,0,0,0,2.3633,2.4062
112,A,A,A,1,1,0,1.3555,1.4375
113,B,A,A,0,0,0,1.3398,1.4062
114,B,A,A,0,0,0,2.1875,2.3672
115,A,A,A,1,1,0,1.1914,1.375
116,C,A,A,0,0,0,1.5664,1.7344
117,A,A,A,1,1,0,2.0195,1.4844
118,A,A,A,1,1,0,1.6992,1.6445
119,A,A,A,1,1,0,1.8711,1.6914
120,B,A,A,0,0,0,1.0781,1.4375
121,C,A,A,0,0,0,1.7578,1.6914
122,B,A,A,0,0,0,2.1953,2.1719
123,C,A,A,0,0,0,1.8477,2.0234
124,B,A,A,0,0,0,1.5352,1.5586
125,A,A,A,1,1,0,2.3398,2.3281
126,B,A,A,0,0,0,2.0391,1.9766
127,C,A,A,0,0,0,1.8516,1.5938
128,A,A,A,1,1,0,2.0117,2.0469
129,B,A,A,0,0,0,1.8555,1.8203
130,C,A,A,0,0,0,1.9531,2.1016
131,B,A,A,0,0,0,1.793,1.9141
132,A,A,A,1,1,0,1.6055,1.75
133,C,A,A,0,0,0,1.543,1.6562
134,C,A,A,0,0,0,1.3281,1.4102
135,C,A,A,0,0,0,1.5742,1.5938
136,A,A,A,1,1,0,1.1953,1.6094
137,C,A,A,0,0,0,1.4609,1.4375
138,A,A,A,1,1,0,1.0664,0.9648
139,B,A,A,0,0,0,1.1562,1.4102
140,A,A,A,1,1,0,1.9453,2.082
141,A,A,A,1,1,0,1.9766,1.8164
142,B,A,A,0,0,0,1.8672,2.3008
143,B,A,A,0,0,0,2.1484,2.207
144,C,A,A,0,0,0,1.918,1.8281
145,C,A,A,0,0,0,1.4492,1.1836
146,A,A,A,1,1,0,2.2109,2.2031
147,C,A,A,0,0,0,1.9062,1.6602
148,B,A,A,0,0,0,1.4766,1.4531
149,A,A,A,1,1,0,1.8828,2.1172
150,C,A,A,0,0,0,1.7148,1.8164
151,B,A,A,0,0,0,1.5898,1.6992
152,C,A,A,0,0,0,1.9844,1.9414
153,B,A,A,0,0,0,0.9922,1.0625
154,C,A,A,0,0,0,1.3555,1.5312
155,B,A,A,0,0,0,1.6055,1.8008
156,C,A,A,0,0,0,1.8477,1.9531
157,A,A,A,1,1,0,1.6445,1.6211
158,B,A,A,0,0,0,1.6367,1.8008
159,A,A,A,1,1,0,1.3984,1.5664
160,C,A,A,0,0,0,1.6562,1.832
161,C,A,A,0,0,0,2.2383,2.3164
162,C,A,A,0,0,0,1.6445,1.5195
163,C,A,A,0,0,0,1.4453,1.6406
164,A,A,A,1,1,0,2.0586,2.0781
165,A,A,A,1,1,0,2.1875,2.2383
166,C,A,A,0,0,0,2.0938,1.9688
167,C,A,A,0,0,0,1.5352,1.4648
168,B,A,A,0,0,0,1.3594,1.5234
169,A,A,A,1,1,0,1.9492,2.2422
170,C,A,A,0,0,0,1.9219,1.9141
171,A,A,A,1,1,0,1.6719,1.7617
172,C,A,A,0,0,0,1.4023,1.4102
173,A,A,A,1,1,0,1.8672,1.8789
174,A,A,A,1,1,0,1.8789,1.8789
175,C,A,A,0,0,0,1.6836,1.8945
176,B,A,A,0,0,0,1.75,1.3594
177,A,A,A,1,1,0,1.2539,1.3711
178,B,A,A,0,0,0,1.3398,1.4297
179,B,A,A,0,0,0,1.4609,1.4531
180,C,A,A,0,0,0,1.4375,1.5039
181,A,A,A,1,1,0,1.5234,1.8359
182,B,A,A,0,0,0,1.3867,1.4062
183,A,A,A,1,1,0,2.0977,1.957
184,C,A,A,0,0,0,1.5156,1.7031
185,B,A,A,0,0,0,1.2266,1.3125
186,B,A,A,0,0,0,1.9492,2.0352
187,B,A,A,0,0,0,1.1797,1.5312
188,B,A,A,0,0,0,1.25,1.3984
189,B,A,A,0,0,0,1.6211,1.4922
190,B,A,A,0,0,0,1.6367,1.6328
191,A,A,A,1,1,0,2.0508,1.9375
192,B,A,A,0,0,0,1.2852,1.5
193,A,A,A,1,1,0,1.8516,1.7852
194,A,A,A,1,1,0,1.918,1.9258
195,B,A,A,0,0,0,1.4688,1.5703
196,B,A,A,0,0,0,1.8086,1.8789
197,C,A,A,0,0,0,1.7422,1.168
198,A,A,A,1,1,0,2.0781,2.2227
199,C,A,A,0,0,0,1.3047,1.3477
200,C,A,A,0,0,0,2.0703,2.1562
201,A,A,A,1,1,0,1.9453,1.875
202,B,A,A,0,0,0,1.9023,2.0039
203,A,A,A,1,1,0,1.2695,1.5078
204,B,A,A,0,0,0,1.1914,1.6797
205,C,A,A,0,0,0,1.6641,1.4375
206,B,A,A,0,0,0,1.2578,1.293
207,B,A,A,0,0,0,1.7734,1.7578
208,B,A,A,0,0,0,2.2734,2.3438
209,A,A,A,1,1,0,2.0117,2.1289
210,A,A,A,1,1,0,1.7734,1.9219
211,B,A,A,0,0,0,1.4023,1.3633
212,C,A,A,0,0,0,1.543,1.5195
213,B,A,A,0,0,0,1.8828,2.0547
214,B,A,A,0,0,0,2.1406,2.0312
215,A,A,A,1,1,0,1.1484,1.0625
216,A,A,A,1,1,0,1.8438,2.0039
217,A,A,A,1,1,0,2.1094,2.0195
218,A,A,A,1,1,0,1.5781,1.6133
219,B,A,A,0,0,0,1.6953,1.9102
220,B,A,A,0,0,0,1.8398,1.8359
221,C,A,A,0,0,0,1.3984,1.6562
222,B,A,A,0,0,0,2.0078,2.0547
223,B,A,A,0,0,0,1.1289,1.418
224,C,A,A,0,0,0,1.3398,1.457
225,B,A,A,0,0,0,1.8906,1.8516
226,A,A,A,1,1,0,1.7461,1.7031
227,A,A,A,1,1,0,1.1719,1.5469
228,A,A,A,1,1,0,2.0273,2.1875
229,A,A,A,1,1,0,1.9688,2.0234
230,B,A,A,0,0,0,1.9688,2.0508
231,B,A,A,0,0,0,1.9023,1.832
232,C,A,A,0,0,0,1.4961,1.2812
233,A,A,A,1,1,0,1.6758,1.6719
234,A,A,A,1,1,0,1.3945,1.3711
235,B,A,A,0,0,0,1.7734,1.75
236,C,A,A,0,0,0,1.3359,1.4844
237,B,A,A,0,0,0,1.293,1.4297
238,A,A,A,1,1,0,2.1055,2.1133
239,A,A,A,1,1,0,1.9492,2.0664
240,C,A,A,0,0,0,1.7969,1.9141
241,C,A,A,0,0,0,1.4492,1.5508
242,B,A,A,0,0,0,2.0117,2.0508
243,A,A,A,1,1,0,1.7109,1.7969
244,C,A,A,0,0,0,2.1836,2.1797
245,A,A,A,1,1,0,1.2734,1.3984
246,B,A,A,0,0,0,1.8867,1.9766
247,B,A,A,0,0,0,1.3008,1.6758
248,B,A,A,0,0,0,1.8867,1.7852
249,C,A,A,0,0,0,1.9766,1.8086
250,B,A,A,0,0,0,1.4766,1.5352
251,A,A,A,1,1,0,1.8242,2.0039
252,A,A,A,1,1,0,1.4297,1.4844
253,B,A,A,0,0,0,1.8906,2.0195
254,B,A,A,0,0,0,1.5312,1.5469
255,C,A,A,0,0,0,1.7148,1.5469
256,A,A,A,1,1,0,2.3203,1.9922
257,B,A,A,0,0,0,1.9844,2.1172
258,C,A,A,0,0,0,1.5391,1.707
259,C,A,A,0,0,0,1.8555,2.082
260,C,A,A,0,0,0,2.1719,2.2305
261,A,A,A,1,1,0,1.6172,1.6875
262,C,A,A,0,0,0,1.207,1.3594
263,C,A,A,0,0,0,1.2656,1.1445
264,B,A,A,0,0,0,2.0391,2.1328
265,B,A,A,0,0,0,0.9844,1.2617
266,C,A,A,0,0,0,1.9648,2.0078
267,A,A,A,1,1,0,1.168,1.3281
268,A,A,A,1,1,0,1.5898,1.6641
269,B,A,A,0,0,0,1.7812,1.7852
270,A,A,A,1,1,0,2.3164,2.1641
271,B,A,A,0,0,0,1.8867,1.7227
272,A,A,A,1,1,0,1.5273,1.5508
273,A,A,A,1,1,0,2.1523,1.9883
274,B,A,A,0,0,0,1.5859,1.9102
275,A,A,A,1,1,0,2.0938,2.0391
276,A,A,A,1,1,0,1.7773,1.7031
277,C,A,A,0,0,0,2.0156,2.1289
278,C,A,A,0,0,0,1.4062,1.1367
279,B,A,A,0,0,0,1.1172,1.0
280,C,A,A,0,0,0,1.0195,1.375
281,C,A,A,0,0,0,1.8086,1.7383
282,B,A,A,0,0,0,1.6367,1.6133
283,C,A,A,0,0,0,1.1797,1.1875
284,C,A,A,0,0,0,1.7461,1.7969
285,C,A,A,0,0,0,1.9219,1.957
286,B,A,A,0,0,0,1.9531,1.8906
287,C,A,A,0,0,0,1.9219,2.0859
288,B,A,A,0,0,0,1.8906,1.9414
289,B,A,A,0,0,0,0.9453,1.0273
290,A,A,A,1,1,0,0.9961,1.2344
291,C,A,A,0,0,0,1.6328,1.7812
292,A,A,A,1,1,0,1.5312,1.7227
293,A,A,A,1,1,0,1.3906,1.5547
294,C,A,A,0,0,0,1.668,1.7969
295,B,A,A,0,0,0,1.4375,1.5625
296,B,A,A,0,0,0,1.6875,1.7891
297,B,A,A,0,0,0,1.4375,1.625
298,C,A,A,0,0,0,1.957,1.957
299,A,A,A,1,1,0,1.5664,1.5391
