idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,1.8125,1.0625
1,C,C,C,1,1,0,1.7344,1.1172
2,D,A,A,0,0,0,0.3594,2.5391
3,B,D,D,0,0,0,0.8418,1.2344
4,B,B,B,1,1,0,1.127,0.5938
5,B,B,B,1,1,0,2.3281,1.5156
6,C,C,A,1,0,1,1.2188,0.0625
7,A,A,A,1,1,0,4.2051,4.4219
8,C,C,C,1,1,0,2.5488,1.25
9,C,C,C,1,1,0,3.3438,1.8613
10,C,C,C,1,1,0,2.3037,2.0322
11,B,B,B,1,1,0,4.1729,3.0918
12,C,C,C,1,1,0,1.6406,0.625
13,C,C,C,1,1,0,2.5859,1.3047
14,A,A,A,1,1,0,0.375,1.3828
15,A,A,A,1,1,0,1.8594,1.252
16,C,C,A,1,0,1,2.4688,3.5312
17,B,B,B,1,1,0,1.6074,1.9375
18,B,B,B,1,1,0,2.5312,0.9922
19,C,C,A,1,0,1,1.25,0.2578
20,A,A,A,1,1,0,2.5859,4.2793
21,B,B,B,1,1,0,1.7422,0.5703
22,A,A,A,1,1,0,3.0391,2.9043
23,D,D,D,1,1,0,2.8281,0.625
24,D,D,D,1,1,0,1.8438,0.6562
25,A,A,A,1,1,0,3.7363,3.6016
26,C,C,C,1,1,0,2.3135,0.6719
27,B,B,B,1,1,0,0.1641,0.2188
28,B,B,B,1,1,0,1.4355,0.4375
29,C,C,C,1,1,0,2.5996,1.1562
30,C,C,C,1,1,0,2.6387,1.2344
31,A,A,A,1,1,0,2.3906,2.2969
32,D,C,A,0,0,1,0.3516,2.0176
33,B,B,B,1,1,0,1.3828,1.375
34,C,C,C,1,1,0,2.6465,1.0703
35,B,C,C,0,0,0,1.8574,0.4082
36,D,D,D,1,1,0,1.2969,0.3828
37,B,B,A,1,0,1,0.5,3.4688
38,D,D,A,1,0,1,0.4238,0.8906
39,C,C,A,1,0,1,0.6875,0.4688
40,D,C,D,0,1,1,0.0625,0.6406
41,C,C,C,1,1,0,2.0762,0.3594
42,C,C,C,1,1,0,2.3613,1.625
43,C,C,C,1,1,0,1.7969,2.0
44,B,B,B,1,1,0,3.1543,2.5801
45,A,A,A,1,1,0,1.1875,1.3105
46,C,C,C,1,1,0,3.127,1.6641
47,A,A,A,1,1,0,1.5449,1.9668
48,D,D,D,1,1,0,1.2031,1.3438
49,D,A,D,0,1,1,0.1094,0.2031
50,B,A,A,0,0,0,1.0703,2.6797
51,D,D,A,1,0,1,1.5781,0.2969
52,A,A,A,1,1,0,3.0156,3.1426
53,A,A,A,1,1,0,0.5469,0.0469
54,A,A,A,1,1,0,0.1328,1.1699
55,B,B,B,1,1,0,2.1426,2.2676
56,C,D,D,0,0,0,1.6406,1.1719
57,B,B,B,1,1,0,2.4443,0.209
58,B,B,B,1,1,0,2.5234,1.2656
59,D,D,D,1,1,0,1.4297,0.1875
60,B,B,B,1,1,0,1.8848,1.998
61,B,B,B,1,1,0,0.7109,0.1406
62,C,C,C,1,1,0,3.9531,2.6182
63,C,C,C,1,1,0,1.9082,0.2656
64,B,B,B,1,1,0,2.248,1.9375
65,C,C,C,1,1,0,3.0293,1.5156
66,B,B,A,1,0,1,0.2422,0.0625
67,C,C,C,1,1,0,1.1406,1.1562
68,A,A,A,1,1,0,2.6348,2.7969
69,D,D,D,1,1,0,1.6699,0.8301
70,C,C,C,1,1,0,3.6875,2.25
71,C,C,C,1,1,0,2.4355,1.5469
72,A,A,A,1,1,0,1.5645,2.1719
73,D,D,D,1,1,0,2.6738,1.0625
74,A,A,A,1,1,0,0.5156,3.1797
75,C,C,A,1,0,1,0.0312,0.7969
76,D,D,D,1,1,0,1.6484,0.8906
77,A,A,A,1,1,0,0.7031,0.8203
78,B,B,B,1,1,0,2.2422,1.6094
79,D,D,D,1,1,0,0.7344,0.5391
80,B,C,B,0,1,1,0.498,0.0625
81,A,A,A,1,1,0,3.0938,3.6035
82,A,A,A,1,1,0,1.9453,3.0078
83,B,B,A,1,0,1,0.375,3.3105
84,C,C,C,1,1,0,2.0488,0.625
85,C,C,C,1,1,0,2.8438,1.7812
86,A,A,A,1,1,0,2.1074,2.4609
87,C,C,C,1,1,0,1.9766,0.9512
88,D,D,D,1,1,0,0.0938,0.2656
89,C,C,C,1,1,0,2.2812,1.0781
90,D,D,A,1,0,1,0.8438,1.252
91,A,A,A,1,1,0,1.3906,1.0156
92,D,D,A,1,0,1,0.2344,1.7109
93,A,A,A,1,1,0,2.0176,2.9355
94,A,A,A,1,1,0,1.0156,2.3926
95,D,D,D,1,1,0,1.1406,1.3457
96,A,A,A,1,1,0,1.1074,1.8418
97,A,A,A,1,1,0,2.4238,3.1953
98,B,A,A,0,0,0,0.1328,3.8203
99,C,C,C,1,1,0,0.7324,0.3203
100,A,A,A,1,1,0,0.7734,0.9609
101,D,C,C,0,0,0,1.0312,0.1328
102,B,B,B,1,1,0,1.4199,1.5938
103,D,D,D,1,1,0,2.8027,1.3438
104,B,B,A,1,0,1,1.2578,0.5
105,C,C,C,1,1,0,2.7441,0.5234
106,B,B,B,1,1,0,2.2344,0.9453
107,A,A,A,1,1,0,1.6895,2.1152
108,B,C,A,0,0,1,0.3887,0.6621
109,C,C,C,1,1,0,2.6582,1.2969
110,D,D,D,1,1,0,1.5332,0.9062
111,A,A,A,1,1,0,1.5938,3.2754
112,B,A,A,0,0,0,0.1094,1.1953
113,D,D,D,1,1,0,1.041,0.6406
114,D,D,D,1,1,0,2.7324,1.7188
115,D,D,A,1,0,1,1.1582,0.5781
116,B,B,A,1,0,1,2.3203,0.0469
117,A,A,A,1,1,0,2.9375,3.1074
118,C,C,C,1,1,0,2.6562,0.9688
119,A,A,A,1,1,0,2.5488,2.4062
120,A,A,A,1,1,0,1.0625,0.7324
121,B,A,A,0,0,0,0.3125,3.5312
122,C,C,C,1,1,0,3.123,2.5781
123,A,A,A,1,1,0,3.791,4.2812
124,B,C,A,0,0,1,0.0781,1.5
125,C,C,C,1,1,0,2.9688,1.5645
126,A,A,A,1,1,0,0.1719,0.5156
127,C,C,C,1,1,0,2.3613,1.4512
128,B,B,B,1,1,0,2.5957,2.0
129,D,C,C,0,0,0,1.2812,0.0156
130,D,D,A,1,0,1,0.2734,1.4082
131,A,A,A,1,1,0,3.1543,3.8438
132,D,D,A,1,0,1,1.3906,1.2324
133,C,C,C,1,1,0,1.0312,0.3281
134,C,C,C,1,1,0,2.1406,1.9072
135,C,C,C,1,1,0,1.9941,0.8047
136,C,C,C,1,1,0,2.8613,0.8887
137,D,D,D,1,1,0,2.5469,0.5156
138,A,A,A,1,1,0,2.1855,3.0957
139,C,A,A,0,0,0,1.1387,3.1719
140,A,A,A,1,1,0,1.9922,3.0938
141,A,A,A,1,1,0,2.4844,2.0098
142,D,D,A,1,0,1,0.7969,0.2344
143,D,D,D,1,1,0,1.5938,1.0156
144,A,A,A,1,1,0,3.1426,3.2832
145,D,D,D,1,1,0,0.3672,0.7344
146,D,D,D,1,1,0,2.9668,2.2656
147,D,D,D,1,1,0,1.1719,0.25
148,B,B,B,1,1,0,1.5488,0.9062
149,A,A,A,1,1,0,2.4062,3.1738
150,A,A,A,1,1,0,0.8574,1.7363
151,A,C,A,0,1,1,0.1094,1.8828
152,D,D,D,1,1,0,1.5137,0.2344
153,B,D,A,0,0,1,0.0781,2.166
154,B,B,B,1,1,0,2.4219,1.5
155,B,A,A,0,0,0,2.1641,3.5625
156,D,D,A,1,0,1,0.1719,2.1016
157,D,D,A,1,0,1,0.2656,1.2188
158,B,B,B,1,1,0,2.0625,1.3906
159,A,A,A,1,1,0,2.3203,2.5547
160,A,A,A,1,1,0,2.6406,4.1855
161,B,B,A,1,0,1,1.1406,0.1953
162,D,D,A,1,0,1,1.0312,0.0469
163,C,C,A,1,0,1,1.7812,1.7734
164,B,B,B,1,1,0,0.7188,1.2422
165,C,D,A,0,0,1,0.8125,0.1562
166,A,D,A,0,1,1,0.0469,0.0312
167,D,D,A,1,0,1,0.4219,0.0781
168,C,C,C,1,1,0,1.6582,0.9375
169,A,A,A,1,1,0,3.0137,4.1719
170,C,C,C,1,1,0,2.0469,1.3926
171,B,B,B,1,1,0,2.1699,1.5938
172,A,A,A,1,1,0,1.0938,0.6562
173,B,B,A,1,0,1,0.3496,0.5469
174,B,B,B,1,1,0,1.0293,0.75
175,B,B,B,1,1,0,1.6719,0.7031
176,C,C,C,1,1,0,1.7109,1.2812
177,C,C,C,1,1,0,2.6094,0.8281
178,B,B,B,1,1,0,1.9355,0.7188
179,B,C,A,0,0,1,0.125,1.6562
180,B,B,A,1,0,1,0.4375,0.0156
181,B,B,B,1,1,0,0.8145,0.2812
182,B,A,A,0,0,0,0.5078,1.6543
183,C,C,C,1,1,0,0.9062,0.1562
184,D,B,A,0,0,1,0.875,1.0938
185,B,B,A,1,0,1,0.1641,3.0645
186,C,A,A,0,0,0,1.2188,1.1426
187,D,D,D,1,1,0,2.4453,0.7891
188,D,A,A,0,0,0,1.0,1.1426
189,D,D,D,1,1,0,0.9375,0.9629
190,D,D,D,1,1,0,1.5625,0.8047
191,B,B,B,1,1,0,0.9863,0.625
192,B,B,B,1,1,0,2.8291,2.2646
193,C,C,B,1,0,1,0.3125,0.0469
194,D,C,B,0,0,1,0.2031,0.2812
195,C,C,C,1,1,0,2.498,1.5781
196,A,A,A,1,1,0,2.3906,2.8359
197,A,A,A,1,1,0,3.3418,4.6338
198,B,A,B,0,1,1,0.0156,0.125
199,B,B,A,1,0,1,1.8145,0.4219
200,C,C,C,1,1,0,1.9219,0.6406
201,C,C,A,1,0,1,1.7422,0.4219
202,C,A,A,0,0,0,0.0879,1.6016
203,A,A,A,1,1,0,1.502,2.4531
204,C,C,C,1,1,0,3.2637,0.0859
205,A,A,A,1,1,0,1.75,2.1777
206,D,D,A,1,0,1,2.0312,1.0449
207,B,B,B,1,1,0,2.877,1.9688
208,D,D,D,1,1,0,0.7871,0.8438
209,D,D,D,1,1,0,2.2812,1.1094
210,B,A,A,0,0,0,0.3984,1.0605
211,D,D,D,1,1,0,1.2734,0.0234
212,B,B,B,1,1,0,2.3438,0.2109
213,C,C,A,1,0,1,1.4219,0.125
214,C,C,C,1,1,0,1.498,0.3281
215,D,D,A,1,0,1,0.5859,0.1094
216,D,C,A,0,0,1,0.5,2.4297
217,D,D,D,1,1,0,1.7676,0.7344
218,C,C,C,1,1,0,3.0488,2.5137
219,D,D,D,1,1,0,2.4512,0.1543
220,A,A,A,1,1,0,2.6641,4.1465
221,A,A,A,1,1,0,2.4551,2.125
222,D,D,D,1,1,0,2.373,1.6699
223,A,A,A,1,1,0,2.2344,3.4141
224,A,A,A,1,1,0,1.75,3.2344
225,A,C,A,0,1,1,0.6387,1.3672
226,A,A,A,1,1,0,4.2188,4.0449
227,D,D,D,1,1,0,1.6328,1.7422
228,B,B,A,1,0,1,1.9062,0.1875
229,B,D,D,0,0,0,1.4375,0.3281
230,C,C,C,1,1,0,2.9512,0.5156
231,C,C,A,1,0,1,0.9824,1.9141
232,A,A,A,1,1,0,0.6484,1.5859
233,C,A,A,0,0,0,0.375,2.4004
234,B,B,B,1,1,0,0.4316,0.2812
235,B,B,B,1,1,0,2.5156,1.252
236,B,B,A,1,0,1,1.8613,0.9922
237,B,B,B,1,1,0,0.125,0.8984
238,A,A,A,1,1,0,2.1543,1.2188
239,C,C,C,1,1,0,1.7578,1.4131
240,D,D,A,1,0,1,0.6641,0.0078
241,B,D,A,0,0,1,0.8965,0.75
242,A,A,A,1,1,0,4.002,3.7012
243,A,A,A,1,1,0,2.6094,1.8809
244,C,C,C,1,1,0,1.9199,0.5703
245,B,B,A,1,0,1,0.5254,0.6641
246,D,D,D,1,1,0,0.1875,0.4219
247,D,D,D,1,1,0,1.5312,0.3125
248,C,C,C,1,1,0,2.4355,1.6406
249,B,B,A,1,0,1,1.5469,1.2949
250,B,B,B,1,1,0,1.6875,0.5469
251,C,C,C,1,1,0,0.7891,0.5078
252,C,C,C,1,1,0,0.5391,0.3672
253,D,A,A,0,0,0,0.3125,1.709
254,A,A,A,1,1,0,1.6543,1.6094
255,A,A,A,1,1,0,3.3105,2.5312
256,D,B,B,0,0,0,1.3438,0.6875
257,D,D,D,1,1,0,2.1641,0.8125
258,B,D,D,0,0,0,0.3438,0.3906
259,D,C,B,0,0,1,0.0938,0.0156
260,B,B,A,1,0,1,0.1094,0.6797
261,D,D,D,1,1,0,1.998,0.5547
262,B,B,B,1,1,0,0.5781,1.0156
263,C,C,C,1,1,0,1.7344,1.7188
264,B,B,B,1,1,0,0.7188,0.3438
265,A,A,A,1,1,0,3.1875,2.7324
266,C,C,C,1,1,0,1.9375,1.5176
267,B,B,B,1,1,0,1.6094,0.9297
268,A,A,A,1,1,0,2.3496,2.5488
269,A,A,A,1,1,0,1.0703,1.5
270,A,A,A,1,1,0,1.5938,1.125
271,B,B,A,1,0,1,0.2031,0.4766
272,C,A,A,0,0,0,0.3203,2.4844
273,C,C,A,1,0,1,0.3203,1.4375
274,C,C,C,1,1,0,2.3574,0.8125
275,A,A,A,1,1,0,1.7656,1.7891
276,A,A,A,1,1,0,1.8125,2.1953
277,A,A,A,1,1,0,2.4922,3.4688
278,D,D,A,1,0,1,0.6172,0.9531
279,D,D,D,1,1,0,2.1875,1.6855
280,B,B,B,1,1,0,1.2656,1.1094
281,D,D,A,1,0,1,0.8125,1.4688
282,C,C,C,1,1,0,1.6406,1.6729
283,C,C,A,1,0,1,2.0605,0.6719
284,A,A,A,1,1,0,2.9316,2.6406
285,D,D,A,1,0,1,0.1562,1.248
286,C,B,B,0,0,0,0.4688,0.4668
287,D,D,A,1,0,1,0.5781,0.5156
