idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.7266,1.1328
1,A,A,A,1,1,0,1.5625,1.1562
2,B,A,A,0,0,0,1.9219,1.2188
3,C,A,A,0,0,0,0.9609,0.5703
4,C,A,A,0,0,0,0.8828,0.2422
5,C,A,A,0,0,0,1.1328,0.6719
6,A,A,A,1,1,0,1.3594,1.2031
7,B,A,A,0,0,0,0.875,0.3281
8,C,A,A,0,0,0,1.4141,0.8828
9,B,A,A,0,0,0,1.6953,1.2188
10,B,A,A,0,0,0,1.1719,0.6328
11,C,A,A,0,0,0,1.1484,0.4531
12,C,A,A,0,0,0,1.5547,1.3516
13,B,A,A,0,0,0,1.5781,1.3281
14,B,A,A,0,0,0,1.5469,1.1328
15,C,A,A,0,0,0,0.5078,0.4531
16,B,A,A,0,0,0,1.2734,1.0078
17,C,A,A,0,0,0,1.0391,0.5625
18,A,A,A,1,1,0,1.4297,0.8047
19,A,A,A,1,1,0,1.4844,0.9062
20,C,A,A,0,0,0,1.5859,1.2031
21,B,A,A,0,0,0,1.1484,1.0547
22,C,A,A,0,0,0,1.125,0.7891
23,C,A,A,0,0,0,1.6484,1.4375
24,C,A,A,0,0,0,1.1641,0.7266
25,B,A,A,0,0,0,0.9141,0.375
26,C,A,A,0,0,0,1.4219,0.75
27,C,A,A,0,0,0,1.9922,1.3594
28,C,A,A,0,0,0,0.9844,0.2422
29,B,A,A,0,0,0,1.4844,0.8984
30,B,A,A,0,0,0,1.0938,0.8984
31,B,A,A,0,0,0,1.3281,0.7969
32,B,A,A,0,0,0,1.9375,1.1406
33,B,A,A,0,0,0,1.4766,1.2734
34,A,A,A,1,1,0,1.2109,1.2109
35,C,A,A,0,0,0,1.0625,0.8203
36,A,A,A,1,1,0,1.0156,0.9766
37,B,A,A,0,0,0,0.9062,0.5859
38,C,A,A,0,0,0,1.1562,0.8047
39,C,A,A,0,0,0,1.4531,0.8438
40,A,A,A,1,1,0,1.1328,0.8281
41,B,A,A,0,0,0,1.0078,0.7031
42,B,A,A,0,0,0,1.1953,0.8516
43,A,A,A,1,1,0,1.4219,1.4375
44,A,A,A,1,1,0,0.9219,0.6484
45,A,A,A,1,1,0,1.5156,0.875
46,C,A,A,0,0,0,0.9141,0.7891
47,B,A,A,0,0,0,1.4688,0.5391
48,C,A,A,0,0,0,1.9766,1.0078
49,C,A,A,0,0,0,1.1484,0.6328
50,C,A,A,0,0,0,1.8828,1.0
51,A,A,A,1,1,0,1.3047,0.9922
52,C,A,A,0,0,0,1.7656,1.2891
53,A,A,A,1,1,0,1.2344,0.8984
54,A,A,A,1,1,0,1.0078,1.125
55,C,A,A,0,0,0,1.625,1.0781
56,A,A,A,1,1,0,1.2812,1.0156
57,C,A,A,0,0,0,1.3438,0.9297
58,C,A,A,0,0,0,1.4922,0.7969
59,A,A,A,1,1,0,1.0938,0.5547
60,A,A,A,1,1,0,1.6406,0.8984
61,C,A,A,0,0,0,0.8281,0.6953
62,A,A,A,1,1,0,1.1484,1.1172
63,B,A,A,0,0,0,0.9766,0.2422
64,A,A,A,1,1,0,1.5469,0.9531
65,C,A,A,0,0,0,1.5391,0.9922
66,A,A,A,1,1,0,1.25,1.3516
67,C,A,A,0,0,0,1.9062,1.5547
68,B,A,A,0,0,0,0.6172,0.6094
69,A,A,A,1,1,0,1.5,0.7969
70,B,A,A,0,0,0,1.5,0.8984
71,B,A,A,0,0,0,1.625,0.8984
72,C,A,A,0,0,0,1.7734,0.9375
73,A,A,A,1,1,0,1.1328,0.7344
74,B,A,A,0,0,0,1.0469,0.9375
75,C,A,A,0,0,0,1.4844,0.6172
76,A,A,A,1,1,0,1.2266,0.8438
77,A,A,A,1,1,0,1.5938,0.7656
78,B,A,A,0,0,0,0.6641,0.4297
79,A,A,A,1,1,0,2.0391,1.3984
80,C,A,A,0,0,0,0.9453,0.8047
81,B,A,A,0,0,0,1.2969,0.3516
82,B,A,A,0,0,0,1.2422,0.4531
83,A,A,A,1,1,0,0.8203,0.6484
84,A,A,A,1,1,0,1.9297,1.1406
85,A,A,A,1,1,0,1.2969,0.9531
86,C,A,A,0,0,0,1.4766,1.0781
87,C,A,A,0,0,0,1.9922,1.1406
88,C,A,A,0,0,0,1.2656,0.9766
89,A,A,A,1,1,0,1.0703,0.4141
90,C,A,A,0,0,0,1.6484,0.6016
91,C,A,A,0,0,0,1.1719,1.0625
92,A,A,A,1,1,0,1.7109,0.9219
93,A,A,A,1,1,0,1.9141,1.3672
94,A,A,A,1,1,0,1.6172,0.9609
95,A,A,A,1,1,0,1.375,1.1641
96,A,A,A,1,1,0,1.3359,1.0781
97,B,A,A,0,0,0,1.1875,1.2422
98,C,A,A,0,0,0,1.0547,0.6016
99,A,A,A,1,1,0,1.4453,0.8047
100,C,A,A,0,0,0,0.8594,0.4141
101,A,A,A,1,1,0,1.6562,0.9609
102,A,A,A,1,1,0,0.8281,0.7812
103,C,A,A,0,0,0,1.3438,0.7812
104,C,A,A,0,0,0,1.0156,0.8281
105,B,A,A,0,0,0,1.5391,1.1172
106,B,A,A,0,0,0,1.5,1.0156
107,B,A,A,0,0,0,0.7891,0.6094
108,C,A,A,0,0,0,1.3359,0.7031
109,B,A,A,0,0,0,1.5156,0.5
110,A,A,A,1,1,0,1.2188,1.2969
111,B,A,A,0,0,0,1.7656,1.2109
112,A,A,A,1,1,0,1.2969,0.7109
113,B,A,A,0,0,0,0.9375,0.7891
114,B,A,A,0,0,0,0.9766,0.6172
115,A,A,A,1,1,0,1.0,0.8828
116,C,A,A,0,0,0,1.6953,1.1719
117,A,A,A,1,1,0,1.5703,0.9844
118,A,A,A,1,1,0,1.4922,0.7656
119,A,A,A,1,1,0,1.1953,0.6016
120,B,A,A,0,0,0,0.5859,0.6562
121,C,A,A,0,0,0,1.6875,1.0312
122,B,A,A,0,0,0,1.6719,0.9922
123,C,A,A,0,0,0,1.7969,0.9375
124,B,A,A,0,0,0,1.1016,0.4688
125,A,A,A,1,1,0,1.5938,0.8203
126,B,A,A,0,0,0,1.4922,0.6484
127,C,A,A,0,0,0,1.4531,1.1641
128,A,A,A,1,1,0,1.9609,1.0938
129,B,A,A,0,0,0,1.2656,0.2734
130,C,A,A,0,0,0,1.8906,1.2422
131,B,A,A,0,0,0,0.9766,0.4922
132,A,A,A,1,1,0,0.8438,0.5469
133,C,A,A,0,0,0,1.0078,0.8984
134,C,A,A,0,0,0,1.375,1.25
135,C,A,A,0,0,0,1.4297,1.0234
136,A,A,A,1,1,0,0.9141,0.8359
137,C,A,A,0,0,0,1.5078,0.8281
138,A,A,A,1,1,0,1.1875,0.8125
139,B,A,A,0,0,0,0.7422,0.5938
140,A,A,A,1,1,0,1.1094,0.5859
141,A,A,A,1,1,0,1.5234,1.1953
142,B,A,A,0,0,0,1.125,0.4219
143,B,A,A,0,0,0,1.3281,0.75
144,C,A,A,0,0,0,1.75,1.1953
145,C,A,A,0,0,0,1.5625,1.2422
146,A,A,A,1,1,0,1.5469,0.7891
147,C,A,A,0,0,0,0.7031,0.3594
148,B,A,A,0,0,0,0.5781,0.3516
149,A,A,A,1,1,0,1.625,0.8359
150,C,A,A,0,0,0,1.6641,1.1797
151,B,A,A,0,0,0,1.6562,1.0938
152,C,A,A,0,0,0,1.3438,0.8359
153,B,A,A,0,0,0,0.9531,1.0234
154,C,A,A,0,0,0,0.9531,0.7266
155,B,A,A,0,0,0,1.7422,1.1016
156,C,A,A,0,0,0,1.6719,1.1875
157,A,A,A,1,1,0,1.0703,0.8281
158,B,A,A,0,0,0,1.2031,0.8125
159,A,A,A,1,1,0,0.8594,0.9688
160,C,A,A,0,0,0,1.7812,1.2344
161,C,A,A,0,0,0,1.9375,1.1484
162,C,A,A,0,0,0,1.4766,1.0703
163,C,A,A,0,0,0,0.9922,0.8281
164,A,A,A,1,1,0,1.5703,1.1953
165,A,A,A,1,1,0,1.1562,0.6797
166,C,A,A,0,0,0,1.3906,1.3594
167,C,A,A,0,0,0,1.0469,1.0312
168,B,A,A,0,0,0,1.5547,0.9766
169,A,A,A,1,1,0,1.3125,0.4922
170,C,A,A,0,0,0,1.1406,0.9141
171,A,A,A,1,1,0,1.5859,1.0391
172,C,A,A,0,0,0,1.0078,1.0625
173,A,A,A,1,1,0,1.1562,0.6172
174,A,A,A,1,1,0,1.3906,0.9453
175,C,A,A,0,0,0,1.4766,0.8594
176,B,A,A,0,0,0,1.4297,0.9922
177,A,A,A,1,1,0,0.875,0.9062
178,B,A,A,0,0,0,1.1172,0.7578
