idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,22.6202,22.7452
1,C,C,C,1,1,0,18.6014,18.885
2,D,C,C,0,0,0,13.3451,14.0948
3,B,D,D,0,0,0,8.5033,8.903
4,B,B,B,1,1,0,15.8433,16.2808
5,B,B,B,1,1,0,19.5519,19.4457
6,C,C,C,1,1,0,11.4058,11.4058
7,A,A,A,1,1,0,20.2264,20.097
8,C,C,C,1,1,0,21.9558,21.9301
9,C,C,C,1,1,0,21.6359,21.5779
10,C,C,C,1,1,0,22.2279,21.8518
11,B,B,B,1,1,0,3.1562,2.8134
12,C,C,C,1,1,0,19.0143,18.8696
13,C,C,C,1,1,0,18.5502,18.873
14,A,B,B,0,0,0,9.6276,10.3889
15,A,A,A,1,1,0,18.126,18.8007
16,C,C,C,1,1,0,16.4584,16.9205
17,B,B,B,1,1,0,22.4187,22.4343
18,B,B,B,1,1,0,21.6584,21.7392
19,C,C,C,1,1,0,19.9713,20.4656
20,A,A,A,1,1,0,15.3884,15.4682
21,B,B,B,1,1,0,22.0597,22.3069
22,A,A,A,1,1,0,15.8265,15.9339
23,D,D,D,1,1,0,22.9055,22.9521
24,D,D,D,1,1,0,14.9385,15.4068
25,A,A,A,1,1,0,19.4101,19.5377
26,C,C,C,1,1,0,16.4052,16.3584
27,B,B,B,1,1,0,14.1387,14.3287
28,B,B,B,1,1,0,2.2196,2.6564
29,C,C,C,1,1,0,22.9485,23.2468
30,C,C,C,1,1,0,17.6143,17.746
31,A,A,A,1,1,0,19.5033,19.9651
32,D,D,D,1,1,0,14.9494,14.9716
33,B,B,B,1,1,0,18.5307,18.2651
34,C,C,C,1,1,0,21.7709,21.7422
35,B,B,B,1,1,0,5.3419,6.2807
36,D,D,D,1,1,0,21.5738,21.8659
37,B,B,B,1,1,0,0.0933,2.5303
38,D,D,D,1,1,0,17.9326,18.4532
39,C,C,C,1,1,0,11.6441,11.7779
40,D,C,C,0,0,0,2.8443,1.7812
41,C,C,C,1,1,0,19.1763,19.8806
42,C,C,C,1,1,0,20.0585,20.0735
43,C,C,C,1,1,0,21.4527,21.5658
44,B,B,B,1,1,0,17.0757,17.3347
45,A,A,A,1,1,0,9.9529,10.4199
46,C,C,C,1,1,0,21.1495,21.6207
47,A,A,A,1,1,0,17.107,17.5756
48,D,D,D,1,1,0,20.4518,20.7645
49,D,D,D,1,1,0,4.9357,4.9987
50,B,A,A,0,0,0,8.5781,9.2959
51,D,D,D,1,1,0,18.4047,17.9836
52,A,A,A,1,1,0,18.183,18.5751
53,A,B,B,0,0,0,0.562,1.5312
54,A,A,A,1,1,0,5.8767,6.0951
55,B,B,B,1,1,0,19.9937,20.3716
56,C,D,D,0,0,0,17.1777,17.7531
57,B,B,B,1,1,0,19.9211,20.2809
58,B,B,B,1,1,0,22.3163,22.9215
59,D,D,D,1,1,0,18.4511,18.702
60,B,B,B,1,1,0,19.3781,19.5527
61,B,B,B,1,1,0,19.234,19.5035
62,C,C,C,1,1,0,19.6188,19.8916
63,C,C,C,1,1,0,13.0017,13.2479
64,B,B,B,1,1,0,20.4272,20.8189
65,C,C,C,1,1,0,17.1411,16.9726
66,B,B,B,1,1,0,17.5139,17.6711
67,C,C,C,1,1,0,10.3427,10.1868
68,A,A,A,1,1,0,21.7006,22.0769
