idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,A,1,0,1,0.2891,0.3984
1,A,A,A,1,1,0,0.0,1.0625
2,B,A,A,0,0,0,0.1484,1.3281
3,E,E,A,1,0,1,0.1641,0.9062
4,B,C,A,0,0,1,0.1484,0.8203
5,B,A,A,0,0,0,0.2656,1.2422
6,A,A,A,1,1,0,0.3516,1.8359
7,B,B,B,1,1,0,0.7188,0.5078
8,D,A,A,0,0,0,0.2891,0.6719
9,B,A,A,0,0,0,0.0391,1.6406
10,C,D,A,0,0,1,0.1172,0.1719
11,B,B,B,1,1,0,1.2969,0.2266
12,E,A,A,0,0,0,0.3438,1.3672
13,B,A,A,0,0,0,0.2734,1.5781
14,B,E,A,0,0,1,0.0547,0.5859
15,D,D,D,1,1,0,0.1875,0.0938
16,E,E,A,1,0,1,0.3359,1.4375
17,A,B,A,0,1,1,0.0703,0.6797
18,C,A,A,0,0,0,0.3984,1.5156
19,E,B,A,0,0,1,0.375,0.375
20,B,A,A,0,0,0,0.5469,2.1484
21,B,B,A,1,0,1,0.0078,1.4375
22,D,A,A,0,0,0,0.4375,1.2031
23,C,B,B,0,0,0,0.1484,0.0625
24,A,F,A,0,1,1,0.3359,0.9531
25,D,A,A,0,0,0,0.7031,1.3984
26,F,E,A,0,0,1,0.0391,1.2812
27,B,B,A,1,0,1,0.0938,0.6953
28,F,B,B,0,0,0,0.9297,0.1406
29,D,E,B,0,0,1,0.3594,0.2266
30,E,B,A,0,0,1,0.0234,1.1875
31,C,A,A,0,0,0,0.5938,0.8906
32,B,B,A,1,0,1,0.3438,0.0391
33,F,F,A,1,0,1,0.5547,0.6387
34,D,A,A,0,0,0,0.0625,1.0938
35,D,A,A,0,0,0,0.1875,1.2656
36,B,A,A,0,0,0,0.1172,1.1797
37,B,B,A,1,0,1,0.1094,0.6719
38,B,A,A,0,0,0,0.1016,1.3281
39,A,F,A,0,1,1,0.0156,1.3359
40,B,B,A,1,0,1,0.3281,0.3203
41,E,A,A,0,0,0,0.0312,0.4688
42,E,A,A,0,0,0,0.5781,1.4688
43,A,A,A,1,1,0,0.3438,1.1328
44,D,D,A,1,0,1,0.3359,0.3281
45,F,A,A,0,0,0,0.2266,1.3359
46,C,A,A,0,0,0,0.0859,1.25
47,E,B,A,0,0,1,0.1406,0.5781
48,F,F,F,1,1,0,1.1895,1.3906
49,B,A,A,0,0,0,0.5938,1.9453
50,E,E,A,1,0,1,0.3438,0.6406
51,D,D,A,1,0,1,0.2891,0.4766
52,D,F,A,0,0,1,1.0234,1.3828
53,B,B,A,1,0,1,0.1094,1.8203
54,A,A,A,1,1,0,1.3828,2.3438
55,C,B,A,0,0,1,0.2578,0.1172
56,A,A,A,1,1,0,1.5781,3.2344
57,A,A,A,1,1,0,0.4844,1.8516
58,F,F,A,1,0,1,0.0312,0.7344
59,D,D,A,1,0,1,0.6797,0.0156
60,E,E,A,1,0,1,0.2188,0.6562
61,B,A,A,0,0,0,0.125,1.3438
62,D,E,A,0,0,1,0.1484,0.375
63,E,E,A,1,0,1,0.0859,0.7422
64,D,A,A,0,0,0,0.4219,1.0625
65,B,A,A,0,0,0,0.3594,1.4531
66,A,A,A,1,1,0,0.2422,1.8125
67,C,A,A,0,0,0,0.1328,1.7188
68,E,A,A,0,0,0,0.4297,1.7188
69,F,B,A,0,0,1,0.0234,0.6016
70,A,A,A,1,1,0,0.8125,1.7656
71,F,B,A,0,0,1,0.1016,0.6797
72,F,F,A,1,0,1,0.5918,1.8984
73,D,F,A,0,0,1,0.6094,0.9062
74,C,A,A,0,0,0,0.0,0.625
75,E,E,A,1,0,1,0.1016,0.7344
76,A,A,A,1,1,0,0.0703,2.0117
77,E,A,A,0,0,0,0.0938,1.1641
78,F,E,A,0,0,1,0.2422,1.5234
79,A,A,A,1,1,0,0.7188,1.7344
80,E,B,A,0,0,1,0.1094,1.1562
81,E,E,A,1,0,1,0.4043,0.9688
82,B,B,A,1,0,1,0.6172,0.4453
83,B,B,A,1,0,1,0.0391,1.3828
84,A,A,A,1,1,0,0.0938,0.9688
85,C,A,A,0,0,0,0.5938,1.4766
86,E,E,A,1,0,1,0.9688,0.1797
87,A,A,A,1,1,0,0.2344,1.6562
88,B,A,A,0,0,0,0.2188,1.5547
89,A,A,A,1,1,0,0.25,0.9297
90,C,B,A,0,0,1,0.2969,0.1094
91,D,F,A,0,0,1,0.1016,0.1562
92,E,E,A,1,0,1,0.3652,0.6016
93,C,C,A,1,0,1,0.0625,0.3438
94,F,E,A,0,0,1,0.0938,1.5469
95,E,E,A,1,0,1,0.8125,0.5781
96,E,B,A,0,0,1,0.5469,0.9141
97,E,E,A,1,0,1,0.1172,0.6562
98,B,A,A,0,0,0,0.0938,1.2188
99,F,A,A,0,0,0,0.0391,1.3281
100,C,A,A,0,0,0,0.1484,1.25
101,D,A,A,0,0,0,0.3984,0.7812
102,C,A,A,0,0,0,0.0234,1.3203
103,A,A,A,1,1,0,0.3281,1.3047
104,F,B,A,0,0,1,0.5156,0.8438
105,C,B,A,0,0,1,0.3359,1.3594
106,D,A,A,0,0,0,0.3125,1.4062
107,B,B,A,1,0,1,1.209,0.0547
108,F,A,A,0,0,0,0.0938,1.1406
109,C,B,B,0,0,0,0.3438,0.125
110,B,A,A,0,0,0,0.5,1.8359
111,D,D,A,1,0,1,0.5781,0.0
112,D,C,A,0,0,1,0.2812,0.7344
113,F,F,A,1,0,1,0.7168,1.875
114,E,B,A,0,0,1,0.1328,0.4453
115,B,C,A,0,0,1,0.0625,0.7109
116,C,A,A,0,0,0,0.3047,1.4531
117,C,E,A,0,0,1,0.0156,0.8984
118,F,A,A,0,0,0,0.0625,1.6797
119,E,E,E,1,1,0,0.8984,0.2422
120,A,A,A,1,1,0,0.1953,1.2344
121,B,A,A,0,0,0,0.4297,0.7734
122,E,A,A,0,0,0,0.3418,1.2578
123,E,A,A,0,0,0,0.3906,1.1016
124,B,B,B,1,1,0,1.4766,1.3594
125,B,D,A,0,0,1,0.1094,1.5391
126,C,C,A,1,0,1,0.6016,0.3828
127,C,A,A,0,0,0,0.2656,0.9473
128,C,E,A,0,0,1,0.2344,0.9609
129,F,F,F,1,1,0,0.7363,0.1797
130,B,B,A,1,0,1,0.0547,0.7578
131,E,E,D,1,0,1,0.2422,0.0312
132,B,B,A,1,0,1,0.1172,0.1641
133,F,F,F,1,1,0,0.7578,0.3359
134,C,A,A,0,0,0,0.0469,1.6172
135,B,A,A,0,0,0,0.2031,1.4375
136,F,A,A,0,0,0,0.0,1.4062
137,A,A,A,1,1,0,1.1406,2.2188
138,F,B,A,0,0,1,0.0312,0.0547
139,E,A,A,0,0,0,0.2266,2.1719
140,D,C,A,0,0,1,0.0781,0.8359
141,A,A,A,1,1,0,0.8438,1.625
142,E,A,A,0,0,0,0.0625,1.0938
143,B,A,A,0,0,0,0.0625,1.3281
144,F,B,A,0,0,1,0.0312,0.5234
145,B,B,A,1,0,1,0.1875,0.4609
146,E,F,A,0,0,1,0.2188,0.0078
147,D,A,A,0,0,0,0.375,0.9434
148,D,A,A,0,0,0,0.8516,1.1641
149,D,A,A,0,0,0,0.4609,1.5859
150,A,F,A,0,1,1,0.3047,1.7031
151,B,B,A,1,0,1,0.2734,0.5312
152,A,A,A,1,1,0,1.0156,2.0
153,A,A,A,1,1,0,0.3418,0.7422
154,C,A,A,0,0,0,0.3125,1.1562
155,D,B,B,0,0,0,1.3691,0.4766
156,A,F,A,0,1,1,0.5,1.5156
157,D,F,F,0,0,0,0.873,0.7656
158,B,B,A,1,0,1,0.2969,0.0078
159,A,A,A,1,1,0,1.125,1.7734
160,D,D,A,1,0,1,0.2578,0.5781
161,A,A,A,1,1,0,0.2344,1.9492
162,A,F,A,0,1,1,0.0859,1.375
163,C,E,A,0,0,1,0.1562,0.8281
164,C,B,B,0,0,0,0.3359,0.2969
165,A,A,A,1,1,0,0.2891,1.6562
166,F,F,A,1,0,1,0.7344,0.6875
167,D,A,A,0,0,0,0.6875,1.5234
168,E,E,A,1,0,1,0.0234,1.6016
169,A,A,A,1,1,0,0.1562,1.4688
170,C,A,A,0,0,0,0.2344,0.8281
171,A,E,A,0,1,1,0.0938,0.6348
172,C,A,A,0,0,0,0.5703,1.6797
173,A,B,A,0,1,1,0.0781,0.0703
174,A,A,A,1,1,0,0.8672,2.0781
175,B,F,F,0,0,0,1.0293,0.7031
176,B,A,A,0,0,0,0.3906,1.4453
177,A,F,A,0,1,1,0.5625,1.6719
178,E,E,F,1,0,1,0.0703,0.7891
179,A,C,A,0,1,1,0.1172,0.5234
180,D,A,A,0,0,0,0.3262,1.8516
181,B,B,A,1,0,1,0.4609,0.875
182,F,F,F,1,1,0,1.125,1.2422
183,F,B,A,0,0,1,0.0938,0.9453
184,D,A,A,0,0,0,0.0703,1.0547
185,D,B,B,0,0,0,0.5391,0.4297
186,D,A,A,0,0,0,0.5781,2.041
187,E,E,A,1,0,1,0.375,1.0625
188,F,B,A,0,0,1,0.4688,0.7734
189,E,A,A,0,0,0,0.4062,1.7812
190,B,A,A,0,0,0,0.2656,1.0625
191,C,E,D,0,0,1,0.0938,0.2344
192,B,F,A,0,0,1,0.0391,0.2188
193,C,E,A,0,0,1,0.0078,1.5469
194,C,B,A,0,0,1,0.1406,0.5938
195,D,A,A,0,0,0,0.1016,0.8281
196,F,F,A,1,0,1,0.6562,0.2422
197,B,B,B,1,1,0,1.0,0.2344
198,A,A,A,1,1,0,0.375,1.9062
199,D,F,D,0,1,1,0.6855,0.4922
200,E,B,B,0,0,0,1.0469,0.3125
201,A,A,A,1,1,0,0.6094,1.2812
202,A,A,A,1,1,0,0.1016,1.2734
203,C,A,A,0,0,0,0.6699,1.5234
204,A,A,A,1,1,0,1.4219,1.9453
205,A,A,A,1,1,0,0.1172,1.2344
206,C,A,A,0,0,0,0.6094,1.125
207,E,E,E,1,1,0,1.7324,1.8906
208,A,A,A,1,1,0,0.1406,1.1562
209,D,B,A,0,0,1,0.1641,0.3984
210,B,A,A,0,0,0,0.0547,1.75
211,E,A,A,0,0,0,0.0703,1.3359
212,F,A,A,0,0,0,0.4844,1.9062
213,C,A,A,0,0,0,0.4062,1.5938
214,B,A,A,0,0,0,0.1406,0.6172
215,F,F,A,1,0,1,0.9043,1.1172
216,D,E,A,0,0,1,0.5781,1.3203
217,D,B,B,0,0,0,0.6953,0.6562
218,D,E,A,0,0,1,0.2734,0.5391
219,D,F,F,0,0,0,1.0469,0.0547
220,E,E,A,1,0,1,0.2969,1.0703
221,A,A,A,1,1,0,0.9219,1.7266
222,A,A,A,1,1,0,0.5391,2.0703
223,F,E,A,0,0,1,0.4512,0.8203
224,F,F,F,1,1,0,1.0293,1.416
225,E,F,A,0,0,1,0.2578,0.7266
226,B,B,A,1,0,1,0.0234,0.3125
227,F,F,F,1,1,0,0.998,0.0391
228,D,F,A,0,0,1,0.7969,0.3672
229,A,A,A,1,1,0,0.1406,0.8672
230,D,B,A,0,0,1,0.0312,1.0938
231,A,A,A,1,1,0,0.1094,1.5625
232,B,B,A,1,0,1,0.1562,1.1406
233,F,F,A,1,0,1,0.375,1.7031
234,E,E,A,1,0,1,1.4453,0.1172
235,C,F,F,0,0,0,1.1641,1.0566
236,E,E,A,1,0,1,0.4375,1.3047
237,A,A,A,1,1,0,0.2734,1.8438
238,C,E,A,0,0,1,0.7578,0.2891
