idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,22.6202,22.4327
1,C,C,C,1,1,0,18.6014,18.9017
2,D,C,C,0,0,0,13.3451,13.66
3,B,D,D,0,0,0,8.5033,8.1867
4,B,B,B,1,1,0,15.8433,16.4524
5,B,B,B,1,1,0,19.5519,19.3514
6,C,C,C,1,1,0,11.4058,12.2641
7,A,A,A,1,1,0,20.2264,20.6595
8,C,C,C,1,1,0,21.9558,21.4105
9,C,C,C,1,1,0,21.6359,21.4183
10,C,C,C,1,1,0,22.2279,22.1335
11,B,B,B,1,1,0,3.1562,2.6562
12,C,C,C,1,1,0,19.0143,18.7828
13,C,C,C,1,1,0,18.5502,19.788
14,A,B,B,0,0,0,9.6276,9.6727
15,A,A,A,1,1,0,18.126,17.2965
16,C,C,C,1,1,0,16.4584,17.6186
17,B,B,B,1,1,0,22.4187,21.334
18,B,B,B,1,1,0,21.6584,21.2718
19,C,C,C,1,1,0,19.9713,20.6583
20,A,A,A,1,1,0,15.3884,16.2341
21,B,B,B,1,1,0,22.0597,21.9543
22,A,A,A,1,1,0,15.8265,16.9676
23,D,D,D,1,1,0,22.9055,23.7172
24,D,D,D,1,1,0,14.9385,16.3126
25,A,A,A,1,1,0,19.4101,19.4879
26,C,C,C,1,1,0,16.4052,14.3103
27,B,B,B,1,1,0,14.1387,15.0458
28,B,B,B,1,1,0,2.2196,2.3438
29,C,C,C,1,1,0,22.9485,22.8126
30,C,C,C,1,1,0,17.6143,17.7169
31,A,A,A,1,1,0,19.5033,20.4361
32,D,D,D,1,1,0,14.9494,16.8296
33,B,B,B,1,1,0,18.5307,16.6401
34,C,C,C,1,1,0,21.7709,21.8343
35,B,B,B,1,1,0,5.3419,4.5935
36,D,D,D,1,1,0,21.5738,21.3823
37,B,B,B,1,1,0,0.0933,1.9219
38,D,D,D,1,1,0,17.9326,18.6118
39,C,C,C,1,1,0,11.6441,12.545
40,D,C,C,0,0,0,2.8443,0.906
41,C,C,C,1,1,0,19.1763,19.9395
42,C,C,C,1,1,0,20.0585,19.2745
43,C,C,C,1,1,0,21.4527,21.7827
44,B,B,B,1,1,0,17.0757,16.6327
45,A,A,A,1,1,0,9.9529,12.42
46,C,C,C,1,1,0,21.1495,21.5183
47,A,A,A,1,1,0,17.107,16.6705
48,D,D,D,1,1,0,20.4518,20.5732
49,D,D,D,1,1,0,4.9357,5.6865
50,B,A,A,0,0,0,8.5781,5.8457
51,D,D,D,1,1,0,18.4047,17.4199
52,A,A,A,1,1,0,18.183,19.4045
53,A,B,B,0,0,0,0.562,1.2192
54,A,A,A,1,1,0,5.8767,9.4354
55,B,B,B,1,1,0,19.9937,21.1531
56,C,D,D,0,0,0,17.1777,19.6194
57,B,B,B,1,1,0,19.9211,20.4693
58,B,B,B,1,1,0,22.3163,22.135
59,D,D,D,1,1,0,18.4511,19.9652
60,B,B,B,1,1,0,19.3781,18.9289
61,B,B,B,1,1,0,19.234,19.2743
62,C,C,C,1,1,0,19.6188,19.6819
63,C,C,C,1,1,0,13.0017,14.4653
64,B,B,B,1,1,0,20.4272,20.8146
65,C,C,C,1,1,0,17.1411,18.1467
66,B,B,B,1,1,0,17.5139,17.2124
67,C,C,C,1,1,0,10.3427,9.0929
68,A,A,A,1,1,0,21.7006,22.1865
69,D,D,D,1,1,0,18.9041,19.479
70,C,C,C,1,1,0,21.5837,20.9875
71,C,C,C,1,1,0,15.4515,16.1526
72,A,A,A,1,1,0,18.465,18.6534
73,D,D,D,1,1,0,15.8127,19.14
74,A,A,A,1,1,0,3.4382,4.7495
75,C,C,C,1,1,0,1.8741,3.0
76,D,D,D,1,1,0,20.4195,21.5452
77,A,A,A,1,1,0,11.9366,12.6235
78,B,B,B,1,1,0,20.5347,19.0206
79,D,D,D,1,1,0,16.3976,14.7374
80,B,B,B,1,1,0,3.8121,4.7197
81,A,A,A,1,1,0,21.1118,20.5295
82,A,A,A,1,1,0,20.3965,21.0327
83,B,B,B,1,1,0,16.7188,17.4318
84,C,C,C,1,1,0,19.3546,19.5138
85,C,C,C,1,1,0,21.5238,21.6302
86,A,A,A,1,1,0,20.4842,20.3589
87,C,C,C,1,1,0,21.3632,21.7654
88,D,D,D,1,1,0,14.0009,14.2203
89,C,C,C,1,1,0,19.9178,19.944
90,D,D,D,1,1,0,19.2749,20.4094
91,A,A,A,1,1,0,13.4838,13.6073
92,D,A,A,0,0,0,2.5945,4.314
93,A,A,A,1,1,0,20.6172,20.3899
94,A,A,A,1,1,0,14.2033,14.5608
95,D,D,D,1,1,0,23.5102,23.8856
96,A,A,A,1,1,0,20.0837,20.5492
97,A,A,A,1,1,0,20.7961,20.8814
98,B,B,B,1,1,0,6.3452,4.6575
99,C,B,B,0,0,0,13.6867,13.9877
100,A,A,A,1,1,0,15.4663,16.4053
101,D,C,C,0,0,0,5.5619,3.9981
102,B,B,B,1,1,0,23.7263,22.6479
103,D,D,D,1,1,0,22.0195,21.558
104,B,B,B,1,1,0,19.1207,19.1666
105,C,C,C,1,1,0,20.027,20.444
106,B,B,B,1,1,0,20.729,20.1812
107,A,A,A,1,1,0,12.3734,12.9369
108,B,B,B,1,1,0,1.6561,2.4998
109,C,C,C,1,1,0,21.5588,22.5434
110,D,D,D,1,1,0,21.6151,21.7345
111,A,A,A,1,1,0,18.0573,18.944
112,B,B,B,1,1,0,3.0929,2.3444
113,D,D,D,1,1,0,19.7485,20.2793
