idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.2573,10.3668
1,A,B,B,0,0,0,6.781,6.907
2,B,B,B,1,1,0,2.063,1.672
3,E,E,E,1,1,0,7.6956,7.8448
4,B,D,D,0,0,0,4.8762,5.2047
5,B,B,B,1,1,0,1.3594,1.938
6,A,D,D,0,0,0,0.5154,0.8438
7,B,B,B,1,1,0,9.8897,9.9993
8,D,D,D,1,1,0,9.1702,9.3191
9,B,A,A,0,0,0,0.5,0.5161
10,C,C,C,1,1,0,7.1098,7.0479
11,B,B,B,1,1,0,3.2965,3.2186
12,E,E,E,1,1,0,0.3906,0.5161
13,B,D,D,0,0,0,0.0469,0.25
14,B,B,B,1,1,0,10.1319,10.4134
15,D,B,B,0,0,0,2.7809,2.1876
16,E,E,E,1,1,0,8.9429,9.1001
17,A,A,A,1,1,0,6.0784,6.155
18,C,C,C,1,1,0,8.9833,9.1398
19,E,E,E,1,1,0,3.421,3.6558
20,B,B,B,1,1,0,4.6888,4.7492
21,B,A,A,0,0,0,2.7656,3.0783
22,D,D,D,1,1,0,5.5931,5.7207
23,C,C,C,1,1,0,8.2311,8.5293
24,A,F,F,0,0,0,9.3662,9.5383
25,D,D,D,1,1,0,2.8435,3.4527
26,F,F,F,1,1,0,9.5145,9.6867
27,B,E,E,0,0,0,6.3122,6.4696
28,F,C,C,0,0,0,4.5458,5.0163
29,D,D,D,1,1,0,6.0322,5.9703
30,E,E,E,1,1,0,7.4705,7.8604
31,C,D,D,0,0,0,2.1095,1.9053
32,B,C,C,0,0,0,6.3599,6.3759
33,F,F,F,1,1,0,4.4216,4.8452
34,D,D,D,1,1,0,8.6702,8.8035
35,D,D,D,1,1,0,2.657,2.9381
36,B,A,A,0,0,0,2.6416,2.9385
37,B,B,B,1,1,0,1.4841,1.0005
38,B,B,B,1,1,0,4.2482,3.7508
39,A,A,A,1,1,0,8.3185,8.2249
40,B,A,A,0,0,0,6.9209,7.1648
41,E,D,D,0,0,0,5.344,5.327
42,E,E,E,1,1,0,7.6417,7.6815
43,A,A,A,1,1,0,6.1425,6.2031
44,D,D,D,1,1,0,7.9984,7.944
45,F,A,A,0,0,0,0.7812,0.8755
46,C,C,C,1,1,0,6.4463,6.5702
47,E,E,E,1,1,0,0.2344,0.594
48,F,F,F,1,1,0,8.7172,8.8347
49,B,D,D,0,0,0,6.045,6.0616
50,E,E,E,1,1,0,8.1037,7.9694
51,D,D,D,1,1,0,9.2015,9.2878
52,D,D,D,1,1,0,3.4695,3.343
53,B,D,D,0,0,0,2.3909,3.1407
54,A,A,A,1,1,0,11.7881,11.8273
55,C,B,B,0,0,0,6.2509,6.171
56,A,A,A,1,1,0,11.3043,11.4059
57,A,C,C,0,0,0,2.7029,3.0782
58,F,F,F,1,1,0,7.086,6.9986
59,D,D,D,1,1,0,9.6628,9.7491
60,E,E,E,1,1,0,10.0384,10.2417
61,B,A,A,0,0,0,7.1699,7.2328
62,D,D,D,1,1,0,4.7655,4.7954
63,E,C,C,0,0,0,10.6863,10.9679
64,D,D,D,1,1,0,5.3431,5.3916
65,B,C,C,0,0,0,6.8361,7.0557
66,A,C,C,0,0,0,3.3278,3.2192
67,C,C,C,1,1,0,1.1877,1.8126
68,E,E,E,1,1,0,5.9841,6.1106
69,F,F,F,1,1,0,5.0486,5.3288
70,A,A,A,1,1,0,11.6634,11.726
71,F,F,F,1,1,0,8.4427,8.4827
72,F,F,F,1,1,0,6.2489,6.2826
73,D,F,F,0,0,0,8.7804,8.8119
74,C,C,C,1,1,0,6.2511,6.6028
75,E,E,E,1,1,0,7.344,7.415
76,A,F,F,0,0,0,2.7976,3.3272
77,E,A,A,0,0,0,7.0846,7.2192
78,F,F,F,1,1,0,9.1396,9.2648
79,A,B,B,0,0,0,8.1701,8.3348
80,E,E,E,1,1,0,4.8123,4.8452
81,E,E,E,1,1,0,10.2807,10.4058
82,B,B,B,1,1,0,7.0371,6.9827
83,B,F,F,0,0,0,6.5934,6.587
84,A,A,A,1,1,0,0.7505,0.656
85,C,A,A,0,0,0,0.4531,0.375
86,E,E,E,1,1,0,6.1269,6.0142
