idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,22.6202,23.0767
1,C,C,C,1,1,0,18.6014,19.0631
2,D,C,C,0,0,0,13.3451,15.222
3,B,D,D,0,0,0,8.5033,8.5974
4,B,B,B,1,1,0,15.8433,16.2952
5,B,B,B,1,1,0,19.5519,20.2687
6,C,C,C,1,1,0,11.4058,12.1077
7,A,A,A,1,1,0,20.2264,20.7395
8,C,C,C,1,1,0,21.9558,21.7549
9,C,C,C,1,1,0,21.6359,22.4341
10,C,C,C,1,1,0,22.2279,22.7393
11,B,B,B,1,1,0,3.1562,4.2795
12,C,C,C,1,1,0,19.0143,18.6448
13,C,C,C,1,1,0,18.5502,21.0085
14,A,B,B,0,0,0,9.6276,9.8417
15,A,A,A,1,1,0,18.126,17.0493
16,C,C,C,1,1,0,16.4584,18.0206
17,B,B,B,1,1,0,22.4187,22.0433
18,B,B,B,1,1,0,21.6584,22.0986
19,C,C,C,1,1,0,19.9713,20.4886
20,A,A,A,1,1,0,15.3884,16.1401
21,B,B,B,1,1,0,22.0597,22.3572
22,A,A,A,1,1,0,15.8265,17.1491
23,D,D,D,1,1,0,22.9055,23.2005
24,D,D,D,1,1,0,14.9385,16.0744
25,A,A,A,1,1,0,19.4101,19.9886
26,C,C,C,1,1,0,16.4052,14.981
27,B,B,B,1,1,0,14.1387,16.8226
28,B,B,B,1,1,0,2.2196,2.4695
29,C,C,C,1,1,0,22.9485,23.1537
30,C,C,C,1,1,0,17.6143,17.9515
31,A,A,A,1,1,0,19.5033,19.9243
32,D,D,D,1,1,0,14.9494,16.5631
33,B,B,B,1,1,0,18.5307,17.6372
34,C,C,C,1,1,0,21.7709,23.1005
35,B,B,B,1,1,0,5.3419,5.5944
36,D,D,D,1,1,0,21.5738,21.2047
37,B,B,B,1,1,0,0.0933,2.6244
38,D,D,D,1,1,0,17.9326,18.8463
39,C,C,C,1,1,0,11.6441,11.6069
40,D,C,C,0,0,0,2.8443,2.7191
41,C,C,C,1,1,0,19.1763,21.2999
42,C,C,C,1,1,0,20.0585,20.1974
43,C,C,C,1,1,0,21.4527,22.9801
44,B,B,B,1,1,0,17.0757,17.8591
45,A,A,A,1,1,0,9.9529,13.3125
46,C,C,C,1,1,0,21.1495,21.83
47,A,A,A,1,1,0,17.107,18.1861
48,D,D,D,1,1,0,20.4518,20.1955
49,D,D,D,1,1,0,4.9357,4.3734
50,B,A,A,0,0,0,8.5781,7.9355
51,D,D,D,1,1,0,18.4047,16.2613
52,A,A,A,1,1,0,18.183,19.6534
53,A,B,B,0,0,0,0.562,1.375
54,A,A,A,1,1,0,5.8767,10.5459
55,B,B,B,1,1,0,19.9937,20.5893
56,C,D,D,0,0,0,17.1777,20.3346
57,B,B,B,1,1,0,19.9211,21.1752
58,B,B,B,1,1,0,22.3163,21.9587
59,D,D,D,1,1,0,18.4511,19.8148
60,B,B,B,1,1,0,19.3781,19.2463
61,B,B,B,1,1,0,19.234,19.7375
62,C,C,C,1,1,0,19.6188,20.5171
63,C,C,C,1,1,0,13.0017,15.5728
64,B,B,B,1,1,0,20.4272,21.525
65,C,C,C,1,1,0,17.1411,18.6661
