idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.3594,0.8203
1,A,A,A,1,1,0,0.0391,0.7344
2,B,A,A,0,0,0,0.3281,0.5625
3,E,A,A,0,0,0,0.3438,0.5391
4,B,A,A,0,0,0,0.7344,0.3438
5,B,A,A,0,0,0,0.2656,1.0938
6,A,E,A,0,1,1,0.0391,0.4141
7,B,A,A,0,0,0,0.0703,0.4141
8,D,A,A,0,0,0,0.4688,0.8516
9,B,A,A,0,0,0,0.2734,1.1953
10,C,A,A,0,0,0,0.4766,0.7109
11,B,A,A,0,0,0,0.3125,0.4844
12,E,A,A,0,0,0,0.1172,0.8281
13,B,A,A,0,0,0,0.4922,1.0859
14,B,A,A,0,0,0,0.3438,0.4688
15,D,A,A,0,0,0,0.2344,0.4141
16,E,A,A,0,0,0,0.4844,0.5859
17,A,E,A,0,1,1,0.0312,0.8516
18,C,A,A,0,0,0,0.6172,0.5938
19,E,A,A,0,0,0,0.9004,1.2422
20,B,A,A,0,0,0,0.3984,0.7891
21,B,A,A,0,0,0,0.2266,0.7188
22,D,A,A,0,0,0,0.2734,0.4922
23,C,A,A,0,0,0,0.5625,0.5781
24,A,E,A,0,1,1,0.0156,0.6797
25,D,A,A,0,0,0,0.3125,0.5312
26,F,A,A,0,0,0,0.2734,0.1328
27,B,A,A,0,0,0,0.1797,0.7578
28,F,A,A,0,0,0,0.1562,0.6016
29,D,A,A,0,0,0,0.3438,0.9375
30,E,A,A,0,0,0,0.2109,0.6016
31,C,A,A,0,0,0,0.2969,0.5469
32,B,E,A,0,0,1,0.1797,0.5938
33,F,A,A,0,0,0,0.5312,1.0
34,D,A,A,0,0,0,0.3281,1.0625
35,D,A,A,0,0,0,0.5156,0.9375
36,B,A,A,0,0,0,0.2969,1.0312
37,B,A,A,0,0,0,0.0078,0.6016
38,B,A,A,0,0,0,0.5781,0.9844
39,A,A,A,1,1,0,0.6016,0.6719
40,B,A,A,0,0,0,0.2734,0.5781
41,E,A,A,0,0,0,0.5234,0.8047
42,E,A,A,0,0,0,0.7969,0.8828
