idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.8711,0.7461
1,A,A,A,1,1,0,0.793,0.8906
2,B,A,A,0,0,0,0.875,0.6406
3,E,A,A,0,0,0,0.7617,0.3867
4,B,A,A,0,0,0,1.0586,0.8438
5,B,A,A,0,0,0,0.4336,0.1992
6,A,A,A,1,1,0,0.6523,0.7344
7,B,A,A,0,0,0,0.8555,0.7031
8,D,A,A,0,0,0,0.9961,0.5469
9,B,A,A,0,0,0,0.9805,0.6992
10,C,A,A,0,0,0,0.7461,0.6719
11,B,A,A,0,0,0,0.6055,0.3242
12,E,A,A,0,0,0,0.6953,0.4961
13,B,A,A,0,0,0,1.0742,1.25
14,B,A,A,0,0,0,1.1992,0.8125
15,D,A,A,0,0,0,0.7617,0.4062
16,E,A,A,0,0,0,1.3242,0.9688
17,A,A,A,1,1,0,0.5586,0.418
18,C,A,A,0,0,0,0.6523,0.5742
19,E,A,A,0,0,0,1.0898,0.6836
20,B,A,A,0,0,0,0.6719,0.5742
21,B,A,A,0,0,0,0.543,0.6094
22,D,A,A,0,0,0,0.5742,0.4023
23,C,A,A,0,0,0,0.9492,0.8086
24,A,A,A,1,1,0,0.7773,0.6836
25,D,A,A,0,0,0,0.5742,0.418
26,F,A,A,0,0,0,0.8867,0.7305
27,B,A,A,0,0,0,0.6016,0.418
28,F,A,A,0,0,0,0.7773,0.5898
29,D,A,A,0,0,0,0.5273,0.3086
30,E,A,A,0,0,0,0.8555,0.8594
31,C,A,A,0,0,0,0.8398,0.4844
32,B,A,A,0,0,0,0.6211,0.6211
33,F,A,A,0,0,0,1.043,0.7617
34,D,A,A,0,0,0,1.2617,0.9688
35,D,A,A,0,0,0,0.9805,0.7773
36,B,A,A,0,0,0,0.5117,0.418
37,B,A,A,0,0,0,0.8242,0.7305
38,B,A,A,0,0,0,0.8867,0.8594
39,A,A,A,1,1,0,1.0625,0.8555
40,B,A,A,0,0,0,0.9961,0.668
41,E,A,A,0,0,0,0.9805,0.5156
42,E,A,A,0,0,0,1.3125,1.0781
43,A,A,A,1,1,0,0.6211,0.4805
44,D,A,A,0,0,0,1.043,0.793
45,F,A,A,0,0,0,0.5117,0.4531
46,C,A,A,0,0,0,1.0625,0.7344
47,E,A,A,0,0,0,0.6836,0.5117
48,F,A,A,0,0,0,0.9648,1.0625
49,B,A,A,0,0,0,0.6367,0.5273
50,E,A,A,0,0,0,0.9375,0.5469
51,D,A,A,0,0,0,0.6211,0.5781
52,D,A,A,0,0,0,0.543,0.4336
53,B,A,A,0,0,0,0.9648,0.6992
54,A,A,A,1,1,0,0.8398,0.7305
55,C,A,A,0,0,0,0.8242,0.7148
56,A,A,A,1,1,0,1.0117,0.8711
57,A,A,A,1,1,0,0.8086,0.4961
58,F,A,A,0,0,0,0.3555,0.2617
59,D,A,A,0,0,0,0.9023,0.7773
60,E,A,A,0,0,0,1.1406,0.8867
61,B,A,A,0,0,0,0.9648,0.7148
62,D,A,A,0,0,0,0.8867,0.6836
63,E,A,A,0,0,0,0.543,0.3867
64,D,A,A,0,0,0,1.0586,0.7305
65,B,A,A,0,0,0,1.0781,0.8398
66,A,A,A,1,1,0,1.1875,0.918
67,C,A,A,0,0,0,1.2969,1.0156
68,E,A,A,0,0,0,0.5273,0.6055
69,F,A,A,0,0,0,0.8086,0.5117
70,A,A,A,1,1,0,1.2773,1.0
71,F,A,A,0,0,0,1.125,0.9062
72,F,A,A,0,0,0,0.6992,0.6719
73,D,A,A,0,0,0,0.418,0.3555
74,C,A,A,0,0,0,0.6211,0.5586
75,E,A,A,0,0,0,0.7461,0.6211
76,A,A,A,1,1,0,0.668,0.6523
77,E,A,A,0,0,0,0.5117,0.3867
78,F,A,A,0,0,0,0.418,0.4336
79,A,A,A,1,1,0,0.6211,0.4492
80,E,A,A,0,0,0,0.4805,0.5898
81,E,A,A,0,0,0,0.543,0.5273
82,B,A,A,0,0,0,0.6523,0.543
83,B,A,A,0,0,0,0.7773,0.8438
84,A,A,A,1,1,0,1.1523,0.625
85,C,A,A,0,0,0,0.6719,0.5742
86,E,A,A,0,0,0,0.543,0.418
87,A,A,A,1,1,0,1.4492,1.0
88,B,A,A,0,0,0,0.6836,0.7656
89,A,A,A,1,1,0,0.5586,0.4688
90,C,A,A,0,0,0,0.6719,0.6367
91,D,A,A,0,0,0,0.6016,0.3555
92,E,A,A,0,0,0,0.793,0.668
93,C,A,A,0,0,0,1.1523,0.8125
94,F,A,A,0,0,0,1.2148,1.0156
95,E,A,A,0,0,0,1.4688,0.918
96,E,A,A,0,0,0,0.5586,0.7344
97,E,A,A,0,0,0,0.8867,0.75
98,B,A,A,0,0,0,0.6211,0.4648
99,F,A,A,0,0,0,0.6836,0.6211
100,C,A,A,0,0,0,1.1875,0.6992
101,D,A,A,0,0,0,0.3867,0.2578
102,C,A,A,0,0,0,0.2773,0.4336
103,A,A,A,1,1,0,0.6367,0.5273
104,F,A,A,0,0,0,0.5586,0.4062
105,C,A,A,0,0,0,0.7305,0.7188
106,D,A,A,0,0,0,0.9492,0.6992
107,B,A,A,0,0,0,0.8555,0.6992
108,F,A,A,0,0,0,0.7656,0.6523
109,C,A,A,0,0,0,1.0742,0.7148
110,B,A,A,0,0,0,1.2305,1.2969
111,D,A,A,0,0,0,0.9492,0.7773
112,D,A,A,0,0,0,0.9492,0.6367
113,F,A,A,0,0,0,1.1211,0.9219
114,E,A,A,0,0,0,0.7773,0.75
115,B,A,A,0,0,0,1.2773,0.9492
116,C,A,A,0,0,0,0.5273,0.3398
117,C,A,A,0,0,0,0.3398,0.4648
118,F,A,A,0,0,0,0.4023,0.3711
119,E,A,A,0,0,0,1.1562,0.793
120,A,A,A,1,1,0,0.6523,0.6719
121,B,A,A,0,0,0,0.4492,0.168
122,E,A,A,0,0,0,0.4805,0.5312
123,E,A,A,0,0,0,0.9492,0.6055
124,B,A,A,0,0,0,0.9062,0.6992
125,B,A,A,0,0,0,0.9961,1.0
126,C,A,A,0,0,0,0.4453,0.3242
127,C,A,A,0,0,0,1.1055,0.9961
128,C,A,A,0,0,0,1.1367,0.6875
129,F,A,A,0,0,0,0.7812,0.8125
130,B,A,A,0,0,0,1.1367,0.9531
131,E,A,A,0,0,0,1.0742,0.8125
132,B,A,A,0,0,0,1.1523,0.6562
133,F,A,A,0,0,0,0.9805,0.7617
134,C,A,A,0,0,0,0.8867,0.5586
135,B,A,A,0,0,0,0.8398,0.5586
136,F,A,A,0,0,0,0.5586,0.5742
137,A,A,A,1,1,0,0.8242,0.9062
138,F,A,A,0,0,0,0.8867,1.0
139,E,A,A,0,0,0,0.4648,0.6836
140,D,A,A,0,0,0,0.5586,0.3867
141,A,A,A,1,1,0,0.2305,0.2773
142,E,A,A,0,0,0,0.918,0.8438
143,B,A,A,0,0,0,0.8867,0.7148
144,F,A,A,0,0,0,0.7617,0.7617
145,B,A,A,0,0,0,0.6367,0.5938
146,E,A,A,0,0,0,0.8242,0.8594
147,D,A,A,0,0,0,1.1992,1.0156
148,D,A,A,0,0,0,0.6055,0.4492
149,D,A,A,0,0,0,1.1094,0.9492
150,A,A,A,1,1,0,1.0117,0.6094
151,B,A,A,0,0,0,0.3984,0.293
152,A,A,A,1,1,0,0.8086,0.6992
153,A,A,A,1,1,0,0.7344,0.6992
154,C,A,A,0,0,0,0.7773,0.4219
155,D,A,A,0,0,0,0.5273,0.3906
156,A,A,A,1,1,0,0.9961,0.5742
157,D,A,A,0,0,0,0.293,0.4492
158,B,A,A,0,0,0,0.3398,0.2148
159,A,A,A,1,1,0,1.0586,0.8906
160,D,A,A,0,0,0,0.3398,0.2617
161,A,A,A,1,1,0,0.4648,0.4336
162,A,A,A,1,1,0,0.6836,0.4336
163,C,A,A,0,0,0,0.7305,0.7969
164,C,A,A,0,0,0,0.6367,0.7148
165,A,A,A,1,1,0,1.0586,0.875
166,F,A,A,0,0,0,0.8086,0.6562
167,D,A,A,0,0,0,1.0156,0.7461
168,E,A,A,0,0,0,0.1992,0.2617
169,A,A,A,1,1,0,1.2031,0.875
170,C,A,A,0,0,0,0.6523,0.3242
171,A,A,A,1,1,0,0.8086,0.6992
172,C,A,A,0,0,0,0.9336,0.8125
173,A,A,A,1,1,0,0.4805,0.2773
174,A,A,A,1,1,0,0.7656,0.6211
175,B,A,A,0,0,0,0.668,0.543
176,B,A,A,0,0,0,0.9648,0.5898
177,A,A,A,1,1,0,1.2031,0.8867
178,E,A,A,0,0,0,0.4648,0.4961
179,A,A,A,1,1,0,0.9219,0.7617
180,D,A,A,0,0,0,0.9375,0.7969
181,B,A,A,0,0,0,0.2461,0.2773
182,F,A,A,0,0,0,0.8242,0.7773
183,F,A,A,0,0,0,1.2656,0.8867
184,D,A,A,0,0,0,0.7344,0.5898
185,D,A,A,0,0,0,0.6523,0.7188
186,D,A,A,0,0,0,1.0273,0.7617
187,E,A,A,0,0,0,0.2305,0.293
188,F,A,A,0,0,0,0.3203,0.5117
189,E,A,A,0,0,0,0.8398,0.5938
190,B,A,A,0,0,0,0.9805,0.8125
191,C,A,A,0,0,0,0.4492,0.3398
