idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,4.2949,3.4839
1,A,A,A,1,1,0,1.0303,0.8276
2,B,A,A,0,0,0,0.6719,0.3594
3,E,E,E,1,1,0,0.5312,0.5781
4,B,B,B,1,1,0,0.937,1.1406
5,B,A,A,0,0,0,1.9688,1.5156
6,A,A,D,1,0,1,0.4375,0.2969
7,B,C,C,0,0,0,2.9685,5.2359
8,D,D,D,1,1,0,4.186,3.4224
9,B,A,C,0,0,1,0.2656,0.1719
10,C,A,C,0,1,1,0.4844,0.2344
11,B,D,B,0,1,1,0.1094,0.7495
12,E,A,E,0,1,1,0.1562,0.2969
13,B,C,C,0,0,0,1.6553,2.7195
14,B,B,F,1,0,1,0.4219,2.0935
15,D,D,D,1,1,0,3.0488,3.8445
16,E,E,E,1,1,0,1.5464,1.719
17,A,E,E,0,0,0,1.2969,0.2656
18,C,A,E,0,0,1,0.1562,0.312
19,E,E,E,1,1,0,1.6406,1.4221
20,B,B,B,1,1,0,2.2949,1.438
21,B,A,A,0,0,0,3.6709,3.0305
22,D,D,D,1,1,0,0.0625,0.3442
23,C,C,C,1,1,0,3.2817,3.813
24,A,F,F,0,0,0,3.0938,3.0459
25,D,A,A,0,0,0,1.5933,0.9846
26,F,F,F,1,1,0,2.3604,2.7811
27,B,E,E,0,0,0,0.3896,0.3906
28,F,C,C,0,0,0,1.1562,1.4536
29,D,D,D,1,1,0,0.2344,0.3906
30,E,F,F,0,0,0,6.7656,5.4209
31,C,A,A,0,0,0,1.0938,0.9375
32,B,C,C,0,0,0,0.9062,2.218
33,F,A,A,0,0,0,0.8584,0.4536
34,D,D,D,1,1,0,4.1099,3.2808
35,D,A,A,0,0,0,1.4375,1.4844
36,B,D,D,0,0,0,0.2344,0.0625
37,B,A,A,0,0,0,1.1562,1.2349
38,B,A,F,0,0,1,0.0781,0.1729
39,A,A,A,1,1,0,3.3906,4.3748
40,B,A,A,0,0,0,1.2959,0.9688
41,E,B,F,0,0,1,0.1406,0.1406
42,E,E,E,1,1,0,1.0479,1.9214
43,A,E,E,0,0,0,0.7979,0.9688
44,D,D,D,1,1,0,2.5161,2.3914
45,F,B,B,0,0,0,0.25,0.4688
46,C,A,A,0,0,0,0.9219,0.4219
47,E,D,E,0,1,1,0.0156,0.4219
48,F,F,D,1,0,1,0.0312,0.0781
49,B,D,D,0,0,0,0.9229,1.6089
50,E,E,C,1,0,1,1.2349,0.3594
51,D,D,D,1,1,0,3.2649,6.0488
52,D,D,D,1,1,0,1.0146,0.6094
53,B,A,A,0,0,0,0.8594,0.25
54,A,A,A,1,1,0,10.8398,10.4507
55,C,D,B,0,0,1,0.2812,1.1411
56,A,A,A,1,1,0,5.8115,7.2036
57,A,A,C,1,0,1,0.249,0.3906
58,F,A,A,0,0,0,0.3594,0.1875
59,D,D,D,1,1,0,2.0791,1.5933
60,E,E,E,1,1,0,8.5923,5.4205
61,B,B,B,1,1,0,0.7031,0.3281
62,D,D,D,1,1,0,0.1875,0.4219
63,E,C,C,0,0,0,12.5927,9.9356
64,D,D,D,1,1,0,0.3438,1.3438
65,B,C,C,0,0,0,1.0938,1.2964
66,A,F,F,0,0,0,2.2031,1.1089
67,C,A,A,0,0,0,1.6895,2.0474
68,E,E,A,1,0,1,0.75,0.3281
69,F,F,F,1,1,0,1.2188,1.3755
70,A,A,A,1,1,0,7.3882,6.6716
71,F,F,F,1,1,0,1.7344,3.7179
72,F,A,A,0,0,0,2.0,1.3906
73,D,D,D,1,1,0,0.7021,0.1094
74,C,C,C,1,1,0,1.5632,1.9054
75,E,E,E,1,1,0,2.9238,3.7197
76,A,C,F,0,0,1,0.0625,0.5781
77,E,E,E,1,1,0,0.0625,0.188
78,F,F,F,1,1,0,1.751,2.3132
79,A,B,B,0,0,0,0.3594,1.2183
80,E,E,E,1,1,0,2.0479,3.1714
81,E,E,E,1,1,0,5.9858,4.9689
82,B,B,B,1,1,0,6.7021,5.7191
83,B,E,E,0,0,0,1.3438,0.9849
84,A,A,A,1,1,0,3.937,2.5779
85,C,A,A,0,0,0,1.9219,1.9531
86,E,E,E,1,1,0,2.2334,0.7192
87,A,A,A,1,1,0,11.5173,9.4037
88,B,C,C,0,0,0,0.5156,0.9854
89,A,A,A,1,1,0,1.624,3.5618
90,C,D,C,0,1,1,0.1094,0.2651
91,D,D,D,1,1,0,0.812,0.5312
92,E,F,F,0,0,0,6.7031,7.0298
93,C,B,B,0,0,0,0.6875,0.1411
94,F,A,A,0,0,0,3.9861,3.9521
95,E,F,F,0,0,0,0.2812,0.4995
96,E,C,C,0,0,0,0.7495,1.4841
97,E,F,E,0,1,1,0.4688,1.6094
98,B,A,F,0,0,1,0.4062,1.4219
99,F,A,A,0,0,0,1.8438,1.3596
100,C,A,C,0,1,1,0.0312,0.7661
101,D,D,A,1,0,1,0.1875,0.6562
102,C,C,C,1,1,0,3.4216,3.6713
103,A,A,A,1,1,0,0.5312,0.1719
104,F,B,B,0,0,0,2.1875,3.1091
105,C,F,E,0,0,1,0.0938,0.1562
106,D,D,D,1,1,0,0.9062,1.6091
107,B,B,B,1,1,0,5.8433,5.7502
108,F,C,C,0,0,0,0.2031,0.1401
109,C,B,B,0,0,0,2.8596,2.6096
110,B,C,C,0,0,0,0.375,0.5938
111,D,E,E,0,0,0,0.5938,1.0156
112,D,D,D,1,1,0,2.5305,2.7973
113,F,B,B,0,0,0,0.5781,1.7969
114,E,F,F,0,0,0,1.625,1.062
115,B,B,B,1,1,0,0.0781,1.4531
116,C,E,A,0,0,1,0.125,0.0786
117,C,C,F,1,0,1,1.0938,0.0625
118,F,E,F,0,1,1,0.9072,0.5156
119,E,E,E,1,1,0,9.0039,6.0325
120,A,C,C,0,0,0,1.4219,2.4224
121,B,C,C,0,0,0,1.125,1.813
122,E,C,F,0,0,1,0.2031,0.0781
123,E,A,E,0,1,1,0.5156,0.7031
124,B,B,B,1,1,0,8.0903,6.6877
125,B,A,D,0,0,1,0.2344,1.0156
126,C,C,C,1,1,0,1.375,2.329
127,C,A,A,0,0,0,0.9375,0.6567
128,C,E,E,0,0,0,1.8594,1.751
129,F,B,B,0,0,0,3.249,7.2988
130,B,F,D,0,0,1,0.25,0.1406
131,E,D,D,0,0,0,2.3896,1.3438
