idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,22.6202,20.2147
1,C,C,C,1,1,0,18.6014,18.6581
2,D,C,C,0,0,0,13.3451,11.3093
3,B,D,D,0,0,0,8.5033,10.8115
4,B,B,B,1,1,0,15.8433,15.1871
5,B,B,B,1,1,0,19.5519,18.4482
6,C,C,C,1,1,0,11.4058,10.0618
7,A,A,A,1,1,0,20.2264,21.7968
8,C,C,C,1,1,0,21.9558,21.9618
9,C,C,C,1,1,0,21.6359,21.3885
10,C,C,C,1,1,0,22.2279,20.7326
11,B,B,B,1,1,0,3.1562,3.9703
12,C,C,C,1,1,0,19.0143,19.2788
13,C,C,C,1,1,0,18.5502,19.1985
14,A,B,B,0,0,0,9.6276,14.4521
15,A,A,A,1,1,0,18.126,20.3592
16,C,C,C,1,1,0,16.4584,17.9931
17,B,B,B,1,1,0,22.4187,21.6649
18,B,B,B,1,1,0,21.6584,22.1675
19,C,C,C,1,1,0,19.9713,20.2552
20,A,A,A,1,1,0,15.3884,17.9844
21,B,B,B,1,1,0,22.0597,20.9904
22,A,A,A,1,1,0,15.8265,16.0467
23,D,D,D,1,1,0,22.9055,22.7016
24,D,D,D,1,1,0,14.9385,18.4312
25,A,A,A,1,1,0,19.4101,22.8901
26,C,C,C,1,1,0,16.4052,16.0779
27,B,B,B,1,1,0,14.1387,14.0924
28,B,B,B,1,1,0,2.2196,3.3757
29,C,C,C,1,1,0,22.9485,21.4601
30,C,C,C,1,1,0,17.6143,17.1506
31,A,A,A,1,1,0,19.5033,20.3431
32,D,D,D,1,1,0,14.9494,16.6449
33,B,B,B,1,1,0,18.5307,16.9218
34,C,C,C,1,1,0,21.7709,21.9423
35,B,B,B,1,1,0,5.3419,7.5616
36,D,D,D,1,1,0,21.5738,21.0571
37,B,B,B,1,1,0,0.0933,5.673
38,D,D,D,1,1,0,17.9326,17.231
39,C,C,C,1,1,0,11.6441,6.0006
40,D,C,C,0,0,0,2.8443,4.4699
41,C,C,C,1,1,0,19.1763,19.8502
42,C,C,C,1,1,0,20.0585,20.007
43,C,C,C,1,1,0,21.4527,22.1501
44,B,B,B,1,1,0,17.0757,16.6529
45,A,A,A,1,1,0,9.9529,14.6289
46,C,C,C,1,1,0,21.1495,22.5076
47,A,A,A,1,1,0,17.107,19.203
48,D,D,D,1,1,0,20.4518,18.7938
49,D,D,D,1,1,0,4.9357,0.656
50,B,A,A,0,0,0,8.5781,8.1236
51,D,D,D,1,1,0,18.4047,21.0
52,A,A,A,1,1,0,18.183,20.625
53,A,B,A,0,1,1,0.562,3.8742
54,A,A,A,1,1,0,5.8767,13.4527
55,B,B,B,1,1,0,19.9937,20.7006
56,C,D,D,0,0,0,17.1777,17.4648
57,B,B,B,1,1,0,19.9211,19.3843
58,B,B,B,1,1,0,22.3163,21.325
59,D,D,D,1,1,0,18.4511,20.0613
60,B,B,B,1,1,0,19.3781,18.7157
61,B,B,B,1,1,0,19.234,17.6193
62,C,C,C,1,1,0,19.6188,21.6501
63,C,C,C,1,1,0,13.0017,13.8126
64,B,B,B,1,1,0,20.4272,19.2894
65,C,C,C,1,1,0,17.1411,18.8545
66,B,B,B,1,1,0,17.5139,16.8735
67,C,C,C,1,1,0,10.3427,6.811
68,A,A,A,1,1,0,21.7006,22.0781
69,D,D,D,1,1,0,18.9041,17.3256
70,C,C,C,1,1,0,21.5837,21.9037
71,C,C,C,1,1,0,15.4515,13.6559
72,A,A,A,1,1,0,18.465,16.7656
73,D,D,D,1,1,0,15.8127,18.9135
74,A,A,A,1,1,0,3.4382,6.908
75,C,C,C,1,1,0,1.8741,10.4687
76,D,D,D,1,1,0,20.4195,20.2093
77,A,A,A,1,1,0,11.9366,17.265
78,B,B,B,1,1,0,20.5347,18.8722
79,D,D,D,1,1,0,16.3976,8.5308
80,B,B,D,1,0,1,3.8121,2.0939
81,A,A,A,1,1,0,21.1118,22.7966
82,A,A,A,1,1,0,20.3965,21.5624
83,B,B,B,1,1,0,16.7188,14.4968
84,C,C,C,1,1,0,19.3546,18.9998
85,C,C,C,1,1,0,21.5238,22.0088
86,A,A,A,1,1,0,20.4842,21.2812
87,C,C,C,1,1,0,21.3632,21.534
88,D,D,D,1,1,0,14.0009,13.0798
89,C,C,C,1,1,0,19.9178,20.7337
90,D,D,D,1,1,0,19.2749,19.8747
91,A,A,A,1,1,0,13.4838,14.703
92,D,A,A,0,0,0,2.5945,10.09
93,A,A,A,1,1,0,20.6172,21.2226
94,A,A,A,1,1,0,14.2033,15.3871
95,D,D,D,1,1,0,23.5102,23.5677
96,A,A,A,1,1,0,20.0837,20.2812
97,A,A,A,1,1,0,20.7961,21.6449
98,B,B,B,1,1,0,6.3452,5.1578
99,C,B,B,0,0,0,13.6867,10.6537
100,A,A,A,1,1,0,15.4663,18.0226
101,D,C,C,0,0,0,5.5619,2.9063
102,B,B,B,1,1,0,23.7263,22.5125
103,D,D,D,1,1,0,22.0195,22.1906
104,B,B,B,1,1,0,19.1207,18.3997
105,C,C,C,1,1,0,20.027,19.3839
106,B,B,B,1,1,0,20.729,18.2965
107,A,A,A,1,1,0,12.3734,19.8281
108,B,B,B,1,1,0,1.6561,0.8127
109,C,C,C,1,1,0,21.5588,22.3756
110,D,D,D,1,1,0,21.6151,22.0527
111,A,A,A,1,1,0,18.0573,20.0613
112,B,B,B,1,1,0,3.0929,5.405
113,D,D,D,1,1,0,19.7485,20.359
114,D,D,D,1,1,0,21.3872,22.7854
115,D,D,D,1,1,0,19.7015,5.032
116,B,B,B,1,1,0,19.0857,18.1324
117,A,A,A,1,1,0,21.3113,21.6719
118,C,C,C,1,1,0,21.5087,22.4781
119,A,A,A,1,1,0,18.2464,18.8123
120,A,D,A,0,1,1,0.2188,4.7807
121,B,A,A,0,0,0,2.2181,2.5008
122,C,C,C,1,1,0,19.7744,19.7008
123,A,A,A,1,1,0,19.5674,21.7961
124,B,B,B,1,1,0,10.0481,14.2151
125,C,C,C,1,1,0,20.5798,20.6636
126,A,C,A,0,1,1,0.375,3.6884
127,C,C,C,1,1,0,20.1743,20.5582
128,B,B,B,1,1,0,20.4341,20.9604
129,D,C,C,0,0,0,9.5799,2.1252
130,D,D,D,1,1,0,23.1853,21.4643
131,A,A,A,1,1,0,19.5595,19.1559
132,D,D,D,1,1,0,19.4371,20.0125
133,C,C,C,1,1,0,14.9213,12.5309
134,C,C,C,1,1,0,21.3633,21.7882
135,C,C,C,1,1,0,20.4364,20.2807
136,C,C,C,1,1,0,20.108,20.7695
137,D,D,D,1,1,0,22.0121,22.1208
138,A,A,A,1,1,0,20.59,22.6249
139,C,A,A,0,0,0,0.125,1.5625
140,A,A,A,1,1,0,16.3117,15.0593
141,A,A,A,1,1,0,18.8208,20.2636
142,D,D,D,1,1,0,19.6997,19.5685
143,D,D,D,1,1,0,21.2047,22.2625
144,A,A,A,1,1,0,22.0915,22.8425
145,D,D,D,1,1,0,21.1471,20.3049
146,D,D,D,1,1,0,23.1046,22.4653
147,D,D,D,1,1,0,13.6113,14.1738
148,B,B,B,1,1,0,18.8516,17.4512
149,A,A,A,1,1,0,15.8902,15.8905
150,A,A,A,1,1,0,18.0887,19.3893
151,A,A,A,1,1,0,11.4651,9.7807
152,D,D,D,1,1,0,21.5735,21.1404
153,B,D,B,0,1,1,0.0625,3.0622
154,B,B,B,1,1,0,19.2252,19.5443
155,B,B,B,1,1,0,1.9993,0.1562
156,D,D,D,1,1,0,18.322,15.484
157,D,B,B,0,0,0,17.2366,17.0807
158,B,B,B,1,1,0,20.1024,19.2371
159,A,A,A,1,1,0,16.2675,19.0155
160,A,A,A,1,1,0,19.2799,21.0312
161,B,B,B,1,1,0,17.1626,18.7603
162,D,D,D,1,1,0,16.4739,14.529
163,C,C,C,1,1,0,15.9716,16.5618
164,B,B,B,1,1,0,20.121,19.3633
165,C,C,C,1,1,0,7.0297,2.8437
166,A,A,A,1,1,0,0.0,8.1216
167,D,D,D,1,1,0,14.4056,13.6402
168,C,C,C,1,1,0,6.8452,10.3099
169,A,A,A,1,1,0,20.4124,21.6088
170,C,C,C,1,1,0,20.813,22.0015
171,B,B,B,1,1,0,19.5132,19.0104
172,A,D,D,0,0,0,18.854,12.4682
173,B,D,D,0,0,0,2.2501,1.9053
174,B,B,B,1,1,0,19.7487,19.0274
175,B,B,B,1,1,0,22.7405,18.1758
176,C,C,C,1,1,0,20.2603,21.3619
177,C,C,C,1,1,0,19.7937,17.482
178,B,B,B,1,1,0,20.103,18.9619
179,B,C,C,0,0,0,11.3448,8.5914
180,B,B,B,1,1,0,8.6441,10.8266
181,B,B,B,1,1,0,18.7589,16.1691
182,B,B,B,1,1,0,11.8102,11.7505
183,C,C,C,1,1,0,13.9028,9.6859
184,D,D,D,1,1,0,14.8628,8.5646
185,B,B,B,1,1,0,8.749,7.9983
186,C,A,A,0,0,0,10.436,11.8278
187,D,D,D,1,1,0,21.4631,22.853
188,D,A,A,0,0,0,2.3431,10.9345
189,D,D,D,1,1,0,12.4698,12.8259
190,D,D,D,1,1,0,18.9737,20.0151
191,B,B,B,1,1,0,18.4127,18.4827
192,B,B,B,1,1,0,21.1601,17.7589
193,C,C,C,1,1,0,18.8421,13.4841
194,D,D,A,1,0,1,5.9705,3.1566
195,C,C,C,1,1,0,20.1558,18.7479
196,A,A,A,1,1,0,20.9061,21.4996
197,A,A,A,1,1,0,19.7009,22.734
198,B,B,B,1,1,0,9.8129,10.8469
199,B,B,B,1,1,0,19.7637,18.6636
200,C,C,C,1,1,0,18.426,19.7792
201,C,C,C,1,1,0,18.4882,19.2588
202,C,C,C,1,1,0,11.4367,10.2803
203,A,A,A,1,1,0,18.5,14.625
204,C,C,C,1,1,0,18.986,19.2559
205,A,A,A,1,1,0,11.262,12.294
206,D,D,D,1,1,0,20.6771,21.4952
207,B,B,B,1,1,0,20.3964,19.4437
208,D,D,D,1,1,0,18.5162,17.8076
209,D,D,D,1,1,0,20.7787,21.4657
210,B,B,B,1,1,0,17.5645,16.8444
211,D,D,D,1,1,0,17.6635,18.6691
212,B,B,B,1,1,0,19.2485,16.5461
213,C,C,C,1,1,0,18.0323,21.4996
214,C,C,C,1,1,0,16.0182,17.6158
215,D,D,D,1,1,0,18.9356,12.1241
216,D,C,C,0,0,0,8.0122,4.4381
217,D,D,D,1,1,0,19.5293,19.9099
218,C,C,C,1,1,0,23.3093,22.3167
219,D,D,D,1,1,0,21.5016,21.8051
220,A,A,A,1,1,0,12.1694,13.3736
221,A,A,A,1,1,0,18.1054,18.2014
222,D,D,D,1,1,0,20.6707,21.7021
223,A,A,A,1,1,0,19.4661,20.4687
224,A,A,A,1,1,0,19.6188,18.9686
225,A,C,A,0,1,1,4.4378,0.3125
