idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,9.0977,9.7666
1,C,C,C,1,1,0,5.2357,5.8274
2,D,D,D,1,1,0,0.75,0.2969
3,B,B,B,1,1,0,2.6416,2.874
4,B,C,C,0,0,0,2.7188,2.7354
5,B,B,B,1,1,0,9.8711,9.3613
6,C,C,C,1,1,0,3.5469,4.1581
7,A,A,A,1,1,0,6.7346,5.6875
8,C,C,C,1,1,0,8.1065,8.9989
9,C,C,C,1,1,0,8.6123,8.8868
10,C,C,C,1,1,0,5.4523,5.3909
11,B,B,B,1,1,0,2.1729,1.9058
12,C,C,C,1,1,0,10.7851,10.2799
13,C,C,C,1,1,0,1.1719,1.4053
14,A,D,D,0,0,0,1.2661,0.9531
15,A,A,A,1,1,0,3.8733,4.658
16,C,C,C,1,1,0,4.5298,3.4529
17,B,B,B,1,1,0,7.9407,7.5944
18,B,B,B,1,1,0,2.7988,2.5464
19,C,C,C,1,1,0,6.0308,7.5638
20,A,A,A,1,1,0,15.2783,13.1077
21,B,B,B,1,1,0,8.2217,8.999
22,A,A,A,1,1,0,2.1714,4.3585
23,D,D,D,1,1,0,6.3898,5.1096
24,D,D,D,1,1,0,9.6592,8.7637
25,A,A,A,1,1,0,5.1875,3.0938
26,C,C,C,1,1,0,1.7495,1.4688
27,B,B,B,1,1,0,4.7642,4.4517
28,B,A,A,0,0,0,0.8125,0.687
29,C,C,C,1,1,0,8.9236,10.4852
30,C,D,D,0,0,0,2.0625,0.8589
31,A,A,A,1,1,0,1.7036,1.6562
32,D,D,D,1,1,0,3.8433,3.1562
33,B,C,C,0,0,0,0.8438,1.7036
34,C,C,C,1,1,0,4.0779,4.2348
35,B,B,B,1,1,0,1.8755,2.2188
36,D,D,D,1,1,0,1.5,2.7181
37,B,B,C,1,0,1,0.4375,0.6719
38,D,D,D,1,1,0,9.6377,9.1997
39,C,C,C,1,1,0,1.2344,1.2339
40,D,D,D,1,1,0,7.1252,5.7496
41,C,C,C,1,1,0,2.4531,1.7822
42,C,C,C,1,1,0,5.0142,5.686
43,C,C,C,1,1,0,10.8463,10.235
44,B,B,B,1,1,0,3.7197,2.7651
45,A,A,A,1,1,0,1.375,0.9536
46,C,C,C,1,1,0,1.8281,2.25
47,A,A,A,1,1,0,3.6577,4.8911
48,D,D,D,1,1,0,5.2969,7.2798
49,D,D,D,1,1,0,4.9043,5.5002
50,B,A,A,0,0,0,2.1567,1.8906
51,D,C,C,0,0,0,1.844,1.594
52,A,A,A,1,1,0,2.1709,3.1396
53,A,A,A,1,1,0,1.1719,1.7183
54,A,C,C,0,0,0,0.4697,0.6719
55,B,B,B,1,1,0,1.9678,1.7036
56,C,D,D,0,0,0,1.4844,1.3435
57,B,B,B,1,1,0,5.1074,4.7822
58,B,B,B,1,1,0,4.5952,6.4053
59,D,B,B,0,0,0,1.1406,1.9839
60,B,B,B,1,1,0,1.2344,1.3428
61,B,A,A,0,0,0,1.4053,0.8286
62,C,C,C,1,1,0,0.625,1.0625
63,C,D,A,0,0,1,0.0312,0.3911
64,B,B,B,1,1,0,7.0605,7.7842
65,C,C,C,1,1,0,3.6092,3.4061
66,B,B,B,1,1,0,2.3594,1.375
67,C,C,D,1,0,1,0.2812,0.563
68,A,A,A,1,1,0,9.1438,8.3
69,D,D,D,1,1,0,10.1084,9.6602
70,C,C,C,1,1,0,13.9834,12.2645
71,C,C,C,1,1,0,5.298,5.2178
72,A,A,A,1,1,0,2.4526,1.9679
73,D,D,D,1,1,0,4.5,3.4524
74,A,C,C,0,0,0,0.6562,1.3281
75,C,A,D,0,0,1,0.1719,0.1094
76,D,D,D,1,1,0,7.9492,7.187
77,A,D,D,0,0,0,0.5957,1.0625
78,B,B,B,1,1,0,5.2197,5.3583
79,D,D,D,1,1,0,11.1086,9.8752
80,B,D,D,0,0,0,0.6875,1.0312
81,A,A,A,1,1,0,12.5792,10.8248
82,A,A,A,1,1,0,10.1279,10.1855
83,B,B,B,1,1,0,1.2188,0.125
84,C,A,A,0,0,0,0.7188,0.7666
85,C,C,C,1,1,0,5.1099,4.5781
86,A,A,A,1,1,0,9.5942,8.5331
87,C,C,C,1,1,0,8.2618,6.7015
88,D,D,D,1,1,0,0.3281,1.7031
89,C,C,C,1,1,0,2.1562,2.2821
90,D,D,D,1,1,0,11.405,11.1432
91,A,A,A,1,1,0,1.3276,1.4062
92,D,A,A,0,0,0,0.75,0.6094
93,A,A,A,1,1,0,0.9229,0.2969
94,A,D,D,0,0,0,0.9219,0.5781
95,D,D,D,1,1,0,9.124,8.7961
96,A,A,A,1,1,0,3.9368,6.0145
97,A,A,A,1,1,0,11.7217,11.5797
98,B,B,D,1,0,1,0.1094,0.2656
99,C,B,B,0,0,0,5.0762,4.5791
100,A,A,A,1,1,0,1.5947,0.687
101,D,D,D,1,1,0,1.5005,6.3577
102,B,B,B,1,1,0,6.7495,5.8127
103,D,D,D,1,1,0,9.3129,9.1528
104,B,B,B,1,1,0,4.7324,4.2961
105,C,C,C,1,1,0,1.5161,3.1711
106,B,B,B,1,1,0,5.373,5.1862
107,A,A,A,1,1,0,1.25,0.3125
108,B,D,D,0,0,0,5.7041,5.9376
109,C,C,C,1,1,0,5.5956,7.2957
110,D,D,D,1,1,0,11.1577,9.4851
111,A,A,A,1,1,0,4.9985,3.8758
112,B,A,A,0,0,0,1.1406,0.5933
113,D,D,D,1,1,0,8.126,7.0295
114,D,D,D,1,1,0,7.7957,8.2325
115,D,D,D,1,1,0,6.5918,5.7637
116,B,B,B,1,1,0,10.127,9.5776
117,A,A,A,1,1,0,9.7202,8.2019
118,C,C,C,1,1,0,4.0762,5.7817
119,A,A,A,1,1,0,0.4067,0.6562
120,A,D,D,0,0,0,8.9722,7.6882
121,B,A,A,0,0,0,2.0942,0.7656
122,C,C,C,1,1,0,8.0924,8.4184
123,A,A,A,1,1,0,9.8403,8.0635
124,B,D,D,0,0,0,1.9531,1.125
125,C,C,C,1,1,0,10.9989,10.3259
126,A,A,A,1,1,0,6.4219,6.4854
127,C,D,D,0,0,0,0.5781,0.5464
128,B,B,B,1,1,0,9.8002,9.0613
129,D,C,C,0,0,0,0.5156,0.4062
130,D,D,D,1,1,0,10.189,9.5127
131,A,A,A,1,1,0,4.0312,4.1719
132,D,D,D,1,1,0,13.1865,10.6904
133,C,C,C,1,1,0,10.5947,9.205
134,C,C,C,1,1,0,5.6561,6.7024
135,C,C,C,1,1,0,5.4858,5.4373
136,C,C,C,1,1,0,7.2335,7.0155
137,D,D,D,1,1,0,10.6084,8.9043
138,A,A,A,1,1,0,8.8298,7.0483
139,C,C,C,1,1,0,0.5625,0.875
140,A,A,A,1,1,0,3.9675,4.2351
141,A,A,A,1,1,0,3.7041,4.1099
142,D,D,D,1,1,0,9.5752,9.1729
143,D,D,D,1,1,0,13.3743,12.7383
144,A,A,A,1,1,0,7.2827,7.202
145,D,D,D,1,1,0,10.127,10.4387
146,D,D,D,1,1,0,8.9854,9.3301
147,D,D,D,1,1,0,2.1401,3.1714
148,B,B,B,1,1,0,4.1211,3.7207
149,A,A,A,1,1,0,1.5645,0.7969
150,A,A,A,1,1,0,0.9062,0.9062
151,A,A,C,1,0,1,0.1094,0.2188
152,D,D,D,1,1,0,4.9229,4.7651
