idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.2573,9.8666
1,A,B,B,0,0,0,6.781,6.1392
2,B,B,A,1,0,1,2.063,1.4062
3,E,E,E,1,1,0,7.6956,7.8837
4,B,D,D,0,0,0,4.8762,4.9518
5,B,B,A,1,0,1,1.3594,0.3906
6,A,D,D,0,0,0,0.5154,0.1875
7,B,B,B,1,1,0,9.8897,9.3034
8,D,D,D,1,1,0,9.1702,9.6779
9,B,A,A,0,0,0,0.5,0.25
10,C,C,C,1,1,0,7.1098,6.6715
11,B,B,B,1,1,0,3.2965,4.1703
12,E,E,E,1,1,0,0.3906,0.3438
13,B,D,C,0,0,1,0.0469,2.7971
14,B,B,B,1,1,0,10.1319,10.2642
15,D,B,B,0,0,0,2.7809,2.4536
16,E,E,E,1,1,0,8.9429,9.0365
17,A,A,A,1,1,0,6.0784,6.6232
18,C,C,C,1,1,0,8.9833,9.0611
19,E,E,E,1,1,0,3.421,4.2828
20,B,B,B,1,1,0,4.6888,2.751
21,B,A,B,0,1,1,2.7656,0.4219
22,D,D,D,1,1,0,5.5931,5.6269
23,C,C,C,1,1,0,8.2311,8.4034
24,A,F,F,0,0,0,9.3662,9.2327
25,D,D,D,1,1,0,2.8435,3.1256
26,F,F,F,1,1,0,9.5145,9.2296
27,B,E,E,0,0,0,6.3122,6.6567
28,F,C,C,0,0,0,4.5458,4.2182
29,D,D,D,1,1,0,6.0322,5.9205
30,E,E,E,1,1,0,7.4705,6.5472
31,C,D,D,0,0,0,2.1095,2.2502
32,B,C,C,0,0,0,6.3599,6.4225
33,F,F,F,1,1,0,4.4216,4.5001
34,D,D,D,1,1,0,8.6702,8.8809
35,D,D,D,1,1,0,2.657,1.5001
36,B,A,A,0,0,0,2.6416,1.2815
37,B,B,B,1,1,0,1.4841,0.3281
38,B,B,B,1,1,0,4.2482,4.2805
39,A,A,A,1,1,0,8.3185,8.881
40,B,A,A,0,0,0,6.9209,7.0613
41,E,D,D,0,0,0,5.344,5.9371
42,E,E,E,1,1,0,7.6417,8.5656
43,A,A,A,1,1,0,6.1425,6.0791
44,D,D,D,1,1,0,7.9984,7.7331
45,F,A,A,0,0,0,0.7812,1.2183
46,C,C,C,1,1,0,6.4463,6.2968
47,E,E,E,1,1,0,0.2344,0.3594
48,F,F,F,1,1,0,8.7172,8.881
49,B,D,D,0,0,0,6.045,5.8421
50,E,E,E,1,1,0,8.1037,8.0312
51,D,D,D,1,1,0,9.2015,9.3975
52,D,D,D,1,1,0,3.4695,3.7027
53,B,D,D,0,0,0,2.3909,1.0625
54,A,A,A,1,1,0,11.7881,10.8586
55,C,B,B,0,0,0,6.2509,6.9765
56,A,A,A,1,1,0,11.3043,11.0387
57,A,C,C,0,0,0,2.7029,1.0942
58,F,F,F,1,1,0,7.086,6.8988
59,D,D,D,1,1,0,9.6628,10.0617
60,E,E,E,1,1,0,10.0384,10.0227
61,B,A,A,0,0,0,7.1699,6.3915
62,D,D,D,1,1,0,4.7655,4.9203
63,E,C,C,0,0,0,10.6863,10.7025
64,D,D,D,1,1,0,5.3431,5.5609
65,B,C,C,0,0,0,6.8361,6.578
66,A,C,C,0,0,0,3.3278,4.8439
67,C,C,C,1,1,0,1.1877,0.5156
68,E,E,E,1,1,0,5.9841,5.9356
69,F,F,F,1,1,0,5.0486,4.9988
70,A,A,A,1,1,0,11.6634,11.1088
71,F,F,F,1,1,0,8.4427,8.537
72,F,F,F,1,1,0,6.2489,6.4391
73,D,F,F,0,0,0,8.7804,9.0763
74,C,C,C,1,1,0,6.2511,5.6079
