idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,9.0977,7.7014
1,C,C,C,1,1,0,5.2357,5.0626
2,D,D,D,1,1,0,0.75,0.7344
3,B,B,B,1,1,0,2.6416,2.5469
4,B,C,C,0,0,0,2.7188,2.312
5,B,B,B,1,1,0,9.8711,8.0801
6,C,C,C,1,1,0,3.5469,8.0966
7,A,A,A,1,1,0,6.7346,4.1721
8,C,C,C,1,1,0,8.1065,11.8902
9,C,C,C,1,1,0,8.6123,8.7485
10,C,C,C,1,1,0,5.4523,4.9371
11,B,B,B,1,1,0,2.1729,1.1562
12,C,C,C,1,1,0,10.7851,7.5919
13,C,C,C,1,1,0,1.1719,1.1084
14,A,D,D,0,0,0,1.2661,1.0312
15,A,A,A,1,1,0,3.8733,3.6259
16,C,C,C,1,1,0,4.5298,4.1549
17,B,B,B,1,1,0,7.9407,7.9861
18,B,B,B,1,1,0,2.7988,3.0625
19,C,C,C,1,1,0,6.0308,3.3428
20,A,A,A,1,1,0,15.2783,1.6565
21,B,B,B,1,1,0,8.2217,6.2021
22,A,A,A,1,1,0,2.1714,0.9219
23,D,D,D,1,1,0,6.3898,5.7987
24,D,D,D,1,1,0,9.6592,9.0476
25,A,A,A,1,1,0,5.1875,0.3281
26,C,C,C,1,1,0,1.7495,1.8435
27,B,B,B,1,1,0,4.7642,5.4367
28,B,A,A,0,0,0,0.8125,0.8916
29,C,C,C,1,1,0,8.9236,10.142
30,C,D,D,0,0,0,2.0625,3.1875
31,A,A,A,1,1,0,1.7036,1.3125
32,D,D,D,1,1,0,3.8433,2.1727
33,B,C,C,0,0,0,0.8438,1.2974
34,C,C,C,1,1,0,4.0779,4.0616
35,B,B,B,1,1,0,1.8755,1.5
36,D,D,C,1,0,1,1.5,0.4062
37,B,B,C,1,0,1,0.4375,0.1875
38,D,D,D,1,1,0,9.6377,8.8894
39,C,C,C,1,1,0,1.2344,1.501
40,D,D,D,1,1,0,7.1252,4.7044
41,C,C,C,1,1,0,2.4531,2.2976
42,C,C,C,1,1,0,5.0142,6.6104
43,C,C,C,1,1,0,10.8463,9.9541
44,B,B,B,1,1,0,3.7197,3.2974
45,A,A,A,1,1,0,1.375,0.7349
46,C,C,C,1,1,0,1.8281,2.3291
47,A,A,A,1,1,0,3.6577,4.0771
48,D,D,D,1,1,0,5.2969,2.9053
49,D,D,D,1,1,0,4.9043,5.5474
50,B,A,D,0,0,1,2.1567,1.1562
51,D,C,C,0,0,0,1.844,1.2651
52,A,A,A,1,1,0,2.1709,0.6562
53,A,A,A,1,1,0,1.1719,1.4067
54,A,C,C,0,0,0,0.4697,0.3115
55,B,B,B,1,1,0,1.9678,1.3125
56,C,D,D,0,0,0,1.4844,0.5464
57,B,B,B,1,1,0,5.1074,5.2822
58,B,B,B,1,1,0,4.5952,5.218
59,D,B,B,0,0,0,1.1406,0.0625
60,B,B,B,1,1,0,1.2344,2.0312
61,B,A,A,0,0,0,1.4053,1.1875
62,C,C,C,1,1,0,0.625,3.8907
63,C,D,D,0,0,0,0.0312,1.7183
64,B,B,B,1,1,0,7.0605,5.6232
65,C,C,C,1,1,0,3.6092,2.7509
66,B,B,B,1,1,0,2.3594,3.311
67,C,C,C,1,1,0,0.2812,2.3599
68,A,A,A,1,1,0,9.1438,6.0327
69,D,D,D,1,1,0,10.1084,8.5151
70,C,C,C,1,1,0,13.9834,12.9207
71,C,C,C,1,1,0,5.298,3.9531
72,A,A,A,1,1,0,2.4526,1.4692
73,D,D,D,1,1,0,4.5,3.875
74,A,C,C,0,0,0,0.6562,0.7188
75,C,A,D,0,0,1,0.1719,1.3594
76,D,D,D,1,1,0,7.9492,7.9253
77,A,D,D,0,0,0,0.5957,1.4688
78,B,B,B,1,1,0,5.2197,6.0299
79,D,D,D,1,1,0,11.1086,7.7202
80,B,D,D,0,0,0,0.6875,1.0615
81,A,A,A,1,1,0,12.5792,10.6912
82,A,A,A,1,1,0,10.1279,7.7655
83,B,B,D,1,0,1,1.2188,0.1562
84,C,A,D,0,0,1,0.7188,0.2031
85,C,C,C,1,1,0,5.1099,5.8597
86,A,A,A,1,1,0,9.5942,6.2976
87,C,C,C,1,1,0,8.2618,11.1106
88,D,D,D,1,1,0,0.3281,1.8118
89,C,C,C,1,1,0,2.1562,2.3442
90,D,D,D,1,1,0,11.405,9.7638
91,A,A,A,1,1,0,1.3276,0.0156
92,D,A,D,0,1,1,0.75,0.0469
93,A,A,A,1,1,0,0.9229,0.25
94,A,D,D,0,0,0,0.9219,0.3125
95,D,D,D,1,1,0,9.124,7.689
96,A,A,A,1,1,0,3.9368,3.782
97,A,A,A,1,1,0,11.7217,3.0161
98,B,B,D,1,0,1,0.1094,0.9062
99,C,B,B,0,0,0,5.0762,3.6572
100,A,A,A,1,1,0,1.5947,0.5312
101,D,D,D,1,1,0,1.5005,1.719
102,B,B,B,1,1,0,6.7495,6.4513
103,D,D,D,1,1,0,9.3129,8.6911
104,B,B,B,1,1,0,4.7324,5.2949
105,C,C,C,1,1,0,1.5161,1.8445
106,B,B,B,1,1,0,5.373,7.5931
107,A,A,A,1,1,0,1.25,0.2031
108,B,D,D,0,0,0,5.7041,4.7796
109,C,C,C,1,1,0,5.5956,5.219
110,D,D,D,1,1,0,11.1577,7.561
111,A,A,A,1,1,0,4.9985,4.3276
112,B,A,C,0,0,1,1.1406,0.25
113,D,D,D,1,1,0,8.126,7.5508
114,D,D,D,1,1,0,7.7957,9.3412
115,D,D,D,1,1,0,6.5918,4.4983
116,B,B,B,1,1,0,10.127,8.9211
117,A,A,A,1,1,0,9.7202,7.0637
118,C,C,C,1,1,0,4.0762,5.0145
119,A,A,A,1,1,0,0.4067,0.9841
120,A,D,D,0,0,0,8.9722,6.7668
121,B,A,A,0,0,0,2.0942,1.1885
122,C,C,C,1,1,0,8.0924,8.3253
123,A,A,A,1,1,0,9.8403,3.1714
124,B,D,D,0,0,0,1.9531,1.6565
125,C,C,C,1,1,0,10.9989,12.2011
126,A,A,A,1,1,0,6.4219,5.8286
127,C,D,C,0,1,1,0.5781,3.046
128,B,B,B,1,1,0,9.8002,8.5587
129,D,C,D,0,1,1,0.5156,0.7188
130,D,D,D,1,1,0,10.189,9.285
131,A,A,A,1,1,0,4.0312,2.5469
132,D,D,D,1,1,0,13.1865,10.2065
133,C,C,C,1,1,0,10.5947,7.5921
134,C,C,C,1,1,0,5.6561,11.0027
135,C,C,C,1,1,0,5.4858,6.6264
136,C,C,C,1,1,0,7.2335,7.8448
137,D,D,D,1,1,0,10.6084,9.2348
138,A,A,A,1,1,0,8.8298,7.0952
139,C,C,A,1,0,1,0.5625,0.0312
