idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.8502,10.64
1,C,C,C,1,1,0,9.5677,9.4984
2,D,D,D,1,1,0,0.5781,0.7034
3,B,D,D,0,0,0,9.4112,9.1621
4,B,B,B,1,1,0,7.6258,7.2188
5,B,B,B,1,1,0,10.4831,10.4525
6,C,C,C,1,1,0,8.7005,8.6153
7,A,A,A,1,1,0,10.9132,10.8665
8,C,C,C,1,1,0,11.2412,11.2649
9,C,C,C,1,1,0,11.1856,11.0224
10,C,C,C,1,1,0,10.9987,10.6946
11,B,B,B,1,1,0,11.0146,11.1165
12,C,C,C,1,1,0,9.458,9.5996
13,C,C,C,1,1,0,10.011,9.8722
14,A,A,A,1,1,0,1.4219,1.688
15,A,A,A,1,1,0,10.0665,10.1381
16,C,C,C,1,1,0,8.8568,8.858
17,B,B,B,1,1,0,9.6831,9.5596
18,B,B,B,1,1,0,10.1542,9.913
19,C,C,C,1,1,0,10.0058,10.1001
20,A,A,A,1,1,0,10.9052,10.8665
21,B,B,B,1,1,0,11.1704,11.0931
22,A,A,A,1,1,0,10.5286,10.4049
23,D,D,D,1,1,0,10.95,10.6942
24,D,D,D,1,1,0,10.006,10.069
25,A,A,A,1,1,0,10.2395,9.975
26,C,C,C,1,1,0,9.5289,9.2956
27,B,B,B,1,1,0,9.6793,9.6214
28,B,B,B,1,1,0,4.923,4.7191
29,C,C,C,1,1,0,11.2957,11.1164
30,C,C,C,1,1,0,10.0489,10.149
31,A,A,A,1,1,0,11.3117,11.2807
32,D,D,D,1,1,0,9.7414,9.7651
33,B,B,B,1,1,0,5.2964,5.6105
34,C,C,C,1,1,0,10.839,10.6613
35,B,C,C,0,0,0,0.9065,1.7814
36,D,D,D,1,1,0,10.5911,10.6549
37,B,B,B,1,1,0,9.6846,9.5952
38,D,D,D,1,1,0,10.9557,11.0183
39,C,B,B,0,0,0,4.1111,4.3265
40,D,C,C,0,0,0,6.3577,6.7879
41,C,C,C,1,1,0,10.5299,10.2958
42,C,C,C,1,1,0,10.0059,9.9673
43,C,C,C,1,1,0,11.3041,11.1949
44,B,B,B,1,1,0,10.4291,10.484
45,A,A,A,1,1,0,7.4374,8.192
46,C,C,C,1,1,0,11.0137,10.8656
47,A,A,A,1,1,0,10.2393,10.194
48,D,D,D,1,1,0,9.0916,9.155
49,D,D,D,1,1,0,8.2102,8.4538
50,B,A,A,0,0,0,4.2494,3.7505
51,D,D,D,1,1,0,8.1351,8.247
52,A,A,A,1,1,0,9.5456,9.5851
53,A,A,A,1,1,0,9.919,9.8504
54,A,A,A,1,1,0,6.532,6.7811
55,B,B,B,1,1,0,9.7798,9.5851
56,C,C,C,1,1,0,8.9756,8.8818
57,B,B,B,1,1,0,11.2291,10.8726
58,B,B,B,1,1,0,10.2875,10.2336
59,D,D,D,1,1,0,5.4078,5.8735
60,B,B,B,1,1,0,8.189,8.4658
61,B,B,B,1,1,0,5.001,5.5331
62,C,C,C,1,1,0,9.9107,9.8496
63,C,C,C,1,1,0,8.8461,8.9261
64,B,B,B,1,1,0,10.074,10.0215
65,C,C,C,1,1,0,9.0455,9.0613
66,B,B,B,1,1,0,10.1288,9.9983
67,C,C,C,1,1,0,8.2228,8.2555
68,A,A,A,1,1,0,10.8664,10.726
69,D,D,D,1,1,0,11.7322,11.5897
70,C,C,C,1,1,0,11.576,11.3735
71,C,C,C,1,1,0,7.3344,7.3028
72,A,A,A,1,1,0,9.4993,9.3978
73,D,D,D,1,1,0,10.4994,10.6793
74,A,B,B,0,0,0,2.1558,0.6719
75,C,C,C,1,1,0,10.46,10.2804
76,D,D,D,1,1,0,10.0455,9.9212
77,A,A,A,1,1,0,8.4581,8.342
78,B,B,B,1,1,0,10.1232,9.9753
79,D,D,D,1,1,0,9.8879,9.8814
80,B,B,B,1,1,0,5.7028,6.2818
81,A,A,A,1,1,0,11.7101,11.5152
82,A,A,A,1,1,0,10.9757,10.8899
83,B,B,B,1,1,0,7.6732,7.4383
84,C,C,C,1,1,0,8.0733,8.1688
85,C,C,C,1,1,0,10.1073,10.1155
86,A,A,A,1,1,0,11.0457,10.7884
87,C,C,C,1,1,0,11.4353,11.3269
88,D,D,D,1,1,0,9.6432,9.5806
89,C,C,C,1,1,0,9.4511,9.2252
90,D,D,D,1,1,0,11.0776,11.1012
91,A,A,A,1,1,0,10.444,10.2179
92,D,D,D,1,1,0,1.2031,1.594
93,A,C,C,0,0,0,5.5794,6.1077
94,A,B,B,0,0,0,2.2347,2.6407
95,D,D,D,1,1,0,10.6472,10.3976
96,A,A,A,1,1,0,10.8584,10.7572
97,A,A,A,1,1,0,11.9127,11.8118
98,B,A,A,0,0,0,8.6001,8.8417
99,C,B,B,0,0,0,5.8765,5.9825
100,A,A,A,1,1,0,8.2326,8.7175
101,D,D,D,1,1,0,8.5218,8.9913
102,B,B,B,1,1,0,10.9506,10.8661
103,D,D,D,1,1,0,10.9638,10.8577
104,B,B,B,1,1,0,10.0918,9.8662
105,C,C,C,1,1,0,11.2361,10.9738
106,B,B,B,1,1,0,10.1062,9.9908
107,A,A,A,1,1,0,6.8887,6.7661
108,B,D,D,0,0,0,6.8752,7.0643
109,C,C,C,1,1,0,11.0773,10.9368
110,D,D,D,1,1,0,10.0046,10.0309
111,A,A,A,1,1,0,9.8506,9.5773
112,B,A,B,0,1,1,0.5,0.0938
113,D,D,D,1,1,0,11.3894,11.3432
114,D,D,D,1,1,0,10.6013,10.8357
115,D,D,D,1,1,0,9.072,9.1533
116,B,B,B,1,1,0,11.5527,11.4957
117,A,A,A,1,1,0,11.4988,11.3196
118,C,C,C,1,1,0,10.2558,10.2566
119,A,A,A,1,1,0,10.1453,10.1696
120,A,A,A,1,1,0,5.547,5.892
121,B,A,A,0,0,0,8.4117,8.0411
122,C,C,C,1,1,0,10.2679,10.2315
123,A,A,A,1,1,0,11.2565,11.1867
124,B,B,B,1,1,0,3.0308,2.9529
125,C,C,C,1,1,0,11.7488,11.8118
126,A,A,A,1,1,0,11.1762,10.769
127,C,C,C,1,1,0,10.5129,10.5608
128,B,B,B,1,1,0,11.0382,10.9996
129,D,C,C,0,0,0,8.33,8.2309
130,D,D,D,1,1,0,11.5531,11.2727
131,A,A,A,1,1,0,7.9751,8.0433
132,D,D,D,1,1,0,10.9369,11.0309
133,C,C,C,1,1,0,10.0105,10.0516
134,C,C,C,1,1,0,11.1007,10.8431
135,C,C,C,1,1,0,11.1705,11.0068
136,C,C,C,1,1,0,11.459,11.3505
137,D,D,D,1,1,0,10.9797,10.8888
138,A,A,A,1,1,0,11.7079,11.6474
139,C,C,C,1,1,0,6.1075,5.7036
140,A,A,A,1,1,0,11.6399,11.4527
