idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.0754,11.7963
1,A,B,B,0,0,0,7.6559,7.7023
2,B,B,B,1,1,0,5.1893,5.0781
3,E,E,E,1,1,0,5.6232,8.8002
4,B,B,B,1,1,0,4.7505,6.5327
5,B,B,B,1,1,0,2.0623,2.5934
6,A,C,C,0,0,0,1.4685,1.9379
7,B,B,B,1,1,0,12.8906,13.7003
8,D,D,D,1,1,0,12.9853,14.7986
9,B,C,C,0,0,0,0.3438,0.375
10,C,C,C,1,1,0,1.7809,2.5933
11,B,B,B,1,1,0,14.3261,14.9853
12,E,E,E,1,1,0,2.8909,4.1255
13,B,B,B,1,1,0,1.7195,1.5784
14,B,B,B,1,1,0,11.4554,12.8598
15,D,B,D,0,1,1,0.9839,2.4224
16,E,E,E,1,1,0,5.5321,7.0793
17,A,B,B,0,0,0,5.2031,6.2344
18,C,C,C,1,1,0,5.5151,6.233
19,E,B,B,0,0,0,0.3125,0.375
20,B,B,B,1,1,0,8.4526,9.0791
21,B,A,A,0,0,0,0.7188,1.0935
22,D,D,D,1,1,0,5.3116,7.7674
23,C,C,C,1,1,0,1.2815,1.0002
24,A,F,F,0,0,0,11.7943,12.1601
25,D,A,A,0,0,0,12.6552,13.0304
26,F,C,C,0,0,0,4.9057,4.4995
27,B,B,B,1,1,0,3.4527,3.1247
28,F,B,B,0,0,0,8.4535,8.1714
29,D,D,D,1,1,0,2.5318,3.578
30,E,E,E,1,1,0,4.0165,5.1086
31,C,C,C,1,1,0,1.4062,1.7189
32,B,B,B,1,1,0,4.3293,4.7028
33,F,F,F,1,1,0,2.3131,4.1549
34,D,D,D,1,1,0,8.1992,9.1253
35,D,D,D,1,1,0,1.5935,1.3746
36,B,B,B,1,1,0,2.6085,2.8437
37,B,B,B,1,1,0,7.7353,8.6556
38,B,B,B,1,1,0,10.4063,11.1433
39,A,A,A,1,1,0,4.8925,3.9697
40,B,B,B,1,1,0,11.6998,13.0969
41,E,B,B,0,0,0,11.6881,11.8628
42,E,E,E,1,1,0,10.9881,11.9984
43,A,A,A,1,1,0,0.2188,0.6562
44,D,D,D,1,1,0,14.7504,15.643
45,F,A,A,0,0,0,4.9674,3.4071
46,C,C,C,1,1,0,7.9833,9.2818
47,E,B,B,0,0,0,1.9994,1.6246
48,F,F,F,1,1,0,10.2363,10.5637
49,B,D,D,0,0,0,3.1881,3.8116
50,E,E,E,1,1,0,6.7201,8.2823
51,D,D,D,1,1,0,18.2682,18.662
52,D,D,D,1,1,0,3.8747,5.3765
53,B,B,B,1,1,0,5.9674,6.016
54,A,A,A,1,1,0,15.6736,16.2247
55,C,C,C,1,1,0,5.6884,6.5331
56,A,A,A,1,1,0,18.088,18.1183
57,A,B,B,0,0,0,0.3745,1.0308
58,F,F,F,1,1,0,2.4847,2.5007
59,D,D,D,1,1,0,16.2451,16.7017
60,E,E,E,1,1,0,0.125,1.3127
61,B,B,B,1,1,0,4.3925,4.6711
62,D,B,B,0,0,0,0.4375,0.4688
63,E,C,C,0,0,0,15.8459,15.2466
64,D,D,D,1,1,0,9.234,12.0307
65,B,C,C,0,0,0,6.5016,9.6368
66,A,A,A,1,1,0,10.6092,12.0191
67,C,C,C,1,1,0,11.9077,13.1226
68,E,C,C,0,0,0,1.0315,0.8748
69,F,F,F,1,1,0,3.6556,4.0612
70,A,A,A,1,1,0,14.9401,15.581
71,F,B,B,0,0,0,0.4062,0.3438
72,F,F,F,1,1,0,13.1246,13.3148
73,D,F,F,0,0,0,0.125,2.0315
74,C,C,C,1,1,0,14.5033,14.8893
75,E,E,E,1,1,0,6.2043,7.5773
76,A,B,B,0,0,0,5.6557,5.8129
77,E,B,B,0,0,0,6.4204,5.5639
78,F,F,F,1,1,0,0.3433,0.4995
79,A,B,B,0,0,0,3.0623,4.6257
80,E,B,B,0,0,0,0.9995,1.3754
81,E,E,E,1,1,0,16.5232,19.1036
82,B,B,B,1,1,0,17.7533,18.1976
83,B,B,B,1,1,0,0.8755,0.1562
84,A,A,A,1,1,0,1.1877,0.375
85,C,D,D,0,0,0,0.688,0.5625
86,E,E,E,1,1,0,8.8423,9.8296
87,A,A,A,1,1,0,17.2182,17.7338
88,B,D,D,0,0,0,1.3752,1.4062
89,A,A,A,1,1,0,3.1245,1.6559
90,C,C,C,1,1,0,0.6875,0.563
91,D,B,B,0,0,0,1.1875,0.3755
92,E,E,E,1,1,0,3.0941,3.5473
93,C,B,B,0,0,0,2.4688,4.936
94,F,A,A,0,0,0,1.5623,1.874
95,E,F,F,0,0,0,4.484,7.1257
96,E,C,C,0,0,0,3.3117,0.4062
97,E,D,D,0,0,0,3.5615,2.2822
98,B,A,A,0,0,0,2.0627,2.0001
99,F,E,E,0,0,0,0.6558,1.0005
100,C,C,C,1,1,0,8.39,7.9836
101,D,D,D,1,1,0,2.7509,4.0609
102,C,C,C,1,1,0,7.7337,8.1554
103,A,B,B,0,0,0,1.063,1.2498
104,F,B,B,0,0,0,2.2185,4.0327
105,C,C,C,1,1,0,3.3436,3.8434
106,D,A,A,0,0,0,1.1877,0.4998
107,B,B,B,1,1,0,14.2975,14.575
108,F,A,A,0,0,0,4.4222,4.6548
109,C,B,B,0,0,0,11.7773,12.6544
110,B,B,A,1,0,1,0.125,0.2817
111,D,D,D,1,1,0,4.4705,4.9701
112,D,D,D,1,1,0,15.6095,16.4156
113,F,B,F,0,1,1,1.2969,0.6248
114,E,D,D,0,0,0,6.1707,6.9372
115,B,B,B,1,1,0,17.5465,17.189
116,C,C,C,1,1,0,8.2939,8.9352
117,C,C,C,1,1,0,1.281,0.125
118,F,F,F,1,1,0,6.0007,6.7973
119,E,E,E,1,1,0,12.7222,12.4718
120,A,C,C,0,0,0,17.4475,17.2965
