idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.1412,2.0778
1,A,A,A,1,1,0,3.7342,3.39
2,B,A,A,0,0,0,1.2815,0.9995
3,C,A,C,0,1,1,0.0,0.3442
4,C,A,C,0,1,1,0.0625,0.4214
5,C,A,A,0,0,0,0.5005,0.1406
6,A,A,A,1,1,0,0.3438,0.3276
7,B,A,A,0,0,0,1.3589,1.3279
8,C,A,A,0,0,0,0.8281,0.2656
9,B,B,B,1,1,0,0.7183,0.1714
10,B,A,A,0,0,0,2.7338,2.39
11,C,A,A,0,0,0,1.1719,0.5625
12,C,A,A,0,0,0,0.6724,0.625
13,B,A,A,0,0,0,1.1094,1.6248
14,B,A,A,0,0,0,2.0006,2.0009
15,C,A,A,0,0,0,0.9841,0.5938
16,B,A,A,0,0,0,2.5321,2.4219
17,C,A,A,0,0,0,0.3599,0.4219
18,A,A,A,1,1,0,2.9681,3.1248
19,A,A,A,1,1,0,2.5788,2.4532
20,C,A,A,0,0,0,0.437,0.0781
21,B,A,A,0,0,0,1.5942,1.8289
22,C,C,C,1,1,0,0.0938,0.1562
23,C,A,A,0,0,0,0.4375,0.2192
24,C,C,C,1,1,0,0.4844,0.6401
25,B,A,A,0,0,0,1.4688,1.2974
26,C,A,A,0,0,0,0.3901,0.1719
27,C,A,A,0,0,0,1.4373,0.9844
28,C,A,A,0,0,0,0.5312,0.5
29,B,A,A,0,0,0,0.9214,0.8435
30,B,A,A,0,0,0,0.1406,0.2656
31,B,A,A,0,0,0,0.5938,0.2188
32,B,A,A,0,0,0,3.3898,3.3593
33,B,A,A,0,0,0,0.9531,0.5625
34,A,A,A,1,1,0,3.2338,3.0157
35,C,A,A,0,0,0,1.1245,0.8911
36,A,A,A,1,1,0,4.3898,4.4987
37,B,A,A,0,0,0,1.281,1.25
38,C,C,C,1,1,0,0.8281,0.9844
39,C,A,A,0,0,0,1.6404,1.1721
40,A,A,A,1,1,0,4.0928,4.0468
41,B,A,A,0,0,0,0.563,0.875
42,B,A,A,0,0,0,1.9844,1.6405
43,A,A,A,1,1,0,2.1251,2.4995
44,A,A,A,1,1,0,2.5314,3.1404
45,A,A,A,1,1,0,4.7335,4.8106
46,C,A,A,0,0,0,1.0474,0.8748
47,B,A,A,0,0,0,2.36,1.9683
48,C,A,A,0,0,0,1.0,0.7656
49,C,C,C,1,1,0,0.5938,0.8125
50,C,A,C,0,1,1,0.2969,0.2808
51,A,A,A,1,1,0,4.4861,3.422
52,C,C,C,1,1,0,0.25,0.3589
53,A,A,A,1,1,0,1.7346,1.4688
54,A,A,A,1,1,0,1.0623,1.1252
55,C,B,B,0,0,0,0.0625,0.125
56,A,A,A,1,1,0,5.2639,5.5938
57,C,C,C,1,1,0,0.2339,0.25
58,C,C,C,1,1,0,0.438,0.3438
59,A,A,A,1,1,0,2.8586,2.5308
60,A,A,A,1,1,0,5.1881,5.0947
61,C,A,A,0,0,0,0.8594,0.7188
62,A,A,A,1,1,0,0.0469,0.0312
63,B,A,A,0,0,0,1.0942,0.9839
64,A,A,A,1,1,0,1.9056,1.7971
65,C,C,C,1,1,0,0.562,0.5938
66,A,A,A,1,1,0,1.3284,1.438
67,C,A,A,0,0,0,0.75,0.7812
68,B,A,A,0,0,0,3.6259,3.2652
69,A,A,A,1,1,0,1.6411,1.7191
70,B,A,A,0,0,0,1.2651,1.6406
71,B,A,A,0,0,0,0.4219,0.4839
72,C,A,C,0,1,1,0.25,0.0312
73,A,A,A,1,1,0,3.8914,3.5472
74,B,A,A,0,0,0,2.7812,2.3745
75,C,A,A,0,0,0,1.4534,1.156
76,A,A,A,1,1,0,3.344,3.5304
77,A,A,A,1,1,0,1.5001,1.3125
78,B,A,A,0,0,0,2.3118,2.6397
79,A,A,A,1,1,0,4.0618,3.6884
80,C,A,C,0,1,1,0.0938,0.0469
81,B,A,A,0,0,0,2.3755,2.1714
82,B,A,A,0,0,0,1.3596,0.7812
83,A,A,A,1,1,0,3.9381,3.4522
84,A,A,A,1,1,0,5.8267,5.3768
85,A,A,A,1,1,0,1.0471,1.0312
86,C,C,C,1,1,0,0.1719,0.5469
87,C,A,A,0,0,0,0.563,0.3286
88,C,A,A,0,0,0,0.5781,0.2808
89,A,A,A,1,1,0,2.1245,1.8756
90,C,B,A,0,0,1,0.1719,0.1875
91,C,A,A,0,0,0,0.4062,0.4375
92,A,A,A,1,1,0,2.3281,1.9991
93,A,A,A,1,1,0,2.3603,3.1727
94,A,A,A,1,1,0,1.5935,1.9054
95,A,A,A,1,1,0,3.5305,3.5468
96,A,A,A,1,1,0,0.9692,0.6562
97,B,A,A,0,0,0,2.14,1.86
98,C,C,C,1,1,0,0.3276,0.8125
99,A,A,A,1,1,0,4.3766,4.3444
100,C,A,A,0,0,0,0.4375,0.0625
101,A,A,A,1,1,0,0.8594,0.5781
102,A,A,A,1,1,0,4.4076,4.4364
103,C,C,C,1,1,0,0.7502,1.3285
104,C,A,A,0,0,0,0.5786,0.3438
105,B,B,C,1,0,1,0.3281,0.3125
106,B,A,A,0,0,0,1.9214,1.7343
107,B,A,A,0,0,0,4.5137,4.7669
108,C,A,C,0,1,1,0.2344,0.2188
109,B,A,A,0,0,0,1.843,1.3909
110,A,A,A,1,1,0,3.0785,3.5947
111,B,A,A,0,0,0,3.3904,2.7354
112,A,A,A,1,1,0,3.5005,2.9531
113,B,A,A,0,0,0,2.4689,2.5322
114,B,A,A,0,0,0,3.0628,3.1554
115,A,A,A,1,1,0,4.3604,4.6895
116,C,A,A,0,0,0,0.7026,0.4219
117,A,A,A,1,1,0,1.7821,2.2821
118,A,A,A,1,1,0,1.1099,0.9534
119,A,A,A,1,1,0,0.5938,0.6255
120,B,A,A,0,0,0,2.6401,2.7029
121,C,A,A,0,0,0,1.7034,1.2812
122,B,A,A,0,0,0,0.313,0.4526
123,C,A,A,0,0,0,0.9375,0.6406
124,B,A,A,0,0,0,0.4849,0.0
125,A,A,A,1,1,0,3.6412,3.8129
126,B,A,A,0,0,0,3.4221,3.1407
127,C,C,C,1,1,0,1.0161,0.9375
128,A,A,A,1,1,0,2.4064,2.3447
129,B,A,A,0,0,0,2.7495,2.3121
130,C,A,A,0,0,0,1.094,0.4531
131,B,A,A,0,0,0,3.1719,3.0934
132,A,A,A,1,1,0,2.5321,2.5781
133,C,A,C,0,1,1,0.2026,0.187
134,C,C,C,1,1,0,0.5151,0.5151
135,C,A,A,0,0,0,0.8286,0.6719
136,A,A,A,1,1,0,3.0148,3.0939
137,C,C,C,1,1,0,0.5,0.6562
138,A,A,A,1,1,0,2.8124,2.5933
139,B,A,A,0,0,0,2.1711,2.1553
140,A,A,A,1,1,0,2.6567,2.6415
141,A,A,A,1,1,0,1.6873,1.6094
142,B,A,A,0,0,0,0.969,0.6875
143,B,A,A,0,0,0,2.5159,2.1095
144,C,C,C,1,1,0,0.3276,0.563
145,C,A,A,0,0,0,0.2812,0.2656
146,A,A,A,1,1,0,7.1394,5.8284
147,C,A,A,0,0,0,0.3745,0.7344
148,B,A,A,0,0,0,1.187,1.0784
149,A,A,A,1,1,0,1.9841,1.5
150,C,A,C,0,1,1,0.188,0.2344
151,B,A,A,0,0,0,1.6876,1.3286
152,C,C,C,1,1,0,0.0156,0.2183
153,B,A,A,0,0,0,3.6103,3.6086
154,C,A,C,0,1,1,0.1094,0.6714
155,B,A,A,0,0,0,0.375,0.3281
156,C,A,A,0,0,0,0.3745,0.6411
157,A,A,A,1,1,0,2.6259,2.4056
158,B,A,A,0,0,0,0.5933,0.375
159,A,A,A,1,1,0,2.1555,1.9376
160,C,C,C,1,1,0,0.563,0.7349
161,C,A,A,0,0,0,0.6089,0.4062
162,C,C,C,1,1,0,0.3594,0.4839
163,C,A,A,0,0,0,1.4532,0.4062
164,A,A,A,1,1,0,2.4054,2.4846
165,A,A,A,1,1,0,1.2029,1.1877
166,C,A,C,0,1,1,0.25,0.0312
167,C,A,A,0,0,0,1.3748,0.5312
168,B,A,A,0,0,0,2.7808,2.5474
169,A,A,A,1,1,0,2.2976,1.9525
170,C,A,A,0,0,0,0.3906,0.0156
171,A,A,A,1,1,0,2.2494,2.047
172,C,C,C,1,1,0,0.2031,0.2969
173,A,A,A,1,1,0,2.9055,2.9064
174,A,A,A,1,1,0,4.1553,3.7656
175,C,C,C,1,1,0,0.2188,0.6719
176,B,A,A,0,0,0,0.875,1.0156
