idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.2891,0.2188
1,A,A,A,1,1,0,1.3281,0.3281
2,B,A,C,0,0,1,0.5469,0.1094
3,C,B,B,0,0,0,0.5781,0.0781
4,C,B,B,0,0,0,0.6094,0.1406
5,C,B,B,0,0,0,0.5781,0.75
6,A,A,A,1,1,0,1.4072,0.4844
7,B,A,B,0,1,1,0.6406,0.4536
8,C,B,B,0,0,0,0.3584,0.3125
9,B,B,B,1,1,0,0.2812,0.7505
10,B,A,A,0,0,0,1.0166,0.25
11,C,A,C,0,1,1,0.6396,0.0469
12,C,B,B,0,0,0,0.1719,0.1797
13,B,A,B,0,1,1,0.5781,0.4531
14,B,A,C,0,0,1,0.624,0.6172
15,C,B,B,0,0,0,0.1562,0.2026
16,B,B,B,1,1,0,0.5459,0.6089
17,C,B,B,0,0,0,0.1719,0.8755
18,A,A,A,1,1,0,2.0332,0.563
19,A,A,A,1,1,0,1.4697,2.6523
20,C,B,B,0,0,0,0.5166,0.5312
21,B,A,B,0,1,1,0.4072,0.0312
22,C,B,A,0,0,1,0.4062,0.834
23,C,A,A,0,0,0,2.3438,1.7661
24,C,C,B,1,0,1,0.1562,0.5317
25,B,B,B,1,1,0,0.1875,0.3906
26,C,B,B,0,0,0,0.5781,0.4375
27,C,B,C,0,1,1,0.2188,0.1562
28,C,B,B,0,0,0,0.5312,0.1328
29,B,B,B,1,1,0,0.0469,0.8125
30,B,A,C,0,0,1,0.0469,0.0156
31,B,A,A,0,0,0,0.5156,1.123
32,B,A,B,0,1,1,0.3594,0.2812
33,B,A,B,0,1,1,0.5,0.0938
34,A,A,A,1,1,0,2.2988,0.5625
35,C,B,B,0,0,0,0.3594,0.2344
36,A,A,A,1,1,0,1.2656,1.1719
37,B,A,C,0,0,1,1.0469,0.1562
38,C,B,B,0,0,0,0.5479,0.3594
39,C,A,B,0,0,1,0.7344,0.3276
40,A,A,C,1,0,1,1.7812,0.25
41,B,A,B,0,1,1,0.9531,0.2188
42,B,A,A,0,0,0,1.5781,0.2812
43,A,A,A,1,1,0,1.9053,0.8359
44,A,A,A,1,1,0,2.4854,0.7192
45,A,A,A,1,1,0,1.9531,0.6089
46,C,A,B,0,0,1,0.0625,0.1411
47,B,A,C,0,0,1,0.7969,0.0781
48,C,A,B,0,0,1,0.3896,0.5
49,C,B,B,0,0,0,0.3906,0.3438
50,C,B,B,0,0,0,0.2969,0.125
51,A,A,A,1,1,0,1.4375,0.3125
52,C,B,B,0,0,0,0.0625,0.2661
53,A,A,A,1,1,0,1.7197,1.187
54,A,A,A,1,1,0,2.1719,0.5781
55,C,B,B,0,0,0,0.375,0.5776
56,A,A,A,1,1,0,2.0459,1.9297
57,C,B,B,0,0,0,0.1719,0.1875
58,C,B,B,0,0,0,0.1875,0.6562
59,A,A,A,1,1,0,1.5459,0.6401
60,A,A,A,1,1,0,2.376,1.2817
61,C,A,B,0,0,1,0.125,0.4062
62,A,A,A,1,1,0,1.9375,1.1724
63,B,A,B,0,1,1,0.3438,0.6719
64,A,A,A,1,1,0,2.375,1.0703
65,C,B,B,0,0,0,0.4062,0.1558
66,A,A,A,1,1,0,1.5469,0.8984
67,C,B,B,0,0,0,0.2031,0.1094
68,B,A,B,0,1,1,0.2969,0.3286
69,A,A,A,1,1,0,1.7334,1.3745
70,B,A,B,0,1,1,0.3281,0.3281
71,B,A,B,0,1,1,0.1094,0.7266
72,C,B,B,0,0,0,0.2812,0.4062
73,A,A,A,1,1,0,2.1406,0.2339
74,B,A,A,0,0,0,0.9697,0.5781
75,C,A,B,0,0,1,0.2031,0.1406
76,A,A,A,1,1,0,2.3438,2.9258
77,A,A,C,1,0,1,1.2666,0.0469
78,B,B,B,1,1,0,0.0156,0.6719
79,A,A,A,1,1,0,2.0771,1.5166
80,C,B,B,0,0,0,0.0781,0.1411
81,B,A,B,0,1,1,0.75,0.4531
82,B,A,B,0,1,1,0.4072,0.4688
83,A,A,A,1,1,0,1.9385,0.6406
84,A,A,A,1,1,0,1.7959,0.6875
85,A,A,A,1,1,0,1.9072,1.3594
