idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,1.2812,2.1484
1,C,A,A,0,0,0,1.4375,2.7969
2,D,A,A,0,0,0,2.3047,3.7109
3,B,A,A,0,0,0,2.0234,1.3047
4,B,A,A,0,0,0,1.9297,2.7246
5,B,A,A,0,0,0,1.0234,2.5312
6,C,A,A,0,0,0,1.1797,1.9668
7,A,A,A,1,1,0,1.877,2.5234
8,C,A,A,0,0,0,1.5078,2.6777
9,C,A,A,0,0,0,0.0391,1.4297
10,C,A,A,0,0,0,0.7031,3.1699
11,B,A,A,0,0,0,1.8047,3.1973
12,C,A,A,0,0,0,1.5781,2.6719
13,C,A,A,0,0,0,1.5,2.9453
14,A,A,A,1,1,0,2.2969,2.9824
15,A,A,A,1,1,0,1.6016,2.2344
16,C,A,A,0,0,0,3.0312,3.2656
17,B,A,A,0,0,0,1.3828,2.0957
18,B,A,A,0,0,0,2.2324,3.2441
19,C,A,A,0,0,0,0.9609,3.4316
20,A,A,A,1,1,0,2.8281,3.9688
21,B,A,A,0,0,0,1.0234,2.3438
22,A,A,A,1,1,0,1.7422,3.5547
23,D,A,A,0,0,0,1.0156,2.1035
24,D,A,A,0,0,0,1.2266,2.2324
25,A,A,A,1,1,0,2.8906,3.5156
26,C,A,A,0,0,0,1.2031,2.5
27,B,A,A,0,0,0,0.5625,1.9473
28,B,A,A,0,0,0,1.2422,2.2031
29,C,A,A,0,0,0,2.2422,2.5469
30,C,A,A,0,0,0,0.9766,3.5059
31,A,A,A,1,1,0,2.0547,3.0371
32,D,A,A,0,0,0,2.5781,2.9277
33,B,A,A,0,0,0,1.0234,1.7402
34,C,A,A,0,0,0,0.8438,2.0625
35,B,A,A,0,0,0,1.9609,2.9863
36,D,A,A,0,0,0,0.5,1.8809
37,B,A,A,0,0,0,2.3906,3.3379
38,D,A,A,0,0,0,1.375,2.2129
39,C,A,A,0,0,0,1.2656,3.6465
40,D,A,A,0,0,0,1.1094,2.4219
41,C,A,A,0,0,0,2.8984,3.2598
42,C,A,A,0,0,0,1.1562,2.3203
43,C,A,A,0,0,0,0.6328,2.7812
44,B,A,A,0,0,0,1.2109,3.3672
45,A,A,A,1,1,0,2.0234,3.3984
46,C,A,A,0,0,0,1.7891,3.125
47,A,A,A,1,1,0,1.4609,2.4453
48,D,A,A,0,0,0,1.5547,1.5
49,D,A,A,0,0,0,1.0,2.3125
50,B,A,A,0,0,0,1.4922,3.3047
51,D,A,A,0,0,0,1.5859,1.9609
52,A,A,A,1,1,0,2.5781,3.4824
53,A,A,A,1,1,0,1.7578,2.4609
54,A,A,A,1,1,0,1.7324,3.0234
55,B,A,A,0,0,0,2.1172,2.7188
56,C,A,A,0,0,0,1.9688,2.8535
57,B,A,A,0,0,0,1.9453,1.9766
58,B,A,A,0,0,0,1.6094,2.0234
59,D,A,A,0,0,0,1.3516,1.2012
60,B,A,A,0,0,0,0.7578,2.7109
61,B,A,A,0,0,0,2.0391,2.791
62,C,A,A,0,0,0,0.8281,2.4707
63,C,A,A,0,0,0,1.1953,1.9609
64,B,A,A,0,0,0,1.0469,2.2051
65,C,A,A,0,0,0,1.4922,2.5703
66,B,A,A,0,0,0,1.1172,2.5566
67,C,A,A,0,0,0,0.7344,2.1777
68,A,A,A,1,1,0,1.4688,2.9531
69,D,A,A,0,0,0,1.0859,1.8066
70,C,A,A,0,0,0,0.8594,2.3672
71,C,A,A,0,0,0,1.3359,1.7715
72,A,A,A,1,1,0,2.5312,2.9531
73,D,A,A,0,0,0,2.0938,3.2969
74,A,A,A,1,1,0,3.1562,2.8594
75,C,A,A,0,0,0,2.0703,2.5234
76,D,A,A,0,0,0,0.7188,1.2422
77,A,A,A,1,1,0,2.375,3.0527
78,B,A,A,0,0,0,0.9766,1.8828
79,D,A,A,0,0,0,1.375,2.3652
80,B,A,A,0,0,0,1.375,2.0391
81,A,A,A,1,1,0,1.9688,3.7129
82,A,A,A,1,1,0,1.5234,2.5781
83,B,A,A,0,0,0,3.3438,3.1562
84,C,A,A,0,0,0,1.4141,1.5859
85,C,A,A,0,0,0,1.4531,2.916
86,A,A,A,1,1,0,1.7188,2.8359
87,C,A,A,0,0,0,1.0156,2.0254
88,D,A,A,0,0,0,2.2578,3.6953
89,C,A,A,0,0,0,2.0859,2.3359
90,D,A,A,0,0,0,1.6016,1.916
91,A,A,A,1,1,0,1.6641,2.9277
92,D,A,A,0,0,0,0.8281,3.0938
93,A,A,A,1,1,0,2.125,3.1309
94,A,A,A,1,1,0,2.8828,3.6172
95,D,A,A,0,0,0,1.5,1.5703
96,A,A,A,1,1,0,2.25,3.166
97,A,A,A,1,1,0,1.3223,3.3125
98,B,A,A,0,0,0,2.2891,3.2051
99,C,A,A,0,0,0,1.4766,2.1797
100,A,A,A,1,1,0,1.7344,1.3926
101,D,A,A,0,0,0,0.5078,2.7559
102,B,A,A,0,0,0,1.375,2.7188
103,D,A,A,0,0,0,1.4219,1.2578
104,B,A,A,0,0,0,0.8516,3.0059
105,C,A,A,0,0,0,1.6328,2.8848
106,B,A,A,0,0,0,1.1016,2.2363
107,A,A,A,1,1,0,1.7266,3.2422
108,B,A,A,0,0,0,1.9219,2.6797
109,C,A,A,0,0,0,1.7266,2.5312
110,D,A,A,0,0,0,0.4531,2.3438
111,A,A,A,1,1,0,1.7578,3.3535
112,B,A,A,0,0,0,1.3047,3.2734
113,D,A,A,0,0,0,1.5312,2.1016
114,D,A,A,0,0,0,1.875,2.8496
115,D,A,A,0,0,0,1.4609,2.6328
116,B,A,A,0,0,0,0.9766,1.8848
117,A,A,A,1,1,0,1.8906,2.8262
