idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.3594,0.5156
1,A,A,E,1,0,1,0.0391,0.4141
2,B,A,A,0,0,0,0.3281,0.1719
3,E,A,A,0,0,0,0.3438,0.4219
4,B,A,A,0,0,0,0.7344,0.9922
5,B,A,A,0,0,0,0.2656,0.4844
6,A,E,A,0,1,1,0.0391,0.1797
7,B,A,A,0,0,0,0.0703,0.4609
8,D,A,A,0,0,0,0.4688,0.4609
9,B,A,A,0,0,0,0.2734,0.1562
10,C,A,E,0,0,1,0.4766,0.0312
11,B,A,A,0,0,0,0.3125,0.2734
12,E,A,A,0,0,0,0.1172,0.2734
13,B,A,A,0,0,0,0.4922,0.4531
14,B,A,A,0,0,0,0.3438,0.2734
15,D,A,A,0,0,0,0.2344,0.1875
16,E,A,A,0,0,0,0.4844,0.2734
17,A,E,A,0,1,1,0.0312,0.1875
18,C,A,A,0,0,0,0.6172,0.2578
19,E,A,A,0,0,0,0.9004,0.5078
20,B,A,A,0,0,0,0.3984,0.5078
21,B,A,A,0,0,0,0.2266,0.3047
22,D,A,A,0,0,0,0.2734,0.1172
23,C,A,A,0,0,0,0.5625,0.4062
24,A,E,E,0,0,0,0.0156,0.4766
25,D,A,A,0,0,0,0.3125,0.1016
26,F,A,A,0,0,0,0.2734,0.4844
27,B,A,A,0,0,0,0.1797,0.3672
28,F,A,A,0,0,0,0.1562,0.3047
29,D,A,A,0,0,0,0.3438,0.5156
30,E,A,A,0,0,0,0.2109,0.4141
31,C,A,A,0,0,0,0.2969,0.3281
32,B,E,E,0,0,0,0.1797,0.5625
33,F,A,A,0,0,0,0.5312,0.1484
34,D,A,A,0,0,0,0.3281,0.0312
35,D,A,A,0,0,0,0.5156,0.1953
36,B,A,A,0,0,0,0.2969,0.2656
37,B,A,E,0,0,1,0.0078,0.5156
38,B,A,A,0,0,0,0.5781,0.2109
39,A,A,A,1,1,0,0.6016,0.5781
40,B,A,A,0,0,0,0.2734,0.0312
41,E,A,A,0,0,0,0.5234,0.5547
42,E,A,A,0,0,0,0.7969,0.3906
43,A,A,A,1,1,0,0.2031,0.0312
44,D,A,A,0,0,0,0.7031,0.4609
45,F,A,A,0,0,0,0.2891,0.1016
46,C,A,E,0,0,1,0.4062,0.1016
47,E,A,A,0,0,0,0.2656,0.1094
48,F,A,A,0,0,0,0.4922,0.2344
49,B,A,A,0,0,0,0.1016,0.0391
50,E,A,A,0,0,0,0.4297,0.3672
51,D,A,A,0,0,0,0.5312,0.2344
52,D,A,A,0,0,0,0.1719,0.1562
53,B,A,A,0,0,0,0.3359,0.2969
54,A,A,A,1,1,0,0.4141,0.4297
55,C,A,A,0,0,0,0.25,0.3516
56,A,A,E,1,0,1,0.4609,0.0312
57,A,A,A,1,1,0,0.3281,0.2891
58,F,A,A,0,0,0,0.3594,0.25
59,D,A,A,0,0,0,0.5234,0.5781
60,E,A,A,0,0,0,0.5938,0.3047
61,B,A,A,0,0,0,0.4062,0.3203
62,D,A,A,0,0,0,0.6719,0.2422
63,E,A,A,0,0,0,0.3359,0.1953
64,D,A,E,0,0,1,0.2891,0.1641
65,B,A,A,0,0,0,0.6328,0.4609
66,A,A,A,1,1,0,0.3828,0.3828
67,C,A,A,0,0,0,0.7422,0.5391
68,E,A,A,0,0,0,0.3516,0.3203
69,F,A,E,0,0,1,0.2656,0.0234
70,A,A,A,1,1,0,0.7031,0.4609
71,F,A,A,0,0,0,0.6406,0.2578
72,F,A,E,0,0,1,0.0391,0.1484
73,D,A,A,0,0,0,0.5078,0.2656
74,C,A,A,0,0,0,0.5312,0.2188
75,E,A,A,0,0,0,0.5781,0.1016
76,A,A,A,1,1,0,0.25,0.3203
77,E,A,A,0,0,0,0.4609,0.3047
78,F,A,E,0,0,1,0.4453,0.0078
79,A,A,A,1,1,0,0.3594,0.0156
80,E,A,E,0,1,1,0.0391,0.3438
81,E,A,A,0,0,0,0.4453,0.2266
82,B,A,A,0,0,0,0.5547,0.3359
83,B,A,A,0,0,0,0.1094,0.2422
84,A,A,A,1,1,0,0.375,0.3672
85,C,A,A,0,0,0,0.3281,0.4141
86,E,A,E,0,1,1,0.3359,0.1484
87,A,A,A,1,1,0,0.3125,0.1562
88,B,A,A,0,0,0,0.1562,0.2578
89,A,A,A,1,1,0,0.3672,0.125
90,C,A,A,0,0,0,0.4297,0.3125
91,D,A,A,0,0,0,0.4219,0.1016
92,E,A,A,0,0,0,0.3594,0.25
93,C,A,A,0,0,0,0.7812,0.6328
94,F,A,E,0,0,1,0.4531,0.1406
95,E,A,A,0,0,0,0.4609,0.5
96,E,A,A,0,0,0,0.0859,0.3594
97,E,A,A,0,0,0,0.2578,0.375
98,B,A,A,0,0,0,0.3438,0.2812
99,F,A,A,0,0,0,0.2578,0.3438
100,C,A,A,0,0,0,0.4766,0.2891
101,D,A,A,0,0,0,0.3359,0.1484
