idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.1412,2.4369
1,A,A,A,1,1,0,3.7342,3.8588
2,B,A,A,0,0,0,1.2815,0.9849
3,C,A,A,0,0,0,0.0,0.2192
4,C,A,C,0,1,1,0.0625,0.062
5,C,A,A,0,0,0,0.5005,0.9067
6,A,A,B,1,0,1,0.3438,0.1875
7,B,A,A,0,0,0,1.3589,2.1244
8,C,A,A,0,0,0,0.8281,1.0784
9,B,B,B,1,1,0,0.7183,0.25
10,B,A,A,0,0,0,2.7338,2.4846
11,C,A,A,0,0,0,1.1719,1.7969
12,C,A,A,0,0,0,0.6724,1.0623
13,B,A,A,0,0,0,1.1094,1.2344
14,B,A,A,0,0,0,2.0006,1.8279
15,C,A,A,0,0,0,0.9841,1.4849
16,B,A,A,0,0,0,2.5321,3.0148
17,C,A,A,0,0,0,0.3599,0.438
18,A,A,A,1,1,0,2.9681,3.5161
19,A,A,A,1,1,0,2.5788,3.1866
20,C,A,C,0,1,1,0.437,0.1245
21,B,A,A,0,0,0,1.5942,2.2975
22,C,C,C,1,1,0,0.0938,0.2969
23,C,A,A,0,0,0,0.4375,0.1406
24,C,C,C,1,1,0,0.4844,0.4844
25,B,A,A,0,0,0,1.4688,1.2815
26,C,A,A,0,0,0,0.3901,0.3281
27,C,A,A,0,0,0,1.4373,0.9529
28,C,A,A,0,0,0,0.5312,0.7031
29,B,A,A,0,0,0,0.9214,1.5308
30,B,A,B,0,1,1,0.1406,0.4062
31,B,A,A,0,0,0,0.5938,0.6245
32,B,A,A,0,0,0,3.3898,2.4837
33,B,A,A,0,0,0,0.9531,0.7026
34,A,A,A,1,1,0,3.2338,3.4228
35,C,A,A,0,0,0,1.1245,1.0781
36,A,A,A,1,1,0,4.3898,4.4047
37,B,A,A,0,0,0,1.281,2.0785
38,C,C,C,1,1,0,0.8281,0.8589
39,C,A,A,0,0,0,1.6404,1.1089
40,A,A,A,1,1,0,4.0928,5.0937
41,B,A,A,0,0,0,0.563,0.813
42,B,A,A,0,0,0,1.9844,1.7501
43,A,A,A,1,1,0,2.1251,2.8132
44,A,A,A,1,1,0,2.5314,3.0475
45,A,A,A,1,1,0,4.7335,4.4687
46,C,A,A,0,0,0,1.0474,0.9375
47,B,A,A,0,0,0,2.36,2.8446
48,C,A,A,0,0,0,1.0,0.5317
49,C,C,C,1,1,0,0.5938,0.5151
50,C,A,A,0,0,0,0.2969,0.0
51,A,A,A,1,1,0,4.4861,3.6401
52,C,C,C,1,1,0,0.25,0.0781
53,A,A,A,1,1,0,1.7346,1.7341
54,A,A,A,1,1,0,1.0623,0.8901
55,C,B,B,0,0,0,0.0625,0.3286
56,A,A,A,1,1,0,5.2639,4.625
57,C,C,C,1,1,0,0.2339,0.1094
58,C,C,B,1,0,1,0.438,0.1558
59,A,A,A,1,1,0,2.8586,2.7809
60,A,A,A,1,1,0,5.1881,4.7806
61,C,A,A,0,0,0,0.8594,1.2344
62,A,A,A,1,1,0,0.0469,0.2656
63,B,A,A,0,0,0,1.0942,1.1716
64,A,A,A,1,1,0,1.9056,1.6248
65,C,C,C,1,1,0,0.562,0.0942
66,A,A,A,1,1,0,1.3284,0.9221
67,C,A,A,0,0,0,0.75,0.3906
68,B,A,A,0,0,0,3.6259,3.2813
69,A,A,A,1,1,0,1.6411,1.7817
70,B,A,A,0,0,0,1.2651,1.094
71,B,A,A,0,0,0,0.4219,0.9214
72,C,A,A,0,0,0,0.25,0.2817
73,A,A,A,1,1,0,3.8914,3.7508
74,B,A,A,0,0,0,2.7812,3.5157
75,C,A,A,0,0,0,1.4534,1.3594
76,A,A,A,1,1,0,3.344,2.9228
77,A,A,A,1,1,0,1.5001,2.1409
78,B,A,A,0,0,0,2.3118,2.7192
79,A,A,A,1,1,0,4.0618,3.5619
80,C,A,B,0,0,1,0.0938,0.5
81,B,A,A,0,0,0,2.3755,3.1415
82,B,A,A,0,0,0,1.3596,1.7496
83,A,A,A,1,1,0,3.9381,3.7808
84,A,A,A,1,1,0,5.8267,4.845
85,A,A,A,1,1,0,1.0471,1.1099
86,C,C,C,1,1,0,0.1719,0.2505
87,C,A,A,0,0,0,0.563,0.3125
88,C,A,A,0,0,0,0.5781,0.4844
89,A,A,A,1,1,0,2.1245,2.7336
90,C,B,B,0,0,0,0.1719,0.0312
91,C,A,A,0,0,0,0.4062,0.8906
92,A,A,A,1,1,0,2.3281,3.1094
93,A,A,A,1,1,0,2.3603,1.3281
94,A,A,A,1,1,0,1.5935,2.4843
95,A,A,A,1,1,0,3.5305,3.7195
96,A,A,A,1,1,0,0.9692,0.9692
97,B,A,A,0,0,0,2.14,3.1727
98,C,C,C,1,1,0,0.3276,0.4224
99,A,A,A,1,1,0,4.3766,4.4522
100,C,A,C,0,1,1,0.4375,0.1406
101,A,A,A,1,1,0,0.8594,0.4067
102,A,A,A,1,1,0,4.4076,5.561
103,C,C,C,1,1,0,0.7502,0.1875
104,C,A,A,0,0,0,0.5786,0.8281
105,B,B,B,1,1,0,0.3281,0.6255
106,B,A,A,0,0,0,1.9214,2.1554
107,B,A,A,0,0,0,4.5137,5.1867
108,C,A,B,0,0,1,0.2344,0.0938
109,B,A,A,0,0,0,1.843,2.2341
110,A,A,A,1,1,0,3.0785,3.1099
111,B,A,A,0,0,0,3.3904,3.2655
112,A,A,A,1,1,0,3.5005,3.282
113,B,A,A,0,0,0,2.4689,3.4218
114,B,A,A,0,0,0,3.0628,2.9539
115,A,A,A,1,1,0,4.3604,4.0329
116,C,A,A,0,0,0,0.7026,0.5308
117,A,A,A,1,1,0,1.7821,2.8602
118,A,A,A,1,1,0,1.1099,1.3438
119,A,A,A,1,1,0,0.5938,0.8438
120,B,A,A,0,0,0,2.6401,2.7964
121,C,A,A,0,0,0,1.7034,1.469
122,B,A,B,0,1,1,0.313,0.0469
123,C,A,A,0,0,0,0.9375,1.0161
124,B,A,A,0,0,0,0.4849,0.9377
125,A,A,A,1,1,0,3.6412,4.2803
126,B,A,A,0,0,0,3.4221,2.7026
127,C,C,C,1,1,0,1.0161,0.9216
128,A,A,A,1,1,0,2.4064,2.3129
129,B,A,A,0,0,0,2.7495,3.1099
130,C,A,A,0,0,0,1.094,0.75
131,B,A,A,0,0,0,3.1719,3.4844
132,A,A,A,1,1,0,2.5321,2.5788
133,C,A,A,0,0,0,0.2026,0.3125
134,C,C,A,1,0,1,0.5151,0.0469
135,C,A,A,0,0,0,0.8286,0.8901
136,A,A,A,1,1,0,3.0148,2.7659
137,C,C,C,1,1,0,0.5,0.7349
138,A,A,A,1,1,0,2.8124,2.9694
139,B,A,A,0,0,0,2.1711,2.4221
140,A,A,A,1,1,0,2.6567,2.0773
141,A,A,A,1,1,0,1.6873,1.6406
142,B,A,A,0,0,0,0.969,1.3596
143,B,A,A,0,0,0,2.5159,2.8901
144,C,C,C,1,1,0,0.3276,0.5
145,C,A,A,0,0,0,0.2812,0.8752
146,A,A,A,1,1,0,7.1394,6.2506
147,C,A,A,0,0,0,0.3745,0.4536
148,B,A,A,0,0,0,1.187,1.1401
149,A,A,A,1,1,0,1.9841,2.1246
150,C,A,C,0,1,1,0.188,0.0312
151,B,A,A,0,0,0,1.6876,1.8752
152,C,C,A,1,0,1,0.0156,0.2026
153,B,A,A,0,0,0,3.6103,4.2049
154,C,A,A,0,0,0,0.1094,0.0469
155,B,A,A,0,0,0,0.375,0.125
156,C,A,A,0,0,0,0.3745,0.3276
157,A,A,A,1,1,0,2.6259,2.4056
158,B,A,A,0,0,0,0.5933,1.1252
159,A,A,A,1,1,0,2.1555,2.6555
160,C,C,C,1,1,0,0.563,0.812
161,C,A,A,0,0,0,0.6089,0.6562
162,C,C,C,1,1,0,0.3594,0.3438
163,C,A,A,0,0,0,1.4532,2.1088
164,A,A,A,1,1,0,2.4054,2.9852
165,A,A,A,1,1,0,1.2029,1.1411
166,C,A,A,0,0,0,0.25,0.4219
167,C,A,A,0,0,0,1.3748,1.313
168,B,A,A,0,0,0,2.7808,1.969
169,A,A,A,1,1,0,2.2976,1.8281
170,C,A,A,0,0,0,0.3906,0.0469
171,A,A,A,1,1,0,2.2494,2.8439
172,C,C,C,1,1,0,0.2031,0.3276
173,A,A,A,1,1,0,2.9055,3.4528
174,A,A,A,1,1,0,4.1553,4.2506
175,C,C,C,1,1,0,0.2188,0.1719
176,B,A,A,0,0,0,0.875,1.344
177,A,A,A,1,1,0,3.6878,3.9382
178,B,A,A,0,0,0,2.9382,2.765
179,B,A,A,0,0,0,2.7491,3.3438
180,C,A,C,0,1,1,0.0156,0.2344
181,A,A,A,1,1,0,3.1102,3.2968
182,B,A,A,0,0,0,1.594,1.6724
183,A,A,A,1,1,0,4.1408,4.218
184,C,A,A,0,0,0,0.0942,0.625
185,B,A,A,0,0,0,2.8291,2.9846
186,B,A,A,0,0,0,3.4214,3.6876
187,B,A,A,0,0,0,0.5625,1.2185
188,B,A,A,0,0,0,1.0938,1.2185
189,B,A,A,0,0,0,1.1719,1.5314
190,B,A,A,0,0,0,0.3906,0.6406
191,A,A,A,1,1,0,2.0947,2.5461
192,B,A,A,0,0,0,0.5161,1.0308
193,A,A,A,1,1,0,3.5779,3.5165
194,A,A,A,1,1,0,3.3749,3.3603
195,B,A,A,0,0,0,1.2339,1.3909
196,B,A,A,0,0,0,2.6556,3.4369
197,C,C,A,1,0,1,0.4688,0.1875
198,A,A,A,1,1,0,2.0472,1.4377
199,C,A,A,0,0,0,0.4692,0.4531
200,C,A,A,0,0,0,0.2188,0.0312
201,A,A,A,1,1,0,0.1875,0.0781
202,B,A,A,0,0,0,2.5156,2.5944
203,A,A,A,1,1,0,2.0623,2.6719
204,B,A,A,0,0,0,1.5776,2.2806
205,C,A,A,0,0,0,0.7969,0.8599
206,B,A,A,0,0,0,2.3129,2.7808
207,B,A,A,0,0,0,3.6399,3.891
208,B,A,A,0,0,0,4.9357,3.9688
209,A,A,A,1,1,0,2.2041,2.1713
210,A,A,A,1,1,0,3.7808,4.0301
