idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,22.6202,22.7785
1,C,C,C,1,1,0,18.6014,19.3375
2,D,C,C,0,0,0,13.3451,14.3772
3,B,D,D,0,0,0,8.5033,8.1863
4,B,B,B,1,1,0,15.8433,17.5768
5,B,B,B,1,1,0,19.5519,19.4174
6,C,C,C,1,1,0,11.4058,11.6551
7,A,A,A,1,1,0,20.2264,20.0641
8,C,C,C,1,1,0,21.9558,22.2827
9,C,C,C,1,1,0,21.6359,21.7368
10,C,C,C,1,1,0,22.2279,22.0504
11,B,B,B,1,1,0,3.1562,8.8132
12,C,C,C,1,1,0,19.0143,18.7349
13,C,C,C,1,1,0,18.5502,19.8337
14,A,B,B,0,0,0,9.6276,12.2189
15,A,A,A,1,1,0,18.126,14.1913
16,C,C,C,1,1,0,16.4584,16.0904
17,B,B,B,1,1,0,22.4187,21.8627
18,B,B,B,1,1,0,21.6584,21.5226
19,C,C,C,1,1,0,19.9713,21.2643
20,A,A,A,1,1,0,15.3884,15.6714
21,B,B,B,1,1,0,22.0597,23.0372
22,A,A,A,1,1,0,15.8265,15.9726
23,D,D,D,1,1,0,22.9055,22.8107
24,D,D,D,1,1,0,14.9385,17.9608
25,A,A,A,1,1,0,19.4101,19.4073
26,C,C,C,1,1,0,16.4052,15.5502
27,B,B,B,1,1,0,14.1387,15.4517
28,B,B,B,1,1,0,2.2196,5.4998
29,C,C,C,1,1,0,22.9485,23.8646
30,C,C,C,1,1,0,17.6143,17.9291
31,A,A,A,1,1,0,19.5033,19.6545
32,D,D,D,1,1,0,14.9494,15.9187
33,B,B,B,1,1,0,18.5307,17.8117
34,C,C,C,1,1,0,21.7709,21.288
35,B,B,B,1,1,0,5.3419,5.9075
36,D,D,D,1,1,0,21.5738,21.4952
37,B,B,B,1,1,0,0.0933,3.1875
38,D,D,D,1,1,0,17.9326,18.5793
39,C,C,C,1,1,0,11.6441,10.9097
40,D,C,D,0,1,1,2.8443,0.5
41,C,C,C,1,1,0,19.1763,19.9318
42,C,C,C,1,1,0,20.0585,20.2433
43,C,C,C,1,1,0,21.4527,21.4139
44,B,B,B,1,1,0,17.0757,17.1069
45,A,A,A,1,1,0,9.9529,9.8887
46,C,C,C,1,1,0,21.1495,21.8287
47,A,A,A,1,1,0,17.107,17.2215
48,D,D,D,1,1,0,20.4518,19.1132
49,D,D,D,1,1,0,4.9357,4.9999
50,B,A,A,0,0,0,8.5781,6.6289
51,D,D,D,1,1,0,18.4047,19.809
52,A,A,A,1,1,0,18.183,19.5759
53,A,B,B,0,0,0,0.562,6.8737
54,A,A,A,1,1,0,5.8767,7.5313
55,B,B,B,1,1,0,19.9937,20.7768
56,C,D,D,0,0,0,17.1777,18.5257
57,B,B,B,1,1,0,19.9211,20.3595
58,B,B,B,1,1,0,22.3163,22.5328
59,D,D,D,1,1,0,18.4511,18.9312
60,B,B,B,1,1,0,19.3781,20.0268
61,B,B,B,1,1,0,19.234,20.2349
62,C,C,C,1,1,0,19.6188,20.8823
63,C,C,C,1,1,0,13.0017,12.8108
64,B,B,B,1,1,0,20.4272,20.4497
65,C,C,C,1,1,0,17.1411,15.4074
66,B,B,B,1,1,0,17.5139,19.2162
67,C,C,C,1,1,0,10.3427,11.0292
68,A,A,A,1,1,0,21.7006,22.0925
69,D,D,D,1,1,0,18.9041,19.0435
70,C,C,C,1,1,0,21.5837,21.9517
71,C,C,C,1,1,0,15.4515,13.4198
72,A,A,A,1,1,0,18.465,18.1193
73,D,D,D,1,1,0,15.8127,20.0336
74,A,A,A,1,1,0,3.4382,3.5634
75,C,C,C,1,1,0,1.8741,1.4373
76,D,D,D,1,1,0,20.4195,20.4972
77,A,A,A,1,1,0,11.9366,10.4685
78,B,B,B,1,1,0,20.5347,20.9434
79,D,D,D,1,1,0,16.3976,15.4045
80,B,B,B,1,1,0,3.8121,4.4057
81,A,A,A,1,1,0,21.1118,21.0979
82,A,A,A,1,1,0,20.3965,20.9112
83,B,B,B,1,1,0,16.7188,17.839
84,C,C,C,1,1,0,19.3546,19.7454
85,C,C,C,1,1,0,21.5238,21.1342
86,A,A,A,1,1,0,20.4842,20.6402
87,C,C,C,1,1,0,21.3632,21.9399
88,D,D,D,1,1,0,14.0009,14.9553
89,C,C,C,1,1,0,19.9178,20.3044
90,D,D,D,1,1,0,19.2749,18.3669
91,A,A,A,1,1,0,13.4838,15.0599
92,D,A,A,0,0,0,2.5945,10.7974
93,A,A,A,1,1,0,20.6172,20.2397
94,A,A,A,1,1,0,14.2033,13.9073
95,D,D,D,1,1,0,23.5102,23.4963
96,A,A,A,1,1,0,20.0837,19.912
97,A,A,A,1,1,0,20.7961,20.0099
98,B,B,B,1,1,0,6.3452,5.2793
99,C,B,B,0,0,0,13.6867,16.0726
100,A,A,A,1,1,0,15.4663,16.1337
101,D,C,C,0,0,0,5.5619,4.313
102,B,B,B,1,1,0,23.7263,24.098
103,D,D,D,1,1,0,22.0195,21.9478
104,B,B,B,1,1,0,19.1207,19.6513
105,C,C,C,1,1,0,20.027,20.1188
106,B,B,B,1,1,0,20.729,21.3843
107,A,A,A,1,1,0,12.3734,10.9715
108,B,B,B,1,1,0,1.6561,0.9375
109,C,C,C,1,1,0,21.5588,23.1792
110,D,D,D,1,1,0,21.6151,21.3489
111,A,A,A,1,1,0,18.0573,18.6125
112,B,B,B,1,1,0,3.0929,2.0939
113,D,D,D,1,1,0,19.7485,20.4664
114,D,D,D,1,1,0,21.3872,21.6393
115,D,D,D,1,1,0,19.7015,20.4979
116,B,B,B,1,1,0,19.0857,18.7268
117,A,A,A,1,1,0,21.3113,21.2014
118,C,C,C,1,1,0,21.5087,21.7401
119,A,A,A,1,1,0,18.2464,17.5115
120,A,D,D,0,0,0,0.2188,0.3125
121,B,A,A,0,0,0,2.2181,1.9059
122,C,C,C,1,1,0,19.7744,19.4077
123,A,A,A,1,1,0,19.5674,19.9916
124,B,B,B,1,1,0,10.0481,9.4867
125,C,C,C,1,1,0,20.5798,20.0647
126,A,C,C,0,0,0,0.375,1.6873
127,C,C,C,1,1,0,20.1743,21.0707
128,B,B,B,1,1,0,20.4341,20.8033
129,D,C,C,0,0,0,9.5799,10.1913
130,D,D,D,1,1,0,23.1853,22.7444
131,A,A,A,1,1,0,19.5595,19.2016
132,D,D,D,1,1,0,19.4371,18.6792
133,C,C,C,1,1,0,14.9213,15.4499
134,C,C,C,1,1,0,21.3633,21.5725
135,C,C,C,1,1,0,20.4364,20.732
136,C,C,C,1,1,0,20.108,20.4547
137,D,D,D,1,1,0,22.0121,21.6113
138,A,A,A,1,1,0,20.59,20.2562
139,C,A,A,0,0,0,0.125,6.5006
140,A,A,A,1,1,0,16.3117,18.8108
141,A,A,A,1,1,0,18.8208,19.777
142,D,D,D,1,1,0,19.6997,19.5121
143,D,D,D,1,1,0,21.2047,20.39
144,A,A,A,1,1,0,22.0915,21.5277
145,D,D,D,1,1,0,21.1471,21.131
146,D,D,D,1,1,0,23.1046,22.9104
147,D,D,D,1,1,0,13.6113,12.8889
148,B,B,B,1,1,0,18.8516,19.1785
149,A,A,A,1,1,0,15.8902,16.2967
150,A,A,A,1,1,0,18.0887,19.2288
151,A,A,A,1,1,0,11.4651,11.0779
152,D,D,D,1,1,0,21.5735,19.6784
153,B,D,B,0,1,1,0.0625,3.7182
154,B,B,B,1,1,0,19.2252,19.9173
155,B,B,B,1,1,0,1.9993,2.9996
156,D,D,D,1,1,0,18.322,17.3949
157,D,B,B,0,0,0,17.2366,17.9463
158,B,B,B,1,1,0,20.1024,19.382
159,A,A,A,1,1,0,16.2675,17.8828
160,A,A,A,1,1,0,19.2799,18.6997
161,B,B,B,1,1,0,17.1626,18.03
162,D,D,D,1,1,0,16.4739,17.2125
163,C,C,C,1,1,0,15.9716,15.9933
164,B,B,B,1,1,0,20.121,20.0519
165,C,C,C,1,1,0,7.0297,6.8453
166,A,A,A,1,1,0,0.0,3.4687
167,D,D,D,1,1,0,14.4056,14.2149
168,C,C,C,1,1,0,6.8452,5.7812
169,A,A,A,1,1,0,20.4124,19.7345
170,C,C,C,1,1,0,20.813,20.6342
171,B,B,B,1,1,0,19.5132,21.326
172,A,D,D,0,0,0,18.854,17.7141
173,B,D,D,0,0,0,2.2501,3.5309
174,B,B,B,1,1,0,19.7487,19.7047
175,B,B,B,1,1,0,22.7405,22.9077
176,C,C,C,1,1,0,20.2603,20.9102
177,C,C,C,1,1,0,19.7937,21.1119
178,B,B,B,1,1,0,20.103,21.0759
179,B,C,C,0,0,0,11.3448,11.189
180,B,B,B,1,1,0,8.6441,8.7531
181,B,B,B,1,1,0,18.7589,18.1967
182,B,B,B,1,1,0,11.8102,11.5607
183,C,C,C,1,1,0,13.9028,13.7623
184,D,D,D,1,1,0,14.8628,15.2012
185,B,B,B,1,1,0,8.749,11.0433
186,C,A,A,0,0,0,10.436,7.7177
187,D,D,D,1,1,0,21.4631,21.8359
188,D,A,D,0,1,1,2.3431,0.7188
189,D,D,D,1,1,0,12.4698,12.986
190,D,D,D,1,1,0,18.9737,19.5327
191,B,B,B,1,1,0,18.4127,20.4023
192,B,B,B,1,1,0,21.1601,21.4845
193,C,C,C,1,1,0,18.8421,18.8259
194,D,D,D,1,1,0,5.9705,6.1389
195,C,C,C,1,1,0,20.1558,19.9059
196,A,A,A,1,1,0,20.9061,20.7184
197,A,A,A,1,1,0,19.7009,20.0118
198,B,B,B,1,1,0,9.8129,11.9499
199,B,B,B,1,1,0,19.7637,20.9708
200,C,C,C,1,1,0,18.426,19.473
201,C,C,C,1,1,0,18.4882,17.8105
202,C,C,C,1,1,0,11.4367,11.8105
203,A,A,A,1,1,0,18.5,17.9686
204,C,C,C,1,1,0,18.986,18.2654
205,A,A,A,1,1,0,11.262,11.9343
206,D,D,D,1,1,0,20.6771,21.4355
207,B,B,B,1,1,0,20.3964,19.6643
208,D,D,D,1,1,0,18.5162,19.1819
209,D,D,D,1,1,0,20.7787,21.5324
210,B,B,B,1,1,0,17.5645,18.3357
211,D,D,D,1,1,0,17.6635,17.7269
212,B,B,B,1,1,0,19.2485,20.4822
213,C,C,C,1,1,0,18.0323,18.0527
214,C,C,C,1,1,0,16.0182,17.9187
215,D,D,D,1,1,0,18.9356,18.2831
216,D,C,C,0,0,0,8.0122,8.3116
217,D,D,D,1,1,0,19.5293,19.1169
218,C,C,C,1,1,0,23.3093,23.447
219,D,D,D,1,1,0,21.5016,21.808
220,A,A,A,1,1,0,12.1694,12.7205
221,A,A,A,1,1,0,18.1054,18.6995
222,D,D,D,1,1,0,20.6707,21.1236
223,A,A,A,1,1,0,19.4661,19.1476
224,A,A,A,1,1,0,19.6188,19.7637
225,A,C,C,0,0,0,4.4378,3.3429
226,A,A,A,1,1,0,19.9417,19.5236
227,D,D,D,1,1,0,22.0073,21.6397
228,B,B,B,1,1,0,18.7745,18.1868
229,B,D,D,0,0,0,7.1571,8.1227
230,C,C,C,1,1,0,20.6999,20.3681
231,C,C,C,1,1,0,13.107,11.9037
232,A,A,A,1,1,0,10.7012,9.5904
233,C,A,A,0,0,0,16.6614,16.9312
234,B,B,B,1,1,0,9.1846,9.7796
235,B,B,B,1,1,0,21.3034,22.4338
236,B,B,B,1,1,0,16.3714,16.793
237,B,B,B,1,1,0,20.0171,20.7885
238,A,A,A,1,1,0,20.2498,20.0932
239,C,C,C,1,1,0,21.7799,22.3716
240,D,D,D,1,1,0,19.609,20.3042
241,B,D,D,0,0,0,15.7203,15.108
242,A,A,A,1,1,0,20.2459,20.508
243,A,A,A,1,1,0,21.7408,22.1495
244,C,C,C,1,1,0,21.3002,21.2151
245,B,B,B,1,1,0,15.4822,15.5936
246,D,D,D,1,1,0,19.1484,18.958
247,D,D,D,1,1,0,14.7178,14.8591
248,C,C,C,1,1,0,21.8164,22.6595
249,B,B,B,1,1,0,13.6879,13.8632
250,B,B,B,1,1,0,21.575,22.2379
251,C,C,C,1,1,0,17.3364,17.7595
252,C,C,C,1,1,0,16.9176,16.6916
253,D,D,D,1,1,0,7.3425,5.9079
254,A,A,A,1,1,0,20.4793,20.2629
255,A,A,A,1,1,0,17.0549,17.6988
