idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.0754,11.1704
1,A,B,B,0,0,0,7.6559,7.9839
2,B,B,B,1,1,0,5.1893,7.4059
3,E,E,E,1,1,0,5.6232,10.231
4,B,B,B,1,1,0,4.7505,4.9382
5,B,B,B,1,1,0,2.0623,3.2959
6,A,C,C,0,0,0,1.4685,1.3125
7,B,B,B,1,1,0,12.8906,12.8262
8,D,D,D,1,1,0,12.9853,13.7183
9,B,C,B,0,1,1,0.3438,0.4375
10,C,C,C,1,1,0,1.7809,2.3121
11,B,B,B,1,1,0,14.3261,14.1592
12,E,E,E,1,1,0,2.8909,3.1719
13,B,B,B,1,1,0,1.7195,3.4679
14,B,B,B,1,1,0,11.4554,11.951
15,D,B,D,0,1,1,0.9839,3.8926
16,E,E,E,1,1,0,5.5321,4.2815
17,A,B,B,0,0,0,5.2031,5.5326
18,C,C,C,1,1,0,5.5151,7.1401
19,E,B,B,0,0,0,0.3125,2.9229
20,B,B,B,1,1,0,8.4526,11.1421
21,B,A,B,0,1,1,0.7188,0.125
22,D,D,D,1,1,0,5.3116,8.1736
23,C,C,B,1,0,1,1.2815,0.7656
24,A,F,F,0,0,0,11.7943,12.5017
25,D,A,A,0,0,0,12.6552,8.8727
26,F,C,C,0,0,0,4.9057,4.5768
27,B,B,B,1,1,0,3.4527,5.0152
28,F,B,B,0,0,0,8.4535,8.9688
29,D,D,D,1,1,0,2.5318,0.7188
30,E,E,E,1,1,0,4.0165,4.2651
31,C,C,C,1,1,0,1.4062,3.7646
32,B,B,B,1,1,0,4.3293,6.376
33,F,F,F,1,1,0,2.3131,3.1727
34,D,D,D,1,1,0,8.1992,6.5
35,D,D,D,1,1,0,1.5935,2.4525
36,B,B,B,1,1,0,2.6085,5.0005
37,B,B,B,1,1,0,7.7353,10.6111
38,B,B,B,1,1,0,10.4063,11.562
39,A,A,A,1,1,0,4.8925,4.7341
40,B,B,B,1,1,0,11.6998,13.4078
41,E,B,B,0,0,0,11.6881,11.925
42,E,E,E,1,1,0,10.9881,13.0905
43,A,A,A,1,1,0,0.2188,1.0625
44,D,D,D,1,1,0,14.7504,15.1143
45,F,A,A,0,0,0,4.9674,5.0315
46,C,C,C,1,1,0,7.9833,7.4851
47,E,B,B,0,0,0,1.9994,3.6702
48,F,F,F,1,1,0,10.2363,11.3943
49,B,D,D,0,0,0,3.1881,4.032
50,E,E,E,1,1,0,6.7201,7.186
51,D,D,D,1,1,0,18.2682,17.2627
52,D,D,D,1,1,0,3.8747,4.0312
53,B,B,B,1,1,0,5.9674,7.1572
54,A,A,A,1,1,0,15.6736,16.0664
55,C,C,C,1,1,0,5.6884,5.7646
56,A,A,A,1,1,0,18.088,17.8298
57,A,B,B,0,0,0,0.3745,1.2495
58,F,F,F,1,1,0,2.4847,3.2491
59,D,D,D,1,1,0,16.2451,16.0547
60,E,E,E,1,1,0,0.125,1.8442
61,B,B,B,1,1,0,4.3925,6.5635
62,D,B,D,0,1,1,0.4375,1.219
63,E,C,C,0,0,0,15.8459,14.0469
64,D,D,D,1,1,0,9.234,11.3618
65,B,C,C,0,0,0,6.5016,6.3584
66,A,A,A,1,1,0,10.6092,10.9194
67,C,C,C,1,1,0,11.9077,14.2324
68,E,C,A,0,0,1,1.0315,0.25
69,F,F,F,1,1,0,3.6556,3.4369
70,A,A,A,1,1,0,14.9401,15.7013
71,F,B,B,0,0,0,0.4062,0.4844
72,F,F,F,1,1,0,13.1246,13.4092
73,D,F,F,0,0,0,0.125,0.5947
