idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,4.4062,4.1856
1,A,A,A,1,1,0,3.6725,5.8815
2,B,B,B,1,1,0,0.0625,0.2812
3,C,B,C,0,1,1,5.5454,9.1473
4,C,C,C,1,1,0,6.3273,8.2798
5,C,C,C,1,1,0,8.5108,8.8349
6,A,B,B,0,0,0,5.4532,4.702
7,B,B,B,1,1,0,6.4758,4.2351
8,C,B,B,0,0,0,3.7661,1.3434
9,B,B,B,1,1,0,7.1249,6.1416
10,B,B,B,1,1,0,4.282,6.9312
11,C,B,C,0,1,1,4.1422,3.8588
12,C,B,B,0,0,0,5.314,3.1402
13,B,B,B,1,1,0,7.6806,6.842
14,B,B,A,1,0,1,3.7965,2.4377
15,C,B,C,0,1,1,1.0779,1.5317
16,B,B,B,1,1,0,5.8887,7.3109
17,C,B,B,0,0,0,6.2483,4.7358
18,A,B,B,0,0,0,3.8286,5.1092
19,A,A,A,1,1,0,2.7654,2.1711
20,C,B,C,0,1,1,0.6096,8.0215
21,B,B,B,1,1,0,5.7751,1.9368
22,C,C,C,1,1,0,5.314,8.7098
23,C,B,A,0,0,1,2.1097,7.7094
24,C,C,C,1,1,0,8.5354,8.4599
25,B,B,B,1,1,0,7.2818,7.1938
26,C,B,C,0,1,1,3.4059,7.3267
27,C,C,C,1,1,0,5.6419,7.5488
28,C,B,B,0,0,0,5.7794,4.2963
29,B,B,C,1,0,1,4.702,6.4529
30,B,B,B,1,1,0,5.8764,5.0294
31,B,B,B,1,1,0,5.9779,3.0625
32,B,B,B,1,1,0,5.3298,4.8422
33,B,B,B,1,1,0,6.1083,5.4535
34,A,B,B,0,0,0,3.4846,5.3595
35,C,B,B,0,0,0,6.5697,3.7815
36,A,A,A,1,1,0,4.5464,7.334
37,B,B,B,1,1,0,3.4691,3.1716
38,C,C,C,1,1,0,0.6091,8.0299
39,C,B,C,0,1,1,4.8115,7.3264
40,A,A,A,1,1,0,7.6418,7.6624
41,B,B,B,1,1,0,4.0922,5.4755
42,B,B,B,1,1,0,5.8577,7.1112
43,A,B,A,0,1,1,2.5156,2.4999
44,A,A,A,1,1,0,7.0173,2.7197
45,A,A,A,1,1,0,1.4691,5.0609
46,C,B,C,0,1,1,1.9849,6.4071
47,B,B,B,1,1,0,4.8606,3.1241
48,C,A,A,0,0,0,0.3594,3.4991
49,C,C,C,1,1,0,4.9224,5.6559
50,C,C,C,1,1,0,5.8997,9.1008
51,A,A,A,1,1,0,7.7129,5.4702
52,C,C,C,1,1,0,6.8197,8.5925
53,A,B,A,0,1,1,4.9054,5.3452
54,A,B,B,0,0,0,5.9997,6.3831
55,C,B,B,0,0,0,5.3759,2.6094
56,A,B,B,0,0,0,6.1411,5.9748
57,C,B,C,0,1,1,4.3284,7.7403
58,C,B,C,0,1,1,3.9678,8.3893
59,A,B,A,0,1,1,3.8118,3.922
60,A,A,A,1,1,0,8.2172,7.8421
61,C,B,C,0,1,1,6.1158,7.3688
62,A,B,B,0,0,0,5.1873,5.6075
63,B,B,B,1,1,0,6.8762,6.8296
64,A,A,A,1,1,0,7.3675,7.483
65,C,B,B,0,0,0,4.9992,3.1397
66,A,B,B,0,0,0,5.1552,6.2184
67,C,B,C,0,1,1,5.7189,7.7485
68,B,B,B,1,1,0,0.8596,3.2978
69,A,A,A,1,1,0,2.4688,5.8587
70,B,A,B,0,1,1,0.7654,3.7353
71,B,B,B,1,1,0,4.4208,6.1572
72,C,B,C,0,1,1,5.5171,4.7949
73,A,B,A,0,1,1,4.8288,2.8281
74,B,A,A,0,0,0,0.1406,5.0449
75,C,B,C,0,1,1,4.5783,8.5924
76,A,A,B,1,0,1,5.6426,3.2809
77,A,A,A,1,1,0,0.5935,3.1873
78,B,B,B,1,1,0,5.5642,5.6107
79,A,A,A,1,1,0,3.9695,1.3906
80,C,B,C,0,1,1,2.2971,8.9441
81,B,A,A,0,0,0,2.9679,6.0151
82,B,B,B,1,1,0,6.6004,5.7646
83,A,B,B,0,0,0,6.2343,6.2192
84,A,A,A,1,1,0,8.186,6.1557
85,A,B,B,0,0,0,5.5766,7.1111
86,C,B,C,0,1,1,5.4141,7.6813
87,C,B,C,0,1,1,5.439,6.8055
88,C,B,C,0,1,1,4.7171,5.5928
89,A,A,A,1,1,0,4.3892,6.1413
90,C,B,C,0,1,1,6.9067,4.78
91,C,C,C,1,1,0,6.7648,5.8983
92,A,A,A,1,1,0,4.5454,4.8736
93,A,A,A,1,1,0,5.686,6.7984
94,A,B,B,0,0,0,1.3435,0.4062
95,A,A,A,1,1,0,6.1247,9.1946
96,A,B,B,0,0,0,4.8888,5.1715
97,B,B,B,1,1,0,3.4529,5.1076
98,C,C,C,1,1,0,6.7106,7.3528
99,A,A,A,1,1,0,5.0616,7.3847
100,C,C,C,1,1,0,7.452,7.842
101,A,A,B,1,0,1,0.8435,0.8279
102,A,B,A,0,1,1,3.1879,2.2963
103,C,C,C,1,1,0,9.0901,9.1317
104,C,C,C,1,1,0,5.959,7.0872
105,B,B,B,1,1,0,4.5928,0.6094
106,B,B,B,1,1,0,3.6245,4.1571
107,B,B,B,1,1,0,4.4678,5.3297
108,C,C,C,1,1,0,8.0754,8.2797
109,B,B,B,1,1,0,5.5138,2.5461
110,A,B,A,0,1,1,0.5312,8.0379
111,B,B,B,1,1,0,4.5301,1.4529
112,A,B,B,0,0,0,4.5615,4.1716
113,B,B,B,1,1,0,4.4997,4.4858
114,B,B,B,1,1,0,5.8114,7.4359
115,A,A,B,1,0,1,0.7654,3.2649
116,C,C,C,1,1,0,6.6703,8.139
117,A,B,B,0,0,0,4.671,3.0008
118,A,A,A,1,1,0,4.4052,4.4228
119,A,A,B,1,0,1,3.1103,0.5938
