idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.7266,2.1875
1,A,A,A,1,1,0,1.5625,2.6719
2,B,A,A,0,0,0,1.9219,2.9219
3,C,A,A,0,0,0,0.9609,1.2188
4,C,A,A,0,0,0,0.8828,3.0879
5,C,A,A,0,0,0,1.1328,2.2656
6,A,A,A,1,1,0,1.3594,2.2656
7,B,A,A,0,0,0,0.875,1.8516
8,C,A,A,0,0,0,1.4141,3.75
9,B,A,A,0,0,0,1.6953,0.6094
10,B,A,A,0,0,0,1.1719,2.7891
11,C,A,A,0,0,0,1.1484,1.75
12,C,A,A,0,0,0,1.5547,1.6797
13,B,A,A,0,0,0,1.5781,2.6953
14,B,A,A,0,0,0,1.5469,2.8203
15,C,A,A,0,0,0,0.5078,2.4688
16,B,A,A,0,0,0,1.2734,2.5664
17,C,A,A,0,0,0,1.0391,1.9609
18,A,A,A,1,1,0,1.4297,2.1475
19,A,A,A,1,1,0,1.4844,1.6953
20,C,A,A,0,0,0,1.5859,2.1172
21,B,A,A,0,0,0,1.1484,3.2188
22,C,A,A,0,0,0,1.125,1.2812
23,C,A,A,0,0,0,1.6484,2.7227
24,C,A,A,0,0,0,1.1641,2.8398
25,B,A,A,0,0,0,0.9141,2.4141
26,C,A,A,0,0,0,1.4219,1.623
27,C,A,A,0,0,0,1.9922,2.207
28,C,A,A,0,0,0,0.9844,1.0938
29,B,A,A,0,0,0,1.4844,3.2031
30,B,A,A,0,0,0,1.0938,1.9297
31,B,A,A,0,0,0,1.3281,2.3477
32,B,A,A,0,0,0,1.9375,2.75
33,B,A,A,0,0,0,1.4766,1.7422
34,A,A,A,1,1,0,1.2109,1.1641
35,C,A,A,0,0,0,1.0625,2.0625
36,A,A,A,1,1,0,1.0156,2.8672
37,B,A,A,0,0,0,0.9062,1.8047
38,C,A,A,0,0,0,1.1562,2.4922
39,C,A,A,0,0,0,1.4531,1.9922
40,A,A,A,1,1,0,1.1328,2.1289
41,B,A,A,0,0,0,1.0078,1.7041
42,B,A,A,0,0,0,1.1953,2.4219
43,A,A,A,1,1,0,1.4219,0.9688
44,A,A,A,1,1,0,0.9219,3.0195
45,A,A,A,1,1,0,1.5156,1.7734
46,C,A,A,0,0,0,0.9141,2.3125
47,B,A,A,0,0,0,1.4688,1.7109
48,C,A,A,0,0,0,1.9766,2.4219
49,C,A,A,0,0,0,1.1484,2.3984
50,C,A,A,0,0,0,1.8828,1.0869
51,A,A,A,1,1,0,1.3047,2.9336
52,C,A,A,0,0,0,1.7656,2.4805
53,A,A,A,1,1,0,1.2344,2.1094
54,A,A,A,1,1,0,1.0078,3.0234
55,C,A,A,0,0,0,1.625,1.8672
56,A,A,A,1,1,0,1.2812,1.1172
57,C,A,A,0,0,0,1.3438,2.3945
58,C,A,A,0,0,0,1.4922,2.7734
59,A,A,A,1,1,0,1.0938,2.707
60,A,A,A,1,1,0,1.6406,2.8438
61,C,A,A,0,0,0,0.8281,2.4102
62,A,A,A,1,1,0,1.1484,2.2891
63,B,A,A,0,0,0,0.9766,1.9688
64,A,A,A,1,1,0,1.5469,1.4453
65,C,A,A,0,0,0,1.5391,2.3164
66,A,A,A,1,1,0,1.25,2.2324
67,C,A,A,0,0,0,1.9062,1.582
68,B,A,A,0,0,0,0.6172,2.5938
69,A,A,A,1,1,0,1.5,1.6797
70,B,A,A,0,0,0,1.5,2.5312
71,B,A,A,0,0,0,1.625,1.1787
72,C,A,A,0,0,0,1.7734,2.9531
73,A,A,A,1,1,0,1.1328,1.9688
74,B,A,A,0,0,0,1.0469,2.3359
75,C,A,A,0,0,0,1.4844,3.4414
76,A,A,A,1,1,0,1.2266,2.2422
77,A,A,A,1,1,0,1.5938,2.8242
78,B,A,A,0,0,0,0.6641,2.4844
79,A,A,A,1,1,0,2.0391,2.3594
80,C,A,A,0,0,0,0.9453,1.7031
81,B,A,A,0,0,0,1.2969,2.3711
82,B,A,A,0,0,0,1.2422,1.3906
83,A,A,A,1,1,0,0.8203,2.0
84,A,A,A,1,1,0,1.9297,2.334
85,A,A,A,1,1,0,1.2969,2.3281
86,C,A,A,0,0,0,1.4766,2.4141
87,C,A,A,0,0,0,1.9922,2.4297
88,C,A,A,0,0,0,1.2656,2.8164
89,A,A,A,1,1,0,1.0703,2.6172
90,C,A,A,0,0,0,1.6484,2.6406
91,C,A,A,0,0,0,1.1719,2.6406
92,A,A,A,1,1,0,1.7109,1.5
93,A,A,A,1,1,0,1.9141,2.4023
94,A,A,A,1,1,0,1.6172,1.7031
95,A,A,A,1,1,0,1.375,1.9062
96,A,A,A,1,1,0,1.3359,3.8008
97,B,A,A,0,0,0,1.1875,1.8359
98,C,A,A,0,0,0,1.0547,1.4062
99,A,A,A,1,1,0,1.4453,2.5391
100,C,A,A,0,0,0,0.8594,1.0859
101,A,A,A,1,1,0,1.6562,1.2656
102,A,A,A,1,1,0,0.8281,3.0625
103,C,A,A,0,0,0,1.3438,1.4961
104,C,A,A,0,0,0,1.0156,2.2031
105,B,A,A,0,0,0,1.5391,3.082
106,B,A,A,0,0,0,1.5,1.4609
107,B,A,A,0,0,0,0.7891,2.9492
108,C,A,A,0,0,0,1.3359,2.2891
109,B,A,A,0,0,0,1.5156,2.5547
110,A,A,A,1,1,0,1.2188,2.1484
111,B,A,A,0,0,0,1.7656,3.5391
112,A,A,A,1,1,0,1.2969,1.8672
113,B,A,A,0,0,0,0.9375,3.1875
114,B,A,A,0,0,0,0.9766,2.6836
115,A,A,A,1,1,0,1.0,3.6836
116,C,A,A,0,0,0,1.6953,1.4023
117,A,A,A,1,1,0,1.5703,2.7695
118,A,A,A,1,1,0,1.4922,2.1562
119,A,A,A,1,1,0,1.1953,2.1152
120,B,A,A,0,0,0,0.5859,2.0332
121,C,A,A,0,0,0,1.6875,2.2812
122,B,A,A,0,0,0,1.6719,2.0352
123,C,A,A,0,0,0,1.7969,2.8516
124,B,A,A,0,0,0,1.1016,1.9062
125,A,A,A,1,1,0,1.5938,2.0391
126,B,A,A,0,0,0,1.4922,2.8438
127,C,A,A,0,0,0,1.4531,2.7188
128,A,A,A,1,1,0,1.9609,2.7031
129,B,A,A,0,0,0,1.2656,2.5859
130,C,A,A,0,0,0,1.8906,2.0625
131,B,A,A,0,0,0,0.9766,2.6367
132,A,A,A,1,1,0,0.8438,1.7656
133,C,A,A,0,0,0,1.0078,2.0859
134,C,A,A,0,0,0,1.375,1.2188
135,C,A,A,0,0,0,1.4297,2.2422
136,A,A,A,1,1,0,0.9141,3.0039
137,C,A,A,0,0,0,1.5078,2.0391
138,A,A,A,1,1,0,1.1875,3.2617
139,B,A,A,0,0,0,0.7422,1.6426
140,A,A,A,1,1,0,1.1094,2.7422
141,A,A,A,1,1,0,1.5234,3.1523
142,B,A,A,0,0,0,1.125,3.543
143,B,A,A,0,0,0,1.3281,3.1562
144,C,A,A,0,0,0,1.75,1.5156
145,C,A,A,0,0,0,1.5625,1.748
146,A,A,A,1,1,0,1.5469,2.5469
147,C,A,C,0,1,1,0.7031,0.625
148,B,A,A,0,0,0,0.5781,1.7559
149,A,A,A,1,1,0,1.625,1.0156
150,C,A,A,0,0,0,1.6641,2.7383
151,B,A,A,0,0,0,1.6562,1.2109
152,C,A,A,0,0,0,1.3438,1.9141
153,B,A,A,0,0,0,0.9531,2.5391
154,C,A,A,0,0,0,0.9531,2.3594
155,B,A,A,0,0,0,1.7422,1.2578
156,C,A,A,0,0,0,1.6719,2.5938
157,A,A,A,1,1,0,1.0703,2.8828
158,B,A,A,0,0,0,1.2031,1.8789
159,A,A,A,1,1,0,0.8594,1.7598
160,C,A,A,0,0,0,1.7812,1.8711
161,C,A,A,0,0,0,1.9375,2.4609
162,C,A,A,0,0,0,1.4766,2.1562
163,C,A,A,0,0,0,0.9922,2.4336
164,A,A,A,1,1,0,1.5703,2.918
165,A,A,A,1,1,0,1.1562,2.418
166,C,A,A,0,0,0,1.3906,2.375
167,C,A,A,0,0,0,1.0469,2.6172
168,B,A,A,0,0,0,1.5547,1.9922
169,A,A,A,1,1,0,1.3125,1.8633
170,C,A,A,0,0,0,1.1406,1.7578
171,A,A,A,1,1,0,1.5859,2.8281
172,C,A,A,0,0,0,1.0078,1.2734
173,A,A,A,1,1,0,1.1562,2.3047
174,A,A,A,1,1,0,1.3906,2.7461
175,C,A,A,0,0,0,1.4766,2.2891
176,B,A,A,0,0,0,1.4297,1.1094
177,A,A,A,1,1,0,0.875,2.418
178,B,A,A,0,0,0,1.1172,2.6211
179,B,A,A,0,0,0,0.7422,2.4766
180,C,A,A,0,0,0,1.3438,2.0078
181,A,A,A,1,1,0,1.4141,2.7578
182,B,A,A,0,0,0,1.1484,2.1719
183,A,A,A,1,1,0,1.7109,1.6406
184,C,A,A,0,0,0,0.8438,2.7344
185,B,A,A,0,0,0,0.7578,3.1406
186,B,A,A,0,0,0,1.0703,3.1445
187,B,A,A,0,0,0,0.9219,3.5625
188,B,A,A,0,0,0,1.2734,2.4453
189,B,A,A,0,0,0,1.3828,1.7891
190,B,A,A,0,0,0,1.5234,2.2578
191,A,A,A,1,1,0,1.3906,2.3672
192,B,A,A,0,0,0,0.8516,3.5078
193,A,A,A,1,1,0,1.6172,2.4922
194,A,A,A,1,1,0,1.9688,2.6445
195,B,A,A,0,0,0,1.5312,1.7969
196,B,A,A,0,0,0,1.3906,2.5586
197,C,A,A,0,0,0,1.2891,1.9062
198,A,A,A,1,1,0,1.8594,2.9805
199,C,A,A,0,0,0,1.0625,1.0938
200,C,A,A,0,0,0,1.9531,1.9805
201,A,A,A,1,1,0,1.5078,2.3008
202,B,A,A,0,0,0,1.6406,1.6328
203,A,A,A,1,1,0,1.0391,2.5703
204,B,A,A,0,0,0,0.5938,2.7539
205,C,A,A,0,0,0,1.0469,1.875
206,B,A,A,0,0,0,1.0938,2.8086
207,B,A,A,0,0,0,1.4219,2.6133
208,B,A,A,0,0,0,1.8125,2.2031
209,A,A,A,1,1,0,1.6328,2.7188
210,A,A,A,1,1,0,1.0859,2.9844
211,B,A,A,0,0,0,0.9688,3.3945
212,C,A,A,0,0,0,1.5234,2.5703
213,B,A,A,0,0,0,2.0234,2.8711
214,B,A,A,0,0,0,1.3672,2.1367
215,A,A,A,1,1,0,0.8984,2.0078
216,A,A,A,1,1,0,0.875,2.4922
217,A,A,A,1,1,0,1.7422,2.543
218,A,A,A,1,1,0,1.3906,2.2266
219,B,A,A,0,0,0,1.1406,2.8164
220,B,A,A,0,0,0,1.6562,2.3945
221,C,A,B,0,0,1,1.2812,1.0938
222,B,A,A,0,0,0,2.0078,2.5781
223,B,A,A,0,0,0,0.6562,0.9609
224,C,A,A,0,0,0,0.9922,2.3125
225,B,A,A,0,0,0,1.7422,2.3984
226,A,A,A,1,1,0,1.3828,0.9766
227,A,A,A,1,1,0,0.9609,3.8047
228,A,A,A,1,1,0,2.0469,2.043
229,A,A,A,1,1,0,1.9609,2.7344
230,B,A,A,0,0,0,1.1094,2.2578
231,B,A,A,0,0,0,1.9844,2.6602
232,C,A,A,0,0,0,0.8828,2.791
233,A,A,A,1,1,0,1.3047,2.5078
234,A,A,A,1,1,0,0.6641,1.9375
235,B,A,A,0,0,0,1.2031,1.4531
236,C,A,A,0,0,0,0.8906,2.0859
237,B,A,A,0,0,0,1.2578,1.2422
238,A,A,A,1,1,0,1.2109,2.1562
239,A,A,A,1,1,0,1.4531,2.3398
240,C,A,A,0,0,0,1.2109,2.0156
241,C,A,A,0,0,0,1.0156,3.3203
242,B,A,A,0,0,0,1.6484,2.5117
243,A,A,A,1,1,0,1.4297,1.9531
244,C,A,A,0,0,0,1.7734,2.6094
245,A,A,A,1,1,0,0.8828,2.0391
246,B,A,A,0,0,0,1.1562,2.5234
247,B,A,A,0,0,0,1.2578,2.7891
248,B,A,A,0,0,0,1.4531,1.9727
249,C,A,A,0,0,0,1.8047,2.1348
250,B,A,A,0,0,0,1.3594,2.2539
251,A,A,A,1,1,0,1.3984,1.2734
252,A,A,A,1,1,0,1.0547,2.5078
253,B,A,A,0,0,0,1.75,2.1875
254,B,A,A,0,0,0,1.3047,2.1172
255,C,A,A,0,0,0,1.3438,3.1641
256,A,A,A,1,1,0,1.6406,3.2266
257,B,A,A,0,0,0,1.3281,3.2656
258,C,A,A,0,0,0,1.0938,3.3359
259,C,A,A,0,0,0,1.4141,2.1602
260,C,A,A,0,0,0,2.0078,2.3477
261,A,A,A,1,1,0,1.3672,1.7344
262,C,A,A,0,0,0,0.9062,2.6758
263,C,A,A,0,0,0,1.5098,0.2969
264,B,A,A,0,0,0,1.6562,2.7773
265,B,A,A,0,0,0,1.0391,2.0195
266,C,A,A,0,0,0,0.9844,1.5703
267,A,A,A,1,1,0,0.75,1.6641
268,A,A,A,1,1,0,0.9375,3.1953
