idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.7266,0.0938
1,A,A,A,1,1,0,1.5625,0.5391
2,B,A,A,0,0,0,1.9219,0.3828
3,C,A,A,0,0,0,0.9609,0.2969
4,C,A,A,0,0,0,0.8828,0.25
5,C,A,A,0,0,0,1.1328,0.3906
6,A,A,A,1,1,0,1.3594,0.2266
7,B,A,A,0,0,0,0.875,0.1328
8,C,A,A,0,0,0,1.4141,0.1484
9,B,A,A,0,0,0,1.6953,0.375
10,B,A,A,0,0,0,1.1719,0.0547
11,C,A,A,0,0,0,1.1484,0.2891
12,C,A,A,0,0,0,1.5547,0.3125
13,B,A,A,0,0,0,1.5781,0.5078
14,B,A,A,0,0,0,1.5469,0.2109
15,C,A,A,0,0,0,0.5078,0.1875
16,B,A,A,0,0,0,1.2734,0.6953
17,C,A,A,0,0,0,1.0391,0.1797
18,A,A,C,1,0,1,1.4297,0.1016
19,A,A,A,1,1,0,1.4844,0.3359
20,C,A,A,0,0,0,1.5859,0.5078
21,B,A,A,0,0,0,1.1484,0.3672
22,C,A,A,0,0,0,1.125,0.3516
23,C,A,A,0,0,0,1.6484,0.4062
24,C,A,A,0,0,0,1.1641,0.1484
25,B,A,C,0,0,1,0.9141,0.1094
26,C,A,A,0,0,0,1.4219,0.0938
27,C,A,A,0,0,0,1.9922,0.3906
28,C,A,A,0,0,0,0.9844,0.3438
29,B,A,A,0,0,0,1.4844,0.3438
30,B,A,A,0,0,0,1.0938,0.0938
31,B,A,A,0,0,0,1.3281,0.3672
32,B,A,A,0,0,0,1.9375,0.1953
33,B,A,A,0,0,0,1.4766,0.3906
34,A,A,A,1,1,0,1.2109,0.625
35,C,A,C,0,1,1,1.0625,0.1562
36,A,A,A,1,1,0,1.0156,0.0312
37,B,A,A,0,0,0,0.9062,0.1953
38,C,A,A,0,0,0,1.1562,0.1094
39,C,A,A,0,0,0,1.4531,0.2734
