idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,A,1,0,1,1.8125,0.4531
1,C,C,C,1,1,0,1.7344,2.0488
2,D,A,A,0,0,0,0.3594,2.125
3,B,D,A,0,0,1,0.8418,0.4609
4,B,B,A,1,0,1,1.127,1.0078
5,B,B,B,1,1,0,2.3281,1.8594
6,C,C,A,1,0,1,1.2188,0.2891
7,A,A,A,1,1,0,4.2051,3.0859
8,C,C,C,1,1,0,2.5488,0.7344
9,C,C,C,1,1,0,3.3438,1.8574
10,C,C,C,1,1,0,2.3037,1.2188
11,B,B,B,1,1,0,4.1729,2.1035
12,C,C,C,1,1,0,1.6406,1.4375
13,C,C,C,1,1,0,2.5859,1.3516
14,A,A,A,1,1,0,0.375,1.5391
15,A,A,A,1,1,0,1.8594,1.1699
16,C,C,C,1,1,0,2.4688,0.625
17,B,B,B,1,1,0,1.6074,0.5547
18,B,B,A,1,0,1,2.5312,0.0078
19,C,C,C,1,1,0,1.25,0.9062
20,A,A,A,1,1,0,2.5859,2.9121
21,B,B,A,1,0,1,1.7422,1.5312
22,A,A,A,1,1,0,3.0391,3.2324
23,D,D,D,1,1,0,2.8281,1.9824
24,D,D,A,1,0,1,1.8438,0.1953
25,A,A,A,1,1,0,3.7363,3.7578
26,C,C,C,1,1,0,2.3135,1.0312
27,B,B,A,1,0,1,0.1641,0.4551
28,B,B,B,1,1,0,1.4355,0.7656
29,C,C,C,1,1,0,2.5996,0.0469
30,C,C,C,1,1,0,2.6387,1.5703
31,A,A,A,1,1,0,2.3906,3.0098
32,D,C,A,0,0,1,0.3516,0.1172
33,B,B,A,1,0,1,1.3828,2.4062
34,C,C,C,1,1,0,2.6465,2.4375
35,B,C,C,0,0,0,1.8574,1.0703
36,D,D,A,1,0,1,1.2969,1.0234
37,B,B,A,1,0,1,0.5,1.5781
38,D,D,A,1,0,1,0.4238,1.7051
39,C,C,A,1,0,1,0.6875,0.1719
40,D,C,D,0,1,1,0.0625,0.0078
41,C,C,C,1,1,0,2.0762,0.4688
42,C,C,C,1,1,0,2.3613,0.4766
43,C,C,C,1,1,0,1.7969,0.6719
44,B,B,B,1,1,0,3.1543,2.4004
45,A,A,A,1,1,0,1.1875,2.6719
46,C,C,C,1,1,0,3.127,2.0234
47,A,A,A,1,1,0,1.5449,3.0078
48,D,D,A,1,0,1,1.2031,0.2109
49,D,A,A,0,0,0,0.1094,2.4844
50,B,A,A,0,0,0,1.0703,3.0234
51,D,D,D,1,1,0,1.5781,0.5391
52,A,A,A,1,1,0,3.0156,2.5156
53,A,A,A,1,1,0,0.5469,0.25
54,A,A,A,1,1,0,0.1328,1.8125
55,B,B,B,1,1,0,2.1426,1.2266
56,C,D,D,0,0,0,1.6406,0.9453
57,B,B,B,1,1,0,2.4443,0.5312
58,B,B,B,1,1,0,2.5234,2.0234
59,D,D,A,1,0,1,1.4297,1.9453
60,B,B,B,1,1,0,1.8848,0.5312
61,B,B,A,1,0,1,0.7109,1.4434
62,C,C,C,1,1,0,3.9531,2.0703
63,C,C,C,1,1,0,1.9082,1.875
64,B,B,B,1,1,0,2.248,1.9844
65,C,C,C,1,1,0,3.0293,2.8828
66,B,B,A,1,0,1,0.2422,1.8672
67,C,C,A,1,0,1,1.1406,0.3906
68,A,A,A,1,1,0,2.6348,2.9766
