idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.7266,1.4922
1,A,A,A,1,1,0,1.5625,1.3516
2,B,A,A,0,0,0,1.9219,1.6484
3,C,A,A,0,0,0,0.9609,0.8047
4,C,A,A,0,0,0,0.8828,1.3438
5,C,A,A,0,0,0,1.1328,1.1484
6,A,A,A,1,1,0,1.3594,1.0469
7,B,A,A,0,0,0,0.875,0.8828
8,C,A,A,0,0,0,1.4141,1.2969
9,B,A,A,0,0,0,1.6953,1.3203
10,B,A,A,0,0,0,1.1719,1.0078
11,C,A,A,0,0,0,1.1484,0.7266
12,C,A,A,0,0,0,1.5547,1.3125
13,B,A,A,0,0,0,1.5781,1.5312
14,B,A,A,0,0,0,1.5469,1.1641
15,C,A,A,0,0,0,0.5078,1.0703
16,B,A,A,0,0,0,1.2734,1.5
17,C,A,A,0,0,0,1.0391,1.2891
18,A,A,A,1,1,0,1.4297,1.3438
19,A,A,A,1,1,0,1.4844,1.2891
20,C,A,A,0,0,0,1.5859,1.5078
21,B,A,A,0,0,0,1.1484,1.1172
22,C,A,A,0,0,0,1.125,1.5156
23,C,A,A,0,0,0,1.6484,1.6641
24,C,A,A,0,0,0,1.1641,1.2734
25,B,A,A,0,0,0,0.9141,0.7422
26,C,A,A,0,0,0,1.4219,1.1406
27,C,A,A,0,0,0,1.9922,1.4219
28,C,A,A,0,0,0,0.9844,0.8203
29,B,A,A,0,0,0,1.4844,1.4297
30,B,A,A,0,0,0,1.0938,1.125
31,B,A,A,0,0,0,1.3281,1.2578
32,B,A,A,0,0,0,1.9375,1.3047
33,B,A,A,0,0,0,1.4766,1.5859
34,A,A,A,1,1,0,1.2109,1.4062
35,C,A,A,0,0,0,1.0625,0.8906
36,A,A,A,1,1,0,1.0156,1.0781
37,B,A,A,0,0,0,0.9062,0.8594
38,C,A,A,0,0,0,1.1562,1.0547
39,C,A,A,0,0,0,1.4531,1.0391
40,A,A,A,1,1,0,1.1328,1.1953
41,B,A,A,0,0,0,1.0078,0.9453
42,B,A,A,0,0,0,1.1953,0.9688
43,A,A,A,1,1,0,1.4219,1.5781
44,A,A,A,1,1,0,0.9219,1.1719
45,A,A,A,1,1,0,1.5156,1.2188
46,C,A,A,0,0,0,0.9141,1.5469
47,B,A,A,0,0,0,1.4688,0.9219
48,C,A,A,0,0,0,1.9766,1.4375
49,C,A,A,0,0,0,1.1484,0.8203
50,C,A,A,0,0,0,1.8828,1.3672
51,A,A,A,1,1,0,1.3047,1.3047
52,C,A,A,0,0,0,1.7656,1.4609
53,A,A,A,1,1,0,1.2344,1.3594
54,A,A,A,1,1,0,1.0078,1.3438
55,C,A,A,0,0,0,1.625,1.2031
56,A,A,A,1,1,0,1.2812,1.5469
57,C,A,A,0,0,0,1.3438,1.1016
58,C,A,A,0,0,0,1.4922,1.125
59,A,A,A,1,1,0,1.0938,0.5234
60,A,A,A,1,1,0,1.6406,1.0156
61,C,A,A,0,0,0,0.8281,1.2344
62,A,A,A,1,1,0,1.1484,1.2812
63,B,A,A,0,0,0,0.9766,1.0703
64,A,A,A,1,1,0,1.5469,1.0859
65,C,A,A,0,0,0,1.5391,1.4453
66,A,A,A,1,1,0,1.25,1.6562
67,C,A,A,0,0,0,1.9062,1.9609
68,B,A,A,0,0,0,0.6172,0.7812
69,A,A,A,1,1,0,1.5,0.9141
70,B,A,A,0,0,0,1.5,1.0391
71,B,A,A,0,0,0,1.625,1.2266
72,C,A,A,0,0,0,1.7734,0.9609
73,A,A,A,1,1,0,1.1328,1.25
74,B,A,A,0,0,0,1.0469,1.0
75,C,A,A,0,0,0,1.4844,1.2812
76,A,A,A,1,1,0,1.2266,1.125
77,A,A,A,1,1,0,1.5938,1.0469
78,B,A,A,0,0,0,0.6641,1.0625
79,A,A,A,1,1,0,2.0391,1.5625
80,C,A,A,0,0,0,0.9453,1.2969
81,B,A,A,0,0,0,1.2969,0.8672
82,B,A,A,0,0,0,1.2422,0.7812
83,A,A,A,1,1,0,0.8203,1.3047
84,A,A,A,1,1,0,1.9297,1.0938
85,A,A,A,1,1,0,1.2969,0.9844
86,C,A,A,0,0,0,1.4766,1.0078
87,C,A,A,0,0,0,1.9922,1.1484
88,C,A,A,0,0,0,1.2656,1.1016
89,A,A,A,1,1,0,1.0703,1.0234
90,C,A,A,0,0,0,1.6484,1.0
91,C,A,A,0,0,0,1.1719,1.4297
92,A,A,A,1,1,0,1.7109,0.9688
93,A,A,A,1,1,0,1.9141,1.4766
94,A,A,A,1,1,0,1.6172,1.2812
95,A,A,A,1,1,0,1.375,1.6875
96,A,A,A,1,1,0,1.3359,1.2969
97,B,A,A,0,0,0,1.1875,1.2656
98,C,A,A,0,0,0,1.0547,0.8906
99,A,A,A,1,1,0,1.4453,1.1016
100,C,A,A,0,0,0,0.8594,0.9766
101,A,A,A,1,1,0,1.6562,1.1172
102,A,A,A,1,1,0,0.8281,1.1562
103,C,A,A,0,0,0,1.3438,1.3125
104,C,A,A,0,0,0,1.0156,0.8828
105,B,A,A,0,0,0,1.5391,1.2734
106,B,A,A,0,0,0,1.5,1.3125
107,B,A,A,0,0,0,0.7891,1.2422
108,C,A,A,0,0,0,1.3359,1.0234
109,B,A,A,0,0,0,1.5156,0.9922
110,A,A,A,1,1,0,1.2188,1.5078
111,B,A,A,0,0,0,1.7656,1.5469
112,A,A,A,1,1,0,1.2969,1.0625
113,B,A,A,0,0,0,0.9375,1.1016
114,B,A,A,0,0,0,0.9766,1.1641
115,A,A,A,1,1,0,1.0,1.5391
116,C,A,A,0,0,0,1.6953,1.1875
117,A,A,A,1,1,0,1.5703,1.1719
118,A,A,A,1,1,0,1.4922,1.0547
119,A,A,A,1,1,0,1.1953,0.9531
120,B,A,A,0,0,0,0.5859,1.0469
121,C,A,A,0,0,0,1.6875,1.3047
122,B,A,A,0,0,0,1.6719,1.0938
123,C,A,A,0,0,0,1.7969,1.5625
124,B,A,A,0,0,0,1.1016,1.1719
125,A,A,A,1,1,0,1.5938,1.3125
126,B,A,A,0,0,0,1.4922,1.0938
127,C,A,A,0,0,0,1.4531,1.4219
128,A,A,A,1,1,0,1.9609,1.3359
129,B,A,A,0,0,0,1.2656,0.75
130,C,A,A,0,0,0,1.8906,1.2422
131,B,A,A,0,0,0,0.9766,0.9297
132,A,A,A,1,1,0,0.8438,0.8203
133,C,A,A,0,0,0,1.0078,0.9375
134,C,A,A,0,0,0,1.375,1.1719
135,C,A,A,0,0,0,1.4297,1.2969
136,A,A,A,1,1,0,0.9141,1.5547
137,C,A,A,0,0,0,1.5078,1.1406
138,A,A,A,1,1,0,1.1875,1.4766
139,B,A,A,0,0,0,0.7422,1.0469
140,A,A,A,1,1,0,1.1094,1.2109
141,A,A,A,1,1,0,1.5234,1.4297
142,B,A,A,0,0,0,1.125,1.0469
143,B,A,A,0,0,0,1.3281,0.9531
144,C,A,A,0,0,0,1.75,1.3672
145,C,A,A,0,0,0,1.5625,1.3516
146,A,A,A,1,1,0,1.5469,1.2734
147,C,A,A,0,0,0,0.7031,0.75
148,B,A,A,0,0,0,0.5781,1.2734
149,A,A,A,1,1,0,1.625,1.2109
150,C,A,A,0,0,0,1.6641,1.25
151,B,A,A,0,0,0,1.6562,1.2812
152,C,A,A,0,0,0,1.3438,1.125
153,B,A,A,0,0,0,0.9531,0.9531
154,C,A,A,0,0,0,0.9531,1.1641
155,B,A,A,0,0,0,1.7422,1.4766
156,C,A,A,0,0,0,1.6719,1.7188
157,A,A,A,1,1,0,1.0703,1.2266
158,B,A,A,0,0,0,1.2031,0.8203
159,A,A,A,1,1,0,0.8594,1.1406
160,C,A,A,0,0,0,1.7812,1.4609
161,C,A,A,0,0,0,1.9375,1.6406
162,C,A,A,0,0,0,1.4766,1.2812
163,C,A,A,0,0,0,0.9922,1.5469
164,A,A,A,1,1,0,1.5703,1.4609
165,A,A,A,1,1,0,1.1562,1.1562
166,C,A,A,0,0,0,1.3906,1.6484
167,C,A,A,0,0,0,1.0469,1.5312
168,B,A,A,0,0,0,1.5547,1.2109
169,A,A,A,1,1,0,1.3125,0.8828
170,C,A,A,0,0,0,1.1406,1.2188
171,A,A,A,1,1,0,1.5859,1.3047
172,C,A,A,0,0,0,1.0078,1.1406
173,A,A,A,1,1,0,1.1562,1.1797
174,A,A,A,1,1,0,1.3906,1.1562
175,C,A,A,0,0,0,1.4766,1.1953
176,B,A,A,0,0,0,1.4297,1.4531
177,A,A,A,1,1,0,0.875,1.5391
178,B,A,A,0,0,0,1.1172,1.2031
179,B,A,A,0,0,0,0.7422,0.9922
180,C,A,A,0,0,0,1.3438,1.0625
181,A,A,A,1,1,0,1.4141,1.3438
182,B,A,A,0,0,0,1.1484,1.1484
183,A,A,A,1,1,0,1.7109,1.1719
184,C,A,A,0,0,0,0.8438,1.0234
185,B,A,A,0,0,0,0.7578,0.9609
186,B,A,A,0,0,0,1.0703,0.8125
187,B,A,A,0,0,0,0.9219,1.1172
188,B,A,A,0,0,0,1.2734,1.0469
189,B,A,A,0,0,0,1.3828,1.5938
190,B,A,A,0,0,0,1.5234,1.1172
191,A,A,A,1,1,0,1.3906,1.2578
192,B,A,A,0,0,0,0.8516,1.1797
193,A,A,A,1,1,0,1.6172,0.9688
194,A,A,A,1,1,0,1.9688,1.2734
195,B,A,A,0,0,0,1.5312,1.3516
196,B,A,A,0,0,0,1.3906,1.2812
197,C,A,A,0,0,0,1.2891,1.4844
198,A,A,A,1,1,0,1.8594,1.4219
199,C,A,A,0,0,0,1.0625,1.2031
200,C,A,A,0,0,0,1.9531,1.2422
201,A,A,A,1,1,0,1.5078,1.5
202,B,A,A,0,0,0,1.6406,1.5781
203,A,A,A,1,1,0,1.0391,1.0625
