idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,4.4062,6.5147
1,A,A,A,1,1,0,3.6725,8.4435
2,B,B,A,1,0,1,0.0625,5.6255
3,C,B,B,0,0,0,5.5454,5.7821
4,C,C,C,1,1,0,6.3273,8.553
5,C,C,C,1,1,0,8.5108,9.3654
6,A,B,B,0,0,0,5.4532,6.4061
7,B,B,B,1,1,0,6.4758,5.6653
8,C,B,B,0,0,0,3.7661,5.0325
9,B,B,B,1,1,0,7.1249,7.5933
10,B,B,B,1,1,0,4.282,4.2013
11,C,B,B,0,0,0,4.1422,5.5314
12,C,B,B,0,0,0,5.314,5.6552
13,B,B,B,1,1,0,7.6806,6.2045
14,B,B,A,1,0,1,3.7965,3.5941
15,C,B,B,0,0,0,1.0779,3.0943
16,B,B,A,1,0,1,5.8887,5.3891
17,C,B,B,0,0,0,6.2483,6.8591
18,A,B,A,0,1,1,3.8286,6.3437
19,A,A,A,1,1,0,2.7654,7.5769
20,C,B,C,0,1,1,0.6096,6.1558
21,B,B,B,1,1,0,5.7751,5.0788
22,C,C,C,1,1,0,5.314,3.875
23,C,B,A,0,0,1,2.1097,6.4998
24,C,C,C,1,1,0,8.5354,9.6621
25,B,B,B,1,1,0,7.2818,7.1502
26,C,B,B,0,0,0,3.4059,4.5785
27,C,C,C,1,1,0,5.6419,7.3828
28,C,B,B,0,0,0,5.7794,6.6961
29,B,B,B,1,1,0,4.702,3.4846
30,B,B,B,1,1,0,5.8764,5.3436
31,B,B,B,1,1,0,5.9779,5.5791
32,B,B,A,1,0,1,5.3298,6.4849
33,B,B,B,1,1,0,6.1083,5.623
34,A,B,A,0,1,1,3.4846,4.014
35,C,B,B,0,0,0,6.5697,5.867
36,A,A,A,1,1,0,4.5464,8.4198
37,B,B,B,1,1,0,3.4691,3.2659
38,C,C,B,1,0,1,0.6091,4.4393
39,C,B,B,0,0,0,4.8115,6.4367
40,A,A,A,1,1,0,7.6418,8.9216
41,B,B,B,1,1,0,4.0922,3.0936
42,B,B,B,1,1,0,5.8577,1.9531
43,A,B,A,0,1,1,2.5156,7.556
44,A,A,A,1,1,0,7.0173,8.1285
45,A,A,A,1,1,0,1.4691,7.3144
46,C,B,B,0,0,0,1.9849,4.5484
47,B,B,B,1,1,0,4.8606,0.813
48,C,A,A,0,0,0,0.3594,7.1097
49,C,C,B,1,0,1,4.9224,6.2639
50,C,C,C,1,1,0,5.8997,6.8835
51,A,A,A,1,1,0,7.7129,9.1611
52,C,C,C,1,1,0,6.8197,6.7512
53,A,B,A,0,1,1,4.9054,3.9834
54,A,B,A,0,1,1,5.9997,0.4375
55,C,B,B,0,0,0,5.3759,6.405
56,A,B,A,0,1,1,6.1411,7.6634
57,C,B,C,0,1,1,4.3284,6.1345
58,C,B,B,0,0,0,3.9678,3.4534
59,A,B,A,0,1,1,3.8118,6.641
60,A,A,A,1,1,0,8.2172,9.6773
61,C,B,B,0,0,0,6.1158,6.8613
62,A,B,A,0,1,1,5.1873,1.0315
63,B,B,B,1,1,0,6.8762,5.6884
64,A,A,A,1,1,0,7.3675,8.2528
65,C,B,B,0,0,0,4.9992,4.5156
66,A,B,B,0,0,0,5.1552,3.7817
67,C,B,C,0,1,1,5.7189,4.8285
68,B,B,A,1,0,1,0.8596,4.8436
69,A,A,A,1,1,0,2.4688,8.138
70,B,A,A,0,0,0,0.7654,3.9679
71,B,B,B,1,1,0,4.4208,5.3906
72,C,B,B,0,0,0,5.5171,6.8039
73,A,B,B,0,0,0,4.8288,2.8278
74,B,A,A,0,0,0,0.1406,6.5157
75,C,B,B,0,0,0,4.5783,3.5629
76,A,A,A,1,1,0,5.6426,7.1639
77,A,A,A,1,1,0,0.5935,6.5071
78,B,B,B,1,1,0,5.5642,4.1725
79,A,A,A,1,1,0,3.9695,8.7089
80,C,B,C,0,1,1,2.2971,4.141
81,B,A,A,0,0,0,2.9679,6.4706
82,B,B,B,1,1,0,6.6004,6.4001
83,A,B,A,0,1,1,6.2343,2.8911
84,A,A,A,1,1,0,8.186,10.264
85,A,B,A,0,1,1,5.5766,2.7501
86,C,B,B,0,0,0,5.4141,5.329
87,C,B,B,0,0,0,5.439,5.6544
88,C,B,B,0,0,0,4.7171,6.4749
89,A,A,A,1,1,0,4.3892,6.4992
90,C,B,B,0,0,0,6.9067,7.0085
91,C,C,C,1,1,0,6.7648,7.6239
