idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.3594,0.7031
1,A,A,A,1,1,0,0.0391,1.0703
2,B,A,F,0,0,1,0.3281,0.1641
3,E,A,F,0,0,1,0.3438,0.2188
4,B,A,A,0,0,0,0.7344,0.7188
5,B,A,A,0,0,0,0.2656,0.4141
6,A,E,A,0,1,1,0.0391,0.9609
7,B,A,A,0,0,0,0.0703,0.3125
8,D,A,A,0,0,0,0.4688,0.7422
9,B,A,A,0,0,0,0.2734,0.9922
10,C,A,A,0,0,0,0.4766,0.3984
11,B,A,F,0,0,1,0.3125,0.4453
12,E,A,A,0,0,0,0.1172,0.6953
13,B,A,A,0,0,0,0.4922,0.3828
14,B,A,A,0,0,0,0.3438,0.7344
15,D,A,A,0,0,0,0.2344,0.6641
16,E,A,F,0,0,1,0.4844,0.0234
17,A,E,F,0,0,1,0.0312,0.0859
18,C,A,A,0,0,0,0.6172,0.2188
19,E,A,A,0,0,0,0.9004,0.2031
20,B,A,A,0,0,0,0.3984,0.875
21,B,A,A,0,0,0,0.2266,0.1562
22,D,A,A,0,0,0,0.2734,0.5078
23,C,A,A,0,0,0,0.5625,0.4375
24,A,E,A,0,1,1,0.0156,0.625
25,D,A,A,0,0,0,0.3125,0.3828
26,F,A,A,0,0,0,0.2734,0.6562
27,B,A,A,0,0,0,0.1797,1.1016
28,F,A,A,0,0,0,0.1562,0.8203
29,D,A,A,0,0,0,0.3438,0.5312
30,E,A,A,0,0,0,0.2109,0.7891
31,C,A,F,0,0,1,0.2969,0.5
32,B,E,A,0,0,1,0.1797,0.2109
33,F,A,A,0,0,0,0.5312,0.4531
34,D,A,A,0,0,0,0.3281,0.6641
35,D,A,F,0,0,1,0.5156,0.6406
36,B,A,A,0,0,0,0.2969,0.5469
37,B,A,A,0,0,0,0.0078,0.1406
38,B,A,A,0,0,0,0.5781,1.2578
39,A,A,A,1,1,0,0.6016,0.2422
40,B,A,F,0,0,1,0.2734,0.4609
41,E,A,A,0,0,0,0.5234,1.0234
42,E,A,A,0,0,0,0.7969,0.2578
43,A,A,A,1,1,0,0.2031,0.5781
44,D,A,A,0,0,0,0.7031,0.6328
45,F,A,A,0,0,0,0.2891,0.7266
46,C,A,A,0,0,0,0.4062,0.5703
47,E,A,A,0,0,0,0.2656,0.7734
48,F,A,B,0,0,1,0.4922,0.4883
49,B,A,A,0,0,0,0.1016,0.7734
50,E,A,A,0,0,0,0.4297,0.5859
51,D,A,A,0,0,0,0.5312,0.1406
52,D,A,A,0,0,0,0.1719,0.9219
53,B,A,A,0,0,0,0.3359,0.9922
54,A,A,A,1,1,0,0.4141,0.4219
55,C,A,A,0,0,0,0.25,0.7031
56,A,A,A,1,1,0,0.4609,0.0781
57,A,A,A,1,1,0,0.3281,1.1484
58,F,A,A,0,0,0,0.3594,0.8828
59,D,A,A,0,0,0,0.5234,0.7188
60,E,A,A,0,0,0,0.5938,0.2578
61,B,A,A,0,0,0,0.4062,0.6562
62,D,A,F,0,0,1,0.6719,0.0469
63,E,A,A,0,0,0,0.3359,0.9453
64,D,A,A,0,0,0,0.2891,0.0156
65,B,A,A,0,0,0,0.6328,0.4141
66,A,A,A,1,1,0,0.3828,0.5391
67,C,A,A,0,0,0,0.7422,1.2891
68,E,A,A,0,0,0,0.3516,0.9766
69,F,A,A,0,0,0,0.2656,0.5
70,A,A,A,1,1,0,0.7031,1.2656
71,F,A,A,0,0,0,0.6406,0.8594
72,F,A,A,0,0,0,0.0391,0.7422
73,D,A,F,0,0,1,0.5078,0.3516
74,C,A,A,0,0,0,0.5312,0.125
75,E,A,F,0,0,1,0.5781,0.3047
76,A,A,A,1,1,0,0.25,1.0
77,E,A,A,0,0,0,0.4609,0.6875
78,F,A,A,0,0,0,0.4453,0.8672
79,A,A,A,1,1,0,0.3594,1.1484
80,E,A,A,0,0,0,0.0391,0.9375
81,E,A,A,0,0,0,0.4453,0.4219
82,B,A,F,0,0,1,0.5547,0.2812
83,B,A,A,0,0,0,0.1094,0.5781
84,A,A,A,1,1,0,0.375,0.4844
85,C,A,A,0,0,0,0.3281,0.375
86,E,A,A,0,0,0,0.3359,0.4375
87,A,A,A,1,1,0,0.3125,0.2734
88,B,A,A,0,0,0,0.1562,0.25
89,A,A,F,1,0,1,0.3672,0.1484
90,C,A,A,0,0,0,0.4297,0.3594
91,D,A,A,0,0,0,0.4219,0.7812
92,E,A,A,0,0,0,0.3594,0.375
93,C,A,A,0,0,0,0.7812,0.8125
94,F,A,A,0,0,0,0.4531,1.25
95,E,A,A,0,0,0,0.4609,0.5156
96,E,A,A,0,0,0,0.0859,0.5469
97,E,A,A,0,0,0,0.2578,0.125
98,B,A,A,0,0,0,0.3438,0.9453
99,F,A,A,0,0,0,0.2578,0.2656
100,C,A,A,0,0,0,0.4766,0.6484
101,D,A,A,0,0,0,0.3359,0.5
102,C,E,F,0,0,1,0.0156,0.2344
103,A,A,A,1,1,0,0.1797,0.8516
104,F,A,A,0,0,0,0.4609,0.2109
105,C,A,A,0,0,0,0.1875,0.0625
106,D,A,A,0,0,0,0.2422,0.8672
107,B,A,A,0,0,0,0.5938,0.0859
108,F,A,A,0,0,0,0.4766,0.7969
109,C,A,A,0,0,0,0.75,1.25
110,B,A,A,0,0,0,0.5938,0.3828
111,D,A,A,0,0,0,0.4844,0.4688
112,D,A,A,0,0,0,0.7969,0.5234
113,F,A,A,0,0,0,0.6562,0.3125
114,E,A,A,0,0,0,0.4219,0.2734
115,B,A,A,0,0,0,0.2734,0.5391
116,C,A,A,0,0,0,0.3828,0.5
117,C,A,A,0,0,0,0.0703,0.5391
118,F,A,A,0,0,0,0.1797,0.7891
119,E,A,A,0,0,0,0.3672,0.2188
120,A,A,F,1,0,1,0.4297,0.2188
121,B,A,A,0,0,0,0.375,1.3359
122,E,A,A,0,0,0,0.1016,0.3516
123,E,A,A,0,0,0,0.4062,0.6328
124,B,A,A,0,0,0,0.4453,0.2578
125,B,A,A,0,0,0,0.5,0.5859
126,C,A,A,0,0,0,0.3594,0.7266
127,C,A,A,0,0,0,0.4297,0.6875
128,C,A,A,0,0,0,0.3125,0.8203
129,F,A,A,0,0,0,0.3594,1.0312
130,B,A,A,0,0,0,0.7734,0.9766
131,E,A,A,0,0,0,0.5234,0.1328
132,B,A,A,0,0,0,0.7734,0.4688
133,F,A,A,0,0,0,0.5547,0.2891
134,C,A,A,0,0,0,0.3516,0.3672
135,B,A,A,0,0,0,0.2344,0.2266
136,F,A,A,0,0,0,0.1406,0.5625
137,A,A,A,1,1,0,0.5859,0.7344
138,F,A,F,0,1,1,0.4297,0.1797
139,E,A,A,0,0,0,0.375,0.0391
140,D,A,A,0,0,0,0.3984,0.1562
141,A,A,F,1,0,1,0.1641,0.0156
142,E,A,A,0,0,0,0.6406,0.4531
143,B,A,A,0,0,0,0.1562,0.4062
144,F,A,F,0,1,1,0.4453,0.0781
145,B,A,A,0,0,0,0.2344,0.0234
146,E,A,A,0,0,0,0.5156,0.2812
147,D,A,A,0,0,0,0.5547,1.0781
148,D,A,A,0,0,0,0.2969,0.4141
149,D,A,A,0,0,0,0.5,0.7891
150,A,A,F,1,0,1,0.3203,0.4141
151,B,A,A,0,0,0,0.2031,0.8438
152,A,A,A,1,1,0,0.375,0.375
153,A,A,A,1,1,0,0.5156,0.1953
154,C,A,F,0,0,1,0.2031,0.0547
155,D,A,A,0,0,0,0.4844,0.2344
156,A,A,A,1,1,0,0.875,0.4688
157,D,A,A,0,0,0,0.0234,0.0312
158,B,A,A,0,0,0,0.125,0.0156
159,A,A,A,1,1,0,0.4453,0.8516
160,D,A,F,0,0,1,0.2734,0.1094
161,A,A,A,1,1,0,0.2188,0.7266
162,A,A,A,1,1,0,0.2812,1.2188
163,C,A,A,0,0,0,0.5391,0.0547
164,C,A,A,0,0,0,0.4141,0.1172
165,A,A,A,1,1,0,0.4297,0.3203
166,F,A,A,0,0,0,0.3516,0.0938
167,D,A,A,0,0,0,0.6953,0.9219
168,E,A,F,0,0,1,0.2422,0.1016
169,A,A,A,1,1,0,0.8516,1.0312
170,C,A,A,0,0,0,0.3438,0.9766
171,A,A,A,1,1,0,0.2812,0.0547
172,C,A,A,0,0,0,0.0703,0.25
173,A,A,A,1,1,0,0.375,0.5625
174,A,A,F,1,0,1,0.4297,0.3516
175,B,A,A,0,0,0,0.2891,0.8359
176,B,A,A,0,0,0,0.9062,0.8125
177,A,A,A,1,1,0,0.3828,0.2344
178,E,A,F,0,0,1,0.3594,0.6172
179,A,A,A,1,1,0,0.5234,0.3203
180,D,A,A,0,0,0,0.2344,1.0312
181,B,A,A,0,0,0,0.4062,0.2656
182,F,A,A,0,0,0,0.3984,0.6875
183,F,A,A,0,0,0,0.4531,0.5547
184,D,A,F,0,0,1,0.2266,0.1328
185,D,A,F,0,0,1,0.3828,0.2734
186,D,A,A,0,0,0,0.2891,0.8594
187,E,A,A,0,0,0,0.4219,0.4219
188,F,A,F,0,1,1,0.1172,0.125
189,E,A,A,0,0,0,0.4844,0.6875
190,B,A,A,0,0,0,0.4062,0.9609
191,C,A,A,0,0,0,0.2891,0.6797
192,B,A,A,0,0,0,0.1797,0.5859
193,C,A,A,0,0,0,0.4531,1.2266
194,C,A,A,0,0,0,0.3672,0.2812
195,D,A,A,0,0,0,0.0938,0.5078
196,F,A,F,0,1,1,0.5078,0.2812
197,B,A,A,0,0,0,0.2422,0.7188
198,A,A,A,1,1,0,0.7344,0.1406
199,D,A,A,0,0,0,0.4531,0.2422
200,E,A,A,0,0,0,0.1562,0.4375
201,A,A,A,1,1,0,0.4688,0.7812
202,A,A,F,1,0,1,0.0234,0.5234
203,C,A,A,0,0,0,0.5547,0.7188
204,A,A,F,1,0,1,0.6875,0.2656
205,A,A,A,1,1,0,0.2031,0.5547
206,C,A,A,0,0,0,0.6484,1.0078
207,E,A,A,0,0,0,0.5312,0.5234
208,A,A,A,1,1,0,0.5957,0.7969
209,D,A,A,0,0,0,0.5,1.0938
210,B,A,F,0,0,1,0.1875,0.1641
211,E,A,F,0,0,1,0.5469,0.2578
212,F,A,A,0,0,0,0.1016,1.1172
213,C,A,F,0,0,1,0.2422,0.7422
214,B,A,F,0,0,1,0.4141,0.3672
215,F,A,F,0,1,1,0.6094,0.0938
216,D,A,A,0,0,0,0.7578,1.2266
217,D,A,A,0,0,0,0.2188,0.6797
218,D,A,F,0,0,1,0.4922,0.3281
219,D,A,A,0,0,0,0.2734,0.0078
220,E,A,F,0,0,1,0.3281,0.4141
221,A,A,A,1,1,0,0.4531,0.9531
222,A,A,A,1,1,0,0.1562,0.3594
223,F,A,A,0,0,0,0.4844,0.7188
224,F,A,A,0,0,0,0.4609,0.4375
225,E,A,A,0,0,0,0.9766,0.1797
226,B,A,A,0,0,0,0.0547,0.8203
227,F,A,A,0,0,0,0.0938,0.5703
228,D,A,A,0,0,0,0.375,0.3438
229,A,A,A,1,1,0,0.5156,0.5078
230,D,A,A,0,0,0,0.8203,0.2188
231,A,A,A,1,1,0,0.625,0.4844
232,B,A,A,0,0,0,0.4062,1.1641
233,F,A,A,0,0,0,0.5156,0.4453
234,E,A,A,0,0,0,0.4609,0.3906
235,C,A,A,0,0,0,0.625,0.0234
236,E,A,A,0,0,0,0.5781,0.8047
237,A,A,A,1,1,0,0.4141,0.6641
238,C,A,A,0,0,0,0.2656,0.2031
239,A,A,A,1,1,0,0.3906,0.8203
240,C,A,A,0,0,0,0.25,0.9688
241,A,A,A,1,1,0,0.7422,0.6094
242,A,A,A,1,1,0,0.3672,0.5938
243,D,A,A,0,0,0,0.2031,0.1484
244,B,A,A,0,0,0,0.2109,1.0703
245,D,A,A,0,0,0,0.5312,0.0938
246,D,A,F,0,0,1,0.7969,0.0547
247,B,A,A,0,0,0,0.5547,0.5625
248,F,A,F,0,1,1,0.1641,0.1719
249,F,A,F,0,1,1,0.2656,0.3672
