idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,7.0928,13.5312
1,A,A,A,1,1,0,7.2493,15.6875
2,B,B,B,1,1,0,11.0,10.2812
3,C,C,C,1,1,0,19.3281,20.3906
4,C,C,C,1,1,0,17.8906,21.4688
5,C,C,C,1,1,0,17.4062,20.5625
6,A,B,B,0,0,0,14.4062,8.7498
7,B,B,B,1,1,0,4.8122,5.3429
8,C,C,C,1,1,0,3.2186,2.9058
9,B,C,C,0,0,0,2.5309,4.8752
10,B,B,B,1,1,0,14.0,14.4375
11,C,C,C,1,1,0,8.5623,7.218
12,C,C,C,1,1,0,6.8427,8.1247
13,B,B,B,1,1,0,12.4062,13.375
14,B,B,B,1,1,0,9.1561,10.1875
15,C,C,C,1,1,0,14.6875,19.6719
16,B,B,B,1,1,0,13.6094,11.0312
17,C,C,C,1,1,0,1.9689,3.8759
18,A,A,A,1,1,0,9.8124,15.4062
19,A,A,A,1,1,0,5.3114,12.8437
20,C,C,C,1,1,0,14.4687,18.75
21,B,B,B,1,1,0,7.687,7.1555
22,C,C,C,1,1,0,18.125,20.1875
23,C,A,A,0,0,0,17.9531,19.8438
24,C,C,C,1,1,0,20.1562,22.6094
25,B,B,B,1,1,0,11.5312,13.3125
26,C,C,C,1,1,0,15.5312,19.2031
27,C,C,C,1,1,0,17.4531,21.8125
28,C,B,B,0,0,0,6.1894,4.4058
29,B,C,C,0,0,0,2.4059,2.7817
30,B,B,B,1,1,0,11.375,11.2187
31,B,B,B,1,1,0,3.9059,5.0326
32,B,B,B,1,1,0,15.0469,15.8437
33,B,B,B,1,1,0,10.0625,6.8739
34,A,A,A,1,1,0,4.2831,10.625
35,C,C,C,1,1,0,5.9074,0.7498
36,A,A,A,1,1,0,16.7812,19.9375
37,B,C,C,0,0,0,4.5323,2.4695
38,C,C,C,1,1,0,18.25,15.8437
39,C,C,C,1,1,0,15.8906,19.4219
40,A,A,A,1,1,0,1.9061,7.687
41,B,B,B,1,1,0,8.7497,7.4994
42,B,B,B,1,1,0,11.2812,12.6875
43,A,A,A,1,1,0,7.1867,15.0
44,A,A,A,1,1,0,14.3437,16.125
45,A,B,A,0,1,1,0.5002,6.3107
46,C,B,B,0,0,0,1.156,2.8748
47,B,C,B,0,1,1,1.5934,1.3124
48,C,C,C,1,1,0,6.158,7.8121
49,C,C,C,1,1,0,17.5469,16.25
50,C,C,C,1,1,0,19.375,23.6875
51,A,A,A,1,1,0,9.8749,13.5312
52,C,C,C,1,1,0,4.1246,2.9366
53,A,A,A,1,1,0,1.9064,11.9062
54,A,B,A,0,1,1,12.2812,3.6561
55,C,C,C,1,1,0,14.75,16.7344
56,A,B,A,0,1,1,3.6241,13.4062
57,C,C,C,1,1,0,18.5625,21.0781
58,C,C,C,1,1,0,20.5312,22.0781
59,A,B,B,0,0,0,5.3113,3.4369
60,A,A,A,1,1,0,11.8437,17.3438
61,C,C,C,1,1,0,12.0625,8.1872
62,A,B,A,0,1,1,6.0328,12.875
63,B,B,B,1,1,0,14.4844,15.9687
64,A,A,A,1,1,0,14.5937,18.7812
65,C,C,C,1,1,0,17.7969,18.6562
66,A,B,A,0,1,1,8.4685,5.0011
67,C,C,C,1,1,0,15.1094,20.75
68,B,B,B,1,1,0,8.7811,8.8749
69,A,A,A,1,1,0,10.8437,17.0
70,B,B,B,1,1,0,11.4062,10.6875
71,B,B,B,1,1,0,2.7505,0.9683
72,C,C,C,1,1,0,17.1562,20.5
73,A,A,A,1,1,0,12.6875,18.3125
74,B,B,A,1,0,1,1.2192,6.9365
75,C,C,C,1,1,0,20.0625,22.3594
76,A,A,A,1,1,0,16.0312,16.5937
77,A,B,A,0,1,1,1.6254,0.438
78,B,B,B,1,1,0,11.0312,10.875
79,A,A,A,1,1,0,14.75,18.375
80,C,C,C,1,1,0,17.625,19.1562
81,B,B,B,1,1,0,8.6248,9.0311
82,B,C,B,0,1,1,5.7507,0.0
83,A,A,A,1,1,0,15.0937,18.8438
84,A,A,A,1,1,0,16.4375,18.9219
85,A,B,A,0,1,1,7.1555,13.8437
86,C,C,C,1,1,0,19.7656,19.8438
87,C,C,C,1,1,0,20.4375,22.8906
88,C,C,C,1,1,0,16.1406,17.2188
89,A,A,A,1,1,0,8.4373,14.3594
90,C,C,C,1,1,0,0.5627,1.7189
91,C,C,C,1,1,0,15.6562,12.2187
92,A,B,B,0,0,0,7.8121,7.8746
93,A,B,A,0,1,1,3.9695,0.4062
