idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.2573,9.7813
1,A,B,B,0,0,0,6.781,6.6238
2,B,B,B,1,1,0,2.063,1.0312
3,E,E,E,1,1,0,7.6956,5.8818
4,B,D,D,0,0,0,4.8762,1.5312
5,B,B,A,1,0,1,1.3594,0.3672
6,A,D,C,0,0,1,0.5154,0.6562
7,B,B,B,1,1,0,9.8897,9.1466
8,D,D,D,1,1,0,9.1702,8.1685
9,B,A,B,0,1,1,0.5,0.293
10,C,C,C,1,1,0,7.1098,6.469
11,B,B,B,1,1,0,3.2965,1.6797
12,E,E,A,1,0,1,0.3906,0.5625
13,B,D,C,0,0,1,0.0469,1.7363
14,B,B,B,1,1,0,10.1319,9.1008
15,D,B,B,0,0,0,2.7809,2.1104
16,E,E,E,1,1,0,8.9429,8.0688
17,A,A,A,1,1,0,6.0784,1.9609
18,C,C,C,1,1,0,8.9833,8.0109
19,E,E,E,1,1,0,3.421,2.5
20,B,B,B,1,1,0,4.6888,3.3125
21,B,A,A,0,0,0,2.7656,0.0312
22,D,D,D,1,1,0,5.5931,4.3916
23,C,C,C,1,1,0,8.2311,4.1504
24,A,F,F,0,0,0,9.3662,9.0277
25,D,D,D,1,1,0,2.8435,1.6724
26,F,F,F,1,1,0,9.5145,6.5308
27,B,E,E,0,0,0,6.3122,1.2109
28,F,C,C,0,0,0,4.5458,2.4512
29,D,D,D,1,1,0,6.0322,3.5664
30,E,E,E,1,1,0,7.4705,2.9258
31,C,D,D,0,0,0,2.1095,2.2344
32,B,C,C,0,0,0,6.3599,6.462
33,F,F,F,1,1,0,4.4216,2.2812
34,D,D,D,1,1,0,8.6702,7.1079
35,D,D,D,1,1,0,2.657,2.2822
36,B,A,A,0,0,0,2.6416,2.0547
37,B,B,B,1,1,0,1.4841,4.0771
38,B,B,B,1,1,0,4.2482,5.0137
39,A,A,A,1,1,0,8.3185,8.4672
40,B,A,A,0,0,0,6.9209,4.6172
41,E,D,D,0,0,0,5.344,3.3926
42,E,E,E,1,1,0,7.6417,7.7969
43,A,A,A,1,1,0,6.1425,3.9336
44,D,D,D,1,1,0,7.9984,8.3029
45,F,A,B,0,0,1,0.7812,0.5469
46,C,C,C,1,1,0,6.4463,4.8086
47,E,E,D,1,0,1,0.2344,0.0625
48,F,F,F,1,1,0,8.7172,8.3874
49,B,D,D,0,0,0,6.045,4.7822
50,E,E,E,1,1,0,8.1037,6.5928
51,D,D,D,1,1,0,9.2015,8.8478
52,D,D,D,1,1,0,3.4695,2.2344
53,B,D,B,0,1,1,2.3909,1.5469
54,A,A,A,1,1,0,11.7881,11.6611
55,C,B,B,0,0,0,6.2509,5.5078
56,A,A,A,1,1,0,11.3043,11.4897
57,A,C,C,0,0,0,2.7029,0.9609
58,F,F,F,1,1,0,7.086,2.5117
59,D,D,D,1,1,0,9.6628,9.5094
60,E,E,E,1,1,0,10.0384,9.2676
61,B,A,A,0,0,0,7.1699,5.8448
62,D,D,D,1,1,0,4.7655,2.2188
63,E,C,C,0,0,0,10.6863,8.8944
64,D,D,D,1,1,0,5.3431,3.9668
65,B,C,C,0,0,0,6.8361,5.7195
66,A,C,C,0,0,0,3.3278,2.3438
67,C,C,C,1,1,0,1.1877,1.0146
68,E,E,E,1,1,0,5.9841,5.3447
69,F,F,F,1,1,0,5.0486,3.8457
70,A,A,A,1,1,0,11.6634,11.4426
71,F,F,F,1,1,0,8.4427,6.2793
72,F,F,F,1,1,0,6.2489,2.7656
73,D,F,F,0,0,0,8.7804,8.5458
74,C,C,C,1,1,0,6.2511,5.0869
75,E,E,E,1,1,0,7.344,6.1582
76,A,F,A,0,1,1,2.7976,0.2656
77,E,A,A,0,0,0,7.0846,5.7354
78,F,F,F,1,1,0,9.1396,8.8116
79,A,B,B,0,0,0,8.1701,7.6715
80,E,E,E,1,1,0,4.8123,3.9365
81,E,E,E,1,1,0,10.2807,9.9471
82,B,B,B,1,1,0,7.0371,7.2874
83,B,F,F,0,0,0,6.5934,1.7773
84,A,A,A,1,1,0,0.7505,0.3594
85,C,A,A,0,0,0,0.4531,0.4219
86,E,E,E,1,1,0,6.1269,6.2812
87,A,A,A,1,1,0,10.0694,9.2425
88,B,E,E,0,0,0,2.3445,0.3516
89,A,D,D,0,0,0,3.7656,5.8213
90,C,C,C,1,1,0,8.4747,6.3691
91,D,D,D,1,1,0,7.5859,4.375
92,E,E,E,1,1,0,2.5477,1.0154
93,C,C,C,1,1,0,7.6033,7.2283
94,F,A,F,0,1,1,1.9225,2.2662
95,E,F,F,0,0,0,4.656,1.6875
96,E,E,E,1,1,0,2.9067,0.6484
97,E,E,E,1,1,0,10.0852,10.3231
98,B,E,E,0,0,0,0.6562,0.7188
99,F,A,E,0,0,1,0.2183,0.2031
100,C,C,C,1,1,0,6.0486,2.3945
101,D,A,A,0,0,0,4.0005,2.8271
102,C,C,C,1,1,0,3.5303,3.5605
103,A,A,A,1,1,0,6.4514,5.416
104,F,F,B,1,0,1,2.2504,0.7578
105,C,C,C,1,1,0,4.3756,2.4297
106,D,A,A,0,0,0,2.8127,2.2188
107,B,B,B,1,1,0,9.0534,8.467
108,F,C,C,0,0,0,1.2344,0.6875
109,C,C,C,1,1,0,3.9539,2.3262
