idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,4.4062,3.4371
1,A,A,A,1,1,0,3.6725,2.9522
2,B,B,A,1,0,1,0.0625,4.4381
3,C,B,B,0,0,0,5.5454,5.4702
4,C,C,C,1,1,0,6.3273,0.3281
5,C,C,C,1,1,0,8.5108,1.5933
6,A,B,B,0,0,0,5.4532,4.718
7,B,B,B,1,1,0,6.4758,6.6727
8,C,B,B,0,0,0,3.7661,3.672
9,B,B,B,1,1,0,7.1249,6.8028
10,B,B,B,1,1,0,4.282,4.0641
11,C,B,B,0,0,0,4.1422,2.2966
12,C,B,B,0,0,0,5.314,6.7986
13,B,B,B,1,1,0,7.6806,7.0942
14,B,B,B,1,1,0,3.7965,2.8744
15,C,B,B,0,0,0,1.0779,3.6096
16,B,B,B,1,1,0,5.8887,5.8433
17,C,B,B,0,0,0,6.2483,7.2581
18,A,B,B,0,0,0,3.8286,5.5479
19,A,A,A,1,1,0,2.7654,0.6255
20,C,B,A,0,0,1,0.6096,3.3741
21,B,B,B,1,1,0,5.7751,6.8592
22,C,C,B,1,0,1,5.314,5.5919
23,C,B,B,0,0,0,2.1097,1.0469
24,C,C,C,1,1,0,8.5354,8.8699
25,B,B,B,1,1,0,7.2818,6.2107
26,C,B,B,0,0,0,3.4059,4.2964
27,C,C,B,1,0,1,5.6419,3.5937
28,C,B,B,0,0,0,5.7794,5.0012
29,B,B,C,1,0,1,4.702,0.5779
30,B,B,B,1,1,0,5.8764,5.4214
31,B,B,B,1,1,0,5.9779,5.2651
32,B,B,B,1,1,0,5.3298,5.4202
33,B,B,B,1,1,0,6.1083,4.0763
34,A,B,B,0,0,0,3.4846,3.1867
35,C,B,B,0,0,0,6.5697,5.5615
36,A,A,B,1,0,1,4.5464,4.3606
37,B,B,B,1,1,0,3.4691,0.0156
38,C,C,B,1,0,1,0.6091,3.1398
39,C,B,C,0,1,1,4.8115,3.2352
40,A,A,A,1,1,0,7.6418,5.9524
41,B,B,B,1,1,0,4.0922,2.7334
42,B,B,B,1,1,0,5.8577,4.9845
43,A,B,A,0,1,1,2.5156,0.7661
44,A,A,A,1,1,0,7.0173,8.0966
45,A,A,A,1,1,0,1.4691,2.7039
46,C,B,B,0,0,0,1.9849,5.5795
47,B,B,A,1,0,1,4.8606,0.3125
48,C,A,B,0,0,1,0.3594,3.0929
49,C,C,B,1,0,1,4.9224,5.6573
50,C,C,C,1,1,0,5.8997,5.547
51,A,A,A,1,1,0,7.7129,8.5067
52,C,C,C,1,1,0,6.8197,7.1167
53,A,B,B,0,0,0,4.9054,6.766
54,A,B,B,0,0,0,5.9997,5.6099
55,C,B,B,0,0,0,5.3759,4.7204
56,A,B,B,0,0,0,6.1411,7.5643
57,C,B,B,0,0,0,4.3284,3.782
58,C,B,B,0,0,0,3.9678,5.2017
59,A,B,B,0,0,0,3.8118,1.5154
60,A,A,A,1,1,0,8.2172,7.1625
61,C,B,B,0,0,0,6.1158,7.1417
62,A,B,B,0,0,0,5.1873,5.205
63,B,B,B,1,1,0,6.8762,5.078
64,A,A,A,1,1,0,7.3675,6.8444
65,C,B,B,0,0,0,4.9992,5.3289
66,A,B,A,0,1,1,5.1552,5.594
67,C,B,B,0,0,0,5.7189,6.6804
68,B,B,A,1,0,1,0.8596,5.9206
69,A,A,B,1,0,1,2.4688,5.0298
70,B,A,B,0,1,1,0.7654,4.8279
71,B,B,B,1,1,0,4.4208,4.7026
72,C,B,B,0,0,0,5.5171,5.5016
73,A,B,B,0,0,0,4.8288,5.4053
74,B,A,B,0,1,1,0.1406,2.1409
75,C,B,B,0,0,0,4.5783,5.5174
76,A,A,A,1,1,0,5.6426,1.7344
77,A,A,A,1,1,0,0.5935,4.9701
78,B,B,B,1,1,0,5.5642,5.6893
79,A,A,B,1,0,1,3.9695,1.359
80,C,B,B,0,0,0,2.2971,2.7659
81,B,A,A,0,0,0,2.9679,5.8745
82,B,B,B,1,1,0,6.6004,6.3579
83,A,B,B,0,0,0,6.2343,7.1646
84,A,A,A,1,1,0,8.186,7.6232
85,A,B,B,0,0,0,5.5766,5.639
86,C,B,B,0,0,0,5.4141,6.2955
87,C,B,B,0,0,0,5.439,6.7487
88,C,B,B,0,0,0,4.7171,5.6566
89,A,A,C,1,0,1,4.3892,2.64
90,C,B,B,0,0,0,6.9067,5.7752
91,C,C,C,1,1,0,6.7648,6.0326
92,A,A,A,1,1,0,4.5454,6.7811
93,A,A,A,1,1,0,5.686,6.1392
94,A,B,A,0,1,1,1.3435,0.3438
95,A,A,A,1,1,0,6.1247,5.486
96,A,B,B,0,0,0,4.8888,4.9691
97,B,B,B,1,1,0,3.4529,5.7196
98,C,C,C,1,1,0,6.7106,6.1389
99,A,A,A,1,1,0,5.0616,6.7734
100,C,C,C,1,1,0,7.452,4.7501
101,A,A,A,1,1,0,0.8435,4.1892
102,A,B,A,0,1,1,3.1879,4.7977
103,C,C,C,1,1,0,9.0901,9.4268
104,C,C,C,1,1,0,5.959,6.5783
105,B,B,B,1,1,0,4.5928,7.0866
106,B,B,A,1,0,1,3.6245,0.3438
107,B,B,B,1,1,0,4.4678,3.9532
108,C,C,C,1,1,0,8.0754,7.1177
109,B,B,A,1,0,1,5.5138,3.6093
110,A,B,A,0,1,1,0.5312,4.8599
111,B,B,A,1,0,1,4.5301,2.4993
112,A,B,B,0,0,0,4.5615,5.3761
113,B,B,A,1,0,1,4.4997,2.5942
114,B,B,B,1,1,0,5.8114,7.6345
115,A,A,B,1,0,1,0.7654,6.4388
116,C,C,B,1,0,1,6.6703,3.8593
117,A,B,B,0,0,0,4.671,6.3678
118,A,A,A,1,1,0,4.4052,3.8909
119,A,A,A,1,1,0,3.1103,0.3906
120,B,A,A,0,0,0,2.1875,5.0143
121,C,B,B,0,0,0,4.8904,4.4385
122,B,B,B,1,1,0,6.6487,6.8736
123,C,B,B,0,0,0,6.4597,5.1553
124,B,C,C,0,0,0,7.8822,6.2794
125,A,B,B,0,0,0,5.015,4.4538
126,B,A,A,0,0,0,5.2024,2.1719
127,C,C,C,1,1,0,6.9826,5.173
128,A,A,A,1,1,0,0.9375,2.1412
129,B,B,B,1,1,0,3.8431,4.0955
130,C,B,B,0,0,0,5.6569,6.5163
131,B,B,B,1,1,0,3.2499,0.969
132,A,B,B,0,0,0,3.3279,0.8591
133,C,B,B,0,0,0,5.6806,4.4676
134,C,B,B,0,0,0,4.4683,5.1557
135,C,B,B,0,0,0,4.8118,2.6251
136,A,B,B,0,0,0,5.9688,3.9062
137,C,C,C,1,1,0,7.822,1.7183
138,A,A,B,1,0,1,5.1733,1.6871
139,B,A,A,0,0,0,1.6403,5.1725
140,A,B,B,0,0,0,4.8598,3.765
141,A,B,B,0,0,0,2.2495,5.9215
142,B,B,B,1,1,0,3.6406,5.4217
143,B,B,B,1,1,0,5.4065,6.7491
144,C,B,C,0,1,1,4.5609,1.876
145,C,B,B,0,0,0,4.5459,5.1251
146,A,A,A,1,1,0,5.2985,6.4074
147,C,B,B,0,0,0,4.2827,5.1096
148,B,B,B,1,1,0,5.7425,2.8282
149,A,B,A,0,1,1,1.0469,5.7015
150,C,C,C,1,1,0,3.9851,6.562
151,B,B,B,1,1,0,5.7049,5.6397
152,C,C,A,1,0,1,0.969,2.2353
153,B,A,A,0,0,0,3.2961,4.8428
154,C,C,C,1,1,0,7.6547,7.8266
