idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,22.6202,21.2431
1,C,C,C,1,1,0,18.6014,18.4702
2,D,C,C,0,0,0,13.3451,11.8557
3,B,D,D,0,0,0,8.5033,7.4689
4,B,B,B,1,1,0,15.8433,14.7961
5,B,B,B,1,1,0,19.5519,18.9183
6,C,C,C,1,1,0,11.4058,10.9684
7,A,A,A,1,1,0,20.2264,20.5768
8,C,C,C,1,1,0,21.9558,21.4176
9,C,C,C,1,1,0,21.6359,20.7799
10,C,C,C,1,1,0,22.2279,21.6791
11,B,B,B,1,1,0,3.1562,4.6554
12,C,C,C,1,1,0,19.0143,18.0897
13,C,C,C,1,1,0,18.5502,19.4118
14,A,B,B,0,0,0,9.6276,9.3118
15,A,A,A,1,1,0,18.126,15.7783
16,C,C,C,1,1,0,16.4584,16.0787
17,B,B,B,1,1,0,22.4187,21.5492
18,B,B,B,1,1,0,21.6584,21.2264
19,C,C,C,1,1,0,19.9713,20.1601
20,A,A,A,1,1,0,15.3884,15.9842
21,B,B,B,1,1,0,22.0597,22.3101
22,A,A,A,1,1,0,15.8265,13.8885
23,D,D,D,1,1,0,22.9055,22.4367
24,D,D,D,1,1,0,14.9385,13.9058
25,A,A,A,1,1,0,19.4101,18.9028
26,C,C,C,1,1,0,16.4052,13.8113
27,B,B,B,1,1,0,14.1387,14.4812
28,B,B,B,1,1,0,2.2196,4.6867
29,C,C,C,1,1,0,22.9485,22.5861
30,C,C,C,1,1,0,17.6143,17.4086
31,A,A,A,1,1,0,19.5033,19.0413
32,D,D,D,1,1,0,14.9494,10.6706
33,B,B,B,1,1,0,18.5307,16.7804
34,C,C,C,1,1,0,21.7709,21.6992
35,B,B,B,1,1,0,5.3419,5.0617
36,D,D,D,1,1,0,21.5738,20.4238
37,B,B,B,1,1,0,0.0933,0.3438
38,D,D,D,1,1,0,17.9326,17.4638
39,C,C,C,1,1,0,11.6441,9.5967
40,D,C,C,0,0,0,2.8443,2.4376
41,C,C,C,1,1,0,19.1763,19.9265
42,C,C,C,1,1,0,20.0585,17.7152
43,C,C,C,1,1,0,21.4527,21.5426
44,B,B,B,1,1,0,17.0757,16.3912
45,A,A,A,1,1,0,9.9529,8.1868
46,C,C,C,1,1,0,21.1495,21.3693
47,A,A,A,1,1,0,17.107,16.6545
48,D,D,D,1,1,0,20.4518,19.5296
49,D,D,D,1,1,0,4.9357,2.3757
50,B,A,A,0,0,0,8.5781,5.3604
51,D,D,D,1,1,0,18.4047,16.8874
52,A,A,A,1,1,0,18.183,16.8887
53,A,B,B,0,0,0,0.562,2.6571
54,A,A,A,1,1,0,5.8767,5.0312
55,B,B,B,1,1,0,19.9937,20.5596
56,C,D,D,0,0,0,17.1777,16.9746
57,B,B,B,1,1,0,19.9211,20.4795
58,B,B,B,1,1,0,22.3163,21.8236
59,D,D,D,1,1,0,18.4511,17.5927
60,B,B,B,1,1,0,19.3781,19.2011
61,B,B,B,1,1,0,19.234,18.8726
62,C,C,C,1,1,0,19.6188,19.177
63,C,C,C,1,1,0,13.0017,13.3771
64,B,B,B,1,1,0,20.4272,20.423
65,C,C,C,1,1,0,17.1411,17.2408
66,B,B,B,1,1,0,17.5139,17.4056
67,C,C,C,1,1,0,10.3427,8.1871
68,A,A,A,1,1,0,21.7006,20.6705
69,D,D,D,1,1,0,18.9041,17.9033
70,C,C,C,1,1,0,21.5837,20.9005
71,C,C,C,1,1,0,15.4515,13.6702
72,A,A,A,1,1,0,18.465,14.0179
73,D,D,D,1,1,0,15.8127,16.5147
74,A,A,A,1,1,0,3.4382,4.4675
75,C,C,B,1,0,1,1.8741,0.375
76,D,D,D,1,1,0,20.4195,20.6421
77,A,A,A,1,1,0,11.9366,10.5653
78,B,B,B,1,1,0,20.5347,19.2757
79,D,D,D,1,1,0,16.3976,13.048
80,B,B,B,1,1,0,3.8121,4.5309
81,A,A,A,1,1,0,21.1118,20.5309
82,A,A,A,1,1,0,20.3965,19.3557
83,B,B,B,1,1,0,16.7188,14.9981
84,C,C,C,1,1,0,19.3546,17.8051
85,C,C,C,1,1,0,21.5238,21.2854
86,A,A,A,1,1,0,20.4842,19.2185
87,C,C,C,1,1,0,21.3632,21.2097
88,D,D,D,1,1,0,14.0009,12.4963
89,C,C,C,1,1,0,19.9178,19.4943
90,D,D,D,1,1,0,19.2749,18.2871
91,A,A,A,1,1,0,13.4838,13.1087
92,D,A,A,0,0,0,2.5945,5.3752
93,A,A,A,1,1,0,20.6172,19.7003
94,A,A,A,1,1,0,14.2033,14.1073
95,D,D,D,1,1,0,23.5102,23.1226
96,A,A,A,1,1,0,20.0837,19.0918
97,A,A,A,1,1,0,20.7961,19.3373
98,B,B,B,1,1,0,6.3452,4.436
99,C,B,B,0,0,0,13.6867,13.5768
100,A,A,A,1,1,0,15.4663,14.8432
101,D,C,C,0,0,0,5.5619,7.0643
102,B,B,B,1,1,0,23.7263,22.946
103,D,D,D,1,1,0,22.0195,20.7491
104,B,B,B,1,1,0,19.1207,17.7874
105,C,C,C,1,1,0,20.027,19.7219
106,B,B,B,1,1,0,20.729,19.4992
107,A,A,A,1,1,0,12.3734,11.5306
108,B,B,B,1,1,0,1.6561,3.4691
109,C,C,C,1,1,0,21.5588,21.4752
110,D,D,D,1,1,0,21.6151,20.2799
111,A,A,A,1,1,0,18.0573,16.1837
112,B,B,B,1,1,0,3.0929,3.5002
113,D,D,D,1,1,0,19.7485,19.0931
114,D,D,D,1,1,0,21.3872,20.4068
115,D,D,D,1,1,0,19.7015,19.1509
116,B,B,B,1,1,0,19.0857,19.2113
117,A,A,A,1,1,0,21.3113,19.53
118,C,C,C,1,1,0,21.5087,21.1906
119,A,A,A,1,1,0,18.2464,16.2895
120,A,D,A,0,1,1,0.2188,0.0625
121,B,A,A,0,0,0,2.2181,2.5934
122,C,C,C,1,1,0,19.7744,18.6885
123,A,A,A,1,1,0,19.5674,19.6695
124,B,B,B,1,1,0,10.0481,9.7154
125,C,C,C,1,1,0,20.5798,20.3359
126,A,C,C,0,0,0,0.375,1.0942
127,C,C,C,1,1,0,20.1743,19.4015
128,B,B,B,1,1,0,20.4341,20.1421
129,D,C,C,0,0,0,9.5799,9.3277
130,D,D,D,1,1,0,23.1853,22.0566
131,A,A,A,1,1,0,19.5595,17.6395
132,D,D,D,1,1,0,19.4371,17.643
133,C,C,C,1,1,0,14.9213,12.7348
134,C,C,C,1,1,0,21.3633,21.0935
135,C,C,C,1,1,0,20.4364,19.5303
136,C,C,C,1,1,0,20.108,20.3771
137,D,D,D,1,1,0,22.0121,21.1771
138,A,A,A,1,1,0,20.59,19.8902
139,C,A,A,0,0,0,0.125,1.5621
140,A,A,A,1,1,0,16.3117,16.251
141,A,A,A,1,1,0,18.8208,18.4204
142,D,D,D,1,1,0,19.6997,18.4983
143,D,D,D,1,1,0,21.2047,18.9451
144,A,A,A,1,1,0,22.0915,21.2487
145,D,D,D,1,1,0,21.1471,20.5518
146,D,D,D,1,1,0,23.1046,22.1501
147,D,D,D,1,1,0,13.6113,11.7017
148,B,B,B,1,1,0,18.8516,18.7498
149,A,A,A,1,1,0,15.8902,14.9999
150,A,A,A,1,1,0,18.0887,17.483
151,A,A,A,1,1,0,11.4651,6.5306
152,D,D,D,1,1,0,21.5735,18.9385
153,B,D,B,0,1,1,0.0625,1.7814
154,B,B,B,1,1,0,19.2252,19.6523
155,B,B,B,1,1,0,1.9993,1.7496
156,D,D,D,1,1,0,18.322,16.4783
157,D,B,B,0,0,0,17.2366,17.3716
158,B,B,B,1,1,0,20.1024,18.3999
159,A,A,A,1,1,0,16.2675,15.6534
160,A,A,A,1,1,0,19.2799,18.3683
161,B,B,B,1,1,0,17.1626,17.1072
162,D,D,D,1,1,0,16.4739,16.8395
163,C,C,C,1,1,0,15.9716,14.6222
164,B,B,B,1,1,0,20.121,19.4587
165,C,C,C,1,1,0,7.0297,6.6558
166,A,A,A,1,1,0,0.0,0.781
167,D,D,D,1,1,0,14.4056,12.9055
168,C,C,C,1,1,0,6.8452,6.7171
169,A,A,A,1,1,0,20.4124,19.8569
170,C,C,C,1,1,0,20.813,19.2756
171,B,B,B,1,1,0,19.5132,17.484
172,A,D,D,0,0,0,18.854,17.9793
173,B,D,D,0,0,0,2.2501,1.9684
174,B,B,B,1,1,0,19.7487,18.3108
175,B,B,B,1,1,0,22.7405,21.5746
