idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.2573,10.4839
1,A,B,B,0,0,0,6.781,6.5152
2,B,B,B,1,1,0,2.063,1.5472
3,E,E,E,1,1,0,7.6956,8.0486
4,B,D,D,0,0,0,4.8762,4.2968
5,B,B,B,1,1,0,1.3594,1.375
6,A,D,D,0,0,0,0.5154,0.4688
7,B,B,B,1,1,0,9.8897,10.1086
8,D,D,D,1,1,0,9.1702,9.4595
9,B,A,A,0,0,0,0.5,0.438
10,C,C,C,1,1,0,7.1098,6.9222
11,B,B,B,1,1,0,3.2965,3.9225
12,E,E,E,1,1,0,0.3906,0.7344
13,B,D,C,0,0,1,0.0469,0.9373
14,B,B,B,1,1,0,10.1319,10.304
15,D,B,B,0,0,0,2.7809,2.0779
16,E,E,E,1,1,0,8.9429,9.1932
17,A,A,A,1,1,0,6.0784,6.5934
18,C,C,C,1,1,0,8.9833,8.6864
19,E,E,E,1,1,0,3.421,4.2345
20,B,B,B,1,1,0,4.6888,5.4393
21,B,A,A,0,0,0,2.7656,2.8286
22,D,D,D,1,1,0,5.5931,5.9987
23,C,C,C,1,1,0,8.2311,8.2943
24,A,F,F,0,0,0,9.3662,9.2879
25,D,D,D,1,1,0,2.8435,2.2818
26,F,F,F,1,1,0,9.5145,9.2801
27,B,E,E,0,0,0,6.3122,6.1892
28,F,C,C,0,0,0,4.5458,3.7816
29,D,D,D,1,1,0,6.0322,5.7484
30,E,E,E,1,1,0,7.4705,7.7956
31,C,D,D,0,0,0,2.1095,2.2819
32,B,C,C,0,0,0,6.3599,6.5792
33,F,F,F,1,1,0,4.4216,5.359
34,D,D,D,1,1,0,8.6702,8.6469
35,D,D,D,1,1,0,2.657,1.0938
36,B,A,A,0,0,0,2.6416,3.6715
37,B,B,B,1,1,0,1.4841,2.094
38,B,B,B,1,1,0,4.2482,4.8592
39,A,A,A,1,1,0,8.3185,8.7565
40,B,A,A,0,0,0,6.9209,7.0303
41,E,D,D,0,0,0,5.344,5.9693
42,E,E,E,1,1,0,7.6417,7.6571
43,A,A,A,1,1,0,6.1425,6.0453
44,D,D,D,1,1,0,7.9984,7.8423
45,F,A,A,0,0,0,0.7812,0.3125
46,C,C,C,1,1,0,6.4463,6.3575
47,E,E,E,1,1,0,0.2344,0.9841
48,F,F,F,1,1,0,8.7172,8.8189
49,B,D,D,0,0,0,6.045,5.9859
50,E,E,E,1,1,0,8.1037,8.5186
51,D,D,D,1,1,0,9.2015,9.3739
52,D,D,D,1,1,0,3.4695,3.5773
53,B,D,D,0,0,0,2.3909,1.8601
54,A,A,A,1,1,0,11.7881,11.671
55,C,B,B,0,0,0,6.2509,6.2667
56,A,A,A,1,1,0,11.3043,11.3277
57,A,C,C,0,0,0,2.7029,2.2964
58,F,F,F,1,1,0,7.086,6.7265
59,D,D,D,1,1,0,9.6628,9.8662
60,E,E,E,1,1,0,10.0384,10.2886
61,B,A,A,0,0,0,7.1699,7.3656
62,D,D,D,1,1,0,4.7655,4.9073
63,E,C,C,0,0,0,10.6863,10.7491
64,D,D,D,1,1,0,5.3431,4.3582
65,B,C,C,0,0,0,6.8361,6.0608
66,A,C,C,0,0,0,3.3278,0.906
67,C,C,C,1,1,0,1.1877,0.4062
68,E,E,E,1,1,0,5.9841,5.8603
69,F,F,F,1,1,0,5.0486,4.593
70,A,A,A,1,1,0,11.6634,11.476
71,F,F,F,1,1,0,8.4427,8.419
72,F,F,F,1,1,0,6.2489,5.5789
73,D,F,F,0,0,0,8.7804,8.6474
74,C,C,C,1,1,0,6.2511,5.4379
75,E,E,E,1,1,0,7.344,6.8266
76,A,F,F,0,0,0,2.7976,1.4688
77,E,A,A,0,0,0,7.0846,7.5004
78,F,F,F,1,1,0,9.1396,9.257
79,A,B,B,0,0,0,8.1701,8.5066
80,E,E,E,1,1,0,4.8123,4.968
81,E,E,E,1,1,0,10.2807,10.5151
82,B,B,B,1,1,0,7.0371,7.2486
83,B,F,F,0,0,0,6.5934,6.4367
84,A,A,A,1,1,0,0.7505,1.031
85,C,A,A,0,0,0,0.4531,0.6099
86,E,E,E,1,1,0,6.1269,5.3269
87,A,A,A,1,1,0,10.0694,10.1633
88,B,E,E,0,0,0,2.3445,2.5469
89,A,D,D,0,0,0,3.7656,5.5481
90,C,C,C,1,1,0,8.4747,8.8112
91,D,D,D,1,1,0,7.5859,7.5866
92,E,E,E,1,1,0,2.5477,2.3442
93,C,C,C,1,1,0,7.6033,7.7716
94,F,A,A,0,0,0,1.9225,1.9694
95,E,F,F,0,0,0,4.656,4.578
96,E,E,E,1,1,0,2.9067,3.1411
97,E,E,E,1,1,0,10.0852,10.0461
98,B,E,E,0,0,0,0.6562,0.687
99,F,A,A,0,0,0,0.2183,0.6724
100,C,C,C,1,1,0,6.0486,6.046
101,D,A,A,0,0,0,4.0005,4.3746
102,C,C,C,1,1,0,3.5303,4.1858
103,A,A,A,1,1,0,6.4514,6.6867
104,F,F,F,1,1,0,2.2504,0.8906
105,C,C,C,1,1,0,4.3756,4.8889
106,D,A,A,0,0,0,2.8127,2.6876
107,B,B,B,1,1,0,9.0534,9.6555
108,F,C,A,0,0,1,1.2344,0.2031
109,C,C,C,1,1,0,3.9539,3.6247
110,B,A,A,0,0,0,0.1875,0.8279
111,D,E,E,0,0,0,7.6423,7.3534
112,D,D,D,1,1,0,9.013,8.9202
113,F,F,F,1,1,0,8.1619,8.6156
114,E,D,D,0,0,0,1.1248,0.25
115,B,B,B,1,1,0,5.0643,5.3583
116,C,C,C,1,1,0,5.6097,4.9992
117,C,C,C,1,1,0,6.1241,6.2342
118,F,F,F,1,1,0,5.8121,5.6707
119,E,B,B,0,0,0,1.656,1.6558
120,A,C,C,0,0,0,9.8269,9.8818
121,B,C,C,0,0,0,1.2812,0.9531
122,E,C,C,0,0,0,2.7181,1.6714
123,E,C,C,0,0,0,3.6251,2.329
124,B,B,B,1,1,0,10.2417,10.2651
125,B,F,F,0,0,0,8.7641,8.8814
126,C,C,C,1,1,0,8.8957,8.6384
127,C,B,B,0,0,0,5.7331,5.7663
128,C,C,C,1,1,0,8.0989,8.2087
129,F,B,B,0,0,0,7.3221,7.2987
130,B,B,B,1,1,0,3.9693,4.0008
131,E,E,E,1,1,0,5.8418,6.015
132,B,C,C,0,0,0,8.9816,9.0289
133,F,F,F,1,1,0,3.6559,3.6572
134,C,C,C,1,1,0,6.1571,6.0472
135,B,A,A,0,0,0,0.7505,0.9534
136,F,F,F,1,1,0,8.4045,8.2244
137,A,C,C,0,0,0,5.9861,4.9045
138,F,E,C,0,0,1,0.0312,0.2812
139,E,E,E,1,1,0,5.1231,4.5931
140,D,C,C,0,0,0,7.7801,7.8602
141,A,A,A,1,1,0,9.1393,9.0613
142,E,F,F,0,0,0,3.0002,2.9528
143,B,D,D,0,0,0,5.5142,6.3919
144,F,B,B,0,0,0,1.2651,2.1093
145,B,E,E,0,0,0,1.4379,0.0625
146,E,F,F,0,0,0,4.9525,5.0311
147,D,D,D,1,1,0,5.1553,5.9053
148,D,D,D,1,1,0,3.2197,3.4054
149,D,D,D,1,1,0,6.9696,6.7353
150,A,F,F,0,0,0,4.1702,3.4686
151,B,C,C,0,0,0,4.8604,5.2811
152,A,A,A,1,1,0,9.499,9.5384
153,A,E,E,0,0,0,5.1859,5.0162
154,C,C,C,1,1,0,0.9531,0.2031
155,D,E,E,0,0,0,10.3195,10.6166
156,A,C,C,0,0,0,2.7352,0.6562
157,D,D,D,1,1,0,3.6866,4.1721
158,B,B,B,1,1,0,10.3263,10.7878
159,A,A,A,1,1,0,3.4996,4.7042
160,D,D,D,1,1,0,8.41,8.5208
161,A,B,B,0,0,0,0.1875,0.2344
162,A,A,A,1,1,0,5.7486,5.2659
163,C,F,F,0,0,0,2.2029,1.6411
164,C,D,D,0,0,0,0.5776,0.8906
165,A,A,A,1,1,0,10.616,10.6709
166,F,F,F,1,1,0,8.3569,7.8917
167,D,D,D,1,1,0,5.7984,5.7041
168,E,A,A,0,0,0,3.9863,4.5299
169,A,A,A,1,1,0,1.8124,1.7816
170,C,E,E,0,0,0,2.8133,1.281
171,A,A,A,1,1,0,6.1096,5.6868
172,C,C,A,1,0,1,0.0625,1.1245
173,A,A,A,1,1,0,1.8589,2.4999
174,A,A,A,1,1,0,11.3584,11.5227
175,B,B,B,1,1,0,5.1713,4.2501
176,B,A,A,0,0,0,6.8758,7.0952
177,A,F,F,0,0,0,7.1164,7.2273
178,E,F,F,0,0,0,0.9841,0.4375
179,A,A,A,1,1,0,9.5614,9.6005
180,D,D,D,1,1,0,6.452,6.5708
181,B,B,B,1,1,0,0.4219,1.2029
182,F,F,F,1,1,0,8.3274,8.304
183,F,A,A,0,0,0,7.9706,8.2642
184,D,A,A,0,0,0,0.7969,1.5315
185,D,D,D,1,1,0,6.3741,5.8108
186,D,D,D,1,1,0,2.6412,2.6722
187,E,C,C,0,0,0,5.7203,5.4704
188,F,B,B,0,0,0,1.3438,3.1709
189,E,E,E,1,1,0,6.7804,6.6712
190,B,D,D,0,0,0,1.796,0.9692
191,C,C,C,1,1,0,8.2793,8.2365
192,B,F,F,0,0,0,6.6735,7.351
193,C,D,D,0,0,0,3.4851,2.2179
194,C,B,B,0,0,0,1.6096,3.0156
195,D,D,D,1,1,0,3.5161,3.9522
196,F,D,D,0,0,0,2.2822,2.157
197,B,B,B,1,1,0,9.122,9.146
198,A,D,D,0,0,0,4.8733,3.7959
199,D,D,D,1,1,0,6.7666,7.1581
200,E,B,B,0,0,0,7.4451,6.2968
201,A,A,A,1,1,0,10.2962,10.3822
202,A,C,C,0,0,0,6.7583,6.8603
203,C,D,D,0,0,0,6.205,5.89
204,A,A,A,1,1,0,10.6316,11.1945
205,A,B,B,0,0,0,3.6409,3.4682
206,C,C,C,1,1,0,9.6003,10.1397
207,E,E,E,1,1,0,6.1942,8.107
208,A,F,F,0,0,0,6.2194,5.671
209,D,B,B,0,0,0,8.7481,8.8734
210,B,A,A,0,0,0,0.2656,2.7813
211,E,E,E,1,1,0,1.9834,1.7656
212,F,F,F,1,1,0,4.7491,4.829
213,C,C,C,1,1,0,7.6724,7.9043
214,B,B,B,1,1,0,7.9833,8.7664
215,F,F,F,1,1,0,10.4211,10.6555
216,D,E,E,0,0,0,4.3922,3.922
217,D,D,D,1,1,0,3.2961,2.8289
218,D,D,D,1,1,0,10.1243,10.2725
219,D,F,F,0,0,0,5.9696,6.1888
220,E,C,C,0,0,0,6.6034,6.8597
221,A,A,A,1,1,0,3.6869,5.2507
222,A,E,A,0,1,1,1.7649,0.0
223,F,F,F,1,1,0,7.8993,7.3127
224,F,F,F,1,1,0,8.5848,8.2641
225,E,F,F,0,0,0,2.0303,0.7654
226,B,D,D,0,0,0,5.9693,6.6231
227,F,F,F,1,1,0,7.9675,7.7954
228,D,D,D,1,1,0,7.5068,7.4686
229,A,A,A,1,1,0,0.5156,1.0312
230,D,D,D,1,1,0,4.1718,3.9371
231,A,F,F,0,0,0,6.7041,6.438
232,B,C,A,0,0,1,1.4375,0.5625
233,F,D,D,0,0,0,8.2408,6.767
234,E,E,E,1,1,0,2.9687,4.8454
235,C,F,F,0,0,0,7.3506,6.6859
236,E,E,E,1,1,0,7.2326,6.3451
237,A,A,A,1,1,0,8.7481,8.9049
238,C,E,E,0,0,0,6.2014,5.0921
239,A,C,C,0,0,0,4.4378,3.8915
240,C,C,C,1,1,0,8.1151,8.2639
241,A,A,A,1,1,0,10.5852,10.4839
242,A,C,C,0,0,0,8.5381,8.8431
243,D,D,D,1,1,0,5.6887,5.9988
244,B,B,B,1,1,0,1.3748,3.9212
245,D,D,D,1,1,0,7.7345,7.931
246,D,D,D,1,1,0,1.5464,1.2969
247,B,A,A,0,0,0,6.1404,7.0486
248,F,A,A,0,0,0,5.6709,5.7354
249,F,F,F,1,1,0,5.4839,4.8587
