idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,22.6202,21.658
1,C,C,C,1,1,0,18.6014,19.3582
2,D,C,C,0,0,0,13.3451,12.9861
3,B,D,D,0,0,0,8.5033,8.1681
4,B,B,B,1,1,0,15.8433,15.3921
5,B,B,B,1,1,0,19.5519,19.1665
6,C,C,C,1,1,0,11.4058,11.2506
7,A,A,A,1,1,0,20.2264,20.1074
8,C,C,C,1,1,0,21.9558,22.0643
9,C,C,C,1,1,0,21.6359,20.8438
10,C,C,C,1,1,0,22.2279,21.381
11,B,B,B,1,1,0,3.1562,2.9385
12,C,C,C,1,1,0,19.0143,18.9941
13,C,C,C,1,1,0,18.5502,19.2698
14,A,B,B,0,0,0,9.6276,9.4668
15,A,A,A,1,1,0,18.126,16.4491
16,C,C,C,1,1,0,16.4584,16.8208
17,B,B,B,1,1,0,22.4187,21.6714
18,B,B,B,1,1,0,21.6584,20.7705
19,C,C,C,1,1,0,19.9713,19.4785
20,A,A,A,1,1,0,15.3884,15.2333
21,B,B,B,1,1,0,22.0597,21.6084
22,A,A,A,1,1,0,15.8265,15.5749
23,D,D,D,1,1,0,22.9055,22.3216
24,D,D,D,1,1,0,14.9385,14.4241
25,A,A,A,1,1,0,19.4101,18.3904
26,C,C,C,1,1,0,16.4052,15.2815
27,B,B,B,1,1,0,14.1387,15.2637
28,B,B,B,1,1,0,2.2196,5.2049
29,C,C,C,1,1,0,22.9485,22.4932
30,C,C,C,1,1,0,17.6143,17.4877
31,A,A,A,1,1,0,19.5033,19.3213
32,D,D,D,1,1,0,14.9494,12.2049
33,B,B,B,1,1,0,18.5307,17.8372
34,C,C,C,1,1,0,21.7709,21.6062
35,B,B,B,1,1,0,5.3419,4.6245
36,D,D,D,1,1,0,21.5738,20.8409
37,B,B,B,1,1,0,0.0933,1.0156
38,D,D,D,1,1,0,17.9326,17.5178
39,C,C,C,1,1,0,11.6441,11.0137
40,D,C,C,0,0,0,2.8443,3.501
41,C,C,C,1,1,0,19.1763,19.0518
42,C,C,C,1,1,0,20.0585,19.1194
43,C,C,C,1,1,0,21.4527,20.9609
44,B,B,B,1,1,0,17.0757,15.7694
45,A,A,A,1,1,0,9.9529,9.3115
46,C,C,C,1,1,0,21.1495,20.423
47,A,A,A,1,1,0,17.107,16.7193
48,D,D,D,1,1,0,20.4518,19.5515
49,D,D,D,1,1,0,4.9357,3.8742
50,B,A,A,0,0,0,8.5781,8.1113
51,D,D,D,1,1,0,18.4047,17.483
