idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.0664,1.7031
1,A,A,A,1,1,0,1.4453,1.3438
2,B,A,A,0,0,0,2.2422,1.6914
3,C,A,A,0,0,0,1.6328,1.4609
4,C,A,A,0,0,0,1.7773,1.8594
5,C,A,A,0,0,0,1.0703,1.0859
6,A,A,A,1,1,0,1.3398,1.5859
7,B,A,A,0,0,0,1.6289,1.8516
8,C,A,A,0,0,0,1.4766,1.3047
9,B,A,A,0,0,0,1.9648,1.6367
10,B,A,A,0,0,0,1.6406,1.6641
11,C,A,A,0,0,0,1.7617,1.4062
12,C,A,A,0,0,0,1.7148,1.457
13,B,A,A,0,0,0,1.6992,1.5117
14,B,A,A,0,0,0,1.5273,1.5938
15,C,A,A,0,0,0,1.5586,1.8125
16,B,A,A,0,0,0,1.8867,1.8203
17,C,A,A,0,0,0,1.8867,1.7773
18,A,A,A,1,1,0,1.5859,1.6523
19,A,A,A,1,1,0,1.6406,1.7891
20,C,A,A,0,0,0,2.0781,1.5664
21,B,A,A,0,0,0,1.1172,1.6211
22,C,A,A,0,0,0,1.5234,1.4375
23,C,A,A,0,0,0,2.2148,1.8086
24,C,A,A,0,0,0,1.2422,1.2305
25,B,A,A,0,0,0,1.5742,1.6406
26,C,A,A,0,0,0,1.8867,1.8438
27,C,A,A,0,0,0,2.1211,1.4805
28,C,A,A,0,0,0,1.2617,1.7695
29,B,A,A,0,0,0,1.8125,1.6836
30,B,A,A,0,0,0,1.4336,1.8086
31,B,A,A,0,0,0,1.7578,1.8789
32,B,A,A,0,0,0,1.9844,1.6719
33,B,A,A,0,0,0,1.7305,1.4375
34,A,A,A,1,1,0,1.6719,1.3906
35,C,A,A,0,0,0,1.1914,1.5938
36,A,A,A,1,1,0,1.4023,1.6289
37,B,A,A,0,0,0,1.1172,1.3555
38,C,A,A,0,0,0,1.793,1.5938
39,C,A,A,0,0,0,1.8828,1.5508
40,A,A,A,1,1,0,1.6953,1.6992
41,B,A,A,0,0,0,1.5586,1.5742
42,B,A,A,0,0,0,2.2305,2.1914
43,A,A,A,1,1,0,1.793,1.125
44,A,A,A,1,1,0,1.2109,1.0547
45,A,A,A,1,1,0,1.9922,1.6523
46,C,A,A,0,0,0,1.2891,1.2148
47,B,A,A,0,0,0,2.1367,1.8125
48,C,A,A,0,0,0,2.1562,1.8086
49,C,A,A,0,0,0,1.3672,1.6875
50,C,A,A,0,0,0,2.4609,1.9336
51,A,A,A,1,1,0,2.0352,1.7969
52,C,A,A,0,0,0,1.9258,1.7461
53,A,A,A,1,1,0,1.9961,1.5742
54,A,A,A,1,1,0,1.5625,1.6484
55,C,A,A,0,0,0,2.1133,1.7344
56,A,A,A,1,1,0,1.8008,2.1914
