idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,9.0977,7.2354
1,C,C,C,1,1,0,5.2357,4.717
2,D,D,D,1,1,0,0.75,0.3125
3,B,B,B,1,1,0,2.6416,1.999
4,B,C,C,0,0,0,2.7188,2.8115
5,B,B,B,1,1,0,9.8711,9.6719
6,C,C,C,1,1,0,3.5469,3.6558
7,A,A,A,1,1,0,6.7346,6.4825
8,C,C,C,1,1,0,8.1065,7.593
9,C,C,C,1,1,0,8.6123,6.6704
10,C,C,C,1,1,0,5.4523,4.8899
11,B,B,B,1,1,0,2.1729,1.7344
12,C,C,C,1,1,0,10.7851,10.1255
13,C,C,C,1,1,0,1.1719,1.5459
14,A,D,D,0,0,0,1.2661,0.2344
15,A,A,A,1,1,0,3.8733,4.2979
16,C,C,C,1,1,0,4.5298,3.2493
17,B,B,B,1,1,0,7.9407,6.5941
18,B,B,B,1,1,0,2.7988,2.0781
19,C,C,C,1,1,0,6.0308,8.2158
20,A,A,A,1,1,0,15.2783,12.546
21,B,B,B,1,1,0,8.2217,5.998
22,A,A,A,1,1,0,2.1714,1.4541
23,D,D,D,1,1,0,6.3898,4.0309
24,D,D,D,1,1,0,9.6592,7.8916
25,A,A,A,1,1,0,5.1875,4.7979
26,C,C,C,1,1,0,1.7495,1.7966
27,B,B,B,1,1,0,4.7642,4.3914
28,B,A,A,0,0,0,0.8125,1.1411
29,C,C,C,1,1,0,8.9236,7.9531
30,C,D,D,0,0,0,2.0625,1.3438
31,A,A,A,1,1,0,1.7036,2.4844
32,D,D,D,1,1,0,3.8433,2.937
33,B,C,C,0,0,0,0.8438,1.1875
34,C,C,C,1,1,0,4.0779,3.7036
35,B,B,B,1,1,0,1.8755,1.7339
36,D,D,D,1,1,0,1.5,1.1562
37,B,B,C,1,0,1,0.4375,0.9531
38,D,D,D,1,1,0,9.6377,9.0466
39,C,C,C,1,1,0,1.2344,0.9062
40,D,D,D,1,1,0,7.1252,5.5325
41,C,C,C,1,1,0,2.4531,2.3431
42,C,C,C,1,1,0,5.0142,4.9044
43,C,C,C,1,1,0,10.8463,9.673
44,B,B,B,1,1,0,3.7197,2.8135
45,A,A,A,1,1,0,1.375,0.7969
46,C,C,C,1,1,0,1.8281,2.9365
47,A,A,A,1,1,0,3.6577,3.8118
48,D,D,D,1,1,0,5.2969,3.4219
49,D,D,D,1,1,0,4.9043,4.0919
50,B,A,A,0,0,0,2.1567,1.5479
51,D,C,C,0,0,0,1.844,1.5156
52,A,A,A,1,1,0,2.1709,1.7334
53,A,A,A,1,1,0,1.1719,1.1562
54,A,C,C,0,0,0,0.4697,0.4385
55,B,B,B,1,1,0,1.9678,1.4834
56,C,D,D,0,0,0,1.4844,0.375
