idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,7.0928,7.562
1,A,A,A,1,1,0,7.2493,7.6245
2,B,B,B,1,1,0,11.0,11.5625
3,C,C,C,1,1,0,19.3281,20.2969
4,C,C,C,1,1,0,17.8906,19.0
5,C,C,C,1,1,0,17.4062,17.75
6,A,B,B,0,0,0,14.4062,14.1875
7,B,B,B,1,1,0,4.8122,4.1881
8,C,C,C,1,1,0,3.2186,2.6254
9,B,C,C,0,0,0,2.5309,3.2491
10,B,B,B,1,1,0,14.0,14.125
11,C,C,C,1,1,0,8.5623,8.9061
12,C,C,C,1,1,0,6.8427,8.281
13,B,B,B,1,1,0,12.4062,11.5625
14,B,B,B,1,1,0,9.1561,9.5312
15,C,C,C,1,1,0,14.6875,15.0312
16,B,B,B,1,1,0,13.6094,13.0937
17,C,C,C,1,1,0,1.9689,5.2173
18,A,A,A,1,1,0,9.8124,9.0624
19,A,A,A,1,1,0,5.3114,4.7491
20,C,C,C,1,1,0,14.4687,15.3594
21,B,B,B,1,1,0,7.687,8.0309
22,C,C,C,1,1,0,18.125,18.0469
23,C,A,A,0,0,0,17.9531,18.3594
24,C,C,C,1,1,0,20.1562,20.6562
25,B,B,B,1,1,0,11.5312,10.9062
26,C,C,C,1,1,0,15.5312,15.8437
27,C,C,C,1,1,0,17.4531,17.9531
28,C,B,B,0,0,0,6.1894,4.1881
29,B,C,C,0,0,0,2.4059,2.4695
30,B,B,B,1,1,0,11.375,11.1562
31,B,B,B,1,1,0,3.9059,4.5638
32,B,B,B,1,1,0,15.0469,15.4687
33,B,B,B,1,1,0,10.0625,10.3437
34,A,A,A,1,1,0,4.2831,4.9696
35,C,C,C,1,1,0,5.9074,7.4369
36,A,A,A,1,1,0,16.7812,17.3125
37,B,C,C,0,0,0,4.5323,5.3743
38,C,C,C,1,1,0,18.25,17.8125
39,C,C,C,1,1,0,15.8906,16.0
40,A,A,B,1,0,1,1.9061,1.0625
41,B,B,B,1,1,0,8.7497,9.2498
42,B,B,B,1,1,0,11.2812,12.0312
43,A,A,A,1,1,0,7.1867,8.4373
44,A,A,A,1,1,0,14.3437,13.5312
45,A,B,B,0,0,0,0.5002,1.4996
46,C,B,B,0,0,0,1.156,1.2185
47,B,C,C,0,0,0,1.5934,0.625
48,C,C,C,1,1,0,6.158,6.4359
49,C,C,C,1,1,0,17.5469,18.7656
50,C,C,C,1,1,0,19.375,20.0625
51,A,A,A,1,1,0,9.8749,9.7499
52,C,C,C,1,1,0,4.1246,5.5626
53,A,A,A,1,1,0,1.9064,0.5
54,A,B,B,0,0,0,12.2812,12.2187
55,C,C,C,1,1,0,14.75,11.8437
56,A,B,B,0,0,0,3.6241,3.8121
57,C,C,C,1,1,0,18.5625,19.3125
58,C,C,C,1,1,0,20.5312,21.1719
59,A,B,B,0,0,0,5.3113,5.0324
60,A,A,A,1,1,0,11.8437,12.75
61,C,C,C,1,1,0,12.0625,12.0625
62,A,B,B,0,0,0,6.0328,6.1267
63,B,B,B,1,1,0,14.4844,13.9375
64,A,A,A,1,1,0,14.5937,14.3437
65,C,C,C,1,1,0,17.7969,18.5156
66,A,B,B,0,0,0,8.4685,8.5936
67,C,C,C,1,1,0,15.1094,14.5937
68,B,B,B,1,1,0,8.7811,8.281
69,A,A,A,1,1,0,10.8437,10.0625
70,B,B,B,1,1,0,11.4062,11.4375
71,B,B,B,1,1,0,2.7505,1.156
72,C,C,C,1,1,0,17.1562,16.4687
73,A,A,A,1,1,0,12.6875,12.75
74,B,B,B,1,1,0,1.2192,0.6248
75,C,C,C,1,1,0,20.0625,21.1875
76,A,A,A,1,1,0,16.0312,16.2812
77,A,B,B,0,0,0,1.6254,1.7811
78,B,B,B,1,1,0,11.0312,10.75
79,A,A,A,1,1,0,14.75,15.5625
80,C,C,C,1,1,0,17.625,18.375
81,B,B,B,1,1,0,8.6248,8.281
82,B,C,C,0,0,0,5.7507,5.6253
83,A,A,A,1,1,0,15.0937,15.0
84,A,A,A,1,1,0,16.4375,16.8125
85,A,B,B,0,0,0,7.1555,7.8121
86,C,C,C,1,1,0,19.7656,19.1406
87,C,C,C,1,1,0,20.4375,20.625
88,C,C,C,1,1,0,16.1406,16.5312
89,A,A,A,1,1,0,8.4373,9.3749
90,C,C,B,1,0,1,0.5627,0.7192
91,C,C,C,1,1,0,15.6562,15.5
92,A,B,B,0,0,0,7.8121,7.3431
93,A,B,B,0,0,0,3.9695,4.3425
94,A,A,A,1,1,0,12.8125,11.8125
95,A,A,A,1,1,0,12.1875,13.2187
96,A,A,A,1,1,0,2.5003,3.032
97,B,B,B,1,1,0,14.9219,15.2344
98,C,C,C,1,1,0,20.3438,20.9375
99,A,A,A,1,1,0,15.9375,16.5
100,C,C,C,1,1,0,17.9375,17.6562
101,A,A,A,1,1,0,4.8437,3.4068
102,A,A,A,1,1,0,10.9687,9.5312
103,C,C,C,1,1,0,21.7188,22.2656
104,C,C,C,1,1,0,19.3125,20.3594
105,B,C,C,0,0,0,3.1555,3.4693
106,B,B,B,1,1,0,12.6562,12.0625
107,B,B,B,1,1,0,1.8744,2.6565
108,C,C,C,1,1,0,19.2031,19.9062
109,B,B,B,1,1,0,3.125,2.6567
110,A,A,A,1,1,0,17.0469,15.4062
111,B,B,B,1,1,0,11.5625,11.5312
112,A,B,B,0,0,0,3.6882,3.0617
113,B,B,B,1,1,0,6.5924,6.0014
114,B,B,B,1,1,0,12.9375,12.75
