idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.8711,0.7461
1,A,A,A,1,1,0,0.793,0.7617
2,B,A,A,0,0,0,0.875,0.6523
3,E,A,A,0,0,0,0.7617,0.5781
4,B,A,A,0,0,0,1.0586,0.9023
5,B,A,A,0,0,0,0.4336,0.2461
6,A,A,A,1,1,0,0.6523,0.5273
7,B,A,A,0,0,0,0.8555,0.6992
8,D,A,A,0,0,0,0.9961,0.7773
9,B,A,A,0,0,0,0.9805,0.8242
10,C,A,A,0,0,0,0.7461,0.6367
11,B,A,A,0,0,0,0.6055,0.4648
12,E,A,A,0,0,0,0.6953,0.5078
13,B,A,A,0,0,0,1.0742,0.918
14,B,A,A,0,0,0,1.1992,0.9492
15,D,A,A,0,0,0,0.7617,0.5742
16,E,A,A,0,0,0,1.3242,1.1055
17,A,A,A,1,1,0,0.5586,0.5273
18,C,A,A,0,0,0,0.6523,0.5742
19,E,A,A,0,0,0,1.0898,0.6328
20,B,A,A,0,0,0,0.6719,0.4375
21,B,A,A,0,0,0,0.543,0.3867
22,D,A,A,0,0,0,0.5742,0.2617
23,C,A,A,0,0,0,0.9492,0.668
24,A,A,A,1,1,0,0.7773,0.6992
25,D,A,A,0,0,0,0.5742,0.3555
26,F,A,A,0,0,0,0.8867,0.7773
27,B,A,A,0,0,0,0.6016,0.4766
28,F,A,A,0,0,0,0.7773,0.6836
29,D,A,A,0,0,0,0.5273,0.2773
30,E,A,A,0,0,0,0.8555,0.6836
31,C,A,A,0,0,0,0.8398,0.6367
32,B,A,A,0,0,0,0.6211,0.5586
33,F,A,A,0,0,0,1.043,0.8867
34,D,A,A,0,0,0,1.2617,1.1055
35,D,A,A,0,0,0,0.9805,0.793
36,B,A,A,0,0,0,0.5117,0.4648
37,B,A,A,0,0,0,0.8242,0.6836
38,B,A,A,0,0,0,0.8867,0.8086
39,A,A,A,1,1,0,1.0625,0.9531
40,B,A,A,0,0,0,0.9961,0.8281
41,E,A,A,0,0,0,0.9805,0.7617
42,E,A,A,0,0,0,1.3125,1.1406
43,A,A,A,1,1,0,0.6211,0.4492
44,D,A,A,0,0,0,1.043,0.8867
