idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.0754,9.184
1,A,B,B,0,0,0,7.6559,7.6268
2,B,B,B,1,1,0,5.1893,5.3424
3,E,E,E,1,1,0,5.6232,5.1267
4,B,B,B,1,1,0,4.7505,4.8116
5,B,B,B,1,1,0,2.0623,1.3754
6,A,C,C,0,0,0,1.4685,1.9381
7,B,B,B,1,1,0,12.8906,13.2344
8,D,D,D,1,1,0,12.9853,12.423
9,B,C,C,0,0,0,0.3438,0.2188
10,C,C,C,1,1,0,1.7809,0.8123
11,B,B,B,1,1,0,14.3261,14.1405
12,E,E,E,1,1,0,2.8909,3.4369
13,B,B,B,1,1,0,1.7195,0.5464
14,B,B,B,1,1,0,11.4554,12.3629
15,D,B,B,0,0,0,0.9839,1.2808
16,E,E,E,1,1,0,5.5321,5.5763
17,A,B,B,0,0,0,5.2031,4.7183
18,C,C,C,1,1,0,5.5151,4.8423
19,E,B,B,0,0,0,0.3125,0.5312
20,B,B,B,1,1,0,8.4526,8.9256
21,B,A,A,0,0,0,0.7188,1.875
22,D,D,D,1,1,0,5.3116,6.3443
23,C,C,C,1,1,0,1.2815,1.3123
24,A,F,F,0,0,0,11.7943,11.1421
25,D,A,A,0,0,0,12.6552,12.7481
26,F,C,C,0,0,0,4.9057,5.6871
27,B,B,B,1,1,0,3.4527,3.9366
28,F,B,B,0,0,0,8.4535,9.4346
29,D,D,D,1,1,0,2.5318,2.4695
30,E,E,E,1,1,0,4.0165,3.9375
31,C,C,A,1,0,1,1.4062,1.219
32,B,B,B,1,1,0,4.3293,3.7814
33,F,F,F,1,1,0,2.3131,1.1562
34,D,D,D,1,1,0,8.1992,9.1694
35,D,D,D,1,1,0,1.5935,1.6245
36,B,B,B,1,1,0,2.6085,2.8752
37,B,B,B,1,1,0,7.7353,7.9691
38,B,B,B,1,1,0,10.4063,10.5643
39,A,A,A,1,1,0,4.8925,4.9841
40,B,B,B,1,1,0,11.6998,12.1271
41,E,B,B,0,0,0,11.6881,11.3267
42,E,E,E,1,1,0,10.9881,11.0138
43,A,A,B,1,0,1,0.2188,0.3438
44,D,D,D,1,1,0,14.7504,14.9202
45,F,A,A,0,0,0,4.9674,4.5923
46,C,C,C,1,1,0,7.9833,7.6077
47,E,B,B,0,0,0,1.9994,2.1249
48,F,F,F,1,1,0,10.2363,10.1877
49,B,D,D,0,0,0,3.1881,3.0317
50,E,E,E,1,1,0,6.7201,6.4547
51,D,D,D,1,1,0,18.2682,18.242
52,D,D,D,1,1,0,3.8747,4.3744
53,B,B,B,1,1,0,5.9674,5.7829
54,A,A,A,1,1,0,15.6736,15.6544
55,C,C,C,1,1,0,5.6884,5.5919
56,A,A,A,1,1,0,18.088,18.5716
57,A,B,A,0,1,1,0.3745,0.0938
58,F,F,F,1,1,0,2.4847,2.3594
59,D,D,D,1,1,0,16.2451,16.3212
60,E,E,C,1,0,1,0.125,0.2188
61,B,B,B,1,1,0,4.3925,4.3125
62,D,B,B,0,0,0,0.4375,0.125
63,E,C,C,0,0,0,15.8459,16.505
64,D,D,D,1,1,0,9.234,8.249
65,B,C,C,0,0,0,6.5016,6.3295
66,A,A,A,1,1,0,10.6092,11.5904
67,C,C,C,1,1,0,11.9077,12.0276
68,E,C,C,0,0,0,1.0315,0.844
69,F,F,F,1,1,0,3.6556,3.344
70,A,A,A,1,1,0,14.9401,15.4863
71,F,B,B,0,0,0,0.4062,0.687
72,F,F,F,1,1,0,13.1246,11.637
73,D,F,C,0,0,1,0.125,0.562
74,C,C,C,1,1,0,14.5033,14.5474
75,E,E,E,1,1,0,6.2043,6.2036
76,A,B,B,0,0,0,5.6557,5.7493
77,E,B,B,0,0,0,6.4204,6.4704
78,F,F,A,1,0,1,0.3433,0.0312
79,A,B,B,0,0,0,3.0623,3.4385
80,E,B,B,0,0,0,0.9995,1.063
81,E,E,E,1,1,0,16.5232,16.0249
82,B,B,B,1,1,0,17.7533,17.9684
83,B,B,B,1,1,0,0.8755,0.6255
84,A,A,A,1,1,0,1.1877,0.4375
85,C,D,D,0,0,0,0.688,0.3438
86,E,E,E,1,1,0,8.8423,8.2009
87,A,A,A,1,1,0,17.2182,17.7644
88,B,D,D,0,0,0,1.3752,1.6567
89,A,A,A,1,1,0,3.1245,2.7186
90,C,C,C,1,1,0,0.6875,0.0625
91,D,B,B,0,0,0,1.1875,0.1875
92,E,E,E,1,1,0,3.0941,2.0626
93,C,B,B,0,0,0,2.4688,1.4685
94,F,A,A,0,0,0,1.5623,1.9065
95,E,F,F,0,0,0,4.484,4.9694
96,E,C,C,0,0,0,3.3117,4.6887
97,E,D,D,0,0,0,3.5615,4.7358
98,B,A,A,0,0,0,2.0627,1.8741
99,F,E,E,0,0,0,0.6558,1.2505
100,C,C,C,1,1,0,8.39,7.7956
101,D,D,D,1,1,0,2.7509,2.6569
102,C,C,C,1,1,0,7.7337,7.9519
103,A,B,B,0,0,0,1.063,0.8125
104,F,B,B,0,0,0,2.2185,1.312
105,C,C,C,1,1,0,3.3436,3.4692
106,D,A,A,0,0,0,1.1877,1.25
107,B,B,B,1,1,0,14.2975,14.7472
108,F,A,A,0,0,0,4.4222,4.5779
109,C,B,B,0,0,0,11.7773,11.6389
110,B,B,B,1,1,0,0.125,0.5625
111,D,D,D,1,1,0,4.4705,3.9991
112,D,D,D,1,1,0,15.6095,15.562
113,F,B,B,0,0,0,1.2969,2.4384
114,E,D,D,0,0,0,6.1707,5.6877
115,B,B,B,1,1,0,17.5465,17.5412
116,C,C,C,1,1,0,8.2939,8.703
117,C,C,C,1,1,0,1.281,0.9685
118,F,F,F,1,1,0,6.0007,5.9688
119,E,E,E,1,1,0,12.7222,13.0796
120,A,C,C,0,0,0,17.4475,16.6428
121,B,B,B,1,1,0,0.5942,0.3438
122,E,E,E,1,1,0,0.8438,1.4691
123,E,A,A,0,0,0,1.2808,0.9685
124,B,B,B,1,1,0,19.584,19.4902
125,B,D,D,0,0,0,4.4056,4.5012
126,C,C,C,1,1,0,5.9357,6.2193
127,C,B,B,0,0,0,5.4071,5.9363
128,C,C,C,1,1,0,9.6268,9.4525
129,F,B,B,0,0,0,8.1726,9.0317
130,B,B,B,1,1,0,14.0494,14.6735
