idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,9.0977,11.0273
1,C,C,C,1,1,0,5.2357,6.0295
2,D,D,D,1,1,0,0.75,0.9062
3,B,B,B,1,1,0,2.6416,2.0156
4,B,C,C,0,0,0,2.7188,3.6094
5,B,B,B,1,1,0,9.8711,10.2988
6,C,C,C,1,1,0,3.5469,3.8906
7,A,A,A,1,1,0,6.7346,8.9094
8,C,C,C,1,1,0,8.1065,9.268
9,C,C,C,1,1,0,8.6123,10.1687
10,C,C,C,1,1,0,5.4523,5.9827
11,B,B,B,1,1,0,2.1729,1.9531
12,C,C,C,1,1,0,10.7851,10.1996
13,C,C,C,1,1,0,1.1719,4.0618
14,A,D,D,0,0,0,1.2661,2.1094
15,A,A,A,1,1,0,3.8733,6.5784
16,C,C,C,1,1,0,4.5298,3.1255
17,B,B,B,1,1,0,7.9407,9.0604
18,B,B,B,1,1,0,2.7988,2.248
19,C,C,C,1,1,0,6.0308,9.0786
20,A,A,A,1,1,0,15.2783,13.418
21,B,B,B,1,1,0,8.2217,9.8752
22,A,A,A,1,1,0,2.1714,4.3428
23,D,D,D,1,1,0,6.3898,5.6711
24,D,D,D,1,1,0,9.6592,9.6242
25,A,A,A,1,1,0,5.1875,5.7051
26,C,C,C,1,1,0,1.7495,2.531
27,B,B,B,1,1,0,4.7642,5.1562
28,B,A,A,0,0,0,0.8125,0.4688
29,C,C,C,1,1,0,8.9236,9.9095
30,C,D,D,0,0,0,2.0625,1.8291
31,A,A,A,1,1,0,1.7036,3.7188
32,D,D,D,1,1,0,3.8433,6.1582
33,B,C,C,0,0,0,0.8438,3.532
34,C,C,C,1,1,0,4.0779,5.5639
35,B,B,B,1,1,0,1.8755,3.0786
36,D,D,D,1,1,0,1.5,3.5775
37,B,B,C,1,0,1,0.4375,0.3125
38,D,D,D,1,1,0,9.6377,10.4702
39,C,C,C,1,1,0,1.2344,2.7031
40,D,D,D,1,1,0,7.1252,8.5433
41,C,C,C,1,1,0,2.4531,1.8433
42,C,C,C,1,1,0,5.0142,5.4526
43,C,C,C,1,1,0,10.8463,11.1875
44,B,B,B,1,1,0,3.7197,3.0
45,A,A,A,1,1,0,1.375,1.6248
46,C,C,C,1,1,0,1.8281,2.3887
47,A,A,A,1,1,0,3.6577,3.7495
48,D,D,D,1,1,0,5.2969,7.6558
49,D,D,D,1,1,0,4.9043,6.079
50,B,A,A,0,0,0,2.1567,2.0166
51,D,C,C,0,0,0,1.844,1.8599
52,A,A,A,1,1,0,2.1709,2.8604
