idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.1412,0.6716
1,A,A,A,1,1,0,3.7342,1.4995
2,B,A,C,0,0,1,1.2815,0.812
3,C,A,C,0,1,1,0.0,0.6255
4,C,A,C,0,1,1,0.0625,1.86
5,C,A,C,0,1,1,0.5005,2.1553
6,A,A,B,1,0,1,0.3438,1.0625
7,B,A,A,0,0,0,1.3589,0.3594
8,C,A,A,0,0,0,0.8281,0.7812
9,B,B,B,1,1,0,0.7183,0.9844
10,B,A,A,0,0,0,2.7338,0.0781
11,C,A,C,0,1,1,1.1719,0.3745
12,C,A,C,0,1,1,0.6724,1.2349
13,B,A,A,0,0,0,1.1094,0.0469
14,B,A,A,0,0,0,2.0006,0.0312
15,C,A,B,0,0,1,0.9841,0.2188
16,B,A,A,0,0,0,2.5321,1.3909
17,C,A,C,0,1,1,0.3599,0.8589
18,A,A,A,1,1,0,2.9681,1.0151
19,A,A,A,1,1,0,2.5788,1.5471
20,C,A,C,0,1,1,0.437,1.6719
21,B,A,A,0,0,0,1.5942,1.1565
22,C,C,C,1,1,0,0.0938,1.1565
23,C,A,C,0,1,1,0.4375,0.2661
24,C,C,C,1,1,0,0.4844,2.6555
25,B,A,C,0,0,1,1.4688,0.3589
26,C,A,C,0,1,1,0.3901,1.031
27,C,A,C,0,1,1,1.4373,1.8755
28,C,A,B,0,0,1,0.5312,0.1719
29,B,A,A,0,0,0,0.9214,0.0938
30,B,A,C,0,0,1,0.1406,0.0312
31,B,A,A,0,0,0,0.5938,0.4062
32,B,A,A,0,0,0,3.3898,1.4219
33,B,A,B,0,1,1,0.9531,0.5469
34,A,A,A,1,1,0,3.2338,1.2344
35,C,A,C,0,1,1,1.1245,0.4375
36,A,A,A,1,1,0,4.3898,1.0471
37,B,A,A,0,0,0,1.281,0.8594
38,C,C,C,1,1,0,0.8281,1.6879
39,C,A,C,0,1,1,1.6404,0.625
40,A,A,A,1,1,0,4.0928,2.0005
41,B,A,B,0,1,1,0.563,0.1875
42,B,A,B,0,1,1,1.9844,0.3594
43,A,A,A,1,1,0,2.1251,0.3281
44,A,A,A,1,1,0,2.5314,0.7812
45,A,A,A,1,1,0,4.7335,1.4998
46,C,A,C,0,1,1,1.0474,0.125
47,B,A,A,0,0,0,2.36,0.6562
48,C,A,C,0,1,1,1.0,0.5312
49,C,C,C,1,1,0,0.5938,1.281
50,C,A,C,0,1,1,0.2969,2.2184
51,A,A,A,1,1,0,4.4861,2.4227
52,C,C,C,1,1,0,0.25,3.4845
53,A,A,B,1,0,1,1.7346,0.4839
54,A,A,A,1,1,0,1.0623,0.2656
55,C,B,C,0,1,1,0.0625,0.4688
56,A,A,A,1,1,0,5.2639,3.0005
57,C,C,C,1,1,0,0.2339,2.391
58,C,C,C,1,1,0,0.438,1.8436
59,A,A,A,1,1,0,2.8586,0.8911
60,A,A,A,1,1,0,5.1881,2.7816
61,C,A,B,0,0,1,0.8594,0.3594
62,A,A,B,1,0,1,0.0469,0.844
63,B,A,B,0,1,1,1.0942,0.5308
64,A,A,A,1,1,0,1.9056,2.3289
65,C,C,C,1,1,0,0.562,1.2815
66,A,A,B,1,0,1,1.3284,0.0625
67,C,A,A,0,0,0,0.75,0.5
68,B,A,A,0,0,0,3.6259,1.4221
69,A,A,A,1,1,0,1.6411,0.3901
70,B,A,A,0,0,0,1.2651,0.0
71,B,A,C,0,0,1,0.4219,0.687
72,C,A,C,0,1,1,0.25,2.2815
73,A,A,A,1,1,0,3.8914,1.531
74,B,A,A,0,0,0,2.7812,1.5464
75,C,A,C,0,1,1,1.4534,0.0312
76,A,A,A,1,1,0,3.344,1.766
77,A,A,A,1,1,0,1.5001,0.5469
78,B,A,A,0,0,0,2.3118,1.0474
79,A,A,A,1,1,0,4.0618,2.0933
80,C,A,B,0,0,1,0.0938,0.3281
81,B,A,A,0,0,0,2.3755,1.3906
82,B,A,A,0,0,0,1.3596,0.0781
83,A,A,A,1,1,0,3.9381,2.0935
84,A,A,A,1,1,0,5.8267,3.7664
85,A,A,A,1,1,0,1.0471,0.9526
86,C,C,C,1,1,0,0.1719,0.438
87,C,A,C,0,1,1,0.563,0.7344
88,C,A,C,0,1,1,0.5781,0.9685
89,A,A,A,1,1,0,2.1245,1.2971
90,C,B,B,0,0,0,0.1719,2.1726
91,C,A,C,0,1,1,0.4062,0.5156
92,A,A,A,1,1,0,2.3281,0.8281
93,A,A,A,1,1,0,2.3603,0.6562
94,A,A,C,1,0,1,1.5935,0.2969
95,A,A,A,1,1,0,3.5305,1.563
96,A,A,C,1,0,1,0.9692,0.0781
97,B,A,A,0,0,0,2.14,0.5625
98,C,C,C,1,1,0,0.3276,2.7195
99,A,A,A,1,1,0,4.3766,2.704
100,C,A,C,0,1,1,0.4375,1.0469
101,A,A,A,1,1,0,0.8594,0.1875
102,A,A,A,1,1,0,4.4076,2.922
103,C,C,C,1,1,0,0.7502,5.5157
104,C,A,C,0,1,1,0.5786,1.0317
105,B,B,C,1,0,1,0.3281,0.2188
106,B,A,A,0,0,0,1.9214,0.7344
107,B,A,A,0,0,0,4.5137,2.5632
108,C,A,C,0,1,1,0.2344,1.4688
109,B,A,A,0,0,0,1.843,0.0469
110,A,A,A,1,1,0,3.0785,0.8589
111,B,A,A,0,0,0,3.3904,1.7188
112,A,A,A,1,1,0,3.5005,1.2812
113,B,A,A,0,0,0,2.4689,1.375
114,B,A,A,0,0,0,3.0628,1.3276
115,A,A,A,1,1,0,4.3604,2.1088
116,C,A,C,0,1,1,0.7026,1.2964
117,A,A,A,1,1,0,1.7821,0.6714
118,A,A,A,1,1,0,1.1099,0.0156
119,A,A,C,1,0,1,0.5938,0.2031
120,B,A,A,0,0,0,2.6401,2.6095
121,C,A,A,0,0,0,1.7034,0.0156
122,B,A,A,0,0,0,0.313,0.4683
123,C,A,C,0,1,1,0.9375,0.7036
124,B,A,C,0,0,1,0.4849,1.031
125,A,A,A,1,1,0,3.6412,1.8757
126,B,A,A,0,0,0,3.4221,0.6255
127,C,C,C,1,1,0,1.0161,2.2654
128,A,A,A,1,1,0,2.4064,0.3906
129,B,A,A,0,0,0,2.7495,1.6873
130,C,A,C,0,1,1,1.094,0.875
131,B,A,A,0,0,0,3.1719,1.4844
132,A,A,A,1,1,0,2.5321,0.9214
133,C,A,C,0,1,1,0.2026,1.0933
134,C,C,C,1,1,0,0.5151,2.1553
135,C,A,C,0,1,1,0.8286,0.6411
136,A,A,A,1,1,0,3.0148,1.4688
137,C,C,C,1,1,0,0.5,1.828
138,A,A,A,1,1,0,2.8124,0.8281
139,B,A,A,0,0,0,2.1711,1.3591
140,A,A,A,1,1,0,2.6567,1.4219
141,A,A,A,1,1,0,1.6873,0.5942
142,B,A,C,0,0,1,0.969,0.4062
143,B,A,A,0,0,0,2.5159,1.0625
144,C,C,C,1,1,0,0.3276,2.8273
145,C,A,C,0,1,1,0.2812,0.7349
146,A,A,A,1,1,0,7.1394,4.7809
147,C,A,B,0,0,1,0.3745,0.4531
148,B,A,C,0,0,1,1.187,0.4531
149,A,A,A,1,1,0,1.9841,0.8745
150,C,A,C,0,1,1,0.188,1.0776
151,B,A,C,0,0,1,1.6876,1.312
152,C,C,C,1,1,0,0.0156,1.0156
153,B,A,A,0,0,0,3.6103,2.2646
154,C,A,C,0,1,1,0.1094,1.6877
155,B,A,B,0,1,1,0.375,0.6406
156,C,A,C,0,1,1,0.3745,0.7812
157,A,A,B,1,0,1,2.6259,0.1875
158,B,A,C,0,0,1,0.5933,1.8119
159,A,A,A,1,1,0,2.1555,1.438
160,C,C,C,1,1,0,0.563,4.1254
161,C,A,C,0,1,1,0.6089,0.625
162,C,C,C,1,1,0,0.3594,1.7656
163,C,A,C,0,1,1,1.4532,2.3428
164,A,A,A,1,1,0,2.4054,0.125
165,A,A,B,1,0,1,1.2029,0.4854
166,C,A,C,0,1,1,0.25,2.1718
167,C,A,C,0,1,1,1.3748,1.0312
168,B,A,A,0,0,0,2.7808,1.0315
169,A,A,A,1,1,0,2.2976,0.5464
170,C,A,C,0,1,1,0.3906,0.8589
171,A,A,A,1,1,0,2.2494,0.7026
172,C,C,C,1,1,0,0.2031,1.7347
173,A,A,A,1,1,0,2.9055,0.9224
174,A,A,A,1,1,0,4.1553,2.4695
175,C,C,C,1,1,0,0.2188,1.8438
176,B,A,A,0,0,0,0.875,1.563
177,A,A,A,1,1,0,3.6878,2.2194
178,B,A,A,0,0,0,2.9382,1.0942
179,B,A,A,0,0,0,2.7491,1.8276
180,C,A,C,0,1,1,0.0156,2.9851
181,A,A,A,1,1,0,3.1102,1.0942
182,B,A,A,0,0,0,1.594,1.062
183,A,A,A,1,1,0,4.1408,1.4526
184,C,A,C,0,1,1,0.0942,0.6094
185,B,A,A,0,0,0,2.8291,2.7495
186,B,A,A,0,0,0,3.4214,1.2964
187,B,A,B,0,1,1,0.5625,0.375
188,B,A,B,0,1,1,1.0938,0.7031
189,B,A,B,0,1,1,1.1719,0.3125
190,B,A,C,0,0,1,0.3906,1.6248
191,A,A,C,1,0,1,2.0947,0.3594
192,B,A,B,0,1,1,0.5161,0.5156
193,A,A,A,1,1,0,3.5779,1.796
194,A,A,A,1,1,0,3.3749,1.5776
195,B,A,C,0,0,1,1.2339,0.0625
196,B,A,A,0,0,0,2.6556,2.7196
197,C,C,C,1,1,0,0.4688,0.6719
198,A,A,B,1,0,1,2.0472,0.6729
199,C,A,B,0,0,1,0.4692,0.1714
200,C,A,C,0,1,1,0.2188,0.5317
201,A,A,B,1,0,1,0.1875,2.4381
202,B,A,A,0,0,0,2.5156,0.4526
203,A,A,A,1,1,0,2.0623,1.8435
204,B,A,A,0,0,0,1.5776,0.3599
205,C,A,C,0,1,1,0.7969,0.5474
206,B,A,A,0,0,0,2.3129,2.0308
207,B,A,A,0,0,0,3.6399,1.469
208,B,A,A,0,0,0,4.9357,0.969
209,A,A,A,1,1,0,2.2041,0.9531
210,A,A,A,1,1,0,3.7808,1.4067
211,B,A,A,0,0,0,2.8429,0.6401
212,C,C,C,1,1,0,0.0625,1.0781
213,B,A,B,0,1,1,2.0001,0.4058
214,B,A,C,0,0,1,0.1562,0.2808
215,A,A,A,1,1,0,2.7349,1.75
216,A,A,A,1,1,0,3.8443,2.4385
217,A,A,A,1,1,0,3.1563,1.2964
218,A,A,A,1,1,0,2.6409,0.7349
219,B,A,A,0,0,0,2.5156,1.0
220,B,A,C,0,0,1,2.7188,0.8442
221,C,C,C,1,1,0,0.1094,2.2496
222,B,A,A,0,0,0,3.781,1.3589
223,B,A,A,0,0,0,1.734,0.0625
224,C,A,C,0,1,1,0.4531,0.8901
225,B,A,A,0,0,0,3.1405,0.8911
226,A,A,C,1,0,1,0.7339,0.1562
227,A,A,A,1,1,0,4.0608,1.672
228,A,A,A,1,1,0,2.2964,0.2651
229,A,A,B,1,0,1,1.8134,0.7188
230,B,A,A,0,0,0,1.9999,1.2502
231,B,A,C,0,0,1,0.5156,0.4688
232,C,C,C,1,1,0,0.2661,0.7505
233,A,A,A,1,1,0,2.7508,1.5623
234,A,A,A,1,1,0,3.3287,1.8589
235,B,A,C,0,0,1,1.3279,0.9683
236,C,C,C,1,1,0,0.5,2.422
237,B,A,C,0,0,1,0.5938,0.6406
238,A,A,A,1,1,0,1.2034,0.5151
239,A,A,A,1,1,0,1.1248,0.1562
240,C,C,C,1,1,0,0.1875,2.329
241,C,C,C,1,1,0,0.625,1.9844
242,B,A,C,0,0,1,2.3589,0.0781
243,A,A,A,1,1,0,1.0312,1.3438
244,C,C,C,1,1,0,0.4375,3.1099
245,A,A,A,1,1,0,3.5315,1.3906
246,B,A,C,0,0,1,3.3286,0.5156
247,B,A,A,0,0,0,2.5314,0.1406
248,B,A,A,0,0,0,2.5932,1.3596
249,C,A,C,0,1,1,0.6094,1.6714
250,B,A,A,0,0,0,2.2498,0.3125
251,A,A,A,1,1,0,2.7028,1.2815
252,A,A,A,1,1,0,1.9534,0.3438
253,B,A,A,0,0,0,2.5615,1.6248
254,B,A,A,0,0,0,1.656,0.8755
255,C,A,C,0,1,1,0.2183,0.6094
256,A,A,A,1,1,0,3.9057,2.7817
257,B,A,A,0,0,0,2.14,0.2812
258,C,A,A,0,0,0,0.7502,0.3599
259,C,A,B,0,0,1,0.8125,0.1875
260,C,A,C,0,1,1,0.4692,3.625
261,A,A,A,1,1,0,3.1411,1.281
262,C,A,C,0,1,1,0.1401,1.5781
263,C,A,C,0,1,1,0.4683,0.0156
264,B,A,A,0,0,0,0.5469,0.2339
265,B,A,C,0,0,1,0.5469,0.6567
