idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.8502,9.8022
1,C,C,C,1,1,0,9.5677,9.4113
2,D,D,A,1,0,1,0.5781,0.8135
3,B,D,D,0,0,0,9.4112,9.0145
4,B,B,B,1,1,0,7.6258,7.508
5,B,B,B,1,1,0,10.4831,10.0773
6,C,C,C,1,1,0,8.7005,8.8173
7,A,A,A,1,1,0,10.9132,10.4989
8,C,C,C,1,1,0,11.2412,10.5307
9,C,C,C,1,1,0,11.1856,10.1473
10,C,C,C,1,1,0,10.9987,10.9524
11,B,B,B,1,1,0,11.0146,9.8075
12,C,C,C,1,1,0,9.458,8.4592
13,C,C,C,1,1,0,10.011,9.7153
14,A,A,A,1,1,0,1.4219,1.9521
15,A,A,A,1,1,0,10.0665,9.7255
16,C,C,C,1,1,0,8.8568,7.9921
17,B,B,B,1,1,0,9.6831,8.5513
18,B,B,B,1,1,0,10.1542,9.223
19,C,C,C,1,1,0,10.0058,9.3644
20,A,A,A,1,1,0,10.9052,10.7492
21,B,B,B,1,1,0,11.1704,10.4364
22,A,A,A,1,1,0,10.5286,10.7099
23,D,D,D,1,1,0,10.95,10.5529
24,D,D,D,1,1,0,10.006,10.3423
25,A,A,A,1,1,0,10.2395,10.2635
26,C,C,C,1,1,0,9.5289,9.1386
27,B,B,B,1,1,0,9.6793,9.6801
28,B,B,B,1,1,0,4.923,4.2826
29,C,C,C,1,1,0,11.2957,10.4984
30,C,C,C,1,1,0,10.0489,8.5944
31,A,A,A,1,1,0,11.3117,10.9052
32,D,D,D,1,1,0,9.7414,8.5381
33,B,B,B,1,1,0,5.2964,3.6566
34,C,C,C,1,1,0,10.839,9.9278
35,B,C,C,0,0,0,0.9065,0.25
36,D,D,D,1,1,0,10.5911,9.489
37,B,B,B,1,1,0,9.6846,9.3206
38,D,D,D,1,1,0,10.9557,9.5353
39,C,B,B,0,0,0,4.1111,4.1571
40,D,C,C,0,0,0,6.3577,6.656
41,C,C,C,1,1,0,10.5299,9.4143
42,C,C,C,1,1,0,10.0059,9.2773
43,C,C,C,1,1,0,11.3041,10.8035
44,B,B,B,1,1,0,10.4291,9.2715
45,A,A,A,1,1,0,7.4374,8.6053
46,C,C,C,1,1,0,11.0137,9.8644
47,A,A,A,1,1,0,10.2393,9.5295
48,D,D,D,1,1,0,9.0916,7.946
49,D,D,D,1,1,0,8.2102,6.8295
50,B,A,A,0,0,0,4.2494,5.124
51,D,D,D,1,1,0,8.1351,7.407
52,A,A,A,1,1,0,9.5456,9.9671
53,A,A,A,1,1,0,9.919,9.4286
54,A,A,A,1,1,0,6.532,6.8435
55,B,B,B,1,1,0,9.7798,8.8578
56,C,C,C,1,1,0,8.9756,9.1546
57,B,B,B,1,1,0,11.2291,10.3324
58,B,B,B,1,1,0,10.2875,9.3581
59,D,D,D,1,1,0,5.4078,6.0004
60,B,B,B,1,1,0,8.189,7.9752
61,B,B,B,1,1,0,5.001,3.813
62,C,C,C,1,1,0,9.9107,9.6209
63,C,C,C,1,1,0,8.8461,7.8604
64,B,B,B,1,1,0,10.074,9.3732
65,C,C,C,1,1,0,9.0455,8.7095
66,B,B,B,1,1,0,10.1288,9.0265
67,C,C,C,1,1,0,8.2228,6.5249
68,A,A,A,1,1,0,10.8664,10.5074
69,D,D,D,1,1,0,11.7322,10.7395
70,C,C,C,1,1,0,11.576,11.0145
71,C,C,C,1,1,0,7.3344,6.9054
72,A,A,A,1,1,0,9.4993,9.6242
73,D,D,D,1,1,0,10.4994,8.4991
74,A,B,B,0,0,0,2.1558,0.5625
75,C,C,C,1,1,0,10.46,10.2016
76,D,D,D,1,1,0,10.0455,8.5293
77,A,A,A,1,1,0,8.4581,8.3728
78,B,B,B,1,1,0,10.1232,9.4321
79,D,D,D,1,1,0,9.8879,8.318
80,B,B,B,1,1,0,5.7028,3.9532
81,A,A,A,1,1,0,11.7101,11.0385
82,A,A,A,1,1,0,10.9757,10.3978
83,B,B,B,1,1,0,7.6732,5.25
84,C,C,C,1,1,0,8.0733,7.4924
85,C,C,C,1,1,0,10.1073,9.4353
86,A,A,A,1,1,0,11.0457,10.6937
87,C,C,C,1,1,0,11.4353,10.6471
88,D,D,D,1,1,0,9.6432,9.0279
89,C,C,C,1,1,0,9.4511,8.9423
90,D,D,D,1,1,0,11.0776,10.5619
91,A,A,A,1,1,0,10.444,9.6859
92,D,D,D,1,1,0,1.2031,2.8441
93,A,C,C,0,0,0,5.5794,6.827
94,A,B,B,0,0,0,2.2347,0.7969
95,D,D,D,1,1,0,10.6472,9.6774
96,A,A,A,1,1,0,10.8584,9.7962
97,A,A,A,1,1,0,11.9127,11.5228
98,B,A,A,0,0,0,8.6001,7.4404
99,C,B,B,0,0,0,5.8765,5.281
100,A,A,A,1,1,0,8.2326,7.6962
101,D,D,D,1,1,0,8.5218,7.4672
102,B,B,B,1,1,0,10.9506,9.9375
103,D,D,D,1,1,0,10.9638,8.9821
104,B,B,B,1,1,0,10.0918,9.0981
105,C,C,C,1,1,0,11.2361,10.0591
106,B,B,B,1,1,0,10.1062,9.7059
107,A,A,A,1,1,0,6.8887,7.1891
