idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,7.0928,12.8125
1,A,A,A,1,1,0,7.2493,11.3437
2,B,B,B,1,1,0,11.0,11.8125
3,C,C,C,1,1,0,19.3281,18.7969
4,C,C,C,1,1,0,17.8906,18.75
5,C,C,C,1,1,0,17.4062,18.8906
6,A,B,B,0,0,0,14.4062,10.5625
7,B,B,B,1,1,0,4.8122,6.158
8,C,C,C,1,1,0,3.2186,0.2812
9,B,C,B,0,1,1,2.5309,3.3119
10,B,B,B,1,1,0,14.0,15.0937
11,C,C,C,1,1,0,8.5623,3.1881
12,C,C,C,1,1,0,6.8427,8.8749
13,B,B,B,1,1,0,12.4062,12.7812
14,B,B,B,1,1,0,9.1561,9.1249
15,C,C,C,1,1,0,14.6875,12.2812
16,B,B,B,1,1,0,13.6094,14.5937
17,C,C,B,1,0,1,1.9689,4.1563
18,A,A,A,1,1,0,9.8124,8.8123
19,A,A,A,1,1,0,5.3114,3.5937
20,C,C,C,1,1,0,14.4687,12.8437
21,B,B,B,1,1,0,7.687,7.8121
22,C,C,C,1,1,0,18.125,19.4844
23,C,A,A,0,0,0,17.9531,16.9219
24,C,C,C,1,1,0,20.1562,19.8906
25,B,B,B,1,1,0,11.5312,13.3437
26,C,C,C,1,1,0,15.5312,15.5
27,C,C,C,1,1,0,17.4531,19.0625
28,C,B,B,0,0,0,6.1894,9.1874
29,B,C,B,0,1,1,2.4059,3.8759
30,B,B,B,1,1,0,11.375,12.9062
31,B,B,B,1,1,0,3.9059,7.1555
32,B,B,B,1,1,0,15.0469,15.8437
33,B,B,B,1,1,0,10.0625,8.9374
34,A,A,A,1,1,0,4.2831,7.5307
35,C,C,C,1,1,0,5.9074,7.4994
36,A,A,A,1,1,0,16.7812,16.9375
37,B,C,C,0,0,0,4.5323,0.4685
38,C,C,C,1,1,0,18.25,18.3125
39,C,C,C,1,1,0,15.8906,17.8594
40,A,A,A,1,1,0,1.9061,6.999
41,B,B,B,1,1,0,8.7497,8.4998
42,B,B,B,1,1,0,11.2812,10.6562
43,A,A,A,1,1,0,7.1867,6.1267
44,A,A,A,1,1,0,14.3437,12.125
45,A,B,A,0,1,1,0.5002,3.4067
46,C,B,B,0,0,0,1.156,5.9701
47,B,C,C,0,0,0,1.5934,1.8126
48,C,C,C,1,1,0,6.158,6.9365
49,C,C,C,1,1,0,17.5469,16.7344
50,C,C,C,1,1,0,19.375,21.4219
51,A,A,A,1,1,0,9.8749,11.5625
52,C,C,C,1,1,0,4.1246,0.4375
53,A,A,A,1,1,0,1.9064,1.5315
54,A,B,B,0,0,0,12.2812,6.2481
55,C,C,C,1,1,0,14.75,15.0625
56,A,B,B,0,0,0,3.6241,1.0002
57,C,C,C,1,1,0,18.5625,20.7812
58,C,C,C,1,1,0,20.5312,20.9688
59,A,B,B,0,0,0,5.3113,4.812
60,A,A,A,1,1,0,11.8437,12.9062
61,C,C,C,1,1,0,12.0625,8.6248
62,A,B,B,0,0,0,6.0328,6.4672
63,B,B,B,1,1,0,14.4844,15.6094
64,A,A,A,1,1,0,14.5937,9.8749
65,C,C,C,1,1,0,17.7969,16.6719
66,A,B,B,0,0,0,8.4685,9.2187
67,C,C,C,1,1,0,15.1094,11.5625
68,B,B,B,1,1,0,8.7811,7.5307
69,A,A,A,1,1,0,10.8437,10.0312
70,B,B,B,1,1,0,11.4062,11.5
71,B,B,B,1,1,0,2.7505,1.2185
72,C,C,C,1,1,0,17.1562,17.1875
73,A,A,A,1,1,0,12.6875,15.0937
74,B,B,B,1,1,0,1.2192,3.0002
75,C,C,C,1,1,0,20.0625,18.75
76,A,A,A,1,1,0,16.0312,13.25
77,A,B,C,0,0,1,1.6254,0.7502
78,B,B,B,1,1,0,11.0312,10.0312
79,A,A,A,1,1,0,14.75,15.5312
80,C,C,C,1,1,0,17.625,12.5937
81,B,B,B,1,1,0,8.6248,3.3758
82,B,C,C,0,0,0,5.7507,0.8752
83,A,A,A,1,1,0,15.0937,14.1875
84,A,A,A,1,1,0,16.4375,15.8437
85,A,B,B,0,0,0,7.1555,2.1866
86,C,C,C,1,1,0,19.7656,15.7812
87,C,C,C,1,1,0,20.4375,19.8906
88,C,C,C,1,1,0,16.1406,14.7187
89,A,A,A,1,1,0,8.4373,5.8134
90,C,C,B,1,0,1,0.5627,1.9064
91,C,C,C,1,1,0,15.6562,15.8125
92,A,B,B,0,0,0,7.8121,9.4374
93,A,B,B,0,0,0,3.9695,0.6255
94,A,A,A,1,1,0,12.8125,10.2812
