idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.8711,1.7188
1,A,A,A,1,1,0,0.793,1.9219
2,B,A,A,0,0,0,0.875,1.5625
3,E,A,A,0,0,0,0.7617,1.8945
4,B,A,A,0,0,0,1.0586,1.7969
5,B,A,A,0,0,0,0.4336,1.4727
6,A,A,A,1,1,0,0.6523,1.8477
7,B,A,A,0,0,0,0.8555,1.6719
8,D,A,A,0,0,0,0.9961,1.9414
9,B,A,A,0,0,0,0.9805,1.9062
10,C,A,A,0,0,0,0.7461,1.7969
11,B,A,A,0,0,0,0.6055,1.4688
12,E,A,A,0,0,0,0.6953,1.6289
13,B,A,A,0,0,0,1.0742,2.1133
14,B,A,A,0,0,0,1.1992,1.8594
15,D,A,A,0,0,0,0.7617,1.6719
16,E,A,A,0,0,0,1.3242,1.8477
17,A,A,A,1,1,0,0.5586,1.5469
18,C,A,A,0,0,0,0.6523,1.6758
19,E,A,A,0,0,0,1.0898,1.7695
20,B,A,A,0,0,0,0.6719,1.7695
21,B,A,A,0,0,0,0.543,1.6406
22,D,A,A,0,0,0,0.5742,1.2383
23,C,A,A,0,0,0,0.9492,1.8281
24,A,A,A,1,1,0,0.7773,1.9219
25,D,A,A,0,0,0,0.5742,1.6133
26,F,A,A,0,0,0,0.8867,2.1133
27,B,A,A,0,0,0,0.6016,1.6602
28,F,A,A,0,0,0,0.7773,1.8477
29,D,A,A,0,0,0,0.5273,1.5664
30,E,A,A,0,0,0,0.8555,1.832
31,C,A,A,0,0,0,0.8398,1.8281
32,B,A,A,0,0,0,0.6211,1.7344
33,F,A,A,0,0,0,1.043,1.8594
34,D,A,A,0,0,0,1.2617,2.0781
35,D,A,A,0,0,0,0.9805,1.9531
36,B,A,A,0,0,0,0.5117,1.625
37,B,A,A,0,0,0,0.8242,1.6094
38,B,A,A,0,0,0,0.8867,2.0312
39,A,A,A,1,1,0,1.0625,1.7852
40,B,A,A,0,0,0,0.9961,1.6875
41,E,A,A,0,0,0,0.9805,1.7852
42,E,A,A,0,0,0,1.3125,1.9688
43,A,A,A,1,1,0,0.6211,1.4531
44,D,A,A,0,0,0,1.043,1.8281
45,F,A,A,0,0,0,0.5117,2.1133
46,C,A,A,0,0,0,1.0625,1.7812
47,E,A,A,0,0,0,0.6836,1.4219
48,F,A,A,0,0,0,0.9648,1.8594
49,B,A,A,0,0,0,0.6367,1.3281
50,E,A,A,0,0,0,0.9375,1.9219
51,D,A,A,0,0,0,0.6211,1.4375
52,D,A,A,0,0,0,0.543,1.1875
53,B,A,A,0,0,0,0.9648,1.8164
54,A,A,A,1,1,0,0.8398,1.707
55,C,A,A,0,0,0,0.8242,1.9688
56,A,A,A,1,1,0,1.0117,1.875
57,A,A,A,1,1,0,0.8086,1.6758
58,F,A,A,0,0,0,0.3555,1.0938
59,D,A,A,0,0,0,0.9023,1.6562
60,E,A,A,0,0,0,1.1406,1.7695
61,B,A,A,0,0,0,0.9648,2.0664
62,D,A,A,0,0,0,0.8867,1.9727
63,E,A,A,0,0,0,0.543,1.5508
64,D,A,A,0,0,0,1.0586,1.6562
65,B,A,A,0,0,0,1.0781,1.7227
66,A,A,A,1,1,0,1.1875,2.1758
67,C,A,A,0,0,0,1.2969,2.1562
68,E,A,A,0,0,0,0.5273,2.4102
