idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.7266,1.5938
1,A,A,A,1,1,0,1.5625,1.8594
2,B,A,A,0,0,0,1.9219,1.8516
3,C,A,A,0,0,0,0.9609,1.2109
4,C,A,A,0,0,0,0.8828,1.2031
5,C,A,A,0,0,0,1.1328,0.7188
6,A,A,A,1,1,0,1.3594,1.4531
7,B,A,A,0,0,0,0.875,0.8828
8,C,A,A,0,0,0,1.4141,0.9766
9,B,A,A,0,0,0,1.6953,1.5312
10,B,A,A,0,0,0,1.1719,0.9375
11,C,A,A,0,0,0,1.1484,0.8594
12,C,A,A,0,0,0,1.5547,1.4219
13,B,A,A,0,0,0,1.5781,1.3203
14,B,A,A,0,0,0,1.5469,1.3438
15,C,A,A,0,0,0,0.5078,0.0781
16,B,A,A,0,0,0,1.2734,0.7109
17,C,A,A,0,0,0,1.0391,1.2188
18,A,A,A,1,1,0,1.4297,1.1953
19,A,A,A,1,1,0,1.4844,1.6328
20,C,A,A,0,0,0,1.5859,1.5938
21,B,A,A,0,0,0,1.1484,0.9375
22,C,A,A,0,0,0,1.125,1.0859
23,C,A,A,0,0,0,1.6484,1.4609
24,C,A,A,0,0,0,1.1641,1.0156
25,B,A,A,0,0,0,0.9141,0.875
26,C,A,A,0,0,0,1.4219,1.8047
27,C,A,A,0,0,0,1.9922,1.7656
28,C,A,A,0,0,0,0.9844,1.4922
29,B,A,A,0,0,0,1.4844,1.2422
30,B,A,A,0,0,0,1.0938,1.3984
31,B,A,A,0,0,0,1.3281,1.1406
32,B,A,A,0,0,0,1.9375,1.7656
33,B,A,A,0,0,0,1.4766,1.4375
34,A,A,A,1,1,0,1.2109,1.3906
35,C,A,A,0,0,0,1.0625,1.3047
36,A,A,A,1,1,0,1.0156,1.3359
37,B,A,A,0,0,0,0.9062,0.5469
38,C,A,A,0,0,0,1.1562,0.9531
39,C,A,A,0,0,0,1.4531,1.375
40,A,A,A,1,1,0,1.1328,1.2891
41,B,A,A,0,0,0,1.0078,1.2344
42,B,A,A,0,0,0,1.1953,1.0391
43,A,A,A,1,1,0,1.4219,1.3828
44,A,A,A,1,1,0,0.9219,0.875
45,A,A,A,1,1,0,1.5156,1.3594
46,C,A,A,0,0,0,0.9141,0.9766
47,B,A,A,0,0,0,1.4688,1.3516
48,C,A,A,0,0,0,1.9766,1.6406
49,C,A,A,0,0,0,1.1484,0.9297
50,C,A,A,0,0,0,1.8828,2.2578
51,A,A,A,1,1,0,1.3047,1.2891
52,C,A,A,0,0,0,1.7656,1.7812
53,A,A,A,1,1,0,1.2344,0.9531
54,A,A,A,1,1,0,1.0078,1.2344
55,C,A,A,0,0,0,1.625,1.4375
56,A,A,A,1,1,0,1.2812,1.6797
57,C,A,A,0,0,0,1.3438,1.3359
58,C,A,A,0,0,0,1.4922,1.2812
59,A,A,A,1,1,0,1.0938,0.9297
60,A,A,A,1,1,0,1.6406,1.3906
61,C,A,A,0,0,0,0.8281,0.5859
62,A,A,A,1,1,0,1.1484,1.5469
63,B,A,A,0,0,0,0.9766,1.4219
64,A,A,A,1,1,0,1.5469,1.2891
65,C,A,A,0,0,0,1.5391,1.3125
66,A,A,A,1,1,0,1.25,1.3438
67,C,A,A,0,0,0,1.9062,2.1172
68,B,A,A,0,0,0,0.6172,0.8438
69,A,A,A,1,1,0,1.5,1.4219
70,B,A,A,0,0,0,1.5,1.3828
71,B,A,A,0,0,0,1.625,1.7422
72,C,A,A,0,0,0,1.7734,1.7031
73,A,A,A,1,1,0,1.1328,1.7266
74,B,A,A,0,0,0,1.0469,1.375
75,C,A,A,0,0,0,1.4844,1.2109
76,A,A,A,1,1,0,1.2266,1.3828
77,A,A,A,1,1,0,1.5938,1.6484
78,B,A,A,0,0,0,0.6641,0.5625
79,A,A,A,1,1,0,2.0391,1.8594
80,C,A,A,0,0,0,0.9453,0.8359
81,B,A,A,0,0,0,1.2969,1.125
82,B,A,A,0,0,0,1.2422,0.875
83,A,A,A,1,1,0,0.8203,1.0469
84,A,A,A,1,1,0,1.9297,2.1719
85,A,A,A,1,1,0,1.2969,1.8672
86,C,A,A,0,0,0,1.4766,1.5938
87,C,A,A,0,0,0,1.9922,1.8828
88,C,A,A,0,0,0,1.2656,1.0859
89,A,A,A,1,1,0,1.0703,0.7734
90,C,A,A,0,0,0,1.6484,1.3047
91,C,A,A,0,0,0,1.1719,1.2812
92,A,A,A,1,1,0,1.7109,1.4531
93,A,A,A,1,1,0,1.9141,1.5547
94,A,A,A,1,1,0,1.6172,1.5
95,A,A,A,1,1,0,1.375,1.3125
96,A,A,A,1,1,0,1.3359,0.9609
97,B,A,A,0,0,0,1.1875,0.9922
98,C,A,A,0,0,0,1.0547,1.3047
99,A,A,A,1,1,0,1.4453,1.6016
100,C,A,A,0,0,0,0.8594,0.6484
101,A,A,A,1,1,0,1.6562,1.3125
102,A,A,A,1,1,0,0.8281,0.9844
103,C,A,A,0,0,0,1.3438,1.2812
104,C,A,A,0,0,0,1.0156,1.0469
105,B,A,A,0,0,0,1.5391,1.3359
106,B,A,A,0,0,0,1.5,1.8281
107,B,A,A,0,0,0,0.7891,0.5547
108,C,A,A,0,0,0,1.3359,1.4766
109,B,A,A,0,0,0,1.5156,1.0938
110,A,A,A,1,1,0,1.2188,1.1875
111,B,A,A,0,0,0,1.7656,2.0547
112,A,A,A,1,1,0,1.2969,1.6641
113,B,A,A,0,0,0,0.9375,1.1875
114,B,A,A,0,0,0,0.9766,0.7422
115,A,A,A,1,1,0,1.0,0.9922
116,C,A,A,0,0,0,1.6953,1.1719
117,A,A,A,1,1,0,1.5703,1.3281
118,A,A,A,1,1,0,1.4922,1.1719
119,A,A,A,1,1,0,1.1953,1.5938
120,B,A,A,0,0,0,0.5859,0.9375
121,C,A,A,0,0,0,1.6875,1.4062
122,B,A,A,0,0,0,1.6719,1.5781
123,C,A,A,0,0,0,1.7969,1.8359
124,B,A,A,0,0,0,1.1016,0.75
125,A,A,A,1,1,0,1.5938,1.6406
126,B,A,A,0,0,0,1.4922,1.3672
127,C,A,A,0,0,0,1.4531,1.5391
128,A,A,A,1,1,0,1.9609,1.7656
129,B,A,A,0,0,0,1.2656,0.9688
130,C,A,A,0,0,0,1.8906,1.7734
131,B,A,A,0,0,0,0.9766,0.9297
132,A,A,A,1,1,0,0.8438,0.8906
133,C,A,A,0,0,0,1.0078,1.4609
134,C,A,A,0,0,0,1.375,1.6719
135,C,A,A,0,0,0,1.4297,1.6641
136,A,A,A,1,1,0,0.9141,0.5234
137,C,A,A,0,0,0,1.5078,1.4453
138,A,A,A,1,1,0,1.1875,0.9297
139,B,A,A,0,0,0,0.7422,1.1562
140,A,A,A,1,1,0,1.1094,0.9219
141,A,A,A,1,1,0,1.5234,1.6484
142,B,A,A,0,0,0,1.125,0.9609
143,B,A,A,0,0,0,1.3281,1.1875
144,C,A,A,0,0,0,1.75,1.8672
145,C,A,A,0,0,0,1.5625,1.6719
146,A,A,A,1,1,0,1.5469,1.1484
147,C,A,A,0,0,0,0.7031,0.7578
148,B,A,A,0,0,0,0.5781,0.75
149,A,A,A,1,1,0,1.625,1.6875
150,C,A,A,0,0,0,1.6641,1.6172
151,B,A,A,0,0,0,1.6562,1.8281
152,C,A,A,0,0,0,1.3438,1.1016
153,B,A,A,0,0,0,0.9531,1.4531
154,C,A,A,0,0,0,0.9531,0.6484
155,B,A,A,0,0,0,1.7422,2.0078
156,C,A,A,0,0,0,1.6719,1.5781
157,A,A,A,1,1,0,1.0703,0.9141
158,B,A,A,0,0,0,1.2031,1.1797
159,A,A,A,1,1,0,0.8594,1.2656
160,C,A,A,0,0,0,1.7812,1.7734
161,C,A,A,0,0,0,1.9375,2.1172
162,C,A,A,0,0,0,1.4766,1.3359
163,C,A,A,0,0,0,0.9922,0.6328
164,A,A,A,1,1,0,1.5703,1.6484
165,A,A,A,1,1,0,1.1562,1.0469
166,C,A,A,0,0,0,1.3906,1.4922
167,C,A,A,0,0,0,1.0469,0.7344
168,B,A,A,0,0,0,1.5547,1.7266
169,A,A,A,1,1,0,1.3125,1.0156
170,C,A,A,0,0,0,1.1406,1.0859
171,A,A,A,1,1,0,1.5859,1.6328
172,C,A,A,0,0,0,1.0078,1.4531
173,A,A,A,1,1,0,1.1562,1.1172
174,A,A,A,1,1,0,1.3906,1.3125
175,C,A,A,0,0,0,1.4766,1.1562
176,B,A,A,0,0,0,1.4297,1.2031
177,A,A,A,1,1,0,0.875,0.6016
178,B,A,A,0,0,0,1.1172,1.4844
179,B,A,A,0,0,0,0.7422,0.1797
180,C,A,A,0,0,0,1.3438,1.7109
181,A,A,A,1,1,0,1.4141,1.25
182,B,A,A,0,0,0,1.1484,1.4297
183,A,A,A,1,1,0,1.7109,1.7891
184,C,A,A,0,0,0,0.8438,0.4844
185,B,A,A,0,0,0,0.7578,0.8359
186,B,A,A,0,0,0,1.0703,1.1328
187,B,A,A,0,0,0,0.9219,1.2031
188,B,A,A,0,0,0,1.2734,1.8672
189,B,A,A,0,0,0,1.3828,1.25
190,B,A,A,0,0,0,1.5234,1.5234
191,A,A,A,1,1,0,1.3906,1.5234
192,B,A,A,0,0,0,0.8516,0.8047
193,A,A,A,1,1,0,1.6172,1.4453
194,A,A,A,1,1,0,1.9688,1.5703
195,B,A,A,0,0,0,1.5312,1.7031
196,B,A,A,0,0,0,1.3906,1.375
197,C,A,A,0,0,0,1.2891,1.2109
198,A,A,A,1,1,0,1.8594,1.6719
199,C,A,A,0,0,0,1.0625,1.25
200,C,A,A,0,0,0,1.9531,1.7266
201,A,A,A,1,1,0,1.5078,0.9375
202,B,A,A,0,0,0,1.6406,2.1172
203,A,A,A,1,1,0,1.0391,1.6406
204,B,A,A,0,0,0,0.5938,1.1719
205,C,A,A,0,0,0,1.0469,0.9297
206,B,A,A,0,0,0,1.0938,1.6641
207,B,A,A,0,0,0,1.4219,1.3281
208,B,A,A,0,0,0,1.8125,1.8281
209,A,A,A,1,1,0,1.6328,1.2578
210,A,A,A,1,1,0,1.0859,0.6406
211,B,A,A,0,0,0,0.9688,1.3438
212,C,A,A,0,0,0,1.5234,1.6172
213,B,A,A,0,0,0,2.0234,1.7969
214,B,A,A,0,0,0,1.3672,1.3047
215,A,A,A,1,1,0,0.8984,0.7656
216,A,A,A,1,1,0,0.875,0.7891
217,A,A,A,1,1,0,1.7422,1.4453
218,A,A,A,1,1,0,1.3906,1.7266
219,B,A,A,0,0,0,1.1406,0.9141
220,B,A,A,0,0,0,1.6562,1.6875
221,C,A,A,0,0,0,1.2812,1.5312
222,B,A,A,0,0,0,2.0078,1.9375
223,B,A,A,0,0,0,0.6562,0.4141
224,C,A,A,0,0,0,0.9922,1.8359
225,B,A,A,0,0,0,1.7422,1.7891
226,A,A,A,1,1,0,1.3828,1.0781
227,A,A,A,1,1,0,0.9609,0.5469
228,A,A,A,1,1,0,2.0469,1.8047
229,A,A,A,1,1,0,1.9609,1.7656
