idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,2.2891,2.1836
1,C,A,A,0,0,0,2.3203,1.7617
2,D,A,A,0,0,0,2.5469,1.6836
3,B,A,A,0,0,0,2.3984,2.2617
4,B,A,A,0,0,0,2.1641,2.1406
5,B,A,A,0,0,0,1.6016,1.1523
6,C,A,A,0,0,0,1.9414,1.8125
7,A,A,A,1,1,0,2.6289,2.2344
8,C,A,A,0,0,0,2.2109,1.8125
9,C,A,A,0,0,0,2.1445,1.793
10,C,A,A,0,0,0,2.2188,1.5273
11,B,A,A,0,0,0,2.332,1.918
12,C,A,A,0,0,0,2.4844,1.7344
13,C,A,A,0,0,0,1.6836,0.668
14,A,A,A,1,1,0,2.1836,2.0039
15,A,A,A,1,1,0,2.6016,1.6094
16,C,A,A,0,0,0,2.8203,2.4688
17,B,A,A,0,0,0,2.1094,2.2656
18,B,A,A,0,0,0,2.5195,2.3555
19,C,A,A,0,0,0,2.0117,1.4336
20,A,A,A,1,1,0,2.7695,2.1094
21,B,A,A,0,0,0,2.3828,2.6406
22,A,A,A,1,1,0,2.5156,2.125
23,D,A,A,0,0,0,1.2852,0.9961
24,D,A,A,0,0,0,1.6445,1.9375
25,A,A,A,1,1,0,2.2031,2.293
26,C,A,A,0,0,0,2.3359,2.1211
27,B,A,A,0,0,0,1.582,1.3711
28,B,A,A,0,0,0,2.2109,2.2031
29,C,A,A,0,0,0,1.9375,2.1367
30,C,A,A,0,0,0,1.6992,1.668
31,A,A,A,1,1,0,2.2383,1.625
32,D,A,A,0,0,0,3.2578,3.1406
33,B,A,A,0,0,0,2.0469,1.4023
34,C,A,A,0,0,0,2.6406,1.9102
35,B,A,A,0,0,0,2.7305,2.1719
36,D,A,A,0,0,0,0.7422,0.6172
37,B,A,A,0,0,0,2.5078,2.5469
38,D,A,A,0,0,0,1.2383,1.4648
39,C,A,A,0,0,0,2.332,1.8242
40,D,A,A,0,0,0,2.2578,1.6406
41,C,A,A,0,0,0,2.5234,2.625
42,C,A,A,0,0,0,2.4375,2.7852
43,C,A,A,0,0,0,1.8203,1.9805
44,B,A,A,0,0,0,2.3984,2.0312
