idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,2.2891,3.3398
1,C,A,A,0,0,0,2.3203,2.832
2,D,A,A,0,0,0,2.5469,3.875
3,B,A,A,0,0,0,2.3984,3.8945
4,B,A,A,0,0,0,2.1641,3.2734
5,B,A,A,0,0,0,1.6016,3.5352
6,C,A,A,0,0,0,1.9414,3.082
7,A,A,A,1,1,0,2.6289,3.3945
8,C,A,A,0,0,0,2.2109,3.0312
9,C,A,A,0,0,0,2.1445,2.8867
10,C,A,A,0,0,0,2.2188,3.5039
11,B,A,A,0,0,0,2.332,3.8633
12,C,A,A,0,0,0,2.4844,3.9219
13,C,A,A,0,0,0,1.6836,3.4805
14,A,A,A,1,1,0,2.1836,3.2695
15,A,A,A,1,1,0,2.6016,3.7773
16,C,A,A,0,0,0,2.8203,4.5391
17,B,A,A,0,0,0,2.1094,4.1289
18,B,A,A,0,0,0,2.5195,3.5938
19,C,A,A,0,0,0,2.0117,3.6211
20,A,A,A,1,1,0,2.7695,4.1094
21,B,A,A,0,0,0,2.3828,3.5469
22,A,A,A,1,1,0,2.5156,4.1211
23,D,A,A,0,0,0,1.2852,3.082
24,D,A,A,0,0,0,1.6445,2.9531
25,A,A,A,1,1,0,2.2031,3.6094
26,C,A,A,0,0,0,2.3359,3.3047
27,B,A,A,0,0,0,1.582,3.4688
28,B,A,A,0,0,0,2.2109,3.4609
29,C,A,A,0,0,0,1.9375,2.9844
30,C,A,A,0,0,0,1.6992,3.3594
31,A,A,A,1,1,0,2.2383,3.3086
32,D,A,A,0,0,0,3.2578,4.0312
33,B,A,A,0,0,0,2.0469,2.8906
34,C,A,A,0,0,0,2.6406,3.4648
35,B,A,A,0,0,0,2.7305,3.8281
36,D,A,A,0,0,0,0.7422,2.4531
37,B,A,A,0,0,0,2.5078,3.7891
38,D,A,A,0,0,0,1.2383,2.6328
39,C,A,A,0,0,0,2.332,3.3008
40,D,A,A,0,0,0,2.2578,3.2578
41,C,A,A,0,0,0,2.5234,3.5117
42,C,A,A,0,0,0,2.4375,3.7695
43,C,A,A,0,0,0,1.8203,3.3203
44,B,A,A,0,0,0,2.3984,3.6797
45,A,A,A,1,1,0,1.7461,2.7148
46,C,A,A,0,0,0,2.0977,3.3281
47,A,A,A,1,1,0,2.3516,3.1055
