idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,A,1,0,1,0.2891,0.3672
1,A,A,A,1,1,0,0.0,1.3535
2,B,A,A,0,0,0,0.1484,0.2422
3,E,E,A,1,0,1,0.1641,0.2285
4,B,C,A,0,0,1,0.1484,0.0703
5,B,A,A,0,0,0,0.2656,0.2031
6,A,A,A,1,1,0,0.3516,0.9297
7,B,B,B,1,1,0,0.7188,1.0449
8,D,A,A,0,0,0,0.2891,0.0312
9,B,A,A,0,0,0,0.0391,0.4297
10,C,D,A,0,0,1,0.1172,0.3125
11,B,B,B,1,1,0,1.2969,0.1738
12,E,A,A,0,0,0,0.3438,0.5059
13,B,A,C,0,0,1,0.2734,0.0156
14,B,E,A,0,0,1,0.0547,1.7188
15,D,D,A,1,0,1,0.1875,0.5332
16,E,E,A,1,0,1,0.3359,1.1699
17,A,B,B,0,0,0,0.0703,0.4531
18,C,A,A,0,0,0,0.3984,0.1641
19,E,B,A,0,0,1,0.375,0.6895
20,B,A,A,0,0,0,0.5469,2.1152
21,B,B,A,1,0,1,0.0078,2.0703
22,D,A,A,0,0,0,0.4375,0.9844
23,C,B,B,0,0,0,0.1484,0.125
24,A,F,A,0,1,1,0.3359,1.2734
25,D,A,A,0,0,0,0.7031,1.377
26,F,E,B,0,0,1,0.0391,0.3027
27,B,B,A,1,0,1,0.0938,0.7031
28,F,B,A,0,0,1,0.9297,0.8984
29,D,E,B,0,0,1,0.3594,0.0078
30,E,B,A,0,0,1,0.0234,0.2402
31,C,A,A,0,0,0,0.5938,0.541
32,B,B,B,1,1,0,0.3438,0.3984
33,F,F,A,1,0,1,0.5547,0.1094
34,D,A,A,0,0,0,0.0625,0.6133
35,D,A,A,0,0,0,0.1875,0.9688
36,B,A,A,0,0,0,0.1172,0.0156
37,B,B,A,1,0,1,0.1094,0.0312
38,B,A,A,0,0,0,0.1016,0.8887
39,A,F,A,0,1,1,0.0156,0.625
40,B,B,A,1,0,1,0.3281,0.0
41,E,A,A,0,0,0,0.0312,0.0703
42,E,A,A,0,0,0,0.5781,1.041
43,A,A,A,1,1,0,0.3438,0.9219
44,D,D,D,1,1,0,0.3359,0.1797
45,F,A,A,0,0,0,0.2266,0.1328
46,C,A,A,0,0,0,0.0859,0.7891
47,E,B,A,0,0,1,0.1406,0.3594
48,F,F,F,1,1,0,1.1895,0.7109
49,B,A,A,0,0,0,0.5938,1.7344
50,E,E,A,1,0,1,0.3438,0.1641
51,D,D,A,1,0,1,0.2891,0.541
52,D,F,C,0,0,1,1.0234,0.7109
53,B,B,A,1,0,1,0.1094,0.6016
54,A,A,A,1,1,0,1.3828,0.9141
55,C,B,A,0,0,1,0.2578,0.5332
56,A,A,A,1,1,0,1.5781,2.2656
57,A,A,A,1,1,0,0.4844,1.1699
58,F,F,A,1,0,1,0.0312,1.2969
59,D,D,A,1,0,1,0.6797,1.2227
60,E,E,A,1,0,1,0.2188,0.5234
61,B,A,A,0,0,0,0.125,0.3516
62,D,E,A,0,0,1,0.1484,0.125
63,E,E,C,1,0,1,0.0859,0.8066
64,D,A,A,0,0,0,0.4219,0.9219
65,B,A,C,0,0,1,0.3594,0.4844
66,A,A,A,1,1,0,0.2422,0.3047
67,C,A,A,0,0,0,0.1328,0.1953
68,E,A,A,0,0,0,0.4297,1.625
69,F,B,A,0,0,1,0.0234,0.0078
70,A,A,A,1,1,0,0.8125,1.1855
71,F,B,A,0,0,1,0.1016,0.4609
72,F,F,A,1,0,1,0.5918,1.1094
73,D,F,A,0,0,1,0.6094,1.7109
74,C,A,A,0,0,0,0.0,0.6172
75,E,E,A,1,0,1,0.1016,1.0391
