idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.1412,1.313
1,A,A,A,1,1,0,3.7342,0.9683
2,B,A,A,0,0,0,1.2815,0.7031
3,C,A,B,0,0,1,0.0,0.2026
4,C,A,B,0,0,1,0.0625,0.1094
5,C,A,A,0,0,0,0.5005,0.0469
6,A,A,B,1,0,1,0.3438,0.9531
7,B,A,A,0,0,0,1.3589,0.3281
8,C,A,A,0,0,0,0.8281,0.6406
9,B,B,B,1,1,0,0.7183,1.063
10,B,A,A,0,0,0,2.7338,0.8125
11,C,A,B,0,0,1,1.1719,0.2656
12,C,A,A,0,0,0,0.6724,0.3589
13,B,A,B,0,1,1,1.1094,0.0469
14,B,A,A,0,0,0,2.0006,1.0159
15,C,A,B,0,0,1,0.9841,0.1401
16,B,A,A,0,0,0,2.5321,2.1415
17,C,A,B,0,0,1,0.3599,0.313
18,A,A,A,1,1,0,2.9681,1.531
19,A,A,A,1,1,0,2.5788,0.7817
20,C,A,C,0,1,1,0.437,0.0938
21,B,A,A,0,0,0,1.5942,1.2971
22,C,C,C,1,1,0,0.0938,0.1406
23,C,A,B,0,0,1,0.4375,0.2661
24,C,C,C,1,1,0,0.4844,0.1719
25,B,A,B,0,1,1,1.4688,0.0786
26,C,A,A,0,0,0,0.3901,0.25
27,C,A,A,0,0,0,1.4373,0.5625
28,C,A,B,0,0,1,0.5312,0.0156
29,B,A,A,0,0,0,0.9214,0.4844
30,B,A,B,0,1,1,0.1406,1.1245
31,B,A,A,0,0,0,0.5938,0.0
32,B,A,A,0,0,0,3.3898,1.1404
33,B,A,B,0,1,1,0.9531,0.0469
34,A,A,A,1,1,0,3.2338,0.4536
35,C,A,A,0,0,0,1.1245,0.2339
36,A,A,A,1,1,0,4.3898,0.3906
37,B,A,A,0,0,0,1.281,0.6406
38,C,C,C,1,1,0,0.8281,0.1714
39,C,A,B,0,0,1,1.6404,0.4067
40,A,A,A,1,1,0,4.0928,2.813
41,B,A,B,0,1,1,0.563,0.0469
42,B,A,A,0,0,0,1.9844,0.875
43,A,A,A,1,1,0,2.1251,0.5464
44,A,A,A,1,1,0,2.5314,1.719
45,A,A,A,1,1,0,4.7335,1.5005
46,C,A,B,0,0,1,1.0474,0.2031
47,B,A,A,0,0,0,2.36,1.219
48,C,A,A,0,0,0,1.0,0.4062
49,C,C,C,1,1,0,0.5938,0.1875
50,C,A,A,0,0,0,0.2969,0.1562
51,A,A,A,1,1,0,4.4861,2.0146
52,C,C,C,1,1,0,0.25,0.1875
53,A,A,B,1,0,1,1.7346,0.562
54,A,A,B,1,0,1,1.0623,0.3594
55,C,B,B,0,0,0,0.0625,0.2036
56,A,A,A,1,1,0,5.2639,1.6404
57,C,C,B,1,0,1,0.2339,0.0156
58,C,C,B,1,0,1,0.438,0.4849
59,A,A,A,1,1,0,2.8586,0.5464
60,A,A,A,1,1,0,5.1881,3.2344
61,C,A,A,0,0,0,0.8594,0.0625
62,A,A,B,1,0,1,0.0469,0.6714
63,B,A,B,0,1,1,1.0942,0.0625
64,A,A,A,1,1,0,1.9056,0.8594
65,C,C,C,1,1,0,0.562,0.0938
66,A,A,B,1,0,1,1.3284,0.5312
67,C,A,A,0,0,0,0.75,0.1406
68,B,A,A,0,0,0,3.6259,0.9683
69,A,A,A,1,1,0,1.6411,0.6099
70,B,A,B,0,1,1,1.2651,0.25
71,B,A,C,0,0,1,0.4219,0.1401
72,C,A,C,0,1,1,0.25,0.1562
73,A,A,A,1,1,0,3.8914,1.8896
74,B,A,A,0,0,0,2.7812,1.2815
75,C,A,A,0,0,0,1.4534,0.5
76,A,A,A,1,1,0,3.344,1.5779
77,A,A,A,1,1,0,1.5001,0.6719
78,B,A,A,0,0,0,2.3118,0.687
79,A,A,A,1,1,0,4.0618,1.9053
80,C,A,B,0,0,1,0.0938,0.5151
81,B,A,A,0,0,0,2.3755,1.5782
82,B,A,A,0,0,0,1.3596,0.6401
83,A,A,A,1,1,0,3.9381,2.5321
84,A,A,A,1,1,0,5.8267,2.5629
85,A,A,B,1,0,1,1.0471,0.4062
86,C,C,B,1,0,1,0.1719,0.0156
87,C,A,A,0,0,0,0.563,0.0312
88,C,A,B,0,0,1,0.5781,0.0312
89,A,A,A,1,1,0,2.1245,0.687
90,C,B,B,0,0,0,0.1719,0.7036
91,C,A,A,0,0,0,0.4062,0.2495
92,A,A,A,1,1,0,2.3281,1.0154
93,A,A,A,1,1,0,2.3603,0.5161
94,A,A,B,1,0,1,1.5935,0.4844
95,A,A,A,1,1,0,3.5305,1.8602
96,A,A,A,1,1,0,0.9692,0.5469
97,B,A,A,0,0,0,2.14,0.25
98,C,C,C,1,1,0,0.3276,0.1875
99,A,A,A,1,1,0,4.3766,3.438
100,C,A,A,0,0,0,0.4375,0.187
101,A,A,B,1,0,1,0.8594,0.2964
102,A,A,A,1,1,0,4.4076,2.515
103,C,C,C,1,1,0,0.7502,0.4375
104,C,A,A,0,0,0,0.5786,0.3281
105,B,B,B,1,1,0,0.3281,0.4683
106,B,A,A,0,0,0,1.9214,0.625
107,B,A,A,0,0,0,4.5137,2.7184
108,C,A,C,0,1,1,0.2344,0.0308
109,B,A,A,0,0,0,1.843,0.5781
110,A,A,A,1,1,0,3.0785,1.1406
111,B,A,A,0,0,0,3.3904,1.3904
112,A,A,A,1,1,0,3.5005,0.812
113,B,A,A,0,0,0,2.4689,0.5625
114,B,A,A,0,0,0,3.0628,0.3906
115,A,A,A,1,1,0,4.3604,2.4069
116,C,A,A,0,0,0,0.7026,0.2031
117,A,A,B,1,0,1,1.7821,0.1406
118,A,A,B,1,0,1,1.1099,0.0469
119,A,A,C,1,0,1,0.5938,0.0469
120,B,A,A,0,0,0,2.6401,1.7493
121,C,A,A,0,0,0,1.7034,0.3438
122,B,A,B,0,1,1,0.313,0.5312
123,C,A,A,0,0,0,0.9375,0.7969
124,B,A,A,0,0,0,0.4849,0.2183
125,A,A,A,1,1,0,3.6412,2.5162
126,B,A,A,0,0,0,3.4221,1.4839
127,C,C,C,1,1,0,1.0161,0.5161
128,A,A,A,1,1,0,2.4064,1.1252
129,B,A,A,0,0,0,2.7495,0.9688
130,C,A,A,0,0,0,1.094,0.5464
131,B,A,A,0,0,0,3.1719,0.9995
132,A,A,A,1,1,0,2.5321,1.3125
133,C,A,B,0,0,1,0.2026,0.0625
134,C,C,C,1,1,0,0.5151,0.1719
135,C,A,B,0,0,1,0.8286,0.0781
136,A,A,A,1,1,0,3.0148,1.2654
137,C,C,C,1,1,0,0.5,0.4067
138,A,A,A,1,1,0,2.8124,0.8906
139,B,A,A,0,0,0,2.1711,0.7974
140,A,A,A,1,1,0,2.6567,0.7339
141,A,A,A,1,1,0,1.6873,0.4224
142,B,A,A,0,0,0,0.969,0.6562
143,B,A,A,0,0,0,2.5159,1.1562
144,C,C,B,1,0,1,0.3276,0.0781
145,C,A,A,0,0,0,0.2812,0.0781
146,A,A,A,1,1,0,7.1394,3.8447
147,C,A,B,0,0,1,0.3745,0.5151
148,B,A,A,0,0,0,1.187,0.7812
149,A,A,A,1,1,0,1.9841,0.8745
150,C,A,A,0,0,0,0.188,0.0781
151,B,A,A,0,0,0,1.6876,0.6714
