idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,1.2812,1.3145
1,C,A,A,0,0,0,1.4375,1.0078
2,D,A,A,0,0,0,2.3047,1.9609
3,B,A,A,0,0,0,2.0234,0.8203
4,B,A,A,0,0,0,1.9297,2.6484
5,B,A,A,0,0,0,1.0234,0.7969
6,C,A,A,0,0,0,1.1797,1.4062
7,A,A,A,1,1,0,1.877,2.3125
8,C,A,A,0,0,0,1.5078,1.0469
9,C,A,A,0,0,0,0.0391,0.5312
10,C,A,A,0,0,0,0.7031,0.873
11,B,A,A,0,0,0,1.8047,1.6641
12,C,A,A,0,0,0,1.5781,1.0391
13,C,A,A,0,0,0,1.5,2.3203
14,A,A,A,1,1,0,2.2969,1.7031
15,A,A,A,1,1,0,1.6016,1.0312
16,C,A,A,0,0,0,3.0312,1.6562
17,B,A,A,0,0,0,1.3828,1.1406
18,B,A,A,0,0,0,2.2324,2.0723
19,C,A,A,0,0,0,0.9609,1.1094
20,A,A,A,1,1,0,2.8281,2.2109
21,B,A,A,0,0,0,1.0234,1.4902
22,A,A,A,1,1,0,1.7422,1.9375
23,D,A,D,0,1,1,1.0156,0.1406
24,D,A,A,0,0,0,1.2266,0.75
25,A,A,A,1,1,0,2.8906,2.2441
26,C,A,A,0,0,0,1.2031,1.5371
27,B,A,A,0,0,0,0.5625,1.2734
28,B,A,A,0,0,0,1.2422,0.8359
29,C,A,A,0,0,0,2.2422,1.1719
30,C,A,A,0,0,0,0.9766,1.4141
31,A,A,A,1,1,0,2.0547,1.5703
32,D,A,A,0,0,0,2.5781,1.9785
33,B,A,A,0,0,0,1.0234,1.3906
34,C,A,A,0,0,0,0.8438,0.7031
35,B,A,A,0,0,0,1.9609,1.6934
36,D,A,A,0,0,0,0.5,0.6328
37,B,A,A,0,0,0,2.3906,1.7188
38,D,A,A,0,0,0,1.375,0.9219
39,C,A,A,0,0,0,1.2656,2.4375
40,D,A,A,0,0,0,1.1094,0.6094
41,C,A,A,0,0,0,2.8984,1.6328
42,C,A,A,0,0,0,1.1562,1.3281
43,C,A,A,0,0,0,0.6328,0.6641
44,B,A,A,0,0,0,1.2109,1.7207
45,A,A,A,1,1,0,2.0234,2.3223
46,C,A,A,0,0,0,1.7891,1.8281
47,A,A,A,1,1,0,1.4609,1.6875
48,D,A,A,0,0,0,1.5547,1.5547
49,D,A,A,0,0,0,1.0,0.7266
50,B,A,A,0,0,0,1.4922,2.0547
51,D,A,A,0,0,0,1.5859,1.375
52,A,A,A,1,1,0,2.5781,2.4375
53,A,A,A,1,1,0,1.7578,1.4766
54,A,A,A,1,1,0,1.7324,1.9629
55,B,A,A,0,0,0,2.1172,1.8594
56,C,A,A,0,0,0,1.9688,2.0176
57,B,A,A,0,0,0,1.9453,0.8281
58,B,A,A,0,0,0,1.6094,1.5176
59,D,A,A,0,0,0,1.3516,1.0605
60,B,A,A,0,0,0,0.7578,1.4688
61,B,A,A,0,0,0,2.0391,1.5859
62,C,A,A,0,0,0,0.8281,0.9062
63,C,A,A,0,0,0,1.1953,1.0801
64,B,A,A,0,0,0,1.0469,1.0
65,C,A,A,0,0,0,1.4922,1.2109
66,B,A,A,0,0,0,1.1172,1.2344
67,C,A,A,0,0,0,0.7344,1.2422
68,A,A,A,1,1,0,1.4688,1.8203
69,D,A,A,0,0,0,1.0859,1.0
70,C,A,A,0,0,0,0.8594,0.9141
71,C,A,A,0,0,0,1.3359,1.1191
72,A,A,A,1,1,0,2.5312,2.2266
73,D,A,A,0,0,0,2.0938,2.0234
74,A,A,A,1,1,0,3.1562,1.3984
75,C,A,A,0,0,0,2.0703,1.3203
76,D,A,A,0,0,0,0.7188,0.7734
77,A,A,A,1,1,0,2.375,1.7051
78,B,A,A,0,0,0,0.9766,0.8906
79,D,A,A,0,0,0,1.375,1.2969
80,B,A,A,0,0,0,1.375,0.8359
81,A,A,A,1,1,0,1.9688,2.2344
82,A,A,A,1,1,0,1.5234,1.7578
83,B,A,A,0,0,0,3.3438,1.1562
84,C,A,A,0,0,0,1.4141,1.3281
85,C,A,A,0,0,0,1.4531,1.1953
86,A,A,A,1,1,0,1.7188,2.2793
87,C,A,A,0,0,0,1.0156,0.3594
88,D,A,A,0,0,0,2.2578,2.5
89,C,A,A,0,0,0,2.0859,1.7656
90,D,A,A,0,0,0,1.6016,0.8672
91,A,A,A,1,1,0,1.6641,1.9453
92,D,A,A,0,0,0,0.8281,1.5762
93,A,A,A,1,1,0,2.125,1.8984
94,A,A,A,1,1,0,2.8828,1.9375
95,D,A,A,0,0,0,1.5,0.8223
96,A,A,A,1,1,0,2.25,2.0312
97,A,A,A,1,1,0,1.3223,2.1016
98,B,A,A,0,0,0,2.2891,0.8828
99,C,A,A,0,0,0,1.4766,0.9453
100,A,A,A,1,1,0,1.7344,0.875
101,D,A,A,0,0,0,0.5078,0.7734
102,B,A,A,0,0,0,1.375,1.3125
103,D,A,A,0,0,0,1.4219,0.0547
104,B,A,A,0,0,0,0.8516,1.4922
105,C,A,A,0,0,0,1.6328,1.6328
106,B,A,A,0,0,0,1.1016,1.3047
107,A,A,A,1,1,0,1.7266,1.4141
108,B,A,A,0,0,0,1.9219,1.9688
109,C,A,A,0,0,0,1.7266,1.375
110,D,A,A,0,0,0,0.4531,0.9766
111,A,A,A,1,1,0,1.7578,1.6094
112,B,A,A,0,0,0,1.3047,1.748
113,D,A,A,0,0,0,1.5312,0.5234
114,D,A,A,0,0,0,1.875,2.1484
115,D,A,A,0,0,0,1.4609,0.8594
116,B,A,A,0,0,0,0.9766,1.2402
117,A,A,A,1,1,0,1.8906,1.9219
118,C,A,A,0,0,0,0.7578,0.875
119,A,A,A,1,1,0,1.5312,1.2812
120,A,A,A,1,1,0,1.7578,1.3047
121,B,A,A,0,0,0,2.5156,1.8516
122,C,A,A,0,0,0,1.3828,1.4043
123,A,A,A,1,1,0,1.5859,1.4375
124,B,A,A,0,0,0,1.1641,1.9219
125,C,A,A,0,0,0,1.4766,0.9062
126,A,A,A,1,1,0,2.0078,1.3125
127,C,A,A,0,0,0,1.4141,1.1875
128,B,A,A,0,0,0,1.4609,1.6172
129,D,A,A,0,0,0,1.3516,1.0547
130,D,A,A,0,0,0,0.9531,1.3672
131,A,A,A,1,1,0,2.6094,1.8203
132,D,A,A,0,0,0,2.9922,1.875
133,C,A,A,0,0,0,1.1641,0.875
134,C,A,A,0,0,0,0.7578,0.625
135,C,A,A,0,0,0,1.2344,0.8984
136,C,A,A,0,0,0,1.0391,0.7266
137,D,A,A,0,0,0,1.2734,1.2891
138,A,A,A,1,1,0,1.9531,1.3516
139,C,A,A,0,0,0,1.5703,1.6641
140,A,A,A,1,1,0,1.9844,2.3066
141,A,A,A,1,1,0,1.5938,1.1328
142,D,A,A,0,0,0,1.8672,0.6719
143,D,A,A,0,0,0,2.2266,0.0859
144,A,A,A,1,1,0,2.4922,2.4531
145,D,A,A,0,0,0,1.6172,1.3301
146,D,A,A,0,0,0,1.2734,0.7969
147,D,A,A,0,0,0,1.2109,0.9922
148,B,A,A,0,0,0,1.6875,1.4277
149,A,A,A,1,1,0,3.5742,1.7656
150,A,A,A,1,1,0,1.7734,1.8828
151,A,A,A,1,1,0,2.3828,2.5762
152,D,A,A,0,0,0,1.5,1.1953
153,B,A,A,0,0,0,2.0391,1.6562
154,B,A,A,0,0,0,0.9609,1.2266
155,B,A,A,0,0,0,2.8125,1.5469
156,D,A,A,0,0,0,2.5938,1.6172
157,D,A,A,0,0,0,2.3359,1.2109
158,B,A,A,0,0,0,1.5,0.8887
159,A,A,A,1,1,0,1.5859,2.1406
160,A,A,A,1,1,0,2.0,1.5137
161,B,A,A,0,0,0,0.7422,0.9062
162,D,A,A,0,0,0,2.3984,1.5938
163,C,A,A,0,0,0,1.8125,1.4609
164,B,A,A,0,0,0,1.9062,1.0234
165,C,A,A,0,0,0,1.7891,1.3438
166,A,A,A,1,1,0,1.7422,1.5996
167,D,A,A,0,0,0,0.8984,1.4609
168,C,A,A,0,0,0,1.1875,0.9922
169,A,A,A,1,1,0,1.5547,1.8203
170,C,A,A,0,0,0,0.6719,0.0625
171,B,A,A,0,0,0,1.3672,0.8047
172,A,A,A,1,1,0,1.8281,1.1875
173,B,A,A,0,0,0,2.2812,1.6406
174,B,A,A,0,0,0,1.1641,1.1094
175,B,A,A,0,0,0,1.2266,1.0781
176,C,A,A,0,0,0,2.0391,1.3438
177,C,A,A,0,0,0,1.5391,1.2402
178,B,A,A,0,0,0,1.75,1.4922
