idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,1.2812,2.3027
1,C,A,A,0,0,0,1.4375,1.8359
2,D,A,A,0,0,0,2.3047,2.4453
3,B,A,A,0,0,0,2.0234,2.6562
4,B,A,A,0,0,0,1.9297,2.2363
5,B,A,A,0,0,0,1.0234,1.2656
6,C,A,A,0,0,0,1.1797,1.7266
7,A,A,A,1,1,0,1.877,2.0547
8,C,A,A,0,0,0,1.5078,1.7344
9,C,A,A,0,0,0,0.0391,1.5312
10,C,A,A,0,0,0,0.7031,1.2715
11,B,A,A,0,0,0,1.8047,1.5781
12,C,A,A,0,0,0,1.5781,2.3887
13,C,A,A,0,0,0,1.5,2.0312
14,A,A,A,1,1,0,2.2969,2.2422
15,A,A,A,1,1,0,1.6016,2.4062
16,C,A,A,0,0,0,3.0312,2.2812
17,B,A,A,0,0,0,1.3828,3.166
18,B,A,A,0,0,0,2.2324,2.0371
19,C,A,A,0,0,0,0.9609,2.3574
20,A,A,A,1,1,0,2.8281,2.2285
21,B,A,A,0,0,0,1.0234,2.6094
22,A,A,A,1,1,0,1.7422,2.3125
23,D,A,A,0,0,0,1.0156,1.8672
24,D,A,A,0,0,0,1.2266,1.1641
25,A,A,A,1,1,0,2.8906,3.0859
26,C,A,A,0,0,0,1.2031,2.4375
27,B,A,A,0,0,0,0.5625,1.1738
28,B,A,A,0,0,0,1.2422,1.8438
29,C,A,A,0,0,0,2.2422,1.709
30,C,A,A,0,0,0,0.9766,2.6543
31,A,A,A,1,1,0,2.0547,1.9609
32,D,A,A,0,0,0,2.5781,3.5137
33,B,A,A,0,0,0,1.0234,2.2598
34,C,A,A,0,0,0,0.8438,1.6094
35,B,A,A,0,0,0,1.9609,2.6172
36,D,A,A,0,0,0,0.5,1.3496
37,B,A,A,0,0,0,2.3906,3.0938
38,D,A,A,0,0,0,1.375,2.1074
39,C,A,A,0,0,0,1.2656,2.791
40,D,A,A,0,0,0,1.1094,2.6719
41,C,A,A,0,0,0,2.8984,2.7031
42,C,A,A,0,0,0,1.1562,2.2285
43,C,A,A,0,0,0,0.6328,1.6934
44,B,A,A,0,0,0,1.2109,1.6484
45,A,A,A,1,1,0,2.0234,2.5547
46,C,A,A,0,0,0,1.7891,2.4766
47,A,A,A,1,1,0,1.4609,1.9688
48,D,A,A,0,0,0,1.5547,2.5312
49,D,A,A,0,0,0,1.0,1.9609
50,B,A,A,0,0,0,1.4922,2.6484
51,D,A,A,0,0,0,1.5859,2.1172
52,A,A,A,1,1,0,2.5781,3.5703
53,A,A,A,1,1,0,1.7578,2.7422
54,A,A,A,1,1,0,1.7324,2.7344
55,B,A,A,0,0,0,2.1172,2.1406
56,C,A,A,0,0,0,1.9688,2.3359
57,B,A,A,0,0,0,1.9453,1.5938
58,B,A,A,0,0,0,1.6094,2.1191
59,D,A,A,0,0,0,1.3516,1.9277
60,B,A,A,0,0,0,0.7578,2.7754
61,B,A,A,0,0,0,2.0391,2.4707
62,C,A,A,0,0,0,0.8281,1.2891
63,C,A,A,0,0,0,1.1953,1.7891
64,B,A,A,0,0,0,1.0469,1.4785
65,C,A,A,0,0,0,1.4922,1.6953
66,B,A,A,0,0,0,1.1172,3.0
67,C,A,A,0,0,0,0.7344,1.8809
68,A,A,A,1,1,0,1.4688,2.2441
69,D,A,A,0,0,0,1.0859,2.3672
70,C,A,A,0,0,0,0.8594,2.375
71,C,A,A,0,0,0,1.3359,2.2129
72,A,A,A,1,1,0,2.5312,3.0801
73,D,A,A,0,0,0,2.0938,2.0703
74,A,A,A,1,1,0,3.1562,3.877
75,C,A,A,0,0,0,2.0703,3.2715
76,D,A,A,0,0,0,0.7188,1.7715
77,A,A,A,1,1,0,2.375,2.8281
78,B,A,A,0,0,0,0.9766,0.6328
79,D,A,A,0,0,0,1.375,2.4512
80,B,A,A,0,0,0,1.375,1.3828
81,A,A,A,1,1,0,1.9688,1.7734
82,A,A,A,1,1,0,1.5234,2.8125
83,B,A,A,0,0,0,3.3438,3.5703
84,C,A,A,0,0,0,1.4141,2.1562
85,C,A,A,0,0,0,1.4531,2.8203
86,A,A,A,1,1,0,1.7188,1.5684
87,C,A,A,0,0,0,1.0156,2.7656
88,D,A,A,0,0,0,2.2578,2.959
89,C,A,A,0,0,0,2.0859,1.8125
90,D,A,A,0,0,0,1.6016,2.6348
91,A,A,A,1,1,0,1.6641,3.5684
92,D,A,A,0,0,0,0.8281,2.4844
93,A,A,A,1,1,0,2.125,2.0
94,A,A,A,1,1,0,2.8828,3.0781
95,D,A,A,0,0,0,1.5,1.5859
96,A,A,A,1,1,0,2.25,2.8906
97,A,A,A,1,1,0,1.3223,3.8379
98,B,A,A,0,0,0,2.2891,3.0312
99,C,A,A,0,0,0,1.4766,1.6406
100,A,A,A,1,1,0,1.7344,1.1172
101,D,A,A,0,0,0,0.5078,2.0
102,B,A,A,0,0,0,1.375,2.2969
103,D,A,A,0,0,0,1.4219,2.3359
104,B,A,A,0,0,0,0.8516,1.7871
105,C,A,A,0,0,0,1.6328,3.3828
106,B,A,A,0,0,0,1.1016,2.7109
107,A,A,A,1,1,0,1.7266,2.7246
108,B,A,A,0,0,0,1.9219,3.0645
