idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.7266,1.8828
1,A,A,A,1,1,0,1.5625,1.4766
2,B,A,A,0,0,0,1.9219,1.75
3,C,A,A,0,0,0,0.9609,1.0859
4,C,A,A,0,0,0,0.8828,1.1484
5,C,A,A,0,0,0,1.1328,1.4766
6,A,A,A,1,1,0,1.3594,1.1328
7,B,A,A,0,0,0,0.875,1.1016
8,C,A,A,0,0,0,1.4141,1.3281
9,B,A,A,0,0,0,1.6953,1.6875
10,B,A,A,0,0,0,1.1719,1.2188
11,C,A,A,0,0,0,1.1484,1.4375
12,C,A,A,0,0,0,1.5547,1.5391
13,B,A,A,0,0,0,1.5781,1.4375
14,B,A,A,0,0,0,1.5469,1.5391
15,C,A,A,0,0,0,0.5078,0.8438
16,B,A,A,0,0,0,1.2734,1.5781
17,C,A,A,0,0,0,1.0391,1.2344
18,A,A,A,1,1,0,1.4297,1.4375
19,A,A,A,1,1,0,1.4844,1.3672
20,C,A,A,0,0,0,1.5859,1.4375
21,B,A,A,0,0,0,1.1484,1.2031
22,C,A,A,0,0,0,1.125,1.3203
23,C,A,A,0,0,0,1.6484,1.6875
24,C,A,A,0,0,0,1.1641,1.4453
25,B,A,A,0,0,0,0.9141,0.9297
26,C,A,A,0,0,0,1.4219,1.3906
27,C,A,A,0,0,0,1.9922,1.8047
28,C,A,A,0,0,0,0.9844,0.8906
29,B,A,A,0,0,0,1.4844,1.4844
30,B,A,A,0,0,0,1.0938,1.0
31,B,A,A,0,0,0,1.3281,1.8047
32,B,A,A,0,0,0,1.9375,1.8945
33,B,A,A,0,0,0,1.4766,1.5781
34,A,A,A,1,1,0,1.2109,1.3906
35,C,A,A,0,0,0,1.0625,0.9141
36,A,A,A,1,1,0,1.0156,1.1016
37,B,A,A,0,0,0,0.9062,1.2109
38,C,A,A,0,0,0,1.1562,1.3047
39,C,A,A,0,0,0,1.4531,1.6992
40,A,A,A,1,1,0,1.1328,1.2109
41,B,A,A,0,0,0,1.0078,1.1406
42,B,A,A,0,0,0,1.1953,1.4219
43,A,A,A,1,1,0,1.4219,1.5938
44,A,A,A,1,1,0,0.9219,1.1953
45,A,A,A,1,1,0,1.5156,1.5312
46,C,A,A,0,0,0,0.9141,1.3047
47,B,A,A,0,0,0,1.4688,1.5234
48,C,A,A,0,0,0,1.9766,2.0586
49,C,A,A,0,0,0,1.1484,1.3438
50,C,A,A,0,0,0,1.8828,1.7734
51,A,A,A,1,1,0,1.3047,1.5312
52,C,A,A,0,0,0,1.7656,1.6406
53,A,A,A,1,1,0,1.2344,1.5781
54,A,A,A,1,1,0,1.0078,1.0234
55,C,A,A,0,0,0,1.625,1.6094
56,A,A,A,1,1,0,1.2812,1.3906
57,C,A,A,0,0,0,1.3438,1.4219
58,C,A,A,0,0,0,1.4922,1.3906
59,A,A,A,1,1,0,1.0938,1.2578
60,A,A,A,1,1,0,1.6406,1.7109
61,C,A,A,0,0,0,0.8281,1.0938
62,A,A,A,1,1,0,1.1484,1.2422
63,B,A,A,0,0,0,0.9766,1.0547
64,A,A,A,1,1,0,1.5469,1.6406
65,C,A,A,0,0,0,1.5391,1.5234
66,A,A,A,1,1,0,1.25,1.2188
67,C,A,A,0,0,0,1.9062,1.8516
68,B,A,A,0,0,0,0.6172,0.5
69,A,A,A,1,1,0,1.5,1.6562
70,B,A,A,0,0,0,1.5,1.8359
71,B,A,A,0,0,0,1.625,1.5625
72,C,A,A,0,0,0,1.7734,1.7695
73,A,A,A,1,1,0,1.1328,1.1719
74,B,A,A,0,0,0,1.0469,1.0391
75,C,A,A,0,0,0,1.4844,1.6562
76,A,A,A,1,1,0,1.2266,1.2266
77,A,A,A,1,1,0,1.5938,1.6562
78,B,A,A,0,0,0,0.6641,0.9219
79,A,A,A,1,1,0,2.0391,1.9922
80,C,A,A,0,0,0,0.9453,1.3359
81,B,A,A,0,0,0,1.2969,1.3828
82,B,A,A,0,0,0,1.2422,1.5391
83,A,A,A,1,1,0,0.8203,1.0234
84,A,A,A,1,1,0,1.9297,1.9219
85,A,A,A,1,1,0,1.2969,1.2812
86,C,A,A,0,0,0,1.4766,1.5312
87,C,A,A,0,0,0,1.9922,1.8047
88,C,A,A,0,0,0,1.2656,1.2344
89,A,A,A,1,1,0,1.0703,1.5938
90,C,A,A,0,0,0,1.6484,1.6875
91,C,A,A,0,0,0,1.1719,1.1172
92,A,A,A,1,1,0,1.7109,1.5234
93,A,A,A,1,1,0,1.9141,1.8633
94,A,A,A,1,1,0,1.6172,1.8828
95,A,A,A,1,1,0,1.375,1.375
96,A,A,A,1,1,0,1.3359,1.6016
97,B,A,A,0,0,0,1.1875,1.1406
98,C,A,A,0,0,0,1.0547,0.9531
99,A,A,A,1,1,0,1.4453,1.3438
100,C,A,A,0,0,0,0.8594,1.0859
101,A,A,A,1,1,0,1.6562,1.7344
102,A,A,A,1,1,0,0.8281,0.9922
103,C,A,A,0,0,0,1.3438,1.4141
104,C,A,A,0,0,0,1.0156,0.9844
105,B,A,A,0,0,0,1.5391,1.3984
106,B,A,A,0,0,0,1.5,1.4766
107,B,A,A,0,0,0,0.7891,1.0078
108,C,A,A,0,0,0,1.3359,1.2812
109,B,A,A,0,0,0,1.5156,1.5312
110,A,A,A,1,1,0,1.2188,1.1484
111,B,A,A,0,0,0,1.7656,1.6328
112,A,A,A,1,1,0,1.2969,1.3359
113,B,A,A,0,0,0,0.9375,0.9766
114,B,A,A,0,0,0,0.9766,1.1953
115,A,A,A,1,1,0,1.0,1.2578
116,C,A,A,0,0,0,1.6953,1.5469
117,A,A,A,1,1,0,1.5703,1.5
118,A,A,A,1,1,0,1.4922,1.5391
119,A,A,A,1,1,0,1.1953,1.4375
120,B,A,A,0,0,0,0.5859,0.6953
121,C,A,A,0,0,0,1.6875,1.6797
122,B,A,A,0,0,0,1.6719,1.625
123,C,A,A,0,0,0,1.7969,1.8047
124,B,A,A,0,0,0,1.1016,1.3359
125,A,A,A,1,1,0,1.5938,1.5547
126,B,A,A,0,0,0,1.4922,1.6016
127,C,A,A,0,0,0,1.4531,1.4062
128,A,A,A,1,1,0,1.9609,1.8867
129,B,A,A,0,0,0,1.2656,1.2656
130,C,A,A,0,0,0,1.8906,2.0078
131,B,A,A,0,0,0,0.9766,1.2891
132,A,A,A,1,1,0,0.8438,1.0078
133,C,A,A,0,0,0,1.0078,1.0703
134,C,A,A,0,0,0,1.375,1.2266
135,C,A,A,0,0,0,1.4297,1.2812
136,A,A,A,1,1,0,0.9141,1.3984
137,C,A,A,0,0,0,1.5078,1.4922
138,A,A,A,1,1,0,1.1875,1.4062
139,B,A,A,0,0,0,0.7422,0.7969
140,A,A,A,1,1,0,1.1094,1.5078
141,A,A,A,1,1,0,1.5234,1.6953
142,B,A,A,0,0,0,1.125,1.3047
143,B,A,A,0,0,0,1.3281,1.7148
144,C,A,A,0,0,0,1.75,1.625
145,C,A,A,0,0,0,1.5625,1.5234
146,A,A,A,1,1,0,1.5469,1.8359
147,C,A,A,0,0,0,0.7031,1.0156
148,B,A,A,0,0,0,0.5781,1.4453
149,A,A,A,1,1,0,1.625,2.1328
150,C,A,A,0,0,0,1.6641,1.7109
151,B,A,A,0,0,0,1.6562,1.4531
152,C,A,A,0,0,0,1.3438,1.4531
153,B,A,A,0,0,0,0.9531,0.9922
154,C,A,A,0,0,0,0.9531,1.2031
155,B,A,A,0,0,0,1.7422,1.7031
156,C,A,A,0,0,0,1.6719,1.8281
157,A,A,A,1,1,0,1.0703,1.4141
158,B,A,A,0,0,0,1.2031,1.3203
159,A,A,A,1,1,0,0.8594,0.9141
160,C,A,A,0,0,0,1.7812,1.5391
