idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.0664,2.4844
1,A,A,A,1,1,0,1.4453,2.1016
2,B,A,A,0,0,0,2.2422,2.3711
3,C,A,A,0,0,0,1.6328,1.9844
4,C,A,A,0,0,0,1.7773,2.2031
5,C,A,A,0,0,0,1.0703,1.5273
6,A,A,A,1,1,0,1.3398,1.9023
7,B,A,A,0,0,0,1.6289,2.2578
8,C,A,A,0,0,0,1.4766,1.7578
9,B,A,A,0,0,0,1.9648,1.9766
10,B,A,A,0,0,0,1.6406,2.1055
11,C,A,A,0,0,0,1.7617,2.1367
12,C,A,A,0,0,0,1.7148,2.1953
13,B,A,A,0,0,0,1.6992,1.9297
14,B,A,A,0,0,0,1.5273,2.1875
15,C,A,A,0,0,0,1.5586,1.6055
16,B,A,A,0,0,0,1.8867,2.0859
17,C,A,A,0,0,0,1.8867,2.3242
18,A,A,A,1,1,0,1.5859,1.9688
19,A,A,A,1,1,0,1.6406,2.1367
20,C,A,A,0,0,0,2.0781,2.5273
21,B,A,A,0,0,0,1.1172,1.3672
22,C,A,A,0,0,0,1.5234,1.8047
23,C,A,A,0,0,0,2.2148,2.2852
24,C,A,A,0,0,0,1.2422,1.7422
25,B,A,A,0,0,0,1.5742,2.1953
26,C,A,A,0,0,0,1.8867,2.1992
27,C,A,A,0,0,0,2.1211,2.2578
28,C,A,A,0,0,0,1.2617,1.5586
29,B,A,A,0,0,0,1.8125,1.918
30,B,A,A,0,0,0,1.4336,1.8281
31,B,A,A,0,0,0,1.7578,1.8984
32,B,A,A,0,0,0,1.9844,2.3672
33,B,A,A,0,0,0,1.7305,2.1055
34,A,A,A,1,1,0,1.6719,1.9648
35,C,A,A,0,0,0,1.1914,1.9766
36,A,A,A,1,1,0,1.4023,1.8867
37,B,A,A,0,0,0,1.1172,1.6211
38,C,A,A,0,0,0,1.793,1.9648
39,C,A,A,0,0,0,1.8828,2.0391
40,A,A,A,1,1,0,1.6953,2.1211
41,B,A,A,0,0,0,1.5586,2.2422
42,B,A,A,0,0,0,2.2305,2.4688
43,A,A,A,1,1,0,1.793,2.0156
44,A,A,A,1,1,0,1.2109,1.4922
45,A,A,A,1,1,0,1.9922,2.2305
46,C,A,A,0,0,0,1.2891,1.668
47,B,A,A,0,0,0,2.1367,2.3398
48,C,A,A,0,0,0,2.1562,2.4609
49,C,A,A,0,0,0,1.3672,1.7422
50,C,A,A,0,0,0,2.4609,2.4336
51,A,A,A,1,1,0,2.0352,2.4219
52,C,A,A,0,0,0,1.9258,2.5547
53,A,A,A,1,1,0,1.9961,1.9609
54,A,A,A,1,1,0,1.5625,1.8398
55,C,A,A,0,0,0,2.1133,2.5586
56,A,A,A,1,1,0,1.8008,2.2773
57,C,A,A,0,0,0,1.8555,2.1172
58,C,A,A,0,0,0,1.7305,1.9961
59,A,A,A,1,1,0,1.5547,2.0703
60,A,A,A,1,1,0,2.0273,2.4023
61,C,A,A,0,0,0,1.2891,1.5742
62,A,A,A,1,1,0,1.3672,1.9805
63,B,A,A,0,0,0,1.2461,1.7617
64,A,A,A,1,1,0,1.7305,1.9023
65,C,A,A,0,0,0,1.8672,2.0898
66,A,A,A,1,1,0,1.543,2.168
67,C,A,A,0,0,0,2.168,2.4219
68,B,A,A,0,0,0,0.9375,1.5977
69,A,A,A,1,1,0,1.7031,2.1172
70,B,A,A,0,0,0,1.9258,2.3086
71,B,A,A,0,0,0,1.9062,2.418
72,C,A,A,0,0,0,2.0742,2.5898
73,A,A,A,1,1,0,1.2891,2.0391
74,B,A,A,0,0,0,1.1719,1.6523
75,C,A,A,0,0,0,1.8164,2.0547
76,A,A,A,1,1,0,1.957,2.2031
77,A,A,A,1,1,0,1.7617,2.0938
78,B,A,A,0,0,0,1.1953,1.2148
79,A,A,A,1,1,0,1.6523,2.0508
80,C,A,A,0,0,0,1.9609,2.0703
81,B,A,A,0,0,0,1.7266,2.1211
82,B,A,A,0,0,0,2.1445,2.3398
83,A,A,A,1,1,0,1.8516,2.2031
84,A,A,A,1,1,0,2.0391,2.4688
85,A,A,A,1,1,0,1.4023,1.8398
86,C,A,A,0,0,0,2.5898,2.8398
87,C,A,A,0,0,0,2.0234,2.2812
88,C,A,A,0,0,0,1.7773,2.0586
89,A,A,A,1,1,0,1.5391,2.1992
90,C,A,A,0,0,0,2.0938,1.9453
91,C,A,A,0,0,0,1.793,1.9648
92,A,A,A,1,1,0,1.9023,2.3711
93,A,A,A,1,1,0,2.0898,1.9922
94,A,A,A,1,1,0,1.8047,1.8555
95,A,A,A,1,1,0,1.125,1.2969
96,A,A,A,1,1,0,1.7461,1.9336
97,B,A,A,0,0,0,1.9492,2.2188
98,C,A,A,0,0,0,1.5625,1.9531
99,A,A,A,1,1,0,2.0234,2.5
100,C,A,A,0,0,0,1.4297,1.7812
101,A,A,A,1,1,0,1.9023,2.2305
102,A,A,A,1,1,0,1.957,2.3672
103,C,A,A,0,0,0,1.543,2.3242
104,C,A,A,0,0,0,0.9609,1.5586
105,B,A,A,0,0,0,1.6992,2.2148
106,B,A,A,0,0,0,1.2305,1.8359
107,B,A,A,0,0,0,1.4141,1.5234
108,C,A,A,0,0,0,1.8555,2.1836
109,B,A,A,0,0,0,1.7773,2.0156
110,A,A,A,1,1,0,1.0117,1.3555
111,B,A,A,0,0,0,2.3633,2.5391
112,A,A,A,1,1,0,1.3555,1.793
113,B,A,A,0,0,0,1.3398,1.8555
114,B,A,A,0,0,0,2.1875,2.3242
115,A,A,A,1,1,0,1.1914,1.6953
116,C,A,A,0,0,0,1.5664,1.6484
117,A,A,A,1,1,0,2.0195,2.0273
118,A,A,A,1,1,0,1.6992,2.0156
119,A,A,A,1,1,0,1.8711,2.6367
120,B,A,A,0,0,0,1.0781,1.4492
121,C,A,A,0,0,0,1.7578,2.3086
122,B,A,A,0,0,0,2.1953,2.5703
123,C,A,A,0,0,0,1.8477,2.4336
124,B,A,A,0,0,0,1.5352,1.7578
125,A,A,A,1,1,0,2.3398,2.3984
126,B,A,A,0,0,0,2.0391,2.3516
127,C,A,A,0,0,0,1.8516,2.1328
128,A,A,A,1,1,0,2.0117,2.2539
129,B,A,A,0,0,0,1.8555,2.1836
130,C,A,A,0,0,0,1.9531,2.2578
131,B,A,A,0,0,0,1.793,2.0117
132,A,A,A,1,1,0,1.6055,2.0859
133,C,A,A,0,0,0,1.543,1.9492
134,C,A,A,0,0,0,1.3281,1.8555
135,C,A,A,0,0,0,1.5742,1.9961
136,A,A,A,1,1,0,1.1953,1.4023
137,C,A,A,0,0,0,1.4609,2.043
138,A,A,A,1,1,0,1.0664,1.4336
139,B,A,A,0,0,0,1.1562,1.5586
140,A,A,A,1,1,0,1.9453,2.1328
141,A,A,A,1,1,0,1.9766,2.4766
142,B,A,A,0,0,0,1.8672,2.1211
143,B,A,A,0,0,0,2.1484,2.1953
144,C,A,A,0,0,0,1.918,2.3711
